ID;KenmerkenInstallaties;Perioden;Productie_1;VerbruikGasmotorenWKKInstallatie_2;VerbruikGasmotorenDirecteAandrijving_3;VerbruikVoorOpwarmingSlibgistingstank_4;VerbruikVoorSlibontwatering_5;Afgefakkeld_6;Afgeblazen_7;VerbruikOfToepassingOnbekend_8;Aflevering_9;Aankoop_10;ProductieInWKKInstallaties_11;TotaalVerbruik_12;Warmteproductie_13;Aardgasverbruik_14;HuisbrandolieVerbruik_15;VerbruikPerKgVerwijdBZVGemiddelde_16;VerbruikPerKgVerwijdBZVLandelijk_17;AandeelBeluchtingInTotaalverbruik_18
189;Discontinue systemen;2010;0;0;0.0;0;0;0;0.0;0;0;1;0;1;0.0;8;0;3.2;2.8;76
190;Discontinue systemen;2011;0;0;0.0;0;0;0;0.0;0;0;1;0;1;0.0;7;0;3.8;2.5;75
191;Discontinue systemen;2012;0;0;0.0;0;0;0;0.0;0;0;1;0;1;0.0;6;0;3.3;2.7;75
192;Parallelle installaties;1981;1237;327;;0;0;146;;764;0;7;0;8;;231;2;3.2;2.1;69
193;Parallelle installaties;1985;1454;962;;384;0;105;;2;0;5;2;7;;863;0;4.0;2.8;68
194;Parallelle installaties;1990;2507;2173;;231;0;103;;0;0;8;3;11;;230;0;3.7;3.1;69
195;Parallelle installaties;1991;2301;2040;;173;0;87;;1;0;7;3;10;;267;0;3.8;3.4;69
196;Parallelle installaties;1992;2537;2020;;392;0;125;;0;0;7;3;9;;237;0;4.3;3.5;68
197;Parallelle installaties;1993;2525;1738;;604;0;181;;2;0;7;3;11;;233;0;4.1;4.2;66
198;Parallelle installaties;1995;2678;2046;;583;0;47;;2;0;7;3;10;;246;0;4.3;3.8;66
199;Parallelle installaties;1996;2420;1935;;462;0;23;;0;0;9;4;13;;309;0;4.6;4.5;66
200;Parallelle installaties;1997;2011;1723;;257;0;32;;0;0;10;3;13;;1941;0;4.3;3.4;56
201;Parallelle installaties;1998;2617;1570;;506;0;540;;0;0;14;3;17;;187;0;5.8;6.1;54
202;Parallelle installaties;1999;2664;2189;;155;0;318;;2;0;12;5;17;;322;0;7.6;6.0;45
203;Parallelle installaties;2000;3202;2719;;50;0;377;;56;0;17;6;24;;684;0;4.8;4.5;67
204;Parallelle installaties;2001;3055;2904;;106;0;45;;0;0;20;6;26;;708;0;6.2;4.8;54
205;Parallelle installaties;2002;6530;5760;;68;0;664;9.0;29;0;29;13;42;;1069;0;6.1;4.8;51
206;Parallelle installaties;2003;6079;4788;;125;0;1166;0.0;0;0;31;14;45;;1345;0;6.4;5.2;54
207;Parallelle installaties;2004;7787;6061;0.0;130;0;1550;0.0;46;0;38;13;50;71.0;983;0;5.9;5.5;57
