ID;Huishoudkenmerken;Perioden;Koelkast_1;Diepvriezer_2;Magnetronoven_3;Vaatwasmachine_4;Wasmachine_5;Centrifuge_6;Wasdroger_7;ElektrischeNaaimachine_8;ZwartWitTelevisie_9;Kleurentelevisie_10;Breedbeeldtelevisie_11;Videorecorder_12;Videocamera_13;DiaprojectorFilmprojector_14;HomeEnOfPersonalComputer_15;TvSpelcomputer_16;RadioOfTuner_17;AparteVersterker_18;BandOfCassetterecorderOfDeck_19;Platenspeler_20;CompactDiscSpeler_21;DigitaleAudioTapeDATRecorder_22;DigitaleCompactCassette_23;MiniDiscSpeler_24;DVDSpeler_25;CDReWriter_26;MP3Speler_27;Piano_28;Orgel_29;Keyboard_30;MuziekinstrumentEUR115_31;Bromfiets_32;MotorScooter_33;Auto_34;Bungalowtent_35;TourcaravanVouwwagen_36;Stacaravan_37;TweedeWoningVakantiehuisjeOfBung_38;Surfplank_39;ZeilbootOfMotorboot_40;SolariumZonnebank_41
0;1;1972;88.0;17.0;;6.0;86.0;;;;81.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1973;91.0;19.0;;5.0;86.0;;;;77.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;1974;92.0;25.0;;6.0;86.0;;;;69.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;1975;93.0;30.0;;8.0;86.0;;;;63.0;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;1976;96.0;36.0;;9.0;88.0;;;;57.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;1977;97.0;42.0;;9.0;88.0;49.0;8.0;63.0;54.0;52.0;;1.0;;27.0;;;95.0;;;;;;;;;;;8.0;6.0;;;21.0;2.0;65.0;8.0;6.0;3.0;3.0;;;
6;1;1978;97.0;43.0;;9.0;88.0;49.0;8.0;65.0;48.0;61.0;;1.0;;28.0;;;96.0;21.0;57.0;75.0;;;;;;;;7.0;8.0;;;18.0;2.0;68.0;9.0;7.0;2.0;2.0;;;
7;1;1979;97.0;44.0;;11.0;87.0;46.0;11.0;66.0;43.0;68.0;;1.0;;31.0;;;96.0;23.0;62.0;78.0;;;;;;;;6.0;9.0;;;16.0;2.0;69.0;9.0;7.0;2.0;2.0;;;
8;1;1980;98.0;46.0;;11.0;89.0;47.0;10.0;66.0;40.0;73.0;;2.0;;31.0;;;97.0;22.0;64.0;80.0;;;;;;;;8.0;8.0;;;14.0;2.0;71.0;9.0;8.0;3.0;2.0;;;
9;1;1981;97.0;45.0;;11.0;87.0;45.0;13.0;64.0;39.0;76.0;;3.0;;31.0;;;96.0;24.0;63.0;78.0;;;;;;;;7.0;8.0;;;12.0;2.0;70.0;8.0;8.0;2.0;2.0;;;
10;1;1982;98.0;48.0;;11.0;90.0;43.0;12.0;67.0;37.0;80.0;;7.0;;30.0;;;96.0;26.0;67.0;80.0;;;;;;;;8.0;11.0;;;11.0;2.0;71.0;8.0;9.0;2.0;2.0;;;
11;1;1983;98.0;46.0;;11.0;89.0;43.0;12.0;66.0;35.0;81.0;;10.0;;31.0;;;96.0;30.0;65.0;80.0;;;;;;;;8.0;9.0;;;11.0;2.0;68.0;8.0;9.0;2.0;2.0;;;
