ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenSBI2008;Perioden;VoertuigenInGebruik_1
0;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2009;166526
1;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2010;161673
2;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2011;159980
3;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2012;157630
4;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2013;156157
5;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2014;151723
6;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2015;152542
7;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2016;154900
8;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2017;157548
9;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2018;162028
10;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2019;166013
11;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2020;163628
12;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2009;13251
13;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2010;12755
14;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2011;12917
15;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2012;12596
16;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2013;12346
17;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2014;12229
18;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2015;11828
19;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2016;12079
20;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2017;12419
21;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2018;12378
22;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2019;12961
23;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2020;12633
24;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2009;119388
25;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2010;115585
26;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2011;113922
27;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2012;112355
28;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2013;111284
29;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2014;107583
30;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2015;108470
31;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2016;110042
32;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2017;111445
33;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2018;114401
34;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2019;116958
35;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2020;114340
36;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2009;9535
37;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2010;9080
38;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2011;8824
39;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2012;8989
40;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2013;9141
41;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2014;8613
42;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2015;8878
43;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2016;9198
44;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2017;9348
45;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2018;9845
46;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2019;10162
47;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2020;10106
48;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2009;2491
49;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2010;2494
50;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2011;2597
51;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2012;2566
52;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2013;2596
53;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2014;2426
54;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2015;2495
55;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2016;2562
56;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2017;2602
57;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2018;2706
58;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2019;2768
59;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2020;2929
60;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2009;3356
