ID;RedenBeeindiging;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal;Aa en Hunze;1e halfjaar 2015;400.0;15.0
1;Totaal;Aa en Hunze;2e halfjaar 2015;325.0;15.0
2;Totaal;Aa en Hunze;2015;705.0;30.0
3;Totaal;Aa en Hunze;1e halfjaar 2016;95.0;4.0
4;Totaal;Aa en Hunze;2e halfjaar 2016;680.0;27.0
5;Totaal;Aa en Hunze;2016;725.0;29.0
6;Totaal;Aa en Hunze;1e halfjaar 2017;310.0;12.0
7;Totaal;Aa en Hunze;2e halfjaar 2017;960.0;38.0
8;Totaal;Aa en Hunze;2017;1060.0;42.0
9;Totaal;Aa en Hunze;1e halfjaar 2018;495.0;19.0
10;Totaal;Aa en Hunze;2e halfjaar 2018;1035.0;41.0
11;Totaal;Aa en Hunze;2018;1205.0;47.0
12;Totaal;Aa en Hunze;1e halfjaar 2019;345.0;14.0
13;Totaal;Aa en Hunze;2e halfjaar 2019;1070.0;42.0
14;Totaal;Aa en Hunze;2019;1215.0;48.0
15;Totaal;Aa en Hunze;1e halfjaar 2020;765.0;30.0
16;Totaal;Aa en Hunze;2e halfjaar 2020;1220.0;48.0
17;Totaal;Aa en Hunze;2020;1385.0;54.0
18;Totaal;Aa en Hunze;1e halfjaar 2021;270.0;11.0
19;Totaal;Aa en Hunze;2e halfjaar 2021;1225.0;48.0
20;Totaal;Aa en Hunze;2021;1405.0;55.0
21;Totaal;Aa en Hunze;1e halfjaar 2022;235.0;9.0
22;Totaal;Aa en Hunze;2e halfjaar 2022;345.0;13.0
23;Totaal;Aa en Hunze;2022;540.0;21.0
24;Totaal;Aa en Hunze;1e halfjaar 2023;230.0;9.0
25;Totaal;Aa en Hunze;2e halfjaar 2023;905.0;35.0
26;Totaal;Aa en Hunze;2023;1070.0;42.0
27;Totaal;Aalburg;1e halfjaar 2015;;
28;Totaal;Aalburg;2e halfjaar 2015;;
29;Totaal;Aalburg;2015;;
30;Totaal;Aalburg;1e halfjaar 2016;90.0;7.0
31;Totaal;Aalburg;2e halfjaar 2016;75.0;6.0
32;Totaal;Aalburg;2016;150.0;12.0
33;Totaal;Aalburg;1e halfjaar 2017;105.0;8.0
34;Totaal;Aalburg;2e halfjaar 2017;95.0;7.0
35;Totaal;Aalburg;2017;180.0;14.0
36;Totaal;Aalburg;1e halfjaar 2018;110.0;8.0
37;Totaal;Aalburg;2e halfjaar 2018;505.0;38.0
38;Totaal;Aalburg;2018;560.0;43.0
39;Totaal;Aalburg;1e halfjaar 2019;;
40;Totaal;Aalburg;2e halfjaar 2019;;
41;Totaal;Aalburg;2019;;
42;Totaal;Aalburg;1e halfjaar 2020;;
43;Totaal;Aalburg;2e halfjaar 2020;;
44;Totaal;Aalburg;2020;;
45;Totaal;Aalburg;1e halfjaar 2021;;
46;Totaal;Aalburg;2e halfjaar 2021;;
47;Totaal;Aalburg;2021;;
48;Totaal;Aalburg;1e halfjaar 2022;;
49;Totaal;Aalburg;2e halfjaar 2022;;
50;Totaal;Aalburg;2022;;
