ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenBijstandsuitkering_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2005 september;399600
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2006 september;374200
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;0;2007 september;338540
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2005 september;47340
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2006 september;47700
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;1;2007 september;38690
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2005 september;44170
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2006 september;35560
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2;2007 september;29160
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2005 september;56910
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2006 september;51540
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5;2007 september;45120
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2005 september;41950
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2006 september;36740
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;6;2007 september;32920
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;7;2005 september;29150
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;7;2006 september;29560
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;7;2007 september;25660
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;9;2005 september;24420
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;9;2006 september;21690
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;9;2007 september;21720
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2005 september;155660
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2006 september;151420
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;5 jaar of langer;2007 september;145280
24;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2005 september;193130
25;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2006 september;178890
26;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;0;2007 september;160630
27;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2005 september;22910
