ID;Perioden;TotaalBegonnenZaken_1;HuurEnPachtzaken_2;Ontslagzaken_3;TotaalHandelszaken_4;Insolventies_5;OverigeHandelszaken_6;TotaalFamiliezaken_7;Adoptie_8;BOPZ_9;Curatele_10;Levensonderhoud_11;Omgangsregeling_12;Ondertoezichtstelling_13;EchtScheiding_14;Beheerszaken_15;Erfrecht_16;GezagOverMinderjarige_17;VerhaalBijstand_18;OverigeFamiliezaken_19;TotaalBeeindigdeZaken_20;TotaalBeeindigdeZakenMetBeschikking_21;HuurEnPachtzaken_22;Ontslagzaken_23;TotaalHandelszaken_24;Insolventies_25;OverigeHandelszaken_26;TotaalFamiliezaken_27;Adoptie_28;BOPZ_29;Curatele_30;Levensonderhoud_31;Omgangsregeling_32;Ondertoezichtstelling_33;EchtScheiding_34;Beheerszaken_35;Erfrecht_36;GezagOverMinderjarige_37;VerhaalBijstand_38;OverigeFamiliezaken_39;TotaalAndersBeeindigd_40
0;2010;473300;1100;22100;41100;31200;9900;408900;1000;21400;2900;10200;3900;52200;34700;179100;4200;8000;1300;90100;474800;443200;1000;19800;34500;24100;10400;388000;900;19900;2500;9500;3800;51000;33400;170500;3200;7400;1200;84600;31600
1;2011;502800;1100;19700;44000;36000;8000;438100;800;22500;3200;9700;3900;51800;34000;202700;4300;52700;1200;51100;491000;413200;800;17800;34100;28800;5300;360600;900;20700;2800;9600;3600;50400;33200;183000;3200;7200;1200;44600;77800
2;2012;534400;1000;21300;44500;36200;8300;467600;700;23500;3500;10200;3800;50000;36300;227200;4700;53700;1300;52600;522700;444200;800;18700;34700;29400;5300;390000;800;21400;2900;9200;3400;48500;34500;211200;3400;7000;1200;46400;78500
3;2013;557600;1000;12000;43600;35200;8400;501100;600;24700;3700;10800;3800;47000;36500;245000;5200;57400;1100;65200;533200;448500;800;10100;33500;28300;5200;404100;600;23000;3500;9900;3400;45700;35200;215700;3600;7200;1000;55300;84700
4;2014;600800;1200;8700;41200;32100;9000;549800;400;25200;4500;9600;2900;42100;37000;284700;5300;57500;1100;79600;585400;491200;900;7200;30800;25900;5000;452200;400;23500;4400;9800;2900;41000;36600;250900;3700;8400;1000;69500;94200
5;2015;629700;1200;8600;38800;29300;9400;581200;300;26500;4600;8900;2800;39300;36000;314600;5500;61200;800;80700;630300;529000;1000;5600;28200;22900;5300;494300;300;24500;4600;8800;2500;38200;36000;292200;3600;11300;800;71600;101200
