ID;Toepassingsgebieden;Perioden;TotaalSmeermiddelenEnVetten_1;Mineraal_2;Synthetisch_3;Smeervetten_4
0;Totaal alle toepassingsgebieden;2000 1e kwartaal;40626;35266;4155;1205
1;Totaal alle toepassingsgebieden;2000 2e kwartaal;36460;32276;2781;1403
2;Totaal alle toepassingsgebieden;2000 1e halfjaar;77086;67542;6936;2608
3;Totaal alle toepassingsgebieden;2000 3e kwartaal;34671;30292;3243;1136
4;Totaal alle toepassingsgebieden;2000 4e kwartaal;42928;38672;2933;1323
5;Totaal alle toepassingsgebieden;2000 2e halfjaar;77599;68964;6176;2459
6;Totaal alle toepassingsgebieden;2000;154685;136506;13112;5067
7;Totaal alle toepassingsgebieden;2001 1e kwartaal;38539;34343;3015;1181
8;Totaal alle toepassingsgebieden;2001 2e kwartaal;38076;33948;2965;1163
9;Totaal alle toepassingsgebieden;2001 1e halfjaar;76615;68291;5980;2344
10;Totaal alle toepassingsgebieden;2001 3e kwartaal;36740;32616;2928;1196
11;Totaal alle toepassingsgebieden;2001 4e kwartaal;41810;37037;3535;1238
12;Totaal alle toepassingsgebieden;2001 2e halfjaar;78550;69672;6444;2434
13;Totaal alle toepassingsgebieden;2001;155165;137911;12476;4778
14;Totaal alle toepassingsgebieden;2002 1e kwartaal;39899;35845;2812;1242
15;Totaal alle toepassingsgebieden;2002 2e kwartaal;42101;37366;3455;1280
16;Totaal alle toepassingsgebieden;2002 1e halfjaar;82000;73211;6267;2522
17;Totaal alle toepassingsgebieden;2002 3e kwartaal;38334;34186;3003;1145
18;Totaal alle toepassingsgebieden;2002 4e kwartaal;32360;28795;2662;903
19;Totaal alle toepassingsgebieden;2002 2e halfjaar;70694;62981;5665;2048
20;Totaal alle toepassingsgebieden;2002;152694;136192;11932;4570
21;Totaal alle toepassingsgebieden;2003 1e kwartaal;31726;28150;2668;908
22;Totaal alle toepassingsgebieden;2003 2e kwartaal;39702;34823;3643;1236
23;Totaal alle toepassingsgebieden;2003 1e halfjaar;71428;62973;6311;2144
24;Totaal alle toepassingsgebieden;2003 3e kwartaal;29832;25789;3009;1034
25;Totaal alle toepassingsgebieden;2003 4e kwartaal;40431;35048;4113;1270
26;Totaal alle toepassingsgebieden;2003 2e halfjaar;70263;60837;7122;2304
27;Totaal alle toepassingsgebieden;2003;141691;123810;13433;4448
28;Wegverkeer;2000 1e kwartaal;11015;8748;2093;174
29;Wegverkeer;2000 2e kwartaal;10272;8579;1499;194
30;Wegverkeer;2000 1e halfjaar;21287;17327;3592;368
31;Wegverkeer;2000 3e kwartaal;9660;7682;1777;201
32;Wegverkeer;2000 4e kwartaal;11511;9702;1625;184
33;Wegverkeer;2000 2e halfjaar;21171;17384;3402;385
34;Wegverkeer;2000;42458;34711;6994;753
35;Wegverkeer;2001 1e kwartaal;10466;8815;1448;203
36;Wegverkeer;2001 2e kwartaal;10523;8854;1464;205
37;Wegverkeer;2001 1e halfjaar;20989;17669;2912;408
38;Wegverkeer;2001 3e kwartaal;10053;8347;1496;210
