ID;Geslacht;Leeftijden;Perioden;PersonenMetEenBetalingsachterstand_1;PersMetBetalingsachterstandRelatief_2
0;Totaal mannen en vrouwen;20300;2010;244210;1.9
1;Totaal mannen en vrouwen;20300;2011;274750;2.1
2;Totaal mannen en vrouwen;20300;2012;278670;2.1
3;Totaal mannen en vrouwen;20300;2013;282440;2.1
4;Totaal mannen en vrouwen;20300;2014;298240;2.2
5;Totaal mannen en vrouwen;20300;2015;282190;2.1
6;Totaal mannen en vrouwen;20300;2016;249930;1.8
7;Totaal mannen en vrouwen;20300;2017;229870;1.7
8;Totaal mannen en vrouwen;20300;2018;206100;1.5
9;Totaal mannen en vrouwen;20300;2019;190250;1.4
10;Totaal mannen en vrouwen;20300;2020;174720;1.2
11;Totaal mannen en vrouwen;20300;2021;161900;1.1
12;Totaal mannen en vrouwen;20300;2022;158980;1.1
13;Totaal mannen en vrouwen;20300;2023;166070;1.1
14;Totaal mannen en vrouwen;52100;2010;4910;1.2
15;Totaal mannen en vrouwen;52100;2011;5370;1.3
16;Totaal mannen en vrouwen;52100;2012;4790;1.2
17;Totaal mannen en vrouwen;52100;2013;3270;0.8
18;Totaal mannen en vrouwen;52100;2014;3300;0.8
19;Totaal mannen en vrouwen;52100;2015;2840;0.7
20;Totaal mannen en vrouwen;52100;2016;2600;0.6
21;Totaal mannen en vrouwen;52100;2017;2430;0.6
22;Totaal mannen en vrouwen;52100;2018;2310;0.5
23;Totaal mannen en vrouwen;52100;2019;2300;0.5
24;Totaal mannen en vrouwen;52100;2020;1940;0.4
25;Totaal mannen en vrouwen;52100;2021;1490;0.3
26;Totaal mannen en vrouwen;52100;2022;1690;0.4
27;Totaal mannen en vrouwen;52100;2023;1680;0.4
28;Totaal mannen en vrouwen;70500;2010;34660;3.3
29;Totaal mannen en vrouwen;70500;2011;38020;3.6
30;Totaal mannen en vrouwen;70500;2012;36630;3.5
31;Totaal mannen en vrouwen;70500;2013;34120;3.2
32;Totaal mannen en vrouwen;70500;2014;34310;3.2
33;Totaal mannen en vrouwen;70500;2015;30510;2.9
34;Totaal mannen en vrouwen;70500;2016;25460;2.4
35;Totaal mannen en vrouwen;70500;2017;22950;2.1
36;Totaal mannen en vrouwen;70500;2018;20920;1.9
37;Totaal mannen en vrouwen;70500;2019;19740;1.8
38;Totaal mannen en vrouwen;70500;2020;18710;1.7
39;Totaal mannen en vrouwen;70500;2021;17720;1.6
40;Totaal mannen en vrouwen;70500;2022;18000;1.5
41;Totaal mannen en vrouwen;70500;2023;19400;1.6
42;Totaal mannen en vrouwen;70600;2010;37460;3.7
43;Totaal mannen en vrouwen;70600;2011;41420;4.1
44;Totaal mannen en vrouwen;70600;2012;41020;4.0
45;Totaal mannen en vrouwen;70600;2013;42760;4.1
46;Totaal mannen en vrouwen;70600;2014;44140;4.2
47;Totaal mannen en vrouwen;70600;2015;41540;3.9
48;Totaal mannen en vrouwen;70600;2016;36030;3.3
49;Totaal mannen en vrouwen;70600;2017;32210;2.9
50;Totaal mannen en vrouwen;70600;2018;28580;2.5
51;Totaal mannen en vrouwen;70600;2019;25830;2.3
52;Totaal mannen en vrouwen;70600;2020;23360;2.1
53;Totaal mannen en vrouwen;70600;2021;21980;1.9
54;Totaal mannen en vrouwen;70600;2022;21840;1.9
55;Totaal mannen en vrouwen;70600;2023;23620;2.0
56;Totaal mannen en vrouwen;70700;2010;31490;3.1
57;Totaal mannen en vrouwen;70700;2011;35550;3.5
58;Totaal mannen en vrouwen;70700;2012;36640;3.6
59;Totaal mannen en vrouwen;70700;2013;38500;3.8
60;Totaal mannen en vrouwen;70700;2014;40990;4.0
61;Totaal mannen en vrouwen;70700;2015;39020;3.8
62;Totaal mannen en vrouwen;70700;2016;35260;3.4
63;Totaal mannen en vrouwen;70700;2017;32350;3.1
64;Totaal mannen en vrouwen;70700;2018;28990;2.7
65;Totaal mannen en vrouwen;70700;2019;26900;2.4
66;Totaal mannen en vrouwen;70700;2020;24610;2.2
67;Totaal mannen en vrouwen;70700;2021;23170;2.0
68;Totaal mannen en vrouwen;70700;2022;22980;1.9
69;Totaal mannen en vrouwen;70700;2023;23990;2.0
70;Totaal mannen en vrouwen;70800;2010;29950;2.7
71;Totaal mannen en vrouwen;70800;2011;31840;3.0
72;Totaal mannen en vrouwen;70800;2012;31350;3.0
73;Totaal mannen en vrouwen;70800;2013;32120;3.2
74;Totaal mannen en vrouwen;70800;2014;33970;3.4
75;Totaal mannen en vrouwen;70800;2015;32800;3.2
76;Totaal mannen en vrouwen;70800;2016;29800;2.9
77;Totaal mannen en vrouwen;70800;2017;28070;2.7
78;Totaal mannen en vrouwen;70800;2018;25600;2.5
79;Totaal mannen en vrouwen;70800;2019;24070;2.3
80;Totaal mannen en vrouwen;70800;2020;22430;2.1
81;Totaal mannen en vrouwen;70800;2021;21130;2.0
82;Totaal mannen en vrouwen;70800;2022;20780;1.9
83;Totaal mannen en vrouwen;70800;2023;22180;2.0
84;Totaal mannen en vrouwen;70900;2010;30130;2.3
85;Totaal mannen en vrouwen;70900;2011;34210;2.7
86;Totaal mannen en vrouwen;70900;2012;34840;2.7
87;Totaal mannen en vrouwen;70900;2013;34810;2.8
88;Totaal mannen en vrouwen;70900;2014;35470;3.0
89;Totaal mannen en vrouwen;70900;2015;32450;2.9
90;Totaal mannen en vrouwen;70900;2016;27670;2.6
91;Totaal mannen en vrouwen;70900;2017;24670;2.4
92;Totaal mannen en vrouwen;70900;2018;21880;2.1
93;Totaal mannen en vrouwen;70900;2019;20100;2.0
94;Totaal mannen en vrouwen;70900;2020;18960;1.8
95;Totaal mannen en vrouwen;70900;2021;17710;1.7
96;Totaal mannen en vrouwen;70900;2022;17570;1.7
97;Totaal mannen en vrouwen;70900;2023;18670;1.7
98;Totaal mannen en vrouwen;71000;2010;27490;2.1
99;Totaal mannen en vrouwen;71000;2011;30900;2.4
100;Totaal mannen en vrouwen;71000;2012;31540;2.4
101;Totaal mannen en vrouwen;71000;2013;31900;2.5
102;Totaal mannen en vrouwen;71000;2014;33790;2.6
103;Totaal mannen en vrouwen;71000;2015;32200;2.5
104;Totaal mannen en vrouwen;71000;2016;28940;2.3
105;Totaal mannen en vrouwen;71000;2017;26840;2.1
106;Totaal mannen en vrouwen;71000;2018;23360;1.9
107;Totaal mannen en vrouwen;71000;2019;20640;1.7
108;Totaal mannen en vrouwen;71000;2020;18050;1.6
109;Totaal mannen en vrouwen;71000;2021;15710;1.4
110;Totaal mannen en vrouwen;71000;2022;14730;1.4
111;Totaal mannen en vrouwen;71000;2023;14970;1.4
112;Totaal mannen en vrouwen;71100;2010;20460;1.7
113;Totaal mannen en vrouwen;71100;2011;24220;2.0
114;Totaal mannen en vrouwen;71100;2012;25680;2.1
115;Totaal mannen en vrouwen;71100;2013;26580;2.1
116;Totaal mannen en vrouwen;71100;2014;28990;2.3
117;Totaal mannen en vrouwen;71100;2015;27870;2.2
118;Totaal mannen en vrouwen;71100;2016;24720;1.9
119;Totaal mannen en vrouwen;71100;2017;22530;1.8
120;Totaal mannen en vrouwen;71100;2018;19950;1.6
121;Totaal mannen en vrouwen;71100;2019;18350;1.4
122;Totaal mannen en vrouwen;71100;2020;16730;1.3
123;Totaal mannen en vrouwen;71100;2021;15420;1.2
124;Totaal mannen en vrouwen;71100;2022;14650;1.1
125;Totaal mannen en vrouwen;71100;2023;14530;1.2
126;Totaal mannen en vrouwen;71200;2010;12850;1.2
127;Totaal mannen en vrouwen;71200;2011;15400;1.4
128;Totaal mannen en vrouwen;71200;2012;16600;1.5
129;Totaal mannen en vrouwen;71200;2013;17480;1.5
130;Totaal mannen en vrouwen;71200;2014;19530;1.7
131;Totaal mannen en vrouwen;71200;2015;19350;1.7
132;Totaal mannen en vrouwen;71200;2016;17820;1.5
133;Totaal mannen en vrouwen;71200;2017;16790;1.4
134;Totaal mannen en vrouwen;71200;2018;15360;1.2
135;Totaal mannen en vrouwen;71200;2019;14100;1.1
136;Totaal mannen en vrouwen;71200;2020;12810;1.0
137;Totaal mannen en vrouwen;71200;2021;11670;0.9
138;Totaal mannen en vrouwen;71200;2022;11070;0.9
139;Totaal mannen en vrouwen;71200;2023;11070;0.9
140;Totaal mannen en vrouwen;71300;2010;8290;0.8
141;Totaal mannen en vrouwen;71300;2011;9480;0.9
142;Totaal mannen en vrouwen;71300;2012;10030;1.0
143;Totaal mannen en vrouwen;71300;2013;10500;1.0
144;Totaal mannen en vrouwen;71300;2014;11730;1.1
145;Totaal mannen en vrouwen;71300;2015;11430;1.1
146;Totaal mannen en vrouwen;71300;2016;10520;1.0
147;Totaal mannen en vrouwen;71300;2017;10210;0.9
148;Totaal mannen en vrouwen;71300;2018;9310;0.8
149;Totaal mannen en vrouwen;71300;2019;8830;0.8
150;Totaal mannen en vrouwen;71300;2020;8380;0.7
151;Totaal mannen en vrouwen;71300;2021;7740;0.7
152;Totaal mannen en vrouwen;71300;2022;7570;0.6
153;Totaal mannen en vrouwen;71300;2023;7630;0.6
154;Totaal mannen en vrouwen;71400;2010;3620;0.5
155;Totaal mannen en vrouwen;71400;2011;4860;0.6
156;Totaal mannen en vrouwen;71400;2012;5700;0.6
