ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
0;Total natural persons;Nederland, Abroad, Unclassifiable;1981 January;
1;Total natural persons;Nederland, Abroad, Unclassifiable;1981 February;
2;Total natural persons;Nederland, Abroad, Unclassifiable;1981 March;
3;Total natural persons;Nederland, Abroad, Unclassifiable;1981 1st quarter;
4;Total natural persons;Nederland, Abroad, Unclassifiable;1981 April;
5;Total natural persons;Nederland, Abroad, Unclassifiable;1981 May;
6;Total natural persons;Nederland, Abroad, Unclassifiable;1981 June;
7;Total natural persons;Nederland, Abroad, Unclassifiable;1981 2nd quarter;
8;Total natural persons;Nederland, Abroad, Unclassifiable;1981 July;
9;Total natural persons;Nederland, Abroad, Unclassifiable;1981 August;
10;Total natural persons;Nederland, Abroad, Unclassifiable;1981 September;
11;Total natural persons;Nederland, Abroad, Unclassifiable;1981 3rd quarter;
12;Total natural persons;Nederland, Abroad, Unclassifiable;1981 October;
13;Total natural persons;Nederland, Abroad, Unclassifiable;1981 November;
14;Total natural persons;Nederland, Abroad, Unclassifiable;1981 December;
15;Total natural persons;Nederland, Abroad, Unclassifiable;1981 4th quarter;
16;Total natural persons;Nederland, Abroad, Unclassifiable;1981;
17;Total natural persons;Nederland, Abroad, Unclassifiable;1982 January;
18;Total natural persons;Nederland, Abroad, Unclassifiable;1982 February;
19;Total natural persons;Nederland, Abroad, Unclassifiable;1982 March;
20;Total natural persons;Nederland, Abroad, Unclassifiable;1982 1st quarter;
21;Total natural persons;Nederland, Abroad, Unclassifiable;1982 April;
22;Total natural persons;Nederland, Abroad, Unclassifiable;1982 May;
23;Total natural persons;Nederland, Abroad, Unclassifiable;1982 June;
24;Total natural persons;Nederland, Abroad, Unclassifiable;1982 2nd quarter;
25;Total natural persons;Nederland, Abroad, Unclassifiable;1982 July;
26;Total natural persons;Nederland, Abroad, Unclassifiable;1982 August;
27;Total natural persons;Nederland, Abroad, Unclassifiable;1982 September;
28;Total natural persons;Nederland, Abroad, Unclassifiable;1982 3rd quarter;
29;Total natural persons;Nederland, Abroad, Unclassifiable;1982 October;
30;Total natural persons;Nederland, Abroad, Unclassifiable;1982 November;
31;Total natural persons;Nederland, Abroad, Unclassifiable;1982 December;
32;Total natural persons;Nederland, Abroad, Unclassifiable;1982 4th quarter;
33;Total natural persons;Nederland, Abroad, Unclassifiable;1982;
34;Total natural persons;Nederland, Abroad, Unclassifiable;1983 January;
35;Total natural persons;Nederland, Abroad, Unclassifiable;1983 February;
36;Total natural persons;Nederland, Abroad, Unclassifiable;1983 March;
37;Total natural persons;Nederland, Abroad, Unclassifiable;1983 1st quarter;
38;Total natural persons;Nederland, Abroad, Unclassifiable;1983 April;
39;Total natural persons;Nederland, Abroad, Unclassifiable;1983 May;
40;Total natural persons;Nederland, Abroad, Unclassifiable;1983 June;
41;Total natural persons;Nederland, Abroad, Unclassifiable;1983 2nd quarter;
42;Total natural persons;Nederland, Abroad, Unclassifiable;1983 July;
43;Total natural persons;Nederland, Abroad, Unclassifiable;1983 August;
44;Total natural persons;Nederland, Abroad, Unclassifiable;1983 September;
45;Total natural persons;Nederland, Abroad, Unclassifiable;1983 3rd quarter;
46;Total natural persons;Nederland, Abroad, Unclassifiable;1983 October;
47;Total natural persons;Nederland, Abroad, Unclassifiable;1983 November;
48;Total natural persons;Nederland, Abroad, Unclassifiable;1983 December;
49;Total natural persons;Nederland, Abroad, Unclassifiable;1983 4th quarter;
50;Total natural persons;Nederland, Abroad, Unclassifiable;1983;
51;Total natural persons;Nederland, Abroad, Unclassifiable;1984 January;
52;Total natural persons;Nederland, Abroad, Unclassifiable;1984 February;
53;Total natural persons;Nederland, Abroad, Unclassifiable;1984 March;
54;Total natural persons;Nederland, Abroad, Unclassifiable;1984 1st quarter;
55;Total natural persons;Nederland, Abroad, Unclassifiable;1984 April;
56;Total natural persons;Nederland, Abroad, Unclassifiable;1984 May;
57;Total natural persons;Nederland, Abroad, Unclassifiable;1984 June;
58;Total natural persons;Nederland, Abroad, Unclassifiable;1984 2nd quarter;
59;Total natural persons;Nederland, Abroad, Unclassifiable;1984 July;
60;Total natural persons;Nederland, Abroad, Unclassifiable;1984 August;
61;Total natural persons;Nederland, Abroad, Unclassifiable;1984 September;
62;Total natural persons;Nederland, Abroad, Unclassifiable;1984 3rd quarter;
63;Total natural persons;Nederland, Abroad, Unclassifiable;1984 October;
64;Total natural persons;Nederland, Abroad, Unclassifiable;1984 November;
65;Total natural persons;Nederland, Abroad, Unclassifiable;1984 December;
66;Total natural persons;Nederland, Abroad, Unclassifiable;1984 4th quarter;
67;Total natural persons;Nederland, Abroad, Unclassifiable;1984;
68;Total natural persons;Nederland, Abroad, Unclassifiable;1985 January;
69;Total natural persons;Nederland, Abroad, Unclassifiable;1985 February;
70;Total natural persons;Nederland, Abroad, Unclassifiable;1985 March;
71;Total natural persons;Nederland, Abroad, Unclassifiable;1985 1st quarter;
72;Total natural persons;Nederland, Abroad, Unclassifiable;1985 April;
73;Total natural persons;Nederland, Abroad, Unclassifiable;1985 May;
74;Total natural persons;Nederland, Abroad, Unclassifiable;1985 June;
75;Total natural persons;Nederland, Abroad, Unclassifiable;1985 2nd quarter;
76;Total natural persons;Nederland, Abroad, Unclassifiable;1985 july;
77;Total natural persons;Nederland, Abroad, Unclassifiable;1985 August;
78;Total natural persons;Nederland, Abroad, Unclassifiable;1985 September;
79;Total natural persons;Nederland, Abroad, Unclassifiable;1985 3rd quarter;
80;Total natural persons;Nederland, Abroad, Unclassifiable;1985 October;
81;Total natural persons;Nederland, Abroad, Unclassifiable;1985 November;
82;Total natural persons;Nederland, Abroad, Unclassifiable;1985 December;
83;Total natural persons;Nederland, Abroad, Unclassifiable;1985 4th quarter;
84;Total natural persons;Nederland, Abroad, Unclassifiable;1985;
85;Total natural persons;Nederland, Abroad, Unclassifiable;1986 January;
