ID;WijkenEnBuurten1995;Regioaanduiding_1;Gemeentenaam_2;Gemeentecode_3;Wijkcode_4;Stedelijkheid_5;Buurtcode_6;OmgevingsadressendichtheidPerKm2_7;MeestVoorkomendeNumeriekePostcode_8;AdressenMetDezelfdePostcode_9;AantalInwoners_10;Mannen_11;Vrouwen_12;Leeftijd014Jaar_13;Leeftijd1524Jaar_14;Leeftijd2544Jaar_15;Leeftijd4564Jaar_16;Leeftijd65JaarEnOuder_17;AantalGezinnen_18;NietInGezinsverbandLevendePersonen_19;GezinnenMetKinderen_20;GemiddeldeGezinsgrootte_21;Bevolkingsdichtheid_22;Allochtonen_23;GemiddeldBesteedbaarInkomenPerInw_24;GemiddeldInkomenPerInkomensontvanger_25;InkomensontvangersMetLaagInkomen_26;InkomensontvangersMetHoogInkomen_27;NietActieveInkomensontvangers_28;TotaleOppervlakteInKm2_29;OppervlakteLandInKm2_30;Woningvoorraad_31;AantalVestigingenVanBedrijven_32;Nijverheid_33;TotaalCommercieleDienstverlening_34;Groothandel_35;Detailhandel_36;Horeca_37;OverigeDienstverlening_38;ZakelijkeDienstverlening_39;OverigeDienstverlening_40
0;3;G;Appingedam                              ;3;  ;4.0;  ;921.0;;;12400;5970;6430;16.0;13.0;29.0;24.0;18.0;3310.0;21.0;58.0;2.9;520;3.0;8168.0;12524.0;45.0;15.0;23.0;24.6;23.9;5320;6;16.0;66.0;4.0;33.0;8.0;19.0;6.0;15.0
1;300;W;Appingedam                              ;3;00;4.0;  ;929.0;;;12410;5970;6430;16.0;13.0;29.0;24.0;18.0;3320.0;21.0;58.0;2.9;510;3.0;8168.0;12524.0;45.0;15.0;23.0;24.6;23.9;5310;6;16.0;66.0;4.0;33.0;8.0;19.0;6.0;15.0
2;30000;B;Appingedam                              ;3;00;3.0;00;1003.0;9901.0;1.0;2310;1050;1270;11.0;12.0;25.0;23.0;29.0;580.0;32.0;48.0;2.7;2800;;9234.0;12502.0;43.0;14.0;21.0;0.9;0.8;1200;5;9.0;76.0;1.0;48.0;11.0;15.0;4.0;11.0
3;30001;B;Appingedam                              ;3;00;4.0;01;702.0;9903.0;5.0;2730;1370;1350;18.0;13.0;32.0;24.0;12.0;790.0;13.0;61.0;3.0;1780;1.0;8554.0;14226.0;38.0;22.0;15.0;1.6;1.5;1040;3;;;;;;;;
4;30002;B;Appingedam                              ;3;00;3.0;02;1028.0;9902.0;1.0;6910;3310;3590;17.0;14.0;29.0;24.0;16.0;1830.0;22.0;60.0;3.0;2420;4.0;7533.0;11685.0;50.0;12.0;28.0;3.0;2.9;2900;4;17.0;55.0;4.0;20.0;5.0;27.0;4.0;23.0
5;30007;B;Appingedam                              ;3;00;5.0;07;152.0;9902.0;5.0;160;90;80;18.0;11.0;40.0;21.0;9.0;50.0;17.0;;;30;;10845.0;17584.0;;;;5.6;5.5;60;1;;;;;;;;
6;30008;B;Appingedam                              ;3;00;5.0;08;55.0;9902.0;1.0;120;60;60;17.0;;34.0;30.0;;40.0;14.0;;;30;;10891.0;16949.0;;44.0;;5.9;5.6;40;1;;;;;;;;
7;30009;B;Appingedam                              ;3;00;5.0;09;119.0;9901.0;1.0;170;80;80;18.0;16.0;26.0;34.0;7.0;40.0;16.0;;;20;;9938.0;16813.0;;30.0;;7.7;7.6;70;1;;;;;;;;
8;5;G;Bedum                                   ;5;  ;4.0;  ;525.0;;;10550;5310;5240;22.0;14.0;31.0;22.0;11.0;2780.0;14.0;66.0;3.3;240;0.0;7964.0;13681.0;38.0;21.0;16.0;45.0;44.5;3840;6;21.0;57.0;7.0;19.0;5.0;22.0;8.0;18.0
9;500;W;Bedum                                   ;5;00;4.0;  ;547.0;;;10550;5310;5240;22.0;14.0;31.0;22.0;11.0;2780.0;14.0;66.0;3.3;240;0.0;7987.0;13704.0;38.0;21.0;17.0;45.0;44.5;3830;6;21.0;57.0;7.0;19.0;5.0;22.0;8.0;18.0
