ID;RegioS;Perioden;ConsumentenvertrouwenIndicator_1;EconomischeSituatieLaatste12Maanden_2;EconomischeSituatieKomende12Maanden_3;FinancieleSituatieLaatste12Maanden_4;FinancieleSituatieKomende12Maanden_5;GunstigeTijdVoorGroteAankopen_6;EconomischKlimaatIndicator_7;EconomischeSituatieLaatste12Maanden_8;EconomischeSituatieKomende12Maanden_9;KoopbereidheidIndicator_10;FinancieleSituatieLaatste12Maanden_11;FinancieleSituatieKomende12Maanden_12;GunstigeTijdVoorGroteAankopen_13;TotaalEconomischeSitLaatste12Mnd_14;DuidelijkVerbeteren_15;IetsVerbeteren_16;Ongewijzigd_17;IetsVerslechterd_18;DuidelijkVerslechterd_19;WeetNiet_20;TotaalEconomischeSitKomende12Mnd_21;DuidelijkVerbeteren_22;IetsVerbeteren_23;OngewijzigdBlijven_24;IetsVerslechteren_25;DuidelijkVerslechteren_26;WeetNiet_27;TotaalFinancieleSitLaatste12Mnd_28;DuidelijkVerbeterd_29;IetsVerbeterd_30;Ongewijzigd_31;IetsVerslechterd_32;DuidelijkVerslechterd_33;WeetNiet_34;TotaalFinancieleSitKomende12Mnd_35;DuidelijkVerbeteren_36;IetsVerbeteren_37;OngewijzigdBlijven_38;IetsVerslechteren_39;DuidelijkVerslechteren_40;WeetNiet_41;TotaalGunstigeTijdVoorAankoopArt_42;GunstigeTijd_43;NietGunstigOngunstig_44;OngunstigeTijd_45;WeetNiet_46;TotaalPrijzenLaatste12Mnd_47;SterkGestegen_48;MatigGestegen_49;ZwakGestegen_50;VrijwelGelijkGebleven_51;Gedaald_52;WeetNiet_53;TotaalPrijzenKomende12Mnd_54;SterkerStijgen_55;EvenveelStijgen_56;MinderStijgen_57;GelijkBlijven_58;Dalen_59;WeetNiet_60;TotaalWerkloosheidKomende12Mnd_61;DuidelijkStijgen_62;EnigszinsStijgen_63;GelijkBlijven_64;IetsDalen_65;DuidelijkDalen_66;WeetNiet_67;TotaalFinancieleSituatieEigenHuish_68;SchuldenMaken_69;SpaarmiddelenAanspreken_70;PreciesRondkomen_71;BeetjeGeldOverhouden_72;VeelGeldOverhouden_73;WeetNiet_74;TotaalGeldOpzijLeggenKomende12Mnd_75;Jazeker_76;JaMisschien_77;WaarschijnlijkNiet_78;ZekerNiet_79;WeetNiet_80;TotaalSparenZinvol_81;Jazeker_82;JaMisschien_83;WaarschijnlijkNiet_84;ZekerNiet_85;WeetNiet_86;TotaalAankoopDuurzameArtKomendJaar_87;VeelMeer_88;EenBeetjeMeer_89;Evenveel_90;IetsMinder_91;VeelMinder_92;WeetNiet_93;TotaalAutoKopenKomende2Jaren_94;Jazeker_95;JaMisschien_96;WaarschijnlijkNiet_97;ZekerNiet_98;WeetNiet_99;TotaalWoningKopenOfBouwenKom2Jr_100;Jazeker_101;JaMisschien_102;WaarschijnlijkNiet_103;ZekerNiet_104;WeetNiet_105;TotaalOnderhoudOfVerbeteringWoning_106;Jazeker_107;JaMisschien_108;WaarschijnlijkNiet_109;ZekerNiet_110;WeetNiet_111;TotaalWaaropBezuinBijDalingInkomen_112;VoedingDrankenTabak_113;KledingSchoeisel_114;Auto_115;VakantieUitgaan_116;DuurzameArtikelen_117;OverigeBezuinigingen_118;WeetNiet_119;TotaalWaaropBezuinBijDalingInkomen_120;VoedingDrankenTabak_121;KledingSchoeisel_122;AutoEnVervoer_123;Vakantie_124;RecreatieEnCultuur_125;Overig_126;OpAllesOpNiets_127;WeetNiet_128
0;Nederland;2002 1e kwartaal;-5.0;-38.0;-3.0;9.0;11.0;-3.0;-21.0;-38.0;-3.0;6.0;9.0;11.0;-3.0;100.0;1.0;5.0;43.0;30.0;15.0;5.0;100.0;4.0;18.0;43.0;19.0;7.0;9.0;100.0;12.0;14.0;57.0;9.0;7.0;1.0;100.0;8.0;13.0;64.0;8.0;3.0;4.0;100.0;19.0;47.0;22.0;12.0;100.0;34.0;44.0;9.0;11.0;0.0;1.0;100.0;17.0;28.0;10.0;39.0;2.0;5.0;100.0;12.0;29.0;39.0;9.0;2.0;8.0;100.0;2.0;3.0;38.0;40.0;16.0;2.0;100.0;60.0;12.0;7.0;17.0;4.0;100.0;74.0;7.0;5.0;12.0;3.0;100.0;7.0;9.0;53.0;12.0;16.0;4.0;100.0;15.0;10.0;17.0;56.0;2.0;100.0;5.0;6.0;7.0;80.0;2.0;100.0;25.0;6.0;7.0;62.0;1.0;100.0;7.0;9.0;11.0;18.0;20.0;22.0;13.0;;;;;;;;;
1;Nederland;2002 2e kwartaal;-17.0;-54.0;-14.0;-6.0;7.0;-19.0;-34.0;-54.0;-14.0;-6.0;-6.0;7.0;-19.0;100.0;1.0;3.0;33.0;33.0;25.0;5.0;100.0;2.0;13.0;44.0;21.0;9.0;11.0;100.0;9.0;12.0;51.0;16.0;11.0;1.0;100.0;6.0;13.0;65.0;8.0;4.0;3.0;100.0;13.0;44.0;32.0;12.0;100.0;63.0;30.0;4.0;2.0;0.0;1.0;100.0;8.0;22.0;12.0;50.0;2.0;5.0;100.0;13.0;30.0;37.0;8.0;2.0;9.0;100.0;2.0;3.0;41.0;38.0;14.0;2.0;100.0;55.0;14.0;8.0;20.0;4.0;100.0;72.0;9.0;4.0;12.0;3.0;100.0;5.0;7.0;55.0;12.0;18.0;3.0;100.0;13.0;10.0;17.0;58.0;2.0;100.0;4.0;5.0;7.0;82.0;1.0;100.0;25.0;6.0;7.0;62.0;1.0;100.0;7.0;9.0;11.0;20.0;20.0;20.0;13.0;;;;;;;;;
2;Nederland;2002 3e kwartaal;-27.0;-68.0;-28.0;-13.0;4.0;-32.0;-48.0;-68.0;-28.0;-14.0;-13.0;4.0;-32.0;100.0;0.0;2.0;24.0;32.0;38.0;4.0;100.0;2.0;10.0;39.0;25.0;16.0;7.0;100.0;8.0;9.0;53.0;16.0;14.0;1.0;100.0;7.0;11.0;66.0;8.0;5.0;3.0;100.0;9.0;40.0;41.0;10.0;100.0;71.0;25.0;3.0;2.0;0.0;0.0;100.0;6.0;19.0;14.0;54.0;4.0;4.0;100.0;28.0;35.0;24.0;4.0;2.0;7.0;100.0;2.0;4.0;42.0;36.0;15.0;1.0;100.0;56.0;12.0;8.0;21.0;3.0;100.0;74.0;7.0;5.0;11.0;3.0;100.0;5.0;6.0;53.0;13.0;20.0;3.0;100.0;15.0;10.0;15.0;58.0;2.0;100.0;4.0;6.0;6.0;81.0;2.0;100.0;23.0;5.0;7.0;64.0;1.0;100.0;7.0;9.0;9.0;20.0;24.0;19.0;12.0;;;;;;;;;
3;Nederland;2002 4e kwartaal;-32.0;-76.0;-31.0;-17.0;0.0;-35.0;-54.0;-76.0;-31.0;-17.0;-17.0;0.0;-35.0;100.0;1.0;1.0;17.0;31.0;46.0;3.0;100.0;1.0;10.0;39.0;25.0;17.0;8.0;100.0;6.0;8.0;54.0;18.0;13.0;1.0;100.0;5.0;11.0;65.0;10.0;6.0;4.0;100.0;9.0;40.0;44.0;8.0;100.0;73.0;23.0;2.0;2.0;0.0;0.0;100.0;7.0;20.0;17.0;50.0;3.0;4.0;100.0;37.0;34.0;19.0;4.0;1.0;5.0;100.0;2.0;5.0;41.0;36.0;15.0;2.0;100.0;55.0;14.0;8.0;20.0;4.0;100.0;75.0;6.0;5.0;12.0;2.0;100.0;5.0;6.0;55.0;12.0;19.0;3.0;100.0;15.0;10.0;16.0;57.0;2.0;100.0;4.0;6.0;6.0;83.0;1.0;100.0;23.0;5.0;6.0;65.0;1.0;100.0;6.0;9.0;10.0;19.0;25.0;19.0;13.0;;;;;;;;;
4;Nederland;2002;-20.0;-59.0;-19.0;-7.0;6.0;-22.0;-39.0;-59.0;-19.0;-8.0;-7.0;6.0;-22.0;100.0;1.0;3.0;29.0;32.0;31.0;4.0;100.0;3.0;13.0;41.0;23.0;12.0;9.0;100.0;9.0;11.0;54.0;15.0;11.0;1.0;100.0;6.0;12.0;65.0;9.0;4.0;4.0;100.0;12.0;43.0;35.0;10.0;100.0;60.0;30.0;4.0;4.0;0.0;1.0;100.0;9.0;22.0;13.0;48.0;3.0;4.0;100.0;23.0;32.0;30.0;6.0;2.0;7.0;100.0;2.0;4.0;40.0;37.0;15.0;2.0;100.0;56.0;13.0;8.0;19.0;4.0;100.0;74.0;7.0;5.0;12.0;3.0;100.0;6.0;7.0;54.0;12.0;18.0;3.0;100.0;14.0;10.0;16.0;57.0;2.0;100.0;5.0;6.0;7.0;81.0;2.0;100.0;24.0;5.0;7.0;63.0;1.0;100.0;7.0;9.0;10.0;19.0;22.0;20.0;13.0;;;;;;;;;
5;Nederland;2003 1e kwartaal;-36.0;-82.0;-42.0;-20.0;-5.0;-31.0;-62.0;-82.0;-42.0;-19.0;-20.0;-5.0;-31.0;100.0;0.0;1.0;14.0;32.0;51.0;2.0;100.0;1.0;7.0;33.0;27.0;22.0;9.0;100.0;6.0;9.0;51.0;18.0;16.0;1.0;100.0;5.0;9.0;63.0;13.0;6.0;3.0;100.0;10.0;41.0;41.0;8.0;100.0;66.0;27.0;3.0;3.0;0.0;1.0;100.0;9.0;21.0;15.0;46.0;4.0;5.0;100.0;47.0;31.0;13.0;3.0;1.0;4.0;100.0;2.0;4.0;41.0;38.0;13.0;2.0;100.0;53.0;14.0;9.0;22.0;3.0;100.0;76.0;5.0;5.0;12.0;2.0;100.0;4.0;5.0;54.0;13.0;21.0;2.0;100.0;13.0;10.0;14.0;61.0;2.0;100.0;4.0;5.0;6.0;84.0;1.0;100.0;23.0;5.0;5.0;65.0;1.0;100.0;7.0;9.0;8.0;22.0;22.0;20.0;12.0;;;;;;;;;
6;Nederland;2003 2e kwartaal;-36.0;-83.0;-36.0;-24.0;-4.0;-33.0;-60.0;-83.0;-36.0;-21.0;-24.0;-4.0;-33.0;100.0;0.0;1.0;12.0;27.0;58.0;2.0;100.0;2.0;9.0;35.0;23.0;24.0;7.0;100.0;6.0;8.0;48.0;20.0;18.0;1.0;100.0;4.0;9.0;64.0;12.0;6.0;4.0;100.0;10.0;39.0;43.0;8.0;100.0;65.0;26.0;3.0;5.0;0.0;1.0;100.0;10.0;24.0;13.0;46.0;3.0;4.0;100.0;54.0;27.0;11.0;3.0;1.0;4.0;100.0;2.0;5.0;45.0;34.0;13.0;2.0;100.0;52.0;14.0;9.0;21.0;3.0;100.0;76.0;6.0;4.0;11.0;3.0;100.0;4.0;6.0;56.0;12.0;19.0;3.0;100.0;13.0;9.0;15.0;61.0;2.0;100.0;3.0;6.0;6.0;84.0;1.0;100.0;24.0;5.0;6.0;65.0;1.0;100.0;7.0;9.0;9.0;22.0;22.0;20.0;12.0;;;;;;;;;
7;Nederland;2003 3e kwartaal;-35.0;-80.0;-27.0;-25.0;-7.0;-35.0;-53.0;-80.0;-27.0;-23.0;-25.0;-7.0;-35.0;100.0;1.0;1.0;14.0;27.0;55.0;2.0;100.0;2.0;14.0;36.0;22.0;21.0;6.0;100.0;6.0;6.0;51.0;19.0;18.0;1.0;100.0;5.0;9.0;63.0;14.0;7.0;4.0;100.0;10.0;37.0;46.0;7.0;100.0;62.0;26.0;3.0;7.0;0.0;1.0;100.0;8.0;21.0;16.0;48.0;4.0;3.0;100.0;55.0;27.0;11.0;3.0;1.0;3.0;100.0;2.0;4.0;43.0;34.0;16.0;2.0;100.0;53.0;14.0;9.0;21.0;3.0;100.0;74.0;7.0;5.0;12.0;2.0;100.0;5.0;5.0;56.0;13.0;19.0;2.0;100.0;13.0;9.0;16.0;62.0;1.0;100.0;4.0;5.0;5.0;85.0;1.0;100.0;22.0;5.0;6.0;66.0;1.0;100.0;7.0;8.0;9.0;23.0;20.0;20.0;13.0;;;;;;;;;
8;Nederland;2003 4e kwartaal;-33.0;-76.0;-20.0;-27.0;-7.0;-35.0;-48.0;-76.0;-20.0;-23.0;-27.0;-7.0;-35.0;100.0;1.0;3.0;16.0;27.0;52.0;2.0;100.0;3.0;16.0;38.0;19.0;19.0;6.0;100.0;5.0;6.0;50.0;19.0;19.0;1.0;100.0;4.0;9.0;62.0;12.0;8.0;4.0;100.0;12.0;33.0;47.0;7.0;100.0;54.0;27.0;4.0;12.0;2.0;2.0;100.0;10.0;19.0;14.0;45.0;9.0;4.0;100.0;45.0;30.0;15.0;6.0;1.0;3.0;100.0;2.0;5.0;44.0;35.0;13.0;2.0;100.0;51.0;13.0;10.0;23.0;3.0;100.0;74.0;7.0;4.0;12.0;3.0;100.0;4.0;5.0;54.0;14.0;19.0;3.0;100.0;14.0;9.0;14.0;61.0;1.0;100.0;4.0;5.0;6.0;85.0;1.0;100.0;22.0;4.0;6.0;67.0;1.0;100.0;6.0;11.0;8.0;21.0;21.0;20.0;13.0;;;;;;;;;
9;Nederland;2003;-35.0;-80.0;-31.0;-24.0;-6.0;-34.0;-56.0;-80.0;-31.0;-21.0;-24.0;-6.0;-34.0;100.0;0.0;1.0;14.0;28.0;54.0;2.0;100.0;2.0;11.0;36.0;23.0;21.0;7.0;100.0;6.0;7.0;50.0;19.0;18.0;1.0;100.0;5.0;9.0;63.0;13.0;7.0;4.0;100.0;10.0;38.0;44.0;8.0;100.0;62.0;26.0;3.0;7.0;1.0;1.0;100.0;9.0;21.0;14.0;46.0;5.0;4.0;100.0;50.0;29.0;12.0;4.0;1.0;4.0;100.0;2.0;4.0;43.0;35.0;14.0;2.0;100.0;52.0;14.0;9.0;22.0;3.0;100.0;75.0;6.0;5.0;12.0;2.0;100.0;5.0;5.0;55.0;13.0;19.0;3.0;100.0;13.0;9.0;15.0;61.0;2.0;100.0;4.0;5.0;6.0;84.0;1.0;100.0;23.0;5.0;6.0;66.0;1.0;100.0;7.0;9.0;9.0;22.0;21.0;20.0;12.0;;;;;;;;;
