ID;EnergySourcesAndTechniques;EnergyApplication;Periods;FinalConsumption_1;FinalConsumptionRelative_2
0;Tot  renewable excl statistical transfer;Total energy applications;1990;21772.0;1.2
1;Tot  renewable excl statistical transfer;Total energy applications;1991;22528.0;1.16
2;Tot  renewable excl statistical transfer;Total energy applications;1992;23188.0;1.21
3;Tot  renewable excl statistical transfer;Total energy applications;1993;23930.0;1.2
4;Tot  renewable excl statistical transfer;Total energy applications;1994;24303.0;1.24
5;Tot  renewable excl statistical transfer;Total energy applications;1995;25459.0;1.25
6;Tot  renewable excl statistical transfer;Total energy applications;1996;27993.0;1.27
7;Tot  renewable excl statistical transfer;Total energy applications;1997;30871.0;1.46
8;Tot  renewable excl statistical transfer;Total energy applications;1998;31932.0;1.51
9;Tot  renewable excl statistical transfer;Total energy applications;1999;33301.0;1.6
10;Tot  renewable excl statistical transfer;Total energy applications;2000;34689.0;1.62
11;Tot  renewable excl statistical transfer;Total energy applications;2001;36562.0;1.68
12;Tot  renewable excl statistical transfer;Total energy applications;2002;40076.0;1.85
13;Tot  renewable excl statistical transfer;Total energy applications;2003;40600.0;1.84
14;Tot  renewable excl statistical transfer;Total energy applications;2004;47422.0;2.04
15;Tot  renewable excl statistical transfer;Total energy applications;2005;57143.0;2.48
16;Tot  renewable excl statistical transfer;Total energy applications;2006;63478.0;2.78
17;Tot  renewable excl statistical transfer;Total energy applications;2007;74123.0;3.3
18;Tot  renewable excl statistical transfer;Total energy applications;2008;82081.0;3.6
19;Tot  renewable excl statistical transfer;Total energy applications;2009;93660.0;4.27
20;Tot  renewable excl statistical transfer;Total energy applications;2010;92411.0;3.92
21;Tot  renewable excl statistical transfer;Total energy applications;2011;99256.0;4.53
22;Tot  renewable excl statistical transfer;Total energy applications;2012;102676.0;4.66
23;Tot  renewable excl statistical transfer;Total energy applications;2013;103463.0;4.69
24;Tot  renewable excl statistical transfer;Total energy applications;2014;108835.0;5.42
25;Tot  renewable excl statistical transfer;Total energy applications;2015;117192.0;5.73
26;Tot  renewable excl statistical transfer;Total energy applications;2016;122177.0;5.84
27;Tot  renewable excl statistical transfer;Total energy applications;2017;136815.0;6.5
28;Tot  renewable excl statistical transfer;Total energy applications;2018;156304.0;7.39
29;Tot  renewable excl statistical transfer;Total energy applications;2019;184632.0;8.89
30;Tot  renewable excl statistical transfer;Total energy applications;2020;223015.0;11.47
31;Tot  renewable excl statistical transfer;Total energy applications;2021;263397.0;13.12
32;Tot  renewable excl statistical transfer;Total energy applications;2022;280854.0;15.13
33;Tot  renewable excl statistical transfer;Total energy applications;2023;311982.0;17.42
34;Tot  renewable excl statistical transfer;Electricity;1990;2914.0;0.16
35;Tot  renewable excl statistical transfer;Electricity;1991;3349.0;0.17
36;Tot  renewable excl statistical transfer;Electricity;1992;3534.0;0.18
37;Tot  renewable excl statistical transfer;Electricity;1993;4061.0;0.2
38;Tot  renewable excl statistical transfer;Electricity;1994;4508.0;0.23
39;Tot  renewable excl statistical transfer;Electricity;1995;5123.0;0.25
40;Tot  renewable excl statistical transfer;Electricity;1996;6628.0;0.3
41;Tot  renewable excl statistical transfer;Electricity;1997;7362.0;0.35
42;Tot  renewable excl statistical transfer;Electricity;1998;8131.0;0.38
43;Tot  renewable excl statistical transfer;Electricity;1999;9108.0;0.44
44;Tot  renewable excl statistical transfer;Electricity;2000;10334.0;0.48
45;Tot  renewable excl statistical transfer;Electricity;2001;11907.0;0.55
46;Tot  renewable excl statistical transfer;Electricity;2002;14623.0;0.68
47;Tot  renewable excl statistical transfer;Electricity;2003;14573.0;0.66
48;Tot  renewable excl statistical transfer;Electricity;2004;18822.0;0.81
49;Tot  renewable excl statistical transfer;Electricity;2005;26814.0;1.17
50;Tot  renewable excl statistical transfer;Electricity;2006;28325.0;1.24
51;Tot  renewable excl statistical transfer;Electricity;2007;26359.0;1.17
52;Tot  renewable excl statistical transfer;Electricity;2008;33170.0;1.45
53;Tot  renewable excl statistical transfer;Electricity;2009;38719.0;1.76
54;Tot  renewable excl statistical transfer;Electricity;2010;42185.0;1.79
55;Tot  renewable excl statistical transfer;Electricity;2011;43147.0;1.97
56;Tot  renewable excl statistical transfer;Electricity;2012;44841.0;2.04
57;Tot  renewable excl statistical transfer;Electricity;2013;42771.0;1.94
58;Tot  renewable excl statistical transfer;Electricity;2014;42197.0;2.1
59;Tot  renewable excl statistical transfer;Electricity;2015;47347.0;2.31
60;Tot  renewable excl statistical transfer;Electricity;2016;54263.0;2.59
61;Tot  renewable excl statistical transfer;Electricity;2017;60011.0;2.85
62;Tot  renewable excl statistical transfer;Electricity;2018;66720.0;3.15
63;Tot  renewable excl statistical transfer;Electricity;2019;80197.0;3.86
64;Tot  renewable excl statistical transfer;Electricity;2020;114926.0;5.91
65;Tot  renewable excl statistical transfer;Electricity;2021;146543.0;7.3
66;Tot  renewable excl statistical transfer;Electricity;2022;167443.0;9.02
67;Tot  renewable excl statistical transfer;Electricity;2023;193216.0;10.79
68;Tot  renewable excl statistical transfer;Heating and cooling;1990;18858.0;1.04
69;Tot  renewable excl statistical transfer;Heating and cooling;1991;19179.0;0.98
70;Tot  renewable excl statistical transfer;Heating and cooling;1992;19654.0;1.02
71;Tot  renewable excl statistical transfer;Heating and cooling;1993;19868.0;1.0
72;Tot  renewable excl statistical transfer;Heating and cooling;1994;19795.0;1.01
73;Tot  renewable excl statistical transfer;Heating and cooling;1995;20335.0;1.0
74;Tot  renewable excl statistical transfer;Heating and cooling;1996;21365.0;0.97
75;Tot  renewable excl statistical transfer;Heating and cooling;1997;23508.0;1.11
76;Tot  renewable excl statistical transfer;Heating and cooling;1998;23801.0;1.12
77;Tot  renewable excl statistical transfer;Heating and cooling;1999;24193.0;1.16
78;Tot  renewable excl statistical transfer;Heating and cooling;2000;24355.0;1.14
79;Tot  renewable excl statistical transfer;Heating and cooling;2001;24655.0;1.13
80;Tot  renewable excl statistical transfer;Heating and cooling;2002;25453.0;1.18
81;Tot  renewable excl statistical transfer;Heating and cooling;2003;25893.0;1.17
82;Tot  renewable excl statistical transfer;Heating and cooling;2004;28466.0;1.22
83;Tot  renewable excl statistical transfer;Heating and cooling;2005;30228.0;1.31
84;Tot  renewable excl statistical transfer;Heating and cooling;2006;33387.0;1.46
85;Tot  renewable excl statistical transfer;Heating and cooling;2007;34734.0;1.55
86;Tot  renewable excl statistical transfer;Heating and cooling;2008;36863.0;1.62
87;Tot  renewable excl statistical transfer;Heating and cooling;2009;39335.0;1.79
88;Tot  renewable excl statistical transfer;Heating and cooling;2010;40649.0;1.72
89;Tot  renewable excl statistical transfer;Heating and cooling;2011;42324.0;1.93
90;Tot  renewable excl statistical transfer;Heating and cooling;2012;44961.0;2.04
91;Tot  renewable excl statistical transfer;Heating and cooling;2013;48264.0;2.19
92;Tot  renewable excl statistical transfer;Heating and cooling;2014;52266.0;2.6
93;Tot  renewable excl statistical transfer;Heating and cooling;2015;57274.0;2.8
94;Tot  renewable excl statistical transfer;Heating and cooling;2016;58012.0;2.77
95;Tot  renewable excl statistical transfer;Heating and cooling;2017;64113.0;3.05
96;Tot  renewable excl statistical transfer;Heating and cooling;2018;68341.0;3.23
97;Tot  renewable excl statistical transfer;Heating and cooling;2019;77825.0;3.75
98;Tot  renewable excl statistical transfer;Heating and cooling;2020;84522.0;4.35
99;Tot  renewable excl statistical transfer;Heating and cooling;2021;90367.0;4.5
100;Tot  renewable excl statistical transfer;Heating and cooling;2022;87800.0;4.73
101;Tot  renewable excl statistical transfer;Heating and cooling;2023;91688.0;5.12
102;Tot  renewable excl statistical transfer;Transport;1990;0.0;0.0
103;Tot  renewable excl statistical transfer;Transport;1991;0.0;0.0
104;Tot  renewable excl statistical transfer;Transport;1992;0.0;0.0
105;Tot  renewable excl statistical transfer;Transport;1993;0.0;0.0
106;Tot  renewable excl statistical transfer;Transport;1994;0.0;0.0
107;Tot  renewable excl statistical transfer;Transport;1995;0.0;0.0
108;Tot  renewable excl statistical transfer;Transport;1996;0.0;0.0
109;Tot  renewable excl statistical transfer;Transport;1997;0.0;0.0
110;Tot  renewable excl statistical transfer;Transport;1998;0.0;0.0
111;Tot  renewable excl statistical transfer;Transport;1999;0.0;0.0
112;Tot  renewable excl statistical transfer;Transport;2000;0.0;0.0
113;Tot  renewable excl statistical transfer;Transport;2001;0.0;0.0
114;Tot  renewable excl statistical transfer;Transport;2002;0.0;0.0
115;Tot  renewable excl statistical transfer;Transport;2003;134.0;0.01
116;Tot  renewable excl statistical transfer;Transport;2004;134.0;0.01
117;Tot  renewable excl statistical transfer;Transport;2005;101.0;0.0
118;Tot  renewable excl statistical transfer;Transport;2006;1766.0;0.08
119;Tot  renewable excl statistical transfer;Transport;2007;13031.0;0.58
120;Tot  renewable excl statistical transfer;Transport;2008;12048.0;0.53
121;Tot  renewable excl statistical transfer;Transport;2009;15606.0;0.71
122;Tot  renewable excl statistical transfer;Transport;2010;9577.0;0.41
123;Tot  renewable excl statistical transfer;Transport;2011;13785.0;0.63
124;Tot  renewable excl statistical transfer;Transport;2012;12873.0;0.58
125;Tot  renewable excl statistical transfer;Transport;2013;12428.0;0.56
126;Tot  renewable excl statistical transfer;Transport;2014;14373.0;0.72
127;Tot  renewable excl statistical transfer;Transport;2015;12571.0;0.61
128;Tot  renewable excl statistical transfer;Transport;2016;9902.0;0.47
129;Tot  renewable excl statistical transfer;Transport;2017;12691.0;0.6
130;Tot  renewable excl statistical transfer;Transport;2018;21242.0;1.0
131;Tot  renewable excl statistical transfer;Transport;2019;26609.0;1.28
132;Tot  renewable excl statistical transfer;Transport;2020;23566.0;1.21
133;Tot  renewable excl statistical transfer;Transport;2021;26488.0;1.32
134;Tot  renewable excl statistical transfer;Transport;2022;25611.0;1.38
135;Tot  renewable excl statistical transfer;Transport;2023;27078.0;1.51
136;Tot  renewable incl statistical transfer;Total energy applications;1990;21772.0;1.2
137;Tot  renewable incl statistical transfer;Total energy applications;1991;22528.0;1.16
138;Tot  renewable incl statistical transfer;Total energy applications;1992;23188.0;1.21
139;Tot  renewable incl statistical transfer;Total energy applications;1993;23930.0;1.2
140;Tot  renewable incl statistical transfer;Total energy applications;1994;24303.0;1.24
141;Tot  renewable incl statistical transfer;Total energy applications;1995;25459.0;1.25
142;Tot  renewable incl statistical transfer;Total energy applications;1996;27993.0;1.27
143;Tot  renewable incl statistical transfer;Total energy applications;1997;30871.0;1.46
144;Tot  renewable incl statistical transfer;Total energy applications;1998;31932.0;1.51
145;Tot  renewable incl statistical transfer;Total energy applications;1999;33301.0;1.6
146;Tot  renewable incl statistical transfer;Total energy applications;2000;34689.0;1.62
147;Tot  renewable incl statistical transfer;Total energy applications;2001;36562.0;1.68
148;Tot  renewable incl statistical transfer;Total energy applications;2002;40076.0;1.85
149;Tot  renewable incl statistical transfer;Total energy applications;2003;40600.0;1.84
150;Tot  renewable incl statistical transfer;Total energy applications;2004;47422.0;2.04
151;Tot  renewable incl statistical transfer;Total energy applications;2005;57143.0;2.48
152;Tot  renewable incl statistical transfer;Total energy applications;2006;63478.0;2.78
153;Tot  renewable incl statistical transfer;Total energy applications;2007;74123.0;3.3
154;Tot  renewable incl statistical transfer;Total energy applications;2008;82081.0;3.6
155;Tot  renewable incl statistical transfer;Total energy applications;2009;93660.0;4.27
156;Tot  renewable incl statistical transfer;Total energy applications;2010;92411.0;3.92
157;Tot  renewable incl statistical transfer;Total energy applications;2011;99256.0;4.53
158;Tot  renewable incl statistical transfer;Total energy applications;2012;102676.0;4.66
159;Tot  renewable incl statistical transfer;Total energy applications;2013;103463.0;4.69
160;Tot  renewable incl statistical transfer;Total energy applications;2014;108835.0;5.42
161;Tot  renewable incl statistical transfer;Total energy applications;2015;117192.0;5.73
162;Tot  renewable incl statistical transfer;Total energy applications;2016;122177.0;5.84
163;Tot  renewable incl statistical transfer;Total energy applications;2017;136815.0;6.5
164;Tot  renewable incl statistical transfer;Total energy applications;2018;156304.0;7.39
165;Tot  renewable incl statistical transfer;Total energy applications;2019;184632.0;8.89
166;Tot  renewable incl statistical transfer;Total energy applications;2020;272155.0;14.0
167;Tot  renewable incl statistical transfer;Total energy applications;2021;263397.0;13.12
168;Tot  renewable incl statistical transfer;Total energy applications;2022;280854.0;15.13
169;Tot  renewable incl statistical transfer;Total energy applications;2023;311982.0;17.42
170;Tot  renewable incl statistical transfer;Electricity;1990;;
171;Tot  renewable incl statistical transfer;Electricity;1991;;
172;Tot  renewable incl statistical transfer;Electricity;1992;;
173;Tot  renewable incl statistical transfer;Electricity;1993;;
174;Tot  renewable incl statistical transfer;Electricity;1994;;
175;Tot  renewable incl statistical transfer;Electricity;1995;;
176;Tot  renewable incl statistical transfer;Electricity;1996;;
177;Tot  renewable incl statistical transfer;Electricity;1997;;
178;Tot  renewable incl statistical transfer;Electricity;1998;;
179;Tot  renewable incl statistical transfer;Electricity;1999;;
180;Tot  renewable incl statistical transfer;Electricity;2000;;
181;Tot  renewable incl statistical transfer;Electricity;2001;;
182;Tot  renewable incl statistical transfer;Electricity;2002;;
183;Tot  renewable incl statistical transfer;Electricity;2003;;
184;Tot  renewable incl statistical transfer;Electricity;2004;;
185;Tot  renewable incl statistical transfer;Electricity;2005;;
186;Tot  renewable incl statistical transfer;Electricity;2006;;
187;Tot  renewable incl statistical transfer;Electricity;2007;;
188;Tot  renewable incl statistical transfer;Electricity;2008;;
189;Tot  renewable incl statistical transfer;Electricity;2009;;
190;Tot  renewable incl statistical transfer;Electricity;2010;;
191;Tot  renewable incl statistical transfer;Electricity;2011;;
192;Tot  renewable incl statistical transfer;Electricity;2012;;
193;Tot  renewable incl statistical transfer;Electricity;2013;;
194;Tot  renewable incl statistical transfer;Electricity;2014;;
195;Tot  renewable incl statistical transfer;Electricity;2015;;
196;Tot  renewable incl statistical transfer;Electricity;2016;;
197;Tot  renewable incl statistical transfer;Electricity;2017;;
198;Tot  renewable incl statistical transfer;Electricity;2018;;
199;Tot  renewable incl statistical transfer;Electricity;2019;;
200;Tot  renewable incl statistical transfer;Electricity;2020;;
201;Tot  renewable incl statistical transfer;Electricity;2021;;
202;Tot  renewable incl statistical transfer;Electricity;2022;;
203;Tot  renewable incl statistical transfer;Electricity;2023;;
204;Tot  renewable incl statistical transfer;Heating and cooling;1990;;
205;Tot  renewable incl statistical transfer;Heating and cooling;1991;;
206;Tot  renewable incl statistical transfer;Heating and cooling;1992;;
207;Tot  renewable incl statistical transfer;Heating and cooling;1993;;
208;Tot  renewable incl statistical transfer;Heating and cooling;1994;;
209;Tot  renewable incl statistical transfer;Heating and cooling;1995;;
210;Tot  renewable incl statistical transfer;Heating and cooling;1996;;
211;Tot  renewable incl statistical transfer;Heating and cooling;1997;;
212;Tot  renewable incl statistical transfer;Heating and cooling;1998;;
213;Tot  renewable incl statistical transfer;Heating and cooling;1999;;
214;Tot  renewable incl statistical transfer;Heating and cooling;2000;;
215;Tot  renewable incl statistical transfer;Heating and cooling;2001;;
216;Tot  renewable incl statistical transfer;Heating and cooling;2002;;
217;Tot  renewable incl statistical transfer;Heating and cooling;2003;;
218;Tot  renewable incl statistical transfer;Heating and cooling;2004;;
219;Tot  renewable incl statistical transfer;Heating and cooling;2005;;
220;Tot  renewable incl statistical transfer;Heating and cooling;2006;;
221;Tot  renewable incl statistical transfer;Heating and cooling;2007;;
222;Tot  renewable incl statistical transfer;Heating and cooling;2008;;
223;Tot  renewable incl statistical transfer;Heating and cooling;2009;;
224;Tot  renewable incl statistical transfer;Heating and cooling;2010;;
