ID;VerdachtenNaarSoortMisdrijf;Regio;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Totaal verdachten van misdrijven;Nederland;1999;139260.0;10.0
1;Totaal verdachten van misdrijven;Nederland;2000;138040.0;10.0
2;Totaal verdachten van misdrijven;Nederland;2001;149220.0;11.0
3;Totaal verdachten van misdrijven;Nederland;2002;164180.0;12.0
4;Totaal verdachten van misdrijven;Nederland;2003;183980.0;13.0
5;Totaal verdachten van misdrijven;Nederland;2004;199150.0;14.0
6;Totaal verdachten van misdrijven;Nederland;2005;209320.0;15.0
7;Totaal verdachten van misdrijven;Nederland;2006;214300.0;15.0
8;Totaal verdachten van misdrijven;Nederland;2007;216790.0;15.0
9;Totaal verdachten van misdrijven;Nederland;2008;203040.0;14.0
10;Totaal verdachten van misdrijven;Noord-Nederland (LD);1999;11260.0;8.0
11;Totaal verdachten van misdrijven;Noord-Nederland (LD);2000;11230.0;8.0
12;Totaal verdachten van misdrijven;Noord-Nederland (LD);2001;14150.0;10.0
13;Totaal verdachten van misdrijven;Noord-Nederland (LD);2002;14560.0;10.0
14;Totaal verdachten van misdrijven;Noord-Nederland (LD);2003;15970.0;11.0
15;Totaal verdachten van misdrijven;Noord-Nederland (LD);2004;17110.0;12.0
16;Totaal verdachten van misdrijven;Noord-Nederland (LD);2005;19230.0;13.0
17;Totaal verdachten van misdrijven;Noord-Nederland (LD);2006;19370.0;13.0
18;Totaal verdachten van misdrijven;Noord-Nederland (LD);2007;19270.0;13.0
19;Totaal verdachten van misdrijven;Noord-Nederland (LD);2008;17990.0;12.0
20;Totaal verdachten van misdrijven;Oost-Nederland (LD);1999;26100.0;9.0
21;Totaal verdachten van misdrijven;Oost-Nederland (LD);2000;25140.0;9.0
22;Totaal verdachten van misdrijven;Oost-Nederland (LD);2001;29750.0;10.0
23;Totaal verdachten van misdrijven;Oost-Nederland (LD);2002;31170.0;11.0
24;Totaal verdachten van misdrijven;Oost-Nederland (LD);2003;35010.0;12.0
25;Totaal verdachten van misdrijven;Oost-Nederland (LD);2004;38390.0;13.0
26;Totaal verdachten van misdrijven;Oost-Nederland (LD);2005;41090.0;14.0
27;Totaal verdachten van misdrijven;Oost-Nederland (LD);2006;40540.0;14.0
28;Totaal verdachten van misdrijven;Oost-Nederland (LD);2007;40130.0;14.0
29;Totaal verdachten van misdrijven;Oost-Nederland (LD);2008;38230.0;13.0
30;Totaal verdachten van misdrijven;West-Nederland (LD);1999;74760.0;12.0
31;Totaal verdachten van misdrijven;West-Nederland (LD);2000;74460.0;12.0
32;Totaal verdachten van misdrijven;West-Nederland (LD);2001;76330.0;12.0
33;Totaal verdachten van misdrijven;West-Nederland (LD);2002;87320.0;14.0
34;Totaal verdachten van misdrijven;West-Nederland (LD);2003;99250.0;15.0
35;Totaal verdachten van misdrijven;West-Nederland (LD);2004;106750.0;16.0
36;Totaal verdachten van misdrijven;West-Nederland (LD);2005;110100.0;17.0
37;Totaal verdachten van misdrijven;West-Nederland (LD);2006;114220.0;17.0
38;Totaal verdachten van misdrijven;West-Nederland (LD);2007;115910.0;18.0
39;Totaal verdachten van misdrijven;West-Nederland (LD);2008;107390.0;16.0
40;Totaal verdachten van misdrijven;Zuid-Nederland (LD);1999;27150.0;9.0
41;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2000;27210.0;9.0
42;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2001;28980.0;10.0
43;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2002;31130.0;10.0
44;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2003;33760.0;11.0
45;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2004;36910.0;12.0
46;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2005;38890.0;13.0
47;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2006;40170.0;13.0
48;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2007;41480.0;14.0
49;Totaal verdachten van misdrijven;Zuid-Nederland (LD);2008;39430.0;13.0
50;Totaal verdachten van misdrijven;Groningen (PV);1999;5200.0;11.0
51;Totaal verdachten van misdrijven;Groningen (PV);2000;5260.0;11.0
52;Totaal verdachten van misdrijven;Groningen (PV);2001;5420.0;11.0
53;Totaal verdachten van misdrijven;Groningen (PV);2002;5180.0;10.0
54;Totaal verdachten van misdrijven;Groningen (PV);2003;5890.0;12.0
55;Totaal verdachten van misdrijven;Groningen (PV);2004;6620.0;13.0
56;Totaal verdachten van misdrijven;Groningen (PV);2005;7530.0;15.0
57;Totaal verdachten van misdrijven;Groningen (PV);2006;7210.0;14.0
58;Totaal verdachten van misdrijven;Groningen (PV);2007;7300.0;15.0
59;Totaal verdachten van misdrijven;Groningen (PV);2008;6840.0;14.0
60;Totaal verdachten van misdrijven;Friesland (PV);1999;4120.0;8.0
61;Totaal verdachten van misdrijven;Friesland (PV);2000;4210.0;8.0
62;Totaal verdachten van misdrijven;Friesland (PV);2001;4860.0;9.0
63;Totaal verdachten van misdrijven;Friesland (PV);2002;5390.0;10.0
64;Totaal verdachten van misdrijven;Friesland (PV);2003;5930.0;11.0
65;Totaal verdachten van misdrijven;Friesland (PV);2004;6130.0;11.0
66;Totaal verdachten van misdrijven;Friesland (PV);2005;6590.0;12.0
67;Totaal verdachten van misdrijven;Friesland (PV);2006;6890.0;13.0
68;Totaal verdachten van misdrijven;Friesland (PV);2007;6520.0;12.0
69;Totaal verdachten van misdrijven;Friesland (PV);2008;5960.0;11.0
70;Totaal verdachten van misdrijven;Drenthe (PV);1999;1940.0;5.0
71;Totaal verdachten van misdrijven;Drenthe (PV);2000;1760.0;4.0
72;Totaal verdachten van misdrijven;Drenthe (PV);2001;3880.0;10.0
73;Totaal verdachten van misdrijven;Drenthe (PV);2002;4000.0;10.0
74;Totaal verdachten van misdrijven;Drenthe (PV);2003;4150.0;10.0
75;Totaal verdachten van misdrijven;Drenthe (PV);2004;4360.0;11.0
76;Totaal verdachten van misdrijven;Drenthe (PV);2005;5110.0;12.0
77;Totaal verdachten van misdrijven;Drenthe (PV);2006;5270.0;13.0
78;Totaal verdachten van misdrijven;Drenthe (PV);2007;5450.0;13.0
79;Totaal verdachten van misdrijven;Drenthe (PV);2008;5190.0;12.0
80;Totaal verdachten van misdrijven;Overijssel (PV);1999;8190.0;9.0
81;Totaal verdachten van misdrijven;Overijssel (PV);2000;8200.0;9.0
82;Totaal verdachten van misdrijven;Overijssel (PV);2001;8960.0;10.0
83;Totaal verdachten van misdrijven;Overijssel (PV);2002;9190.0;10.0
84;Totaal verdachten van misdrijven;Overijssel (PV);2003;9880.0;11.0
85;Totaal verdachten van misdrijven;Overijssel (PV);2004;10830.0;12.0
86;Totaal verdachten van misdrijven;Overijssel (PV);2005;11790.0;13.0
87;Totaal verdachten van misdrijven;Overijssel (PV);2006;11720.0;12.0
88;Totaal verdachten van misdrijven;Overijssel (PV);2007;11720.0;12.0
89;Totaal verdachten van misdrijven;Overijssel (PV);2008;11630.0;12.0
90;Totaal verdachten van misdrijven;Flevoland (PV);1999;2860.0;11.0
91;Totaal verdachten van misdrijven;Flevoland (PV);2000;3180.0;12.0
92;Totaal verdachten van misdrijven;Flevoland (PV);2001;3880.0;14.0
93;Totaal verdachten van misdrijven;Flevoland (PV);2002;4150.0;15.0
94;Totaal verdachten van misdrijven;Flevoland (PV);2003;5040.0;17.0
95;Totaal verdachten van misdrijven;Flevoland (PV);2004;5810.0;20.0
96;Totaal verdachten van misdrijven;Flevoland (PV);2005;5920.0;20.0
97;Totaal verdachten van misdrijven;Flevoland (PV);2006;6070.0;20.0
98;Totaal verdachten van misdrijven;Flevoland (PV);2007;6100.0;20.0
99;Totaal verdachten van misdrijven;Flevoland (PV);2008;5990.0;19.0
100;Totaal verdachten van misdrijven;Gelderland (PV);1999;15050.0;9.0
101;Totaal verdachten van misdrijven;Gelderland (PV);2000;13760.0;8.0
102;Totaal verdachten van misdrijven;Gelderland (PV);2001;16910.0;10.0
103;Totaal verdachten van misdrijven;Gelderland (PV);2002;17840.0;11.0
104;Totaal verdachten van misdrijven;Gelderland (PV);2003;20090.0;12.0
105;Totaal verdachten van misdrijven;Gelderland (PV);2004;21750.0;13.0
106;Totaal verdachten van misdrijven;Gelderland (PV);2005;23390.0;14.0
107;Totaal verdachten van misdrijven;Gelderland (PV);2006;22760.0;14.0
108;Totaal verdachten van misdrijven;Gelderland (PV);2007;22310.0;13.0
109;Totaal verdachten van misdrijven;Gelderland (PV);2008;20620.0;12.0
110;Totaal verdachten van misdrijven;Utrecht (PV);1999;10110.0;11.0
111;Totaal verdachten van misdrijven;Utrecht (PV);2000;10450.0;11.0
112;Totaal verdachten van misdrijven;Utrecht (PV);2001;10050.0;10.0
113;Totaal verdachten van misdrijven;Utrecht (PV);2002;12280.0;13.0
114;Totaal verdachten van misdrijven;Utrecht (PV);2003;13660.0;14.0
115;Totaal verdachten van misdrijven;Utrecht (PV);2004;14660.0;15.0
116;Totaal verdachten van misdrijven;Utrecht (PV);2005;15330.0;15.0
117;Totaal verdachten van misdrijven;Utrecht (PV);2006;15340.0;15.0
118;Totaal verdachten van misdrijven;Utrecht (PV);2007;15340.0;15.0
119;Totaal verdachten van misdrijven;Utrecht (PV);2008;14930.0;15.0
120;Totaal verdachten van misdrijven;Noord-Holland (PV);1999;24240.0;11.0
121;Totaal verdachten van misdrijven;Noord-Holland (PV);2000;24780.0;11.0
122;Totaal verdachten van misdrijven;Noord-Holland (PV);2001;24550.0;11.0
123;Totaal verdachten van misdrijven;Noord-Holland (PV);2002;27310.0;12.0
124;Totaal verdachten van misdrijven;Noord-Holland (PV);2003;31610.0;14.0
125;Totaal verdachten van misdrijven;Noord-Holland (PV);2004;32980.0;15.0
126;Totaal verdachten van misdrijven;Noord-Holland (PV);2005;33440.0;15.0
127;Totaal verdachten van misdrijven;Noord-Holland (PV);2006;35460.0;16.0
128;Totaal verdachten van misdrijven;Noord-Holland (PV);2007;36180.0;16.0
129;Totaal verdachten van misdrijven;Noord-Holland (PV);2008;34030.0;15.0
130;Totaal verdachten van misdrijven;Zuid-Holland (PV);1999;37310.0;13.0
131;Totaal verdachten van misdrijven;Zuid-Holland (PV);2000;36640.0;13.0
132;Totaal verdachten van misdrijven;Zuid-Holland (PV);2001;38200.0;13.0
133;Totaal verdachten van misdrijven;Zuid-Holland (PV);2002;43810.0;15.0
134;Totaal verdachten van misdrijven;Zuid-Holland (PV);2003;49480.0;17.0
135;Totaal verdachten van misdrijven;Zuid-Holland (PV);2004;54310.0;18.0
136;Totaal verdachten van misdrijven;Zuid-Holland (PV);2005;56610.0;19.0
137;Totaal verdachten van misdrijven;Zuid-Holland (PV);2006;58670.0;20.0
138;Totaal verdachten van misdrijven;Zuid-Holland (PV);2007;59750.0;20.0
139;Totaal verdachten van misdrijven;Zuid-Holland (PV);2008;54060.0;18.0
140;Totaal verdachten van misdrijven;Zeeland (PV);1999;3100.0;10.0
141;Totaal verdachten van misdrijven;Zeeland (PV);2000;2590.0;8.0
142;Totaal verdachten van misdrijven;Zeeland (PV);2001;3540.0;11.0
143;Totaal verdachten van misdrijven;Zeeland (PV);2002;3920.0;12.0
144;Totaal verdachten van misdrijven;Zeeland (PV);2003;4500.0;14.0
145;Totaal verdachten van misdrijven;Zeeland (PV);2004;4790.0;15.0
146;Totaal verdachten van misdrijven;Zeeland (PV);2005;4730.0;15.0
147;Totaal verdachten van misdrijven;Zeeland (PV);2006;4760.0;15.0
148;Totaal verdachten van misdrijven;Zeeland (PV);2007;4650.0;14.0
149;Totaal verdachten van misdrijven;Zeeland (PV);2008;4370.0;13.0
150;Totaal verdachten van misdrijven;Noord-Brabant (PV);1999;17190.0;9.0
151;Totaal verdachten van misdrijven;Noord-Brabant (PV);2000;18070.0;9.0
152;Totaal verdachten van misdrijven;Noord-Brabant (PV);2001;19510.0;10.0
153;Totaal verdachten van misdrijven;Noord-Brabant (PV);2002;21270.0;10.0
154;Totaal verdachten van misdrijven;Noord-Brabant (PV);2003;23290.0;11.0
155;Totaal verdachten van misdrijven;Noord-Brabant (PV);2004;25320.0;12.0
156;Totaal verdachten van misdrijven;Noord-Brabant (PV);2005;27130.0;13.0
157;Totaal verdachten van misdrijven;Noord-Brabant (PV);2006;28500.0;14.0
158;Totaal verdachten van misdrijven;Noord-Brabant (PV);2007;28410.0;14.0
159;Totaal verdachten van misdrijven;Noord-Brabant (PV);2008;27130.0;13.0
160;Totaal verdachten van misdrijven;Limburg (PV);1999;9960.0;10.0
161;Totaal verdachten van misdrijven;Limburg (PV);2000;9150.0;9.0
162;Totaal verdachten van misdrijven;Limburg (PV);2001;9470.0;10.0
163;Totaal verdachten van misdrijven;Limburg (PV);2002;9860.0;10.0
164;Totaal verdachten van misdrijven;Limburg (PV);2003;10470.0;11.0
165;Totaal verdachten van misdrijven;Limburg (PV);2004;11600.0;12.0
166;Totaal verdachten van misdrijven;Limburg (PV);2005;11760.0;12.0
167;Totaal verdachten van misdrijven;Limburg (PV);2006;11670.0;12.0
168;Totaal verdachten van misdrijven;Limburg (PV);2007;13060.0;13.0
169;Totaal verdachten van misdrijven;Limburg (PV);2008;12300.0;12.0
170;Totaal verdachten van misdrijven;Aa en Hunze;1999;90.0;4.0
171;Totaal verdachten van misdrijven;Aa en Hunze;2000;120.0;5.0
172;Totaal verdachten van misdrijven;Aa en Hunze;2001;150.0;7.0
173;Totaal verdachten van misdrijven;Aa en Hunze;2002;130.0;6.0
174;Totaal verdachten van misdrijven;Aa en Hunze;2003;140.0;7.0
175;Totaal verdachten van misdrijven;Aa en Hunze;2004;150.0;7.0
176;Totaal verdachten van misdrijven;Aa en Hunze;2005;170.0;8.0
177;Totaal verdachten van misdrijven;Aa en Hunze;2006;210.0;10.0
178;Totaal verdachten van misdrijven;Aa en Hunze;2007;200.0;9.0
179;Totaal verdachten van misdrijven;Aa en Hunze;2008;160.0;7.0
180;Totaal verdachten van misdrijven;Aalburg;1999;70.0;7.0
181;Totaal verdachten van misdrijven;Aalburg;2000;60.0;6.0
182;Totaal verdachten van misdrijven;Aalburg;2001;100.0;10.0
183;Totaal verdachten van misdrijven;Aalburg;2002;80.0;8.0
184;Totaal verdachten van misdrijven;Aalburg;2003;90.0;9.0
185;Totaal verdachten van misdrijven;Aalburg;2004;130.0;13.0
186;Totaal verdachten van misdrijven;Aalburg;2005;120.0;12.0
187;Totaal verdachten van misdrijven;Aalburg;2006;120.0;12.0
188;Totaal verdachten van misdrijven;Aalburg;2007;110.0;10.0
189;Totaal verdachten van misdrijven;Aalburg;2008;110.0;10.0
190;Totaal verdachten van misdrijven;Aalsmeer;1999;140.0;7.0
191;Totaal verdachten van misdrijven;Aalsmeer;2000;140.0;7.0
192;Totaal verdachten van misdrijven;Aalsmeer;2001;120.0;6.0
193;Totaal verdachten van misdrijven;Aalsmeer;2002;120.0;6.0
194;Totaal verdachten van misdrijven;Aalsmeer;2003;130.0;7.0
195;Totaal verdachten van misdrijven;Aalsmeer;2004;150.0;8.0
196;Totaal verdachten van misdrijven;Aalsmeer;2005;170.0;8.0
197;Totaal verdachten van misdrijven;Aalsmeer;2006;190.0;9.0
198;Totaal verdachten van misdrijven;Aalsmeer;2007;220.0;10.0
199;Totaal verdachten van misdrijven;Aalsmeer;2008;200.0;9.0
200;Totaal verdachten van misdrijven;Aalten;1999;80.0;5.0
201;Totaal verdachten van misdrijven;Aalten;2000;70.0;4.0
202;Totaal verdachten van misdrijven;Aalten;2001;80.0;5.0
203;Totaal verdachten van misdrijven;Aalten;2002;70.0;4.0
204;Totaal verdachten van misdrijven;Aalten;2003;80.0;5.0
205;Totaal verdachten van misdrijven;Aalten;2004;110.0;7.0
206;Totaal verdachten van misdrijven;Aalten;2005;190.0;8.0
207;Totaal verdachten van misdrijven;Aalten;2006;200.0;8.0
208;Totaal verdachten van misdrijven;Aalten;2007;190.0;8.0
209;Totaal verdachten van misdrijven;Aalten;2008;140.0;6.0
210;Totaal verdachten van misdrijven;Ter Aar;1999;50.0;7.0
211;Totaal verdachten van misdrijven;Ter Aar;2000;50.0;7.0
212;Totaal verdachten van misdrijven;Ter Aar;2001;40.0;5.0
213;Totaal verdachten van misdrijven;Ter Aar;2002;70.0;9.0
214;Totaal verdachten van misdrijven;Ter Aar;2003;50.0;7.0
215;Totaal verdachten van misdrijven;Ter Aar;2004;70.0;10.0
216;Totaal verdachten van misdrijven;Ter Aar;2005;70.0;10.0
217;Totaal verdachten van misdrijven;Ter Aar;2006;90.0;12.0
218;Totaal verdachten van misdrijven;Ter Aar;2007;;
219;Totaal verdachten van misdrijven;Ter Aar;2008;;
220;Totaal verdachten van misdrijven;Abcoude;1999;50.0;7.0
221;Totaal verdachten van misdrijven;Abcoude;2000;30.0;5.0
222;Totaal verdachten van misdrijven;Abcoude;2001;60.0;9.0
223;Totaal verdachten van misdrijven;Abcoude;2002;80.0;11.0
224;Totaal verdachten van misdrijven;Abcoude;2003;80.0;11.0
