ID;NieuweSelectie;DezeTabelIsVervallen_1;DezeTabelIsVervallen_2
0;0;Deze tabel is vervallen   ;Deze tabel is vervallen   
1;1;Deze tabel is vervallen   ;Deze tabel is vervallen   
