ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;Personen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7
0;Totale bevolking;Totaal over de leeftijden;Personen;2009;16481284.0;2607426.0;8342279.0;4581532.0;473626.0;266445.0;209976.0
1;Totale bevolking;Totaal over de leeftijden;Personen;2010;16536423.0;2639631.0;8367958.0;4570173.0;480793.0;266738.0;211130.0
2;Totale bevolking;Totaal over de leeftijden;Personen;2011;16585423.0;2673525.0;8391083.0;4555183.0;486959.0;268269.0;210404.0
3;Totale bevolking;Totaal over de leeftijden;Personen;2012;16633671.0;2709668.0;8413190.0;4539564.0;492408.0;270554.0;208287.0
4;Totale bevolking;Totaal over de leeftijden;Personen;2013;16682058.0;2747495.0;8434825.0;4523536.0;497220.0;273275.0;205707.0
5;Totale bevolking;Totaal over de leeftijden;Personen;2014;16730854.0;2784943.0;8456335.0;4508382.0;501903.0;275858.0;203433.0
6;Totale bevolking;Totaal over de leeftijden;Personen;2015;16779252.0;2822316.0;8476927.0;4493658.0;505859.0;278509.0;201983.0
7;Totale bevolking;Totaal over de leeftijden;Personen;2016;16827557.0;2859706.0;8496349.0;4479746.0;509051.0;281193.0;201512.0
8;Totale bevolking;Totaal over de leeftijden;Personen;2017;16875507.0;2896958.0;8514554.0;4466301.0;511866.0;283897.0;201931.0
9;Totale bevolking;Totaal over de leeftijden;Personen;2018;16922512.0;2934322.0;8531109.0;4453238.0;514013.0;286710.0;203120.0
10;Totale bevolking;Totaal over de leeftijden;Personen;2019;16968631.0;2971802.0;8546075.0;4440437.0;515684.0;289665.0;204968.0
11;Totale bevolking;Totaal over de leeftijden;Personen;2020;17013720.0;3009204.0;8559423.0;4428205.0;516863.0;292669.0;207356.0
12;Totale bevolking;Totaal over de leeftijden;Personen;2021;17057887.0;3046285.0;8571120.0;4416854.0;517658.0;295722.0;210248.0
13;Totale bevolking;Totaal over de leeftijden;Personen;2022;17100870.0;3082718.0;8581134.0;4406424.0;518300.0;298677.0;213617.0
