ID;EnvironmentalActivities;EnvironmentalDomains;Periods;LabourInputOfEmployedPersons_1;OutputAtBasicPrices_2;GrossValueAddedAtBasicPrices_3
0;20000;10000;2001;118.5;21467.0;8073.0
1;20000;10000;2002;121.2;22771.0;8460.0
2;20000;10000;2003;121.5;23586.0;8689.0
3;20000;10000;2004;116.2;23434.0;8912.0
4;20000;10000;2005;115.0;23897.0;9231.0
5;20000;10000;2006;118.9;25799.0;10088.0
6;20000;10000;2007;122.1;27555.0;10904.0
7;20000;10000;2008;125.3;30273.0;12056.0
8;20000;10000;2009;126.5;29604.0;11800.0
9;20000;10000;2010;125.9;31019.0;12778.0
10;20000;10000;2011;131.6;33766.0;13491.0
11;20000;10000;2012;130.0;34526.0;13239.0
12;20000;10100;2001;73.7;13963.0;5207.0
13;20000;10100;2002;76.0;14782.0;5440.0
14;20000;10100;2003;79.0;15321.0;5577.0
15;20000;10100;2004;77.2;15502.0;5746.0
16;20000;10100;2005;76.8;15539.0;5893.0
17;20000;10100;2006;78.4;16588.0;6436.0
18;20000;10100;2007;79.4;17477.0;6852.0
19;20000;10100;2008;79.6;18450.0;7278.0
20;20000;10100;2009;79.1;17793.0;6863.0
21;20000;10100;2010;76.3;18470.0;7650.0
22;20000;10100;2011;76.4;19179.0;7831.0
23;20000;10100;2012;76.0;18813.0;7530.0
24;20000;10700;2001;44.8;7504.0;2866.0
25;20000;10700;2002;45.2;7989.0;3020.0
26;20000;10700;2003;42.4;8265.0;3112.0
27;20000;10700;2004;39.0;7932.0;3166.0
28;20000;10700;2005;38.2;8358.0;3338.0
29;20000;10700;2006;40.4;9211.0;3652.0
30;20000;10700;2007;42.7;10078.0;4052.0
31;20000;10700;2008;45.7;11823.0;4778.0
32;20000;10700;2009;47.4;11811.0;4937.0
33;20000;10700;2010;49.6;12548.0;5128.0
34;20000;10700;2011;55.2;14587.0;5660.0
35;20000;10700;2012;54.0;15712.0;5710.0
36;10900;10000;2001;1.7;257.0;98.0
37;10900;10000;2002;1.9;269.0;95.0
38;10900;10000;2003;2.1;286.0;102.0
39;10900;10000;2004;2.0;296.0;97.0
40;10900;10000;2005;2.1;306.0;104.0
41;10900;10000;2006;2.2;338.0;116.0
42;10900;10000;2007;2.1;363.0;115.0
43;10900;10000;2008;2.2;401.0;112.0
44;10900;10000;2009;2.3;387.0;104.0
45;10900;10000;2010;2.4;477.0;146.0
46;10900;10000;2011;2.9;501.0;124.0
47;10900;10000;2012;3.0;546.0;138.0
48;10900;10100;2001;1.7;257.0;98.0
49;10900;10100;2002;1.9;269.0;95.0
50;10900;10100;2003;2.1;286.0;102.0
51;10900;10100;2004;2.0;296.0;97.0
52;10900;10100;2005;2.1;306.0;104.0
53;10900;10100;2006;2.2;338.0;116.0
54;10900;10100;2007;2.1;363.0;115.0
55;10900;10100;2008;2.2;401.0;112.0
56;10900;10100;2009;2.3;387.0;104.0
57;10900;10100;2010;2.4;477.0;146.0
58;10900;10100;2011;2.9;501.0;124.0
59;10900;10100;2012;3.0;546.0;138.0
60;10900;10700;2001;;;
61;10900;10700;2002;;;
62;10900;10700;2003;;;
63;10900;10700;2004;;;
64;10900;10700;2005;;;
65;10900;10700;2006;;;
66;10900;10700;2007;;;
67;10900;10700;2008;;;
68;10900;10700;2009;;;
69;10900;10700;2010;;;
70;10900;10700;2011;;;
71;10900;10700;2012;;;
72;10300;10000;2001;15.3;3975.0;1335.0
73;10300;10000;2002;16.0;4320.0;1438.0
74;10300;10000;2003;16.1;4594.0;1494.0
75;10300;10000;2004;15.7;4100.0;1467.0
76;10300;10000;2005;15.2;4036.0;1407.0
77;10300;10000;2006;15.3;4159.0;1386.0
78;10300;10000;2007;16.3;4640.0;1506.0
79;10300;10000;2008;18.2;5634.0;1769.0
80;10300;10000;2009;19.0;5479.0;1803.0
81;10300;10000;2010;19.9;5594.0;1903.0
82;10300;10000;2011;21.2;6171.0;1986.0
83;10300;10000;2012;22.2;6566.0;2042.0
84;10300;10100;2001;;;
85;10300;10100;2002;;;
86;10300;10100;2003;;;
87;10300;10100;2004;;;
88;10300;10100;2005;;;
89;10300;10100;2006;;;
90;10300;10100;2007;;;
91;10300;10100;2008;;;
92;10300;10100;2009;;;
93;10300;10100;2010;;;
94;10300;10100;2011;;;
95;10300;10100;2012;;;
