ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalOpnamen_1;Dagopnamen_2;KlinischeOpnamen_3;VerpleegdagenPer10000Inwoners_4;GemVerpleegduurPerKlinischeOpname_5;GemiddeldeBevolking_6
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1981;;;1104.4;14500.4;13.1;14246042
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1982;;;1117.3;14271.6;12.8;14309788
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1983;;;1117.5;13901.2;12.4;14366698
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1984;;;1084.9;13222.8;12.2;14426692
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1985;;;1072.3;12876.9;12.0;14493869
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1986;;;1054.9;12433.4;11.8;14575745
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1987;;;1028.9;11833.8;11.5;14666633
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1988;;;1022.3;11553.0;11.3;14760459
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1989;;;1028.4;11296.7;11.0;14850501
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1990;;;1016.9;10901.6;10.7;14956742
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1991;;;1013.9;10681.8;10.5;15070490
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1992;;;1018.4;10452.0;10.3;15183644
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1993;1366.8;347.8;1019.0;10207.7;10.0;15290251
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1994;1416.0;383.7;1032.3;10013.4;9.7;15383156
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1995;1438.0;418.8;1019.2;9712.6;9.5;15456302
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1996;1464.8;449.2;1015.6;9515.6;9.4;15529891
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1997;1479.1;475.7;1003.5;9196.9;9.2;15611762
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1998;1484.6;505.6;979.0;8839.6;9.0;15710759
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1999;1483.7;528.8;954.9;8308.9;8.7;15812446
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2000;1477.9;555.2;922.8;7792.5;8.4;15927948
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2001;1520.9;611.7;909.2;7477.6;8.2;16043933
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2002;1620.0;684.8;935.3;7297.9;7.8;16147951
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2003;1715.3;748.3;967.0;7212.0;7.5;16224258
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2004;1839.1;825.9;1013.1;7142.1;7.0;16278392
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2005;1918.4;880.7;1037.7;7073.9;6.8;16316942
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2006;2023.8;959.1;1064.7;7002.1;6.6;16345044
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2007;2119.9;1031.0;1088.9;6880.1;6.3;16380151
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2008;2217.7;1097.1;1120.5;6815.1;6.1;16447529
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2009;2328.1;1174.5;1153.6;6695.9;5.8;16530642
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2010;2437.5;1248.6;1188.9;6615.2;5.6;16615300
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2011;2551.8;1334.7;1217.1;6431.4;5.3;16691100
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2012;2572.5;1390.8;1181.7;6145.7;5.2;16753115
32;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1981;;;1208.0;18142.5;15.0;2008951
33;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1982;;;1241.0;17974.2;14.5;1981814
34;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1983;;;1258.9;17733.6;14.1;1956941
35;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1984;;;1250.8;16955.1;13.6;1942104
36;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1985;;;1259.8;16675.3;13.2;1939650
37;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1986;;;1232.9;15822.5;12.8;1944557
38;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1987;;;1194.5;15037.1;12.6;1952683
39;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1988;;;1184.4;14453.8;12.2;1960627
40;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1989;;;1162.6;13806.4;11.9;1963221
41;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1990;;;1122.6;13033.6;11.6;1971157
42;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1991;;;1102.2;12585.9;11.4;1988132
43;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1992;;;1103.6;12334.1;11.2;2005269
44;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1993;1397.8;296.1;1101.7;11935.0;10.8;2015813
45;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1994;1446.5;327.7;1118.7;11662.9;10.4;2017749
46;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1995;1492.4;391.6;1100.7;11176.8;10.2;2009252
47;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1996;1502.9;423.7;1079.3;11017.6;10.2;2002078
48;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1997;1524.6;462.8;1061.9;10532.6;9.9;2002004
49;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1998;1519.6;499.1;1020.5;10020.6;9.8;2008726
50;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;1999;1525.7;531.3;994.4;9381.1;9.4;2016143
51;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2000;1489.0;557.8;931.2;8529.8;9.2;2024487
52;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2001;1543.7;632.1;911.6;8099.6;8.9;2040849
53;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2002;1678.6;725.5;953.1;7727.2;8.1;2059123
54;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2003;1736.3;761.6;974.7;7545.7;7.7;2071582
55;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2004;1851.4;839.2;1012.3;7442.7;7.4;2082285
56;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2005;1931.1;902.7;1028.4;7279.6;7.1;2087637
57;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2006;2013.2;943.6;1069.6;7316.3;6.8;2089103
58;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2007;2084.5;979.6;1104.9;7251.5;6.6;2095311
59;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2008;2186.7;1047.0;1139.7;7097.3;6.2;2113274
60;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2009;2288.2;1101.5;1186.7;6921.9;5.8;2141089
61;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2010;2388.4;1159.2;1229.2;6761.9;5.5;2177050
62;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2011;2497.0;1236.4;1260.6;6590.7;5.2;2210886
63;Totaal mannen en vrouwen;Totaal alle leeftijden;4 grote gemeenten;2012;2487.8;1295.2;1192.6;6204.2;5.2;2234273
64;Totaal mannen en vrouwen;Totaal alle leeftijden;Overige gemeenten;1981;;;1087.3;13902.5;12.8;12237091
65;Totaal mannen en vrouwen;Totaal alle leeftijden;Overige gemeenten;1982;;;1097.4;13676.4;12.5;12327974
