ID;Perioden;TotaalActiva_1;TotaalVasteActiva_2;ImmaterieleVasteActiva_3;TotaalMaterieleVasteActiva_4;GrondenEnTerreinen_5;Bedrijfsgebouwen_6;GrondWegEnWaterbouwkundigeWerken_7;OverigeMaterieleVasteActiva_8;TotaalFinancieleVasteActiva_9;Kapitaalverstrekkingen_10;LeningenAanVerbondenPartijen_11;OverigeLanglopendeLeningen_12;OverigeFinancieleVasteActiva_13;TotaalVlottendeActiva_14;TotaalVoorraden_15;NietInExploitatieGenomenBouwgronden_16;OnderhandenWerkInclBwgrInExpl_17;OverigeVoorraden_18;KortlopendeVorderingenEnUitzettingen_19;LiquideMiddelenKasBankEnGiro_20;OverlopendeActiva_21;TotaalPassiva_22;TotaalVastePassiva_23;TotaalEigenVermogen_24;AlgemeneReserve_25;Bestemmingsreserves_26;SaldoVanDeRekening_27;Voorzieningen_28;TotaalVasteSchuld_29;OnderhandseLeningenVanBinFinInst_30;OverigeVasteSchuld_31;TotaalVlottendePassiva_32;KortlopendeSchuld_33;OverlopendePassiva_34
0;2004;5599.8;2241.9;23.1;1044.5;;;;;1174.4;145.9;;;1028.5;3357.8;84.8;;;;1559.6;1224.9;488.5;5598.4;4277.2;1334.9;;;;2004.0;938.3;;;1321.2;1122.3;198.9
1;2005;8225.7;2907.4;13.2;1404.7;214.1;571.8;166.7;452.1;1489.5;205.7;371.6;145.9;766.3;5318.3;324.5;8.8;253.4;62.4;1678.0;2274.3;1041.5;8225.8;5658.6;1615.4;891.5;596.0;127.9;2617.9;1425.3;963.7;461.6;2567.2;1832.6;734.6
2;2006;6308.7;2743.9;19.6;1485.9;281.1;543.3;202.4;459.0;1238.4;189.8;323.6;175.0;550.0;3564.8;325.3;17.6;252.0;55.7;1601.3;1354.8;283.3;6308.8;4513.8;1101.7;457.2;584.5;60.0;1984.6;1427.5;1061.3;366.2;1795.0;1457.2;337.9
3;2007;6718.1;2686.0;13.8;1535.1;332.9;511.8;247.0;443.4;1137.0;176.2;91.2;166.2;703.4;4032.1;308.2;17.9;224.3;66.0;1933.1;1504.6;286.1;6718.1;4784.0;1192.1;466.2;637.0;88.9;2232.8;1359.1;976.0;383.1;1934.0;1500.6;433.4
4;2008;6613.6;2485.9;14.8;1480.2;295.0;529.7;200.5;455.0;990.8;142.1;128.8;116.8;603.2;4127.7;328.6;78.3;215.4;35.0;1839.8;1709.2;250.1;6613.6;2942.0;1112.7;473.2;581.2;58.2;530.2;1299.1;928.8;370.4;3671.6;1730.7;1940.9
