ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;VerhuurPersonenautoSEnTransportm_3;OperationalLeasePersonenautoSEn_4;OverigeDienstverleningNietEerder_5;TotaalNettoOmzetUitHoofdactiviteit_6;PersonenautoSTot35Ton_7;VrachtautoSAanhangersEnOpleggers_8;Motorfietsen_9;CaravansVouwwagensKampeerautoS_10;Containers_11;Schepen_12;Vliegtuigen_13;OverigeVerhuurEnLeasemiddelen_14;TotaalNettoOmzetUitHoofdactiviteit_15;Particulier_16;Zakelijk_17;TotaalNettoOmzetUitOverigeActiv_18;VerhuurMetBedienendPersoneel_19;VerkoopVanZelfvervaardigdeProducten_20;Handel_21;OverigeDienstverleningNietEerder_22
0;7110a Verhuur van transportmiddelen;2002;905;;;;;;;;;;;;;;;;;;;;;
1;7110a Verhuur van transportmiddelen;2003;815;5442.0;606.0;4741.0;95.0;5442.0;4583.0;430.0;1.0;12.0;27.0;3.0;311.0;75.0;5442.0;157.0;5285.0;297.0;5.0;1.0;238.0;53.0
2;7110a Verhuur van transportmiddelen;2004;825;5079.0;646.0;4262.0;171.0;5079.0;4019.0;556.0;1.0;4.0;18.0;7.0;370.0;104.0;5079.0;168.0;4911.0;274.0;1.0;6.0;141.0;126.0
3;7110a Verhuur van transportmiddelen;2005;770;4958.0;531.0;4345.0;82.0;4958.0;3867.0;443.0;3.0;1.0;21.0;5.0;450.0;167.0;4958.0;113.0;4845.0;224.0;6.0;0.0;153.0;65.0
4;711 Verhuur van personenauto's;2002;470;4612.0;442.0;4057.0;113.0;4612.0;4221.0;312.0;1.0;2.0;0.0;0.0;0.0;76.0;4612.0;237.0;4375.0;343.0;1.0;0.0;311.0;32.0
5;711 Verhuur van personenauto's;2003;415;;;;;;;;;;;;;;;;;;;;;
6;711 Verhuur van personenauto's;2004;425;;;;;;;;;;;;;;;;;;;;;
7;711 Verhuur van personenauto's;2005;395;;;;;;;;;;;;;;;;;;;;;
