ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouders_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalAantalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;ReferentiepersonenMetKinderen_30;JongsteKind02Jaar_31;JongsteKind35Jaar_32;JongsteKind611Jaar_33;JongsteKind1217Jaar_34;JongsteKind18JaarEnOuder_35
0;2003;16201840;2402928;8274698;4638646;419649;257859;208062;7001383;2402927;4129837;419649;48970;2.28;7001383;2402927;4598456;2282742;899159;968459;448096;4129836;2030871;758060;930381;410524;419649;249530;125931;44188;2518615;551831;331071;553602;487747;594362
1;2004;16283904;2447666;8288797;4656276;427387;259979;203800;7061119;2447664;4136897;427383;49175;2.28;7061119;2447664;4613455;2291911;894146;978325;449073;4136898;2035213;750929;939745;411011;427384;254606;127932;44846;2529067;544580;343229;550971;501670;588618
2;2005;16356555;2490563;8301162;4668790;434639;262126;199275;7117673;2490564;4143079;434644;49386;2.27;7117673;2490564;4627109;2299697;889909;988221;449282;4143079;2038329;744784;949229;410737;434644;259521;129719;45404;2539394;538790;346466;554146;511544;588447
3;2006;16422792;2533209;8312038;4677032;441556;264377;194578;7172906;2533200;4148523;441561;49622;2.26;7172905;2533200;4639705;2307345;886530;997233;448597;4148523;2041408;739644;957896;409575;441561;264324;131356;45881;2548676;530098;350004;556547;521335;590692
4;2007;16485214;2575699;8323185;4681713;448131;266708;189776;7227828;2575700;4154089;448122;49917;2.25;7227828;2575700;4652128;2315888;884579;1004866;446795;4154089;2045371;736118;965287;407313;448122;269079;132802;46241;2556840;520257;346818;565671;531561;592533
5;2008;16546020;2618399;8335457;4683607;454444;269156;184955;7283341;2618406;4160227;454440;50268;2.25;7283341;2618406;4664935;2326134;883139;1011489;444173;4160227;2050998;733260;971756;404213;454440;273826;134082;46532;2563669;510448;345237;574767;536215;597002
6;2009;16606609;2661628;8349580;4683000;460491;271733;180183;7340046;2661605;4167289;460483;50669;2.24;7340045;2661605;4678440;2337369;882954;1017100;441017;4167289;2057603;731807;977309;400570;460483;278549;135204;46730;2570169;502076;340467;586412;533789;607426
7;2010;16667137;2705134;8365759;4680122;466231;274351;175543;7397850;2705143;4175388;466235;51084;2.23;7397850;2705143;4692707;2350826;883653;1021298;436930;4175387;2066430;731415;981525;396017;466235;283260;136147;46828;2575193;495550;333988;596876;530723;618056
8;2011;16727458;2748493;8383798;4675437;471667;276966;171117;7456051;2748484;4184403;471660;51504;2.22;7456051;2748484;4707567;2365979;884858;1024237;432493;4184402;2076999;731730;984507;391166;471660;287917;136890;46853;2579064;491528;326731;600190;533541;627074
9;2012;16786978;2791379;8403004;4669276;476818;279506;166998;7514111;2791375;4194006;476817;51913;2.21;7514112;2791375;4722737;2382774;885885;1026292;427786;4194007;2089226;732048;986627;386106;476816;292556;137455;46805;2581597;489170;320121;600611;535582;636114
10;2013;16844911;2833544;8422794;4661708;481681;281928;163264;7571418;2833542;4203903;481666;52307;2.2;7571418;2833542;4737876;2400831;886468;1027445;423132;4203903;2102821;732063;987870;381149;481666;297083;137886;46697;2582748;487957;314618;592222;544178;643773
11;2014;16901118;2874679;8442662;4653332;486251;284188;160005;7627416;2874681;4213821;486257;52657;2.19;7627415;2874681;4752734;2420178;886509;1027867;418180;4213821;2117829;731653;988416;375923;486257;301505;138210;46542;2582249;487801;310995;584413;553702;645338
12;2015;16955706;2914601;8462303;4644650;490549;286301;157303;7681773;2914591;4223650;490548;52984;2.19;7681772;2914591;4767181;2439902;885974;1027918;413387;4223651;2133355;730792;988629;370875;490548;305781;138417;46350;2580843;488504;308530;573762;566058;643989
13;2016;17009007;2953433;8481428;4635955;494616;288332;155244;7734573;2953434;4233215;494618;53306;2.18;7734574;2953434;4781140;2459395;884972;1027971;408802;4233215;2148757;729566;988843;366049;494618;309937;138526;46155;2579076;490170;306790;562380;576874;642861
14;2017;17061176;2991410;8499800;4627280;498451;290327;153909;7785881;2991418;4242394;498456;53613;2.17;7785880;2991418;4794462;2477768;883513;1028520;404661;4242395;2163157;727999;989563;361676;498455;313984;138522;45949;2577693;492530;305788;551862;580215;647299
15;2018;17112390;3028552;8517167;4618845;502103;292336;153389;7835665;3028544;4251088;502102;53931;2.16;7835665;3028544;4807121;2495081;882079;1029215;400746;4251087;2176678;726476;990400;357533;502102;317838;138497;45767;2576512;495442;305368;542906;580587;652208
16;2019;17162638;3064879;8533440;4610634;505604;294300;153780;7883934;3064866;4259219;505613;54236;2.16;7883934;3064866;4819068;2510898;880581;1030243;397346;4259219;2188843;724919;991544;353913;505613;321558;138446;45609;2575989;498778;305666;535571;572276;663698
17;2020;17211924;3099902;8548645;4602979;509039;296169;155191;7930285;3099911;4266811;509038;54525;2.15;7930285;3099911;4830374;2526628;879114;1030555;394077;4266811;2201045;723390;991932;350444;509038;325155;138404;45479;2574804;502374;306477;530735;564481;670737
18;2021;17259945;3133709;8562753;4595910;512445;297917;157214;7974801;3133699;4273870;512446;54786;2.14;7974800;3133699;4841101;2541825;877463;1030570;391243;4273869;2212856;721610;991972;347431;512445;328617;138436;45392;2573460;506021;307783;527472;553867;678316
19;2022;17306586;3166325;8575910;4589552;515888;299535;159381;8017652;3166328;4280449;515869;55006;2.14;8017652;3166328;4851324;2556600;875271;1030393;389060;4280449;2224337;719269;991763;345080;515869;332010;138495;45364;2571981;509520;309571;525515;542590;684784
20;2023;17351617;3197479;8588012;4584052;519376;300979;161718;8058550;3197483;4286508;519378;55181;2.13;8058550;3197483;4861067;2571825;872175;1029748;387319;4286508;2236343;715939;991046;343180;519379;335346;138651;45382;2569543;512760;311733;524705;532167;688178
21;2024;17394863;3226849;8598958;4579639;522940;302229;164251;8097082;3226851;4291975;522934;55322;2.13;8097082;3226851;4870231;2587247;868013;1028896;386075;4291975;2248652;711461;990094;341768;522933;338576;138899;45458;2566257;515688;314073;524894;523297;688306
22;2025;17436152;3254211;8608452;4576634;526599;303274;166988;8132963;3254219;4296725;526607;55412;2.12;8132962;3254219;4878743;2602550;862759;1028071;385363;4296725;2260896;705798;989158;340873;526607;341768;139253;45586;2562436;518312;316403;526259;516014;685448
23;2026;17475266;3279369;8616207;4575335;530359;304085;169917;8165767;3279364;4300603;530352;55448;2.12;8165766;3279364;4886402;2617058;856675;1027524;385145;4300602;2272421;699225;988482;340474;530352;344899;139701;45752;2558534;520616;318653;528513;511172;679579
24;2027;17512047;3302268;8621988;4575877;534201;304691;173031;8195406;3302263;4303491;534199;55453;2.12;8195406;3302263;4893143;2630300;849961;1027534;385348;4303490;2282697;691944;988323;340526;534200;348007;140237;45956;2554993;522566;320785;531477;507849;672316
25;2028;17546317;3322898;8625484;4578425;538106;305085;176325;8221627;3322899;4305241;538097;55390;2.11;8221627;3322899;4898728;2641702;842855;1028254;385917;4305241;2291209;684222;988851;340959;538097;351072;140837;46188;2552129;524136;322766;534985;505775;664467
26;2029;17577864;3341106;8626692;4582877;542025;305369;179797;8244295;3341105;4305845;542018;55327;2.11;8244294;3341105;4903189;2650997;835626;1029766;386800;4305845;2297623;676331;990176;341715;542017;354105;141488;46424;2550240;525340;324522;538869;504816;656693
27;2030;17606569;3357026;8625474;4589169;545920;305565;183416;8263454;3357023;4305239;545928;55264;2.11;8263454;3357023;4906431;2657962;828499;1032069;387901;4305239;2301725;668518;992286;342710;545928;357099;142169;46660;2549442;526198;325978;542902;504834;649531
28;2031;17632175;3370848;8621849;4597004;549751;305612;187111;8279196;3370847;4303422;549744;55183;2.11;8279196;3370847;4908349;2662435;821710;1035075;389129;4303422;2303422;661041;995111;343848;549744;359993;142859;46892;2549744;526680;327118;546868;506012;643066
29;2032;17654600;3382682;8615976;4606058;553487;305621;190785;8291767;3382692;4300485;553485;55105;2.11;8291766;3382692;4909074;2664658;815350;1038647;390419;4300486;2302918;654003;998508;345057;553485;362824;143543;47118;2551052;526756;327970;550613;508071;637642
30;2033;17673677;3392728;8608163;4615843;557093;305502;194348;8301457;3392738;4296586;557097;55036;2.11;8301456;3392738;4908718;2664912;809558;1042563;391685;4296586;2300496;647549;1002260;346281;557098;365560;144217;47321;2553187;526393;328606;554001;510851;633336
31;2034;17689280;3401086;8598747;4625850;560534;305328;197734;8308456;3401085;4291877;560533;54961;2.11;8308455;3401085;4907370;2663450;804426;1046615;392879;4291876;2296469;641807;1006159;347441;560533;368175;144842;47516;2555941;525562;329062;556967;514198;630152
32;2035;17701405;3407854;8588094;4635606;563781;305138;200931;8313087;3407859;4286541;563786;54901;2.11;8313087;3407859;4905228;2660691;800020;1050561;393956;4286541;2291239;636839;1009977;348486;563786;370675;145420;47691;2559088;524238;329383;559449;517949;628070
33;2036;17710154;3413197;8576574;4644707;566827;304910;203937;8315674;3413201;4280780;566829;54864;2.11;8315674;3413201;4902473;2656998;796410;1054178;394887;4280780;2285171;632710;1013499;349400;566829;373040;145956;47833;2562438;522451;329556;561455;521870;627106
34;2037;17715574;3417116;8564658;4652711;569659;304666;206763;8316404;3417106;4274825;569659;54814;2.11;8316404;3417106;4899298;2652716;793630;1057311;395641;4274826;2278669;629460;1016564;350133;569659;375261;146446;47952;2565815;520282;329532;563017;525749;627236
35;2038;17717943;3419813;8552645;4659414;572263;304402;209410;8315666;3419812;4268825;572254;54775;2.11;8315666;3419812;4895854;2648186;791582;1059898;396188;4268826;2272022;627033;1019111;350660;572254;377360;146844;48050;2569057;517877;329216;564228;529415;628321
36;2039;17717501;3421347;8540950;4664602;574615;304130;211859;8313648;3421335;4262977;574615;54721;2.11;8313648;3421335;4892313;2643652;790338;1061796;396527;4262977;2265561;625442;1021006;350968;574615;379284;147212;48119;2572031;515356;328573;565180;532726;630197
37;2040;17714593;3421755;8529948;4668232;576713;303834;214111;8310588;3421736;4257466;576707;54679;2.11;8310588;3421736;4888852;2639437;789729;1063063;396623;4257466;2259547;624583;1022285;351051;576707;381060;147484;48163;2574626;512859;327611;565859;535611;632686
38;2041;17709487;3421200;8519732;4670276;578570;303533;216175;8306790;3421192;4252377;578575;54646;2.11;8306790;3421192;4885598;2635766;789639;1063713;396480;4252377;2254185;624314;1022966;350912;578575;382717;147683;48175;2576767;510492;326403;566230;538014;635629
39;2042;17702508;3419666;8510519;4670802;580212;303229;218078;8302242;3419663;4247751;580213;54615;2.11;8302242;3419663;4882579;2632665;790013;1063797;396104;4247751;2249541;624569;1023086;350555;580214;384223;147824;48167;2578423;508377;324998;566226;539956;638866
40;2043;17693961;3417229;8502365;4669991;581632;302913;219833;8297114;3417227;4243679;581640;54568;2.11;8297114;3417227;4879887;2630283;790690;1063378;395536;4243679;2245748;625191;1022724;350016;581640;385611;147902;48127;2579571;506604;323473;565767;541478;642248
41;2044;17684154;3413891;8495374;4668005;582851;302569;221463;8291467;3413882;4240195;582857;54533;2.11;8291467;3413882;4877585;2628644;791619;1062537;394785;4240196;2242831;626107;1021952;349306;582856;386848;147937;48071;2580221;505237;321897;564814;542675;645599
42;2045;17673369;3409605;8489633;4665038;583885;302231;222981;8285309;3409600;4237319;583893;54497;2.11;8285310;3409600;4875710;2627792;792645;1061371;393902;4237318;2240814;627173;1020870;348461;583893;387974;147920;47999;2580398;504310;320357;563331;543637;648764
43;2046;17661926;3404455;8485170;4661371;584733;301801;224397;8278728;3404452;4235098;584736;54442;2.11;8278729;3404452;4874277;2627661;793746;1059967;392903;4235098;2239664;628357;1019556;347521;584736;388955;147866;47915;2580170;503835;318934;561367;544359;651674
