ID;Perioden;Prijsindex_1;MutatiesTovDezelfdePeriodeVorigJaar_2;Prijsindex_3;MutatiesTovDezelfdePeriodeVorigJaar_4;Prijsindex_5;MutatiesTovDezelfdePeriodeVorigJaar_6
125;1999 september;97.1;2.5;98.6;4.2;95.8;0.9
126;1999 oktober;97.2;2.1;98.8;3.2;96.0;1.3
127;1999 november;97.3;2.2;98.8;3.4;96.1;1.3
128;1999 december;97.7;2.7;98.8;3.4;96.8;2.2
129;1999;96.5;1.8;97.6;3.1;95.7;0.7
130;2000 januari;98.7;3.4;99.0;3.2;98.4;3.5
131;2000 februari;98.7;3.4;99.0;3.2;98.5;3.6
132;2000 maart;98.8;3.4;99.0;3.1;98.6;3.6
133;2000 april;99.3;3.3;99.1;2.2;99.4;4.1
134;2000 mei;99.3;3.3;99.1;2.2;99.4;4.1
135;2000 juni;99.4;3.3;99.4;2.4;99.4;4.1
136;2000 juli;100.8;3.9;100.9;2.3;100.7;5.2
137;2000 augustus;100.8;3.9;100.9;2.3;100.7;5.2
138;2000 september;100.9;3.9;100.9;2.3;101.0;5.4
139;2000 oktober;101.2;4.1;100.9;2.1;101.4;5.6
140;2000 november;101.2;4.0;100.9;2.1;101.4;5.5
141;2000 december;101.2;3.6;100.9;2.1;101.4;4.7
142;2000;100.0;3.6;100.0;2.5;100.0;4.6
143;2001 januari;103.2;4.5;101.8;2.8;104.3;5.9
144;2001 februari;103.3;4.7;101.8;2.8;104.6;6.2
145;2001 maart;103.2;4.5;101.8;2.8;104.5;6.0
146;2001 april;104.8;5.5;105.0;5.9;104.7;5.4
147;2001 mei;105.2;6.0;105.8;6.8;104.7;5.4
148;2001 juni;105.8;6.4;107.0;7.6;104.8;5.4
149;2001 juli;106.1;5.3;107.7;6.7;104.9;4.1
150;2001 augustus;106.2;5.4;107.7;6.7;105.0;4.2
151;2001 september;106.2;5.3;107.7;6.7;105.1;4.0
152;2001 oktober;106.3;5.1;107.7;6.8;105.1;3.7
153;2001 november;106.3;5.1;107.7;6.8;105.1;3.7
154;2001 december;106.4;5.2;107.7;6.8;105.4;3.9
155;2001;105.3;5.2;105.8;5.8;104.9;4.8
156;2002 januari;108.0;4.7;109.6;7.6;106.9;2.5
157;2002 februari;108.1;4.6;109.6;7.6;107.0;2.2
158;2002 maart;108.6;5.2;110.4;8.5;107.1;2.5
159;2002 april;108.7;3.8;110.4;5.2;107.3;2.5
160;2002 mei;108.7;3.3;110.4;4.4;107.4;2.6
161;2002 juni;108.8;2.9;110.7;3.5;107.3;2.4
162;2002 juli;110.0;3.7;113.0;5.0;107.5;2.5
163;2002 augustus;110.0;3.6;113.0;5.0;107.4;2.3
164;2002 september;110.0;3.6;113.0;5.0;107.5;2.3
165;2002 oktober;110.0;3.5;113.0;4.9;107.5;2.3
166;2002 november;109.9;3.4;112.7;4.6;107.7;2.5
167;2002 december;109.8;3.2;112.7;4.6;107.5;2.0
168;2002;109.2;3.8;111.5;5.4;107.3;2.4
169;2003 januari;111.1;2.8;114.6;4.6;108.3;1.3
170;2003 februari;111.1;2.8;114.6;4.6;108.3;1.2
171;2003 maart;111.2;2.3;114.6;3.8;108.3;1.1
172;2003 april;111.3;2.3;114.9;4.0;108.3;1.0
173;2003 mei;111.4;2.4;114.9;4.0;108.4;0.9
174;2003 juni;111.4;2.4;115.0;3.8;108.5;1.1
175;2003 juli;112.1;1.9;116.5;3.1;108.4;0.9
