ID;LeeftijdVanDeMoeder;BurgerlijkeStaatMoeder;VolgordeGeboorteUitDeMoeder;Perioden;LevendgebLeeftijdMoederOp3112_1;LevendgebLftMoederOp3112Rel_2;LevendgebLftMoederLaatsteVerjDag_3
0;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1950;229718;90.53;229718
1;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1951;228407;89.4;228407
2;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1952;231888;90.59;231888
3;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1953;227964;88.87;227964
4;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1954;228173;88.63;228173
5;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1955;229222;88.54;229222
6;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1956;231492;88.99;231492
7;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1957;233892;89.45;233892
8;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1958;236859;89.73;236859
9;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1959;242518;90.91;242518
10;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1960;239128;89.01;239128
11;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1961;247407;90.12;247407
12;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1962;246150;87.96;246150
13;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1963;249879;87.95;249879
14;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1964;250914;87.2;250914
15;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1965;245216;84.09;245216
16;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1966;239611;81.14;239611
17;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1967;238678;79.77;238678
18;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1968;237112;78.21;237112
19;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1969;247588;80.58;247588
20;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1970;238912;76.96;238912
21;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1971;227180;72.29;227180
22;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1972;214133;67.25;214133
23;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1973;194993;60.49;194993
24;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1974;185982;56.89;185982
25;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1975;177876;53.58;177876
26;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1976;177090;52.47;177090
27;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1977;173296;50.59;173296
28;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1978;175550;50.49;175550
29;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1979;174979;49.52;174979
30;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1980;181294;50.52;181294
31;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1981;178569;49.07;178569
32;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1982;172071;46.74;172071
33;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1983;170246;45.68;170246
34;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1984;174436;46.2;174436
35;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1985;178136;46.59;178136
36;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1986;184513;47.71;184513
37;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1987;186667;47.78;186667
38;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1988;186647;47.45;186647
39;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1989;188979;47.79;188979
40;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1990;197965;49.86;197965
41;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1991;198665;49.77;198665
42;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1992;196734;49.07;196734
43;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1993;195748;48.68;195748
44;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1994;195611;48.63;195611
45;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1995;190513;47.32;190513
46;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1996;189521;47.43;189521
47;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1997;192443;48.48;192443
48;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1998;199408;50.43;199408
49;Totaal leeftijd;Totaal burgerlijke staat;Totaal;1999;200445;50.79;200445
50;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2000;206619;52.37;206619
51;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2001;202603;51.28;202603
52;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2002;202083;51.16;202083
53;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2003;200297;50.79;200297
54;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2004;194007;49.34;194007
55;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2005;187910;47.97;187910
56;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2006;185057;47.48;185057
57;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2007;181336;46.77;181336
58;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2008;184634;47.79;184634
