ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
0;Noord-Nederland (LD);01 jan 1830 ;            ;LD01    ;                                   ;               ;18300101;            
1;Oost-Nederland (LD);01 jan 1830 ;            ;LD02    ;                                   ;               ;18300101;            
2;West-Nederland (LD);01 jan 1830 ;            ;LD03    ;                                   ;               ;18300101;            
3;Zuid-Nederland (LD);01 jan 1830 ;            ;LD04    ;                                   ;               ;18300101;            
4;Groningen (PV);01 jan 1830 ;            ;PV20    ;Groningen                          ;Gr.            ;18300101;            
5;Fryslân (PV);01 jan 1830 ;            ;PV21    ;Friesland                          ;F.             ;18300101;            
6;Drenthe (PV);01 jan 1830 ;            ;PV22    ;Drenthe                            ;D.             ;18300101;            
7;Overijssel (PV);01 jan 1830 ;            ;PV23    ;Overijssel                         ;O.             ;18300101;            
8;Flevoland (PV);01 jan 1986 ;            ;PV24    ;Flevoland                          ;Fle.           ;19860101;            
9;Gelderland (PV);01 jan 1830 ;            ;PV25    ;Gelderland                         ;Gld.           ;18300101;            
10;Utrecht (PV);01 jan 1830 ;            ;PV26    ;Utrecht                            ;U.             ;18300101;            
11;Noord-Holland (PV);01 jan 1830 ;            ;PV27    ;Noord-Holland                      ;NH.            ;18300101;            
12;Zuid-Holland (PV);01 jan 1830 ;            ;PV28    ;Zuid-Holland                       ;ZH.            ;18300101;            
13;Zeeland (PV);01 jan 1830 ;            ;PV29    ;Zeeland                            ;Z.             ;18300101;            
14;Noord-Brabant (PV);01 jan 1830 ;            ;PV30    ;Noord-Brabant                      ;NB.            ;18300101;            
15;Limburg (PV);01 jan 1830 ;            ;PV31    ;Limburg                            ;L.             ;18300101;            
16;Oost-Groningen (CR);01 jan 1970 ;            ;CR01    ;Groningen                          ;Gr.            ;19700101;            
17;Delfzijl en omgeving (CR);01 jan 1970 ;            ;CR02    ;Groningen                          ;Gr.            ;19700101;            
18;Overig Groningen (CR);01 jan 1970 ;            ;CR03    ;Groningen                          ;Gr.            ;19700101;            
19;Noord-Friesland (CR);01 jan 1970 ;            ;CR04    ;Friesland                          ;F.             ;19700101;            
20;Zuidwest-Friesland (CR);01 jan 1970 ;            ;CR05    ;Friesland                          ;F.             ;19700101;            
21;Zuidoost-Friesland (CR);01 jan 1970 ;            ;CR06    ;Friesland                          ;F.             ;19700101;            
22;Noord-Drenthe (CR);01 jan 1970 ;            ;CR07    ;Drenthe                            ;D.             ;19700101;            
23;Zuidoost-Drenthe (CR);01 jan 1970 ;            ;CR08    ;Drenthe                            ;D.             ;19700101;            
24;Zuidwest-Drenthe (CR);01 jan 1970 ;            ;CR09    ;Drenthe                            ;D.             ;19700101;            
25;Noord-Overijssel (CR);01 jan 1970 ;            ;CR10    ;Overijssel                         ;O.             ;19700101;            
26;Zuidwest-Overijssel (CR);01 jan 1970 ;            ;CR11    ;Overijssel                         ;O.             ;19700101;            
27;Twente (CR);01 jan 1970 ;            ;CR12    ;Overijssel                         ;O.             ;19700101;            
28;Veluwe (CR);01 jan 1970 ;            ;CR13    ;Gelderland                         ;Gld.           ;19700101;            
29;Achterhoek (CR);01 jan 1970 ;            ;CR14    ;Gelderland                         ;Gld.           ;19700101;            
30;Arnhem/Nijmegen (CR);01 jan 1970 ;            ;CR15    ;Gelderland                         ;Gld.           ;19700101;            
