ID;SBI93;Perioden;Waarde_1;VoortschrijdendeWaarde_2;Prijs_3;Volume_4;Waarde_5;CumulatieveWaarde_6;Prijs_7;CumulatievePrijs_8;Volume_9;CumulatieveVolume_10
0;55 Horeca;1993 januari;;;;;;;;;;
1;55 Horeca;1993 februari;;;;;;;;;;
2;55 Horeca;1993 maart;;;;;;;;;;
3;55 Horeca;1993 1e kwartaal;;;;;;;;;;
4;55 Horeca;1993 april;;;;;;;;;;
5;55 Horeca;1993 mei;;;;;;;;;;
6;55 Horeca;1993 juni;;;;;;;;;;
7;55 Horeca;1993 2e kwartaal;;;;;;;;;;
8;55 Horeca;1993 juli;;;;;;;;;;
9;55 Horeca;1993 augustus;;;;;;;;;;
10;55 Horeca;1993 september;;;;;;;;;;
11;55 Horeca;1993 3e kwartaal;;;;;;;;;;
12;55 Horeca;1993 oktober;;;;;;;;;;
13;55 Horeca;1993 november;;;;;;;;;;
14;55 Horeca;1993 december;;;;;;;;;;
15;55 Horeca;1993 4e kwartaal;;;;;;;;;;
16;55 Horeca;1993;;;;;;;;;;
17;55 Horeca;1994 januari;;;;;;;;;;
18;55 Horeca;1994 februari;;;;;;;;;;
19;55 Horeca;1994 maart;;;;;;;;;;
20;55 Horeca;1994 1e kwartaal;62.0;;;;;;;;;
21;55 Horeca;1994 april;;;;;;;;;;
22;55 Horeca;1994 mei;;;;;;;;;;
23;55 Horeca;1994 juni;;;;;;;;;;
24;55 Horeca;1994 2e kwartaal;76.0;;;;;;;;;
25;55 Horeca;1994 juli;;;;;;;;;;
26;55 Horeca;1994 augustus;;;;;;;;;;
27;55 Horeca;1994 september;;;;;;;;;;
28;55 Horeca;1994 3e kwartaal;77.0;;;;;;;;;
29;55 Horeca;1994 oktober;;;;;;;;;;
30;55 Horeca;1994 november;;;;;;;;;;
31;55 Horeca;1994 december;;;;;;;;;;
32;55 Horeca;1994 4e kwartaal;68.0;71.0;;;;;;;;
33;55 Horeca;1994;71.0;71.0;;;;;;;;
34;55 Horeca;1995 januari;;;;;;;;;;
35;55 Horeca;1995 februari;;;;;;;;;;
36;55 Horeca;1995 maart;;;;;;;;;;
37;55 Horeca;1995 1e kwartaal;63.0;71.0;;;2.0;2.0;;;;
38;55 Horeca;1995 april;;;;;;;;;;
39;55 Horeca;1995 mei;;;;;;;;;;
40;55 Horeca;1995 juni;;;;;;;;;;
41;55 Horeca;1995 2e kwartaal;79.0;72.0;;;3.5;2.8;;;;
42;55 Horeca;1995 juli;;;;;;;;;;
43;55 Horeca;1995 augustus;;;;;;;;;;
44;55 Horeca;1995 september;;;;;;;;;;
45;55 Horeca;1995 3e kwartaal;80.0;73.0;;;4.1;3.3;;;;
46;55 Horeca;1995 oktober;;;;;;;;;;
47;55 Horeca;1995 november;;;;;;;;;;
48;55 Horeca;1995 december;;;;;;;;;;
49;55 Horeca;1995 4e kwartaal;70.0;73.0;;;2.4;3.1;;;;
50;55 Horeca;1995;73.0;73.0;;;3.1;3.1;;;;
51;55 Horeca;1996 januari;;;;;;;;;;
52;55 Horeca;1996 februari;;;;;;;;;;
53;55 Horeca;1996 maart;;;;;;;;;;
54;55 Horeca;1996 1e kwartaal;65.0;74.0;;;2.8;2.8;;;;
55;55 Horeca;1996 april;;;;;;;;;;
56;55 Horeca;1996 mei;;;;;;;;;;
57;55 Horeca;1996 juni;;;;;;;;;;
58;55 Horeca;1996 2e kwartaal;82.0;74.0;;;3.7;3.3;;;;
59;55 Horeca;1996 juli;;;;;;;;;;
60;55 Horeca;1996 augustus;;;;;;;;;;
61;55 Horeca;1996 september;;;;;;;;;;
62;55 Horeca;1996 3e kwartaal;83.0;75.0;;;3.3;3.3;;;;
63;55 Horeca;1996 oktober;;;;;;;;;;
64;55 Horeca;1996 november;;;;;;;;;;
65;55 Horeca;1996 december;;;;;;;;;;
66;55 Horeca;1996 4e kwartaal;75.0;76.0;;;7.9;4.4;;;;
67;55 Horeca;1996;76.0;76.0;;;4.4;4.4;;;;
68;55 Horeca;1997 januari;;;;;;;;;;
69;55 Horeca;1997 februari;;;;;;;;;;
70;55 Horeca;1997 maart;;;;;;;;;;
71;55 Horeca;1997 1e kwartaal;70.0;77.0;;;7.1;7.1;;;;
72;55 Horeca;1997 april;;;;;;;;;;
73;55 Horeca;1997 mei;;;;;;;;;;
74;55 Horeca;1997 juni;;;;;;;;;;
75;55 Horeca;1997 2e kwartaal;87.0;79.0;;;6.0;6.5;;;;
76;55 Horeca;1997 juli;;;;;;;;;;
77;55 Horeca;1997 augustus;;;;;;;;;;
78;55 Horeca;1997 september;;;;;;;;;;
79;55 Horeca;1997 3e kwartaal;90.0;80.0;;;7.8;7.0;;;;
80;55 Horeca;1997 oktober;;;;;;;;;;
