ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalBedrijven_1;k_1WerkzaamPersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100Tot150WerkzamePersonen_9;k_150Tot200WerkzamePersonen_10;k_200Tot250WerkzamePersonen_11;k_250Tot500WerkzamePersonen_12;k_500Tot1000WerkzamePersonen_13;k_1000Tot2000WerkzamePersonen_14;k_2000WerkzamePersonenOfMeer_15;k_0Tot50WerkzamePersonen_16;k_0Tot250WerkzamePersonen_17;k_2Tot10WerkzamePersonen_18;k_10Tot50WerkzamePersonen_19;k_50Tot250WerkzamePersonen_20;TotaalNatuurlijkePersonen_21;Eenmanszaak_22;MaatschapSamenwerking_23;VennootschapOnderFirmaVOF_24;CommanditaireVennootschapCV_25;TotaalRechtspersonen_26;BeslotenVennootschapBV_27;NaamlozeVennootschapNV_28;CooperatieveVereniging_29;VerenigingOfStichting_30;Overheid_31;OverigOfOnbekend_32
0;A-U Alle economische activiteiten;2007 1e kwartaal;987345.0;619565.0;158445.0;81295.0;60100.0;32635.0;20280.0;7170.0;2600.0;1335.0;805.0;1580.0;840.0;420.0;275.0;972320.0;984225.0;299840.0;52915.0;11905.0;702465.0;522700.0;47365.0;125220.0;7180.0;284880.0;243290.0;1060.0;1285.0;35160.0;1105.0;2980.0
1;A-U Alle economische activiteiten;2007 2e kwartaal;1012210.0;641795.0;159225.0;82530.0;60370.0;32790.0;20295.0;7165.0;2645.0;1370.0;840.0;1625.0;860.0;420.0;275.0;997010.0;1009030.0;302130.0;53085.0;12020.0;720725.0;540795.0;47290.0;125560.0;7085.0;291490.0;249790.0;1050.0;1480.0;35050.0;1090.0;3030.0
2;A-U Alle economische activiteiten;2007 3e kwartaal;1040415.0;672410.0;157220.0;82565.0;60085.0;32785.0;20285.0;7150.0;2590.0;1340.0;825.0;1605.0;855.0;425.0;280.0;1025355.0;1037255.0;299870.0;53070.0;11900.0;745770.0;569245.0;44370.0;125075.0;7085.0;294640.0;253150.0;1000.0;1345.0;34980.0;1070.0;3100.0
3;A-U Alle economische activiteiten;2007 4e kwartaal;1057860.0;687525.0;160035.0;82930.0;59680.0;32620.0;20200.0;7040.0;2540.0;1340.0;820.0;1575.0;855.0;415.0;280.0;1042995.0;1054740.0;302650.0;52820.0;11745.0;760030.0;580335.0;44405.0;128075.0;7220.0;297830.0;256420.0;990.0;1350.0;34900.0;1050.0;3125.0
4;A-U Alle economische activiteiten;2008 1e kwartaal;1087470.0;720745.0;158780.0;81475.0;59135.0;32555.0;20035.0;7000.0;2490.0;1325.0;820.0;1570.0;835.0;415.0;285.0;1072725.0;1084365.0;299390.0;52590.0;11640.0;775095.0;597270.0;44495.0;126220.0;7105.0;312375.0;270615.0;990.0;1360.0;35185.0;1050.0;3175.0
5;A-U Alle economische activiteiten;2008 2e kwartaal;1088095.0;720860.0;159185.0;81870.0;59025.0;32545.0;19960.0;6940.0;2495.0;1310.0;815.0;1565.0;825.0;410.0;280.0;1073450.0;1085010.0;300085.0;52505.0;11555.0;778695.0;601395.0;44225.0;126005.0;7070.0;309400.0;270140.0;995.0;1365.0;32725.0;1080.0;3095.0
6;A-U Alle economische activiteiten;2008 3e kwartaal;1112885.0;746650.0;158440.0;82110.0;58750.0;32530.0;19890.0;6870.0;2470.0;1290.0;810.0;1570.0;830.0;410.0;280.0;1098370.0;1109800.0;299295.0;52420.0;11435.0;798730.0;624160.0;43900.0;123795.0;6875.0;314155.0;274455.0;990.0;1365.0;33175.0;1070.0;3100.0
7;A-U Alle economische activiteiten;2008 4e kwartaal;1127895.0;758055.0;160300.0;83020.0;59230.0;32805.0;19975.0;6865.0;2475.0;1295.0;805.0;1570.0;815.0;410.0;275.0;1113380.0;1124825.0;302545.0;52780.0;11445.0;815390.0;638960.0;43725.0;125720.0;6985.0;312505.0;274010.0;960.0;1305.0;32165.0;1090.0;2975.0
8;A-U Alle economische activiteiten;2009 1e kwartaal;1154590.0;789450.0;157820.0;80475.0;60480.0;31785.0;19865.0;7055.0;2485.0;1300.0;800.0;1575.0;810.0;405.0;275.0;1139875.0;1151520.0;298775.0;51650.0;11645.0;830765.0;649630.0;44075.0;129695.0;7360.0;323825.0;283900.0;960.0;1350.0;33405.0;1080.0;3130.0
9;A-U Alle economische activiteiten;2009 2e kwartaal;1158835.0;791475.0;158830.0;81305.0;59255.0;32590.0;20450.0;7090.0;2545.0;1325.0;800.0;1640.0;840.0;410.0;280.0;1143905.0;1155665.0;299390.0;53040.0;11760.0;832030.0;655565.0;43315.0;126135.0;7015.0;326805.0;286595.0;965.0;1365.0;33750.0;1065.0;3065.0
10;A-U Alle economische activiteiten;2009 3e kwartaal;1189525.0;820110.0;166525.0;84530.0;56225.0;29890.0;18490.0;6425.0;2335.0;1230.0;755.0;1495.0;820.0;410.0;285.0;1175775.0;1186515.0;307285.0;48380.0;10740.0;859565.0;683190.0;43190.0;126230.0;6955.0;329955.0;289565.0;970.0;1395.0;33945.0;1055.0;3030.0
11;A-U Alle economische activiteiten;2009 4e kwartaal;1211460.0;841620.0;169290.0;82575.0;54950.0;30525.0;18635.0;6490.0;2385.0;1205.0;750.0;1515.0;820.0;420.0;285.0;1197595.0;1208425.0;306815.0;49160.0;10830.0;881655.0;705240.0;42610.0;126910.0;6890.0;329805.0;290075.0;955.0;1370.0;33390.0;1040.0;2975.0
12;A-U Alle economische activiteiten;2010 1e kwartaal;1214570.0;841865.0;170690.0;80840.0;57875.0;30175.0;18910.0;6750.0;2415.0;1245.0;795.0;1500.0;825.0;400.0;285.0;1200355.0;1211560.0;309405.0;49085.0;11210.0;887070.0;692665.0;41675.0;145900.0;6825.0;327505.0;285410.0;995.0;1480.0;35175.0;1050.0;3390.0
13;A-U Alle economische activiteiten;2010 2e kwartaal;1227405.0;855400.0;169010.0;81305.0;58195.0;30320.0;18900.0;6775.0;2395.0;1280.0;805.0;1505.0;815.0;415.0;275.0;1213135.0;1224395.0;308515.0;49220.0;11260.0;894850.0;705010.0;39450.0;143755.0;6635.0;332555.0;290190.0;1005.0;1500.0;35470.0;1045.0;3345.0
14;A-U Alle economische activiteiten;2010 3e kwartaal;1250505.0;882240.0;168165.0;80240.0;57435.0;29950.0;18465.0;6645.0;2395.0;1265.0;795.0;1455.0;765.0;415.0;280.0;1236495.0;1247590.0;305840.0;48415.0;11100.0;914390.0;725000.0;38425.0;144430.0;6535.0;336115.0;293895.0;1005.0;1545.0;35310.0;1040.0;3320.0
15;A-U Alle economische activiteiten;2010 4e kwartaal;1265225.0;874475.0;171145.0;88330.0;64830.0;32590.0;19505.0;6880.0;2465.0;1230.0;805.0;1505.0;770.0;405.0;285.0;1250875.0;1262255.0;324305.0;52095.0;11380.0;933055.0;741990.0;38440.0;146020.0;6605.0;332170.0;290265.0;965.0;1510.0;34995.0;1025.0;3410.0
16;A-U Alle economische activiteiten;2011 1e kwartaal;1277720.0;887960.0;170460.0;88560.0;64925.0;32260.0;19380.0;6765.0;2405.0;1240.0;810.0;1495.0;760.0;420.0;280.0;1263545.0;1274765.0;323950.0;51640.0;11220.0;943415.0;754030.0;36815.0;146015.0;6555.0;334305.0;292125.0;985.0;1525.0;35215.0;1015.0;3440.0
17;A-U Alle economische activiteiten;2011 2e kwartaal;1283690.0;894405.0;170450.0;89050.0;64600.0;31790.0;19375.0;6650.0;2435.0;1235.0;780.0;1460.0;760.0;425.0;275.0;1269670.0;1280775.0;324100.0;51170.0;11100.0;947365.0;758855.0;36840.0;145185.0;6480.0;336325.0;294215.0;1000.0;1540.0;35230.0;995.0;3340.0
18;A-U Alle economische activiteiten;2011 3e kwartaal;1307195.0;920050.0;169440.0;88820.0;64185.0;31455.0;19245.0;6645.0;2430.0;1205.0;795.0;1465.0;755.0;425.0;280.0;1293195.0;1304270.0;322445.0;50700.0;11075.0;966875.0;779430.0;36265.0;144710.0;6470.0;340315.0;298015.0;1000.0;1595.0;35340.0;990.0;3380.0
19;A-U Alle economische activiteiten;2011 4e kwartaal;1318410.0;928125.0;170305.0;89070.0;64995.0;32120.0;19515.0;6815.0;2495.0;1225.0;795.0;1490.0;765.0;420.0;280.0;1304125.0;1315455.0;324365.0;51635.0;11330.0;979210.0;790465.0;36020.0;146220.0;6510.0;339200.0;297045.0;990.0;1580.0;35200.0;990.0;3395.0
20;A-U Alle economische activiteiten;2012 1e kwartaal;1341545.0;947780.0;173150.0;89625.0;65020.0;32270.0;19555.0;6710.0;2465.0;1230.0;805.0;1465.0;765.0;420.0;280.0;1327400.0;1338610.0;327795.0;51825.0;11210.0;996305.0;803800.0;35780.0;149960.0;6765.0;345240.0;302225.0;995.0;1610.0;35910.0;990.0;3510.0
21;A-U Alle economische activiteiten;2012 2e kwartaal;1347110.0;957000.0;171585.0;88770.0;64395.0;31965.0;19330.0;6665.0;2430.0;1235.0;805.0;1470.0;750.0;425.0;280.0;1333045.0;1344180.0;324750.0;51295.0;11140.0;1000655.0;810820.0;35055.0;148125.0;6660.0;346455.0;303220.0;1010.0;1630.0;36135.0;990.0;3470.0
22;A-U Alle economische activiteiten;2012 3e kwartaal;1358745.0;969185.0;171925.0;88990.0;63985.0;31530.0;19205.0;6605.0;2405.0;1220.0;780.0;1460.0;755.0;430.0;275.0;1344820.0;1355835.0;324900.0;50735.0;11010.0;1006220.0;813935.0;35060.0;150460.0;6765.0;352525.0;308590.0;1020.0;1695.0;36645.0;985.0;3595.0
23;A-U Alle economische activiteiten;2012 4e kwartaal;1362175.0;973160.0;171040.0;88675.0;64225.0;31720.0;19315.0;6680.0;2415.0;1225.0;775.0;1470.0;760.0;430.0;275.0;1348140.0;1359235.0;323940.0;51035.0;11100.0;1015775.0;823810.0;34545.0;150690.0;6730.0;346400.0;303430.0;1010.0;1700.0;35820.0;975.0;3460.0
24;A-U Alle economische activiteiten;2013 1e kwartaal;1365650.0;975775.0;173145.0;88510.0;63705.0;31525.0;19095.0;6565.0;2415.0;1195.0;765.0;1465.0;765.0;450.0;265.0;1351760.0;1362700.0;325360.0;50620.0;10940.0;1017880.0;822545.0;34695.0;153530.0;7110.0;347770.0;304525.0;1010.0;1720.0;36115.0;935.0;3465.0
25;A-U Alle economische activiteiten;2013 2e kwartaal;1373715.0;986620.0;172550.0;88330.0;63005.0;30880.0;18635.0;6495.0;2345.0;1170.0;790.0;1415.0;775.0;430.0;270.0;1360020.0;1370820.0;323885.0;49515.0;10800.0;1021560.0;827795.0;34400.0;152330.0;7030.0;352155.0;308490.0;1040.0;1770.0;36540.0;930.0;3385.0
26;A-U Alle economische activiteiten;2013 3e kwartaal;1392480.0;1007280.0;172305.0;88125.0;62545.0;30400.0;18300.0;6390.0;2315.0;1180.0;765.0;1410.0;770.0;430.0;270.0;1378955.0;1389605.0;322970.0;48700.0;10650.0;1036010.0;842255.0;33935.0;152925.0;6895.0;356475.0;312745.0;1065.0;1805.0;36555.0;940.0;3360.0
27;A-U Alle economische activiteiten;2013 4e kwartaal;1394290.0;1009890.0;171210.0;87630.0;62670.0;30765.0;18485.0;6440.0;2345.0;1190.0;770.0;1415.0;775.0;430.0;270.0;1380650.0;1391395.0;321515.0;49250.0;10745.0;1042320.0;849700.0;33245.0;152635.0;6735.0;351970.0;309145.0;1050.0;1785.0;35835.0;935.0;3220.0
28;A-U Alle economische activiteiten;2014 1e kwartaal;1401570.0;1020020.0;169850.0;87535.0;61925.0;30545.0;18195.0;6380.0;2325.0;1180.0;760.0;1400.0;760.0;430.0;270.0;1388070.0;1398710.0;319310.0;48740.0;10640.0;1049125.0;857235.0;33000.0;152280.0;6610.0;352445.0;309520.0;1040.0;1805.0;36025.0;940.0;3110.0
29;A-U Alle economische activiteiten;2014 2e kwartaal;1420010.0;1037755.0;170555.0;88005.0;62020.0;30040.0;18155.0;6355.0;2340.0;1180.0;765.0;1385.0;770.0;420.0;265.0;1406525.0;1417170.0;320575.0;48195.0;10645.0;1059045.0;866890.0;32705.0;152830.0;6620.0;360965.0;316935.0;1085.0;1910.0;36940.0;930.0;3170.0
30;A-U Alle economische activiteiten;2014 3e kwartaal;1437370.0;1056430.0;170600.0;87585.0;61680.0;29695.0;18025.0;6325.0;2315.0;1175.0;720.0;1405.0;760.0;405.0;255.0;1424015.0;1434545.0;319865.0;47720.0;10530.0;1075465.0;883345.0;32295.0;153240.0;6585.0;361905.0;318440.0;1090.0;1955.0;36450.0;895.0;3075.0
31;A-U Alle economische activiteiten;2014 4e kwartaal;1454080.0;1069715.0;171930.0;88100.0;62210.0;30310.0;18280.0;6430.0;2310.0;1210.0;740.0;1410.0;760.0;410.0;260.0;1440550.0;1451240.0;322240.0;48590.0;10690.0;1095950.0;901135.0;33140.0;155050.0;6625.0;358125.0;315020.0;1060.0;1970.0;36155.0;885.0;3035.0
