ID;Overheidsfuncties;Perioden;BeloningVanWerknemers_1;Afschrijvingen_2;IntermediairVerbruik_3;BetaaldeIndirecteBelastingen_4;ProductieGoederenDiensten_5;TotaalFinaalVerbruik_6;InVanTotaalOverheid_7
0;Totale overheid;1993;16912;1420;13858;227;6090;26333;100
1;Totale overheid;1994;15764;1479;13731;231;6099;25108;100
2;Totale overheid;1995*;16345;1543;14035;222;6135;26011;100
3;Totale overheid;1996*;16268;1625;14743;227;6258;26605;100
4;1;1993;3698;0;1534;41;939;4334;16
5;1;1994;3671;0;1702;45;967;4452;18
6;1;1995*;3526;0;1520;32;862;4216;16
7;1;1996*;3639;0;1702;36;849;4529;17
8;2;1993;3517;0;3367;0;231;6652;25
9;2;1994;3422;0;3081;0;213;6289;25
10;2;1995*;3444;0;3036;0;195;6285;24
11;2;1996*;3294;0;3349;0;259;6385;24
12;3;1993;1997;0;812;0;150;2659;10
13;3;1994;1125;0;594;0;95;1625;6
14;3;1995*;1225;0;622;0;91;1756;7
15;3;1996*;1266;0;663;0;104;1824;7
16;4;1993;2373;0;771;0;967;2183;8
17;4;1994;2219;0;694;0;944;1969;8
18;4;1995*;2214;0;708;0;908;2015;8
19;4;1996*;2269;0;717;0;912;2074;8
20;5;1993;658;0;318;0;295;681;3
21;5;1994;604;0;318;0;250;672;3
22;5;1995*;617;0;340;0;263;694;3
23;5;1996*;622;0;345;0;272;694;3
24;6;1993;939;0;894;5;781;1057;4
25;6;1994;939;0;1012;5;885;1071;4
26;6;1995*;967;0;1039;5;935;1075;4
27;6;1996*;994;0;1053;5;921;1130;4
28;7;1993;1511;0;2577;59;1470;2677;10
29;7;1994;1307;0;2700;59;1484;2582;10
30;7;1995*;1915;0;2677;54;1271;3376;13
31;7;1996*;1743;0;2709;54;1325;3181;12
32;8;1993;572;0;799;5;522;853;3
33;8;1994;549;0;799;0;540;808;3
34;8;1995*;535;0;803;0;545;794;3
35;8;1996*;531;0;839;0;549;821;3
36;9;1993;9;0;36;0;5;41;0
37;9;1994;9;0;54;0;9;54;0
38;9;1995*;9;0;45;0;9;45;0
39;9;1996*;9;0;41;0;9;41;0
40;Landbouw, jacht en visserij;1993;408;0;295;5;77;631;2
41;Landbouw, jacht en visserij;1994;372;0;281;0;82;572;2
42;Landbouw, jacht en visserij;1995*;381;0;277;5;64;599;2
43;Landbouw, jacht en visserij;1996*;368;0;281;5;59;594;2
44;Algemene economische aangelegenheden;1993;159;0;322;0;113;368;1
45;Algemene economische aangelegenheden;1994;141;0;309;0;127;322;1
46;Algemene economische aangelegenheden;1995*;136;0;318;0;127;327;1
47;Algemene economische aangelegenheden;1996*;132;0;318;0;127;322;1
48;Verkeer en vervoer;1993;1048;0;1956;5;349;2659;10
49;Verkeer en vervoer;1994;939;0;1956;5;327;2573;10
50;Verkeer en vervoer;1995*;898;0;2015;5;299;2618;10
51;Verkeer en vervoer;1996*;917;0;2101;5;290;2732;10
52;Niet functioneel toegerekend;1993;23;1420;172;113;191;1543;6
53;Niet functioneel toegerekend;1994;467;1479;231;118;177;2119;8
54;Niet functioneel toegerekend;1995*;476;1543;635;123;567;2210;8
55;Niet functioneel toegerekend;1996*;486;1625;626;123;581;2278;9
