ID;RegioS;Perioden;PaardenEnPonySTotaal_1;k_1Tot20Stuks_2;k_20Tot50Stuks_3;k_50Tot100Stuks_4;k_100Tot200Stuks_5;k_200StuksOfMeer_6;RundveeTotaal_7;k_1Tot20Stuks_8;k_20Tot50Stuks_9;k_50Tot100Stuks_10;k_100Tot200Stuks_11;k_200StuksOfMeer_12;MelkEnFokveeTotaal_13;k_1Tot20Stuks_14;k_20Tot50Stuks_15;k_50Tot100Stuks_16;k_100Tot200Stuks_17;k_200StuksOfMeer_18;VleesEnWeideveeTotaal_19;k_1Tot20Stuks_20;k_20Tot50Stuks_21;k_50Tot100Stuks_22;k_100Tot200Stuks_23;k_200StuksOfMeer_24;SchapenTotaal_25;k_1Tot20Stuks_26;k_20Tot50Stuks_27;k_50Tot100Stuks_28;k_100Tot200Stuks_29;k_200StuksOfMeer_30;GeitenTotaal_31;k_1Tot20Stuks_32;k_20Tot50Stuks_33;k_50Tot100Stuks_34;k_100Tot200Stuks_35;k_200StuksOfMeer_36;VarkensTotaal_37;k_1Tot200Stuks_38;k_200Tot500Stuks_39;k_500Tot1000Stuks_40;k_1000Tot2000Stuks_41;k_2000StuksOfMeer_42;BiggenTotaal_43;k_1Tot200Stuks_44;k_200Tot500Stuks_45;k_500Tot1000Stuks_46;k_1000Tot2000Stuks_47;k_2000StuksOfMeer_48;VleesvarkensTotaal_49;k_1Tot200Stuks_50;k_200Tot500Stuks_51;k_500Tot1000Stuks_52;k_1000Tot2000Stuks_53;k_2000StuksOfMeer_54;FokvarkensTotaal_55;k_1Tot200Stuks_56;k_200Tot500Stuks_57;k_500Tot1000Stuks_58;k_1000Tot2000Stuks_59;k_2000StuksOfMeer_60;KippenTotaal_61;k_1Tot5000Stuks_62;k_5000Tot10000Stuks_63;k_10000Tot25000Stuks_64;k_25000Tot50000Stuks_65;k_50000StuksOfMeer_66;VleeskuikensTotaal_67;k_1Tot5000Stuks_68;k_5000Tot10000Stuks_69;k_10000Tot25000Stuks_70;k_25000Tot50000Stuks_71;k_50000StuksOfMeer_72;OuderdierenVanVleesrassenTotaal_73;k_1Tot5000Stuks_74;k_5000Tot10000Stuks_75;k_10000Tot25000Stuks_76;k_25000Tot50000Stuks_77;k_50000StuksOfMeer_78;LeghennenTotaal_79;k_1Tot5000Stuks_80;k_5000Tot10000Stuks_81;k_10000Tot25000Stuks_82;k_25000Tot50000Stuks_83;k_50000StuksOfMeer_84;OuderdierenVanLeghennenTotaal_85;k_1Tot5000Stuks_86;k_5000Tot10000Stuks_87;k_10000Tot25000Stuks_88;k_25000Tot50000Stuks_89;k_50000StuksOfMeer_90;PaardenEnPonySTotaal_91;k_1Tot20Stuks_92;k_20Tot50Stuks_93;k_50Tot100Stuks_94;k_100Tot200Stuks_95;k_200StuksOfMeer_96;RundveeTotaal_97;k_1Tot20Stuks_98;k_20Tot50Stuks_99;k_50Tot100Stuks_100;k_100Tot200Stuks_101;k_200StuksOfMeer_102;MelkEnFokveeTotaal_103;k_1Tot20Stuks_104;k_20Tot50Stuks_105;k_50Tot100Stuks_106;k_100Tot200Stuks_107;k_200StuksOfMeer_108;VleesEnWeideveeTotaal_109;k_1Tot20Stuks_110;k_20Tot50Stuks_111;k_50Tot100Stuks_112;k_100Tot200Stuks_113;k_200StuksOfMeer_114;SchapenTotaal_115;k_1Tot20Stuks_116;k_20Tot50Stuks_117;k_50Tot100Stuks_118;k_100Tot200Stuks_119;k_200StuksOfMeer_120;GeitenTotaal_121;k_1Tot20Stuks_122;k_20Tot50Stuks_123;k_50Tot100Stuks_124;k_100Tot200Stuks_125;k_200StuksOfMeer_126;VarkensTotaal_127;k_1Tot200Stuks_128;k_200Tot500Stuks_129;k_500Tot1000Stuks_130;k_1000Tot2000Stuks_131;k_2000StuksOfMeer_132;BiggenTotaal_133;k_1Tot200Stuks_134;k_200Tot500Stuks_135;k_500Tot1000Stuks_136;k_1000Tot2000Stuks_137;k_2000StuksOfMeer_138;VleesvarkensTotaal_139;k_1Tot200Stuks_140;k_200Tot500Stuks_141;k_500Tot1000Stuks_142;k_1000Tot2000Stuks_143;k_2000StuksOfMeer_144;FokvarkensTotaal_145;k_1Tot200Stuks_146;k_200Tot500Stuks_147;k_500Tot1000Stuks_148;k_1000Tot2000Stuks_149;k_2000StuksOfMeer_150;KippenTotaal_151;k_1Tot5000Stuks_152;k_5000Tot10000Stuks_153;k_10000Tot25000Stuks_154;k_25000Tot50000Stuks_155;k_50000StuksOfMeer_156;VleeskuikensTotaal_157;k_1Tot5000Stuks_158;k_5000Tot10000Stuks_159;k_10000Tot25000Stuks_160;k_25000Tot50000Stuks_161;k_50000StuksOfMeer_162;OuderdierenVanVleesrassenTotaal_163;k_1Tot5000Stuks_164;k_5000Tot10000Stuks_165;k_10000Tot25000Stuks_166;k_25000Tot50000Stuks_167;k_50000StuksOfMeer_168;LeghennenTotaal_169;k_1Tot5000Stuks_170;k_5000Tot10000Stuks_171;k_10000Tot25000Stuks_172;k_25000Tot50000Stuks_173;k_50000StuksOfMeer_174;OuderdierenVanLeghennenTotaal_175;k_1Tot5000Stuks_176;k_5000Tot10000Stuks_177;k_10000Tot25000Stuks_178;k_25000Tot50000Stuks_179;k_50000StuksOfMeer_180
0;Nederland;2000;19902;18781;886;193;36;6;45805;9281;8557;13531;11470;2966;38299;7913;6296;12526;10316;1248;17506;9954;3586;1588;936;1442;17575;5039;4839;3955;2451;1291;3795;3338;78;34;52;293;14523;3323;3814;2922;2879;1585;5857;801;1206;2041;1413;396;12894;4852;3816;2479;1337;410;6187;3466;2155;422;119;25;3860;1158;440;895;712;655;1094;51;35;232;379;397;520;63;104;256;79;18;2292;1065;307;418;263;239;;;;;;;117497;72108;25955;12430;4713;2291;4068817;87323;288195;1008332;1526320;1158647;2906952;61375;216013;937080;1360714;331770;1161865;72319;111541;109231;130909;737865;1305037;44000;160306;277084;334324;489323;178571;11609;2375;2412;8009;154166;13117814;337861;1258975;2086644;4091977;5342357;5102434;67214;428974;1493478;1893147;1219621;6504537;379642;1247066;1727128;1814949;1335752;1510843;348909;636515;286405;159638;79376;104014665;1319608;3234970;14486209;24932054;60041824;50936625;84134;267665;3981328;13366731;33236767;9041640;169590;793800;3952550;2608550;1517150;44036400;1091510;2206770;6740720;9225700;24771700;;;;;;
1;Nederland;2001;19202;18033;916;208;37;8;43461;8463;7655;11970;12281;3092;36501;7614;5278;10940;11122;1547;18010;10594;3612;1641;897;1266;16760;4895;4540;3685;2335;1305;4697;4184;102;36;48;327;12821;2827;3157;2417;2586;1834;5357;640;953;1706;1535;523;11507;4091;3409;2250;1338;419;5643;3114;1977;407;125;20;3560;994;402;871;663;630;1027;32;30;220;359;386;430;36;79;233;71;11;2145;944;296;432;241;232;;;;;;;119658;71684;27028;13475;4575;2896;4045351;80816;255476;896784;1651272;1161003;2955733;59003;179886;824390;1484652;407802;1089618;75989;112401;113176;125373;662679;1292975;42603;151015;259806;320303;519248;220753;15746;2911;2491;7223;192382;13072980;286344;1053006;1723635;3727448;6282547;5432817;57262;340034;1261758;2111091;1662672;6229728;347162;1119609;1575964;1818216;1368777;1410435;316932;589279;274633;167877;61714;100333709;1089465;2921985;14233352;23370538;58718369;50127029;66288;222622;3755532;12726723;33355864;7480900;79800;582350;3664350;2385900;768500;42725780;971260;2137150;7062720;8485100;24069550;;;;;;
2;Nederland;2002;17753;16513;972;223;35;10;41246;8180;7253;11331;11559;2923;34239;6800;4983;10438;10537;1481;17344;10613;3346;1378;787;1220;15236;4381;4102;3387;2166;1200;4846;4326;85;31;43;361;11851;2529;2905;2397;2475;1545;4902;538;919;1687;1339;419;10576;3949;2945;2137;1160;385;5128;2691;1927;385;106;19;3358;865;326;858;637;672;1096;35;32;231;364;434;418;32;72;235;62;17;1880;812;224;407;222;215;;;;;;;120631;68506;29057;14506;4540;4022;3856589;76297;242612;850661;1554761;1132258;2808540;51306;170087;787326;1406096;393725;1048049;72859;103569;95543;109917;666161;1183452;37959;136736;238111;294093;476553;254548;16753;2337;2169;6333;226956;11647677;254991;972491;1707305;3530985;5181905;4744505;47676;328696;1246551;1820253;1301329;5591044;298419;980102;1499096;1585947;1227480;1312128;278433;576475;261474;138049;57697;101051852;988805;2367892;13971314;22385270;61338571;54660302;81405;239602;3987424;12871571;37480300;7502970;89170;537600;3722950;2049100;1104150;38888580;827470;1605810;6517000;7832350;22105950;;;;;;
3;Nederland;2003;17803;16473;1035;247;35;13;39167;7766;6653;10560;11229;2959;31906;5923;4446;9646;10335;1556;15728;9362;3135;1263;727;1241;14715;4208;3826;3313;2098;1270;4700;4188;83;28;36;365;10730;2112;2652;2163;2245;1558;4460;491;766;1468;1297;438;9559;3341;2698;2002;1125;393;4609;2304;1759;416;104;26;2446;607;215;596;491;537;777;25;14;129;274;335;330;25;44;190;57;14;1360;568;157;284;164;187;;;;;;;125527;69375;30666;16477;4509;4500;3757173;72246;222295;792052;1514148;1156432;2718276;44478;153212;727972;1384630;407984;1038897;63651;96829;86957;100928;690532;1182107;36467;127704;233004;286892;498040;273853;15579;2386;1940;5080;248868;11169095;210976;877425;1547874;3207200;5325620;4541673;42525;272282;1082600;1766543;1377723;5367450;248526;887119;1410967;1546418;1274420;1259972;236633;528067;282723;138296;74253;79234855;549756;1552145;9782831;17369811;49980312;42288785;49736;111825;2248489;9783137;30095598;6448120;68820;339200;3083100;1948050;1008950;30497950;443500;1099850;4571400;5765350;18617850;;;;;;
4;Nederland;2004;17493;16115;1074;248;42;14;38336;7563;6405;10167;11170;3031;31095;5778;4209;9204;10300;1604;14695;8384;2994;1307;748;1262;14384;3876;3716;3277;2176;1339;4527;4050;68;26;37;346;10038;1830;2480;1998;2126;1604;4087;380;645;1304;1280;478;8925;2908;2541;1908;1139;429;4320;2026;1757;392;121;24;2768;715;278;677;535;563;771;30;14;126;252;349;314;28;50;167;55;14;1710;674;217;388;231;200;;;;;;;127872;69643;31956;16575;5206;4492;3764818;68625;214078;762117;1509925;1210073;2692536;41563;145261;694892;1386301;424519;1072282;59012;92893;90684;103528;726165;1234039;33142;124258;231888;298165;546586;282029;14896;1908;1861;5483;257881;11152500;188591;823715;1423758;3071024;5645412;4523643;33434;232354;966692;1748464;1542699;5382515;224580;840368;1341537;1568027;1408003;1246342;209394;536082;268599;160591;71676;85816077;781777;2039702;11299491;18711548;52983559;44262247;52667;99852;2262018;8996485;32851225;5885550;60400;386150;2738050;1781200;919750;35668280;681580;1571100;6365550;8018800;19031250;;;;;;
5;Nederland;2005;17677;16252;1086;277;47;15;37303;6903;6470;9894;10868;3168;29986;5265;4193;8848;10012;1668;14928;8372;3117;1343;764;1332;14360;3762;3521;3243;2259;1575;4552;4079;69;24;33;347;9686;1739;2343;1921;1962;1721;3880;333;562;1189;1278;518;8602;2699;2413;1844;1171;475;4043;1765;1690;441;121;26;2841;695;274;680;582;610;762;28;17;121;243;353;290;23;38;161;54;14;1726;630;215;371;274;236;100.0;35.0;8.0;37.0;14.0;6.0;132551;70784;32614;18438;5840;4875;3796778;65737;216508;741144;1475159;1298230;2648726;39835;145018;666705;1353093;444075;1148052;58504;96346;93153;106203;793846;1360509;32399;118305;229624;313864;666317;291891;14856;1923;1682;4639;268791;11311558;178404;779306;1369265;2827655;6156928;4562991;27141;198824;883289;1753327;1700410;5504295;211463;799762;1295654;1622814;1574602;1244272;189269;517063;301067;161753;75120;92914176;729815;2035086;11280520;20214311;58654444;44496116;40618;132447;2066779;8580845;33675427;5788350;59850;297200;2728650;1834050;868600;41047700;616450;1565550;6061950;9467400;23336350;1582010.0;23860.0;67650.0;597650.0;412500.0;480350.0
6;Nederland;2006;16926;15526;1050;283;53;14;36244;6824;6182;9429;10612;3197;29302;5353;4058;8414;9753;1724;14667;8469;2873;1250;757;1318;14071;3678;3300;3185;2313;1595;4234;3745;80;35;32;342;9041;1521;2155;1743;1862;1760;3658;266;513;1061;1245;573;7963;2392;2213;1736;1102;520;3811;1553;1651;444;131;32;2662;593;238;670;564;597;674;22;10;99;211;332;327;23;43;169;74;18;1612;548;174;374;274;242;89.0;24.0;14.0;37.0;10.0;4.0;127740;66626;31523;18648;6531;4412;3745093;65151;206319;705757;1442325;1325541;2597034;40828;139609;635127;1320783;460687;1148059;57552;89481;86647;105108;809271;1376444;31178;110744;225524;317669;691329;309614;14691;2229;2421;4501;285772;11355967;159422;718585;1246599;2685276;6546085;4646509;21816;182408;790007;1723533;1928745;5475689;190450;736061;1227789;1532812;1788577;1233769;163019;505329;300295;174971;90155;91782259;631456;1793041;11278517;19747587;58331658;41913979;36696;77497;1713591;7524406;32561789;6845350;57450;339100;2864750;2495200;1088850;41641960;539510;1290300;6293250;9617800;23901100;1380970.0;4770.0;111600.0;555850.0;308050.0;400700.0
7;Nederland;2007;16109;14559;1155;325;51;19;35258;6554;5907;8773;10636;3388;28544;5268;3905;7709;9765;1897;14889;8772;2708;1314;761;1334;13813;3672;3172;3146;2219;1604;4169;3693;78;22;33;343;8692;1472;1983;1659;1733;1845;3498;242;447;956;1226;627;7576;2204;2062;1650;1093;567;3658;1439;1577;455;147;40;2686;547;242;691;614;592;753;33;15;129;240;336;333;22;34;186;78;13;1550;480;187;353;292;238;85.0;33.0;8.0;31.0;9.0;4.0;133524;65668;34477;21887;6137;5355;3762784;61899;197188;657503;1455742;1390452;2598252;39970;134208;583794;1330782;509498;1164532;55554;84648;91128;107060;826142;1369343;32505;106172;222523;306625;701518;324014;14583;2323;1591;4582;300935;11662654;148395;663621;1189223;2506037;7155378;4837355;20038;160332;716895;1715764;2224326;5558828;174041;690009;1167185;1531846;1995747;1266471;152343;488181;312710;196706;116531;92760859;536909;1812665;11599338;21564712;57247235;43351898;44457;119833;2125780;8482576;32579252;7069284;43720;272729;3231355;2694234;827246;41224835;447035;1373030;5877530;10287902;23239338;1114842.0;12512.0;66562.0;502818.0;272971.0;259979.0
8;Nederland;2008;16109;14347;1331;353;57;21;34198;6339;5358;7848;10771;3882;26764;4311;3259;6812;10025;2357;12954;6911;2683;1232;730;1398;13567;3866;3366;3106;1910;1319;4153;3647;92;33;25;356;8249;1326;1820;1543;1614;1946;3264;209;348;804;1187;716;7174;1880;1942;1588;1126;638;3349;1255;1445;457;152;40;2496;487;193;605;588;623;698;29;8;97;220;344;321;15;31;168;89;18;1446;441;146;323;275;261;60.0;17.0;9.0;25.0;9.0;0.0;144078;65794;40520;23801;7459;6504;3890195;59956;179051;589746;1491815;1569627;2686976;32493;112740;516356;1385319;640068;1203219;51139;84246;86287;101035;880512;1212956;33759;110273;219302;264004;585618;354878;14169;2615;2314;3466;332314;12026467;130156;603986;1104529;2355681;7832115;4965922;15650;123741;599052;1678990;2548489;5838974;151302;649062;1125049;1601728;2311833;1221571;130561;454150;310416;201327;125117;96700237;449038;1486429;10207570;20827485;63729715;44357773;52296;60568;1681745;7891569;34671595;7248780;39261;244669;2839494;3001072;1124284;44241237;367250;1104653;5372629;9777755;27618950;852447.0;7581.0;79786.0;445547.0;319533.0;0.0
9;Nederland;2009;15847;14012;1388;369;60;18;33268;5977;4971;7242;10825;4253;26038;3993;2917;6233;10114;2781;12647;6832;2558;1195;688;1374;12833;3793;3258;2803;1706;1273;3916;3423;88;23;25;357;7567;1178;1583;1375;1428;2003;3016;190;292;668;1081;785;6508;1610;1680;1432;1075;711;3120;1068;1333;495;170;54;2402;498;170;565;543;626;638;31;7;92;182;326;299;19;27;149;85;19;1422;444;132;302;264;280;75.0;23.0;5.0;34.0;12.0;1.0;144924;65269;41890;24697;7519;5549;3967599;55257;164843;543014;1514374;1690111;2774551;28141;100740;472970;1412150;760550;1193048;49060;79309;82791;95493;886395;1116609;32533;107437;197225;233289;546125;374184;13136;2511;1609;3619;353309;12186453;106571;527546;993095;2083713;8475528;5068497;14560;103643;507878;1543470;2898946;5872351;122358;560816;1028928;1542364;2617885;1245605;107827;421702;334048;221661;160367;96859484;433367;1325775;9664721;19332234;66103387;43285129;49202;56407;1654266;6592801;34932453;6933953;35131;209836;2534609;2925973;1228404;45546731;349370;1018745;5116733;9400893;29660990;1093671.0;21751.0;46809.0;577035.0;390576.0;57500.0
