ID;RegioS;Perioden;OppervlakteTotaalFruit_1;OppervlakteAppelsEnPeren_2;AppelsTotaal_3;Elstar_4;Jonagold_5;Jonagored_6;Cox_7;GoldenDelicious_8;SchoneVanBoskoop_9;Delcorf_10;Gala_11;Santana_12;Braeburn_13;Alkmene_14;Summerred_15;Discovery_16;Elise_17;Delblush_18;JamesGrieve_19;Karmijn_20;Gloster_21;Elan_22;ZoeteAppelen_23;OverigeAppels_24;PerenTotaal_25;HandperenTotaal_26;Conference_27;DoyenneDuComice_28;BeurreLucas_29;BeurreHardy_30;TriompheDeVienne_31;Verdi_32;BonneLouiseDAvranches_33;Legipont_34;Concorde_35;OverigeHandperen_36;StoofperenTotaal_37;GieserWilderman_38;SaintRemy_39;OverigeStoofperen_40;KleinfruitTotaal_41;Frambozen_42;ZwarteBessen_43;RodeBessen_44;BlauweBessen_45;Bramen_46;OverigKleinfruit_47;OverkappingKleinfruit_48;SteenvruchtenTotaal_49;Pruimen_50;ZoeteKersen_51;ZureKersen_52;OverigeSteenvruchten_53;OverkappingSteenvruchten_54;Oppervlakte_55;InVanOppervlakteAppelsEnPeren_56;Oppervlakte_57;InVanOppervlakteAppelsEnPeren_58;TotaleKoelcapaciteit_59;TotaleKoelcapPerHaAppelsPeren_60;ULOKoelcapaciteit_61;KoelcapaciteitAndersDanULO_62;Veiling_63;Consument_64;HandelVanafHout_65;HandelVanafKoelcel_66;OverigeAfzet_67;MetFruitTotaal_68;MetAppelsEnOfPeren_69;AppelsTotaal_70;Elstar_71;Jonagold_72;Jonagored_73;Cox_74;GoldenDelicious_75;SchoneVanBoskoop_76;Delcorf_77;Gala_78;Santana_79;Braeburn_80;Alkmene_81;Summerred_82;Discovery_83;Elise_84;Delblush_85;JamesGrieve_86;Gloster_87;Karmijn_88;Elan_89;ZoeteAppelen_90;OverigeAppels_91;PerenTotaal_92;HandperenTotaal_93;Conference_94;DoyenneDuComice_95;BeurreLucas_96;BeurreHardy_97;TriompheDeVienne_98;Verdi_99;BonneLouiseDAvranches_100;Legipont_101;Concorde_102;OverigeHandperen_103;StoofperenTotaal_104;GieserWilderman_105;SaintRemy_106;OverigeStoofperen_107;KleinfruitTotaal_108;Frambozen_109;ZwarteBessen_110;RodeBessen_111;BlauweBessen_112;Bramen_113;OverigKleinfruit_114;OverkappingKleinfruit_115;SteenvruchtenTotaal_116;Pruimen_117;ZoeteKersen_118;ZureKersen_119;OverigeSteenvruchten_120;OverkappingSteenvruchten_121;TotaalBedrijven_122;InVanAantalBedrMetAppelsPeren_123;TotaalBedrijven_124;InVanAantalBedrMetAppelsPeren_125;TotaalBedrijven_126;InVanAantalBedrMetAppelsPeren_127;MetULOKoeling_128;MetKoelingAndersDanULOKoeling_129;Veiling_130;Consument_131;HandelVanafHout_132;HandelVanafKoelcel_133;OverigeAfzet_134
0;Nederland;1992;24269.0;22389.0;16983.0;4950.0;3898.0;;2155.0;1634.0;1592.0;;;;;452.0;159.0;;;;560.0;135.0;420.0;;;1028.0;5406.0;4766.0;2700.0;1210.0;;250.0;196.0;;99.0;101.0;;210.0;640.0;343.0;240.0;57.0;632.0;30.0;210.0;132.0;164.0;27.0;69.0;;1248.0;690.0;255.0;278.0;25.0;;6429.0;29.0;;;220500.0;10.0;83600.0;136900.0;;;;;;5020.0;3961.0;3422.0;;;;;;;;;;;;;;;;;;;;;;2956.0;;;;;;;;;;;;;;;;762.0;217.0;109.0;483.0;81.0;182.0;120.0;;1869.0;1532.0;338.0;274.0;53.0;;1073.0;27.0;;;1379.0;35.0;326.0;;;;;;
1;Nederland;1997;22960.0;21217.0;15191.0;5127.0;3440.0;1158.0;1503.0;1192.0;1281.0;211.0;110.0;;;221.0;78.0;87.0;;;205.0;28.0;160.0;47.0;47.0;298.0;6026.0;5477.0;3445.0;1274.0;97.0;215.0;213.0;;47.0;45.0;;141.0;548.0;377.0;140.0;32.0;736.0;39.0;352.0;140.0;160.0;21.0;24.0;;1007.0;536.0;198.0;259.0;15.0;;8487.0;40.0;5730.0;27.0;323200.0;15.0;191300.0;131900.0;;;;;;4142.0;3336.0;2777.0;2407.0;2050.0;859.0;1661.0;1526.0;1723.0;578.0;161.0;;;768.0;395.0;293.0;;;905.0;501.0;118.0;185.0;210.0;936.0;2544.0;2376.0;2213.0;1742.0;245.0;601.0;621.0;;214.0;187.0;;454.0;1402.0;1144.0;563.0;176.0;612.0;173.0;102.0;356.0;96.0;152.0;147.0;;1355.0;1118.0;287.0;136.0;32.0;;1262.0;38.0;1063.0;32.0;1525.0;46.0;569.0;1348.0;;;;;
2;Nederland;2002;19568.0;17506.0;11177.0;4374.0;2468.0;1077.0;666.0;763.0;809.0;318.0;92.0;19.0;29.0;80.0;38.0;37.0;43.0;43.0;;;;;24.0;298.0;6329.0;5841.0;4035.0;1119.0;204.0;106.0;213.0;14.0;;;8.0;141.0;488.0;351.0;;137.0;1065.0;32.0;541.0;244.0;182.0;21.0;44.0;132.0;998.0;431.0;225.0;307.0;35.0;20.0;9155.0;52.0;4070.0;23.0;309500.0;18.0;219400.0;90100.0;60.9;5.5;16.9;13.1;3.6;3101.0;2515.0;2005.0;1755.0;1381.0;652.0;865.0;1018.0;1044.0;677.0;153.0;36.0;58.0;338.0;156.0;138.0;71.0;48.0;;;;;112.0;616.0;2032.0;1936.0;1866.0;1467.0;324.0;227.0;585.0;50.0;;;22.0;396.0;1151.0;982.0;;401.0;485.0;93.0;73.0;295.0;102.0;92.0;95.0;124.0;958.0;748.0;258.0;103.0;36.0;29.0;1157.0;46.0;700.0;28.0;1195.0;48.0;552.0;961.0;65.5;32.2;26.5;14.1;7.7
3;Flevoland;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Flevoland;1997;2173.0;2157.0;1884.0;682.0;415.0;183.0;215.0;176.0;98.0;11.0;13.0;;;19.0;4.0;9.0;;;12.0;;20.0;3.0;;19.0;273.0;255.0;173.0;56.0;;9.0;5.0;;;;;8.0;17.0;13.0;3.0;1.0;;;;;;;;;16.0;13.0;;;;;1287.0;60.0;765.0;35.0;42700.0;20.0;31900.0;10800.0;;;;;;166.0;162.0;151.0;146.0;132.0;79.0;129.0;114.0;88.0;29.0;17.0;;;49.0;13.0;25.0;;;45.0;47.0;;14.0;;46.0;96.0;92.0;90.0;68.0;;17.0;16.0;;;;;12.0;50.0;43.0;13.0;10.0;;;;;;;;;12.0;10.0;;;;;111.0;69.0;85.0;52.0;116.0;72.0;75.0;85.0;;;;;
5;Flevoland;2002;1481.0;1473.0;1207.0;553.0;313.0;117.0;65.0;56.0;35.0;8.0;;;;6.0;;2.0;16.0;;;;;;;24.0;266.0;251.0;200.0;43.0;;;;;;;;;15.0;14.0;;;;;;;;;;;;;;;;;1193.0;81.0;388.0;26.0;45900.0;31.0;37900.0;8000.0;31.9;2.1;23.8;36.1;;126.0;122.0;109.0;103.0;78.0;46.0;52.0;66.0;34.0;12.0;;;;19.0;;10.0;12.0;;;;;;;29.0;77.0;74.0;73.0;49.0;;;;;;;;;38.0;36.0;;;;;;;;;;;;;;;;;97.0;80.0;32.0;26.0;80.0;66.0;61.0;51.0;34.9;21.4;44.4;35.7;
6;Gelderland;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Gelderland;1997;6482.0;5957.0;4476.0;1545.0;1055.0;335.0;398.0;287.0;401.0;67.0;26.0;;;68.0;21.0;26.0;;;66.0;5.0;52.0;20.0;18.0;87.0;1481.0;1299.0;818.0;283.0;22.0;41.0;68.0;;13.0;13.0;;42.0;182.0;135.0;36.0;12.0;81.0;14.0;1.0;42.0;8.0;9.0;7.0;;444.0;295.0;110.0;34.0;5.0;;3334.0;56.0;1457.0;24.0;101600.0;17.0;61900.0;39700.0;;;;;;1514.0;1147.0;927.0;789.0;644.0;248.0;484.0;447.0;536.0;178.0;39.0;;;234.0;109.0;84.0;;;285.0;151.0;19.0;79.0;84.0;284.0;828.0;735.0;671.0;482.0;57.0;135.0;189.0;;62.0;50.0;;129.0;471.0;404.0;132.0;61.0;199.0;69.0;20.0;142.0;12.0;64.0;57.0;;642.0;550.0;148.0;27.0;11.0;;532.0;46.0;315.0;27.0;463.0;40.0;168.0;412.0;;;;;
8;Gelderland;2002;5463.0;5002.0;3357.0;1395.0;802.0;303.0;163.0;185.0;228.0;99.0;18.0;;4.0;27.0;8.0;6.0;8.0;;;;;;9.0;94.0;1645.0;1457.0;1032.0;244.0;57.0;14.0;76.0;;;;;32.0;188.0;157.0;;31.0;118.0;15.0;3.0;68.0;11.0;11.0;10.0;59.0;343.0;208.0;102.0;28.0;5.0;10.0;3767.0;75.0;706.0;14.0;94400.0;19.0;70800.0;23700.0;69.3;3.9;13.9;8.9;4.0;1092.0;856.0;672.0;574.0;463.0;180.0;237.0;298.0;310.0;224.0;41.0;;18.0;111.0;41.0;29.0;17.0;;;;;;44.0;199.0;664.0;607.0;590.0;416.0;79.0;36.0;189.0;;;;;103.0;406.0;374.0;;91.0;142.0;29.0;10.0;95.0;26.0;36.0;25.0;49.0;429.0;345.0;113.0;23.0;14.0;10.0;544.0;64.0;162.0;19.0;349.0;41.0;169.0;263.0;79.1;22.6;22.5;11.2;5.9
9;Utrecht;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
