ID;Geslacht;Leeftijd;Recidive;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenPer10000Inwoners_2;TotaalVerdachtenVanMisdrijven_3;VerdachtenPer10000Inwoners_4
0;Totaal mannen en vrouwen;10000;Totaal verdachten;2005;327970.0;192.0;238390.0;150.0
1;Totaal mannen en vrouwen;10000;Totaal verdachten;2006;327220.0;194.0;241150.0;153.0
2;Totaal mannen en vrouwen;10000;Totaal verdachten;2007;323480.0;193.0;245120.0;154.0
3;Totaal mannen en vrouwen;10000;Totaal verdachten;2008;309370.0;182.0;232000.0;144.0
4;Totaal mannen en vrouwen;10000;Totaal verdachten;2009;294140.0;176.0;214650.0;132.0
5;Totaal mannen en vrouwen;10000;Totaal verdachten;2010;274680.0;167.0;202870.0;124.0
6;Totaal mannen en vrouwen;10000;Totaal verdachten;2011;269580.0;163.0;205120.0;123.0
7;Totaal mannen en vrouwen;10000;Totaal verdachten;2012;252180.0;151.0;197140.0;117.0
8;Totaal mannen en vrouwen;10000;Totaal verdachten;2013;234230.0;140.0;182360.0;106.0
9;Totaal mannen en vrouwen;10000;Totaal verdachten;2014;219240.0;130.0;162640.0;94.0
10;Totaal mannen en vrouwen;10000;Totaal verdachten;2015;200400.0;118.0;;
11;Totaal mannen en vrouwen;10000;Totaal verdachten;2016;186910.0;109.0;;
12;Totaal mannen en vrouwen;10000;Totaal verdachten;2017;172550.0;99.0;;
13;Totaal mannen en vrouwen;10000;Totaal verdachten;2018;165960.0;94.0;;
14;Totaal mannen en vrouwen;10000;Totaal verdachten;2019;167850.0;94.0;;
15;Totaal mannen en vrouwen;10000;Totaal verdachten;2020;156200.0;86.0;;
16;Totaal mannen en vrouwen;10000;Totaal verdachten;2021;146210.0;80.0;;
17;Totaal mannen en vrouwen;10000;Totaal verdachten;2022;158290.0;83.0;;
18;Totaal mannen en vrouwen;10000;First offender;2005;101300.0;57.0;105510.0;64.0
19;Totaal mannen en vrouwen;10000;First offender;2006;102270.0;58.0;104020.0;64.0
20;Totaal mannen en vrouwen;10000;First offender;2007;100550.0;57.0;104240.0;63.0
21;Totaal mannen en vrouwen;10000;First offender;2008;101980.0;57.0;96490.0;57.0
22;Totaal mannen en vrouwen;10000;First offender;2009;99870.0;56.0;85590.0;50.0
23;Totaal mannen en vrouwen;10000;First offender;2010;;;80230.0;46.0
24;Totaal mannen en vrouwen;10000;First offender;2011;;;80450.0;45.0
25;Totaal mannen en vrouwen;10000;First offender;2012;;;74690.0;41.0
26;Totaal mannen en vrouwen;10000;First offender;2013;;;67790.0;36.0
27;Totaal mannen en vrouwen;10000;First offender;2014;;;58860.0;31.0
28;Totaal mannen en vrouwen;10000;First offender;2015;;;;
29;Totaal mannen en vrouwen;10000;First offender;2016;;;;
30;Totaal mannen en vrouwen;10000;First offender;2017;;;;
31;Totaal mannen en vrouwen;10000;First offender;2018;;;;
32;Totaal mannen en vrouwen;10000;First offender;2019;;;;
33;Totaal mannen en vrouwen;10000;First offender;2020;;;;
34;Totaal mannen en vrouwen;10000;First offender;2021;;;;
35;Totaal mannen en vrouwen;10000;First offender;2022;;;;
36;Totaal mannen en vrouwen;10000;Meer- of veelpleger;2005;226670.0;135.0;132880.0;86.0
37;Totaal mannen en vrouwen;10000;Meer- of veelpleger;2006;224950.0;136.0;137140.0;89.0
38;Totaal mannen en vrouwen;10000;Meer- of veelpleger;2007;222930.0;135.0;140880.0;91.0
