ID;RegioS;Perioden;DigiDBezittersRelatief_1;DigiDBezittersAbsoluut_2;Bevolking_3
0;Nederland;2008 1 juli;41.2;6767770;16434955
1;Nederland;2009 1 januari;39.8;6560364;16485787
2;Noord-Nederland (LD);2008 1 juli;41.0;698742;1704239
3;Noord-Nederland (LD);2009 1 januari;39.8;679531;1708821
4;Oost-Nederland (LD);2008 1 juli;41.1;1434634;3489567
5;Oost-Nederland (LD);2009 1 januari;39.6;1386765;3499946
6;West-Nederland (LD);2008 1 juli;40.5;3111144;7689470
7;West-Nederland (LD);2009 1 januari;39.2;3025905;7719856
8;Zuid-Nederland (LD);2008 1 juli;42.9;1523250;3551679
9;Zuid-Nederland (LD);2009 1 januari;41.3;1468163;3557164
10;Buitenland (LD);2008 1 juli;0.0;0;0
11;Buitenland (LD);2009 1 januari;0.0;0;0
12;Niet in te delen (LD);2008 1 juli;0.0;0;0
13;Niet in te delen (LD);2009 1 januari;0.0;0;0
14;West-Nederland, exclusief G4 (LD);2008 1 juli;0.0;0;0
15;West-Nederland, exclusief G4 (LD);2009 1 januari;0.0;0;0
16;Extra-Regio (LD);2008 1 juli;0.0;0;0
17;Extra-Regio (LD);2009 1 januari;0.0;0;0
18;Groningen (PV);2008 1 juli;41.8;238857;572028
19;Groningen (PV);2009 1 januari;41.1;236215;574092
20;Friesland (PV);2008 1 juli;39.9;256867;643512
21;Friesland (PV);2009 1 januari;38.7;249289;644811
22;Drenthe (PV);2008 1 juli;41.5;203018;488699
23;Drenthe (PV);2009 1 januari;39.6;194027;489918
24;Overijssel (PV);2008 1 juli;41.7;467983;1122421
25;Overijssel (PV);2009 1 januari;40.0;449975;1125435
26;Flevoland (PV);2008 1 juli;43.4;165287;380740
27;Flevoland (PV);2009 1 januari;42.0;161199;383449
28;Gelderland (PV);2008 1 juli;40.3;801364;1986406
29;Gelderland (PV);2009 1 januari;39.0;775591;1991062
30;Utrecht (PV);2008 1 juli;43.2;519977;1204936
31;Utrecht (PV);2009 1 januari;42.1;510085;1210869
32;Noord-Holland (PV);2008 1 juli;39.3;1035056;2635512
33;Noord-Holland (PV);2009 1 januari;38.0;1006186;2646445
34;Zuid-Holland (PV);2008 1 juli;40.7;1412033;3468160
35;Zuid-Holland (PV);2009 1 januari;39.4;1370940;3481558
36;Zeeland (PV);2008 1 juli;37.8;144078;380862
37;Zeeland (PV);2009 1 januari;36.4;138694;380984
38;Noord-Brabant (PV);2008 1 juli;42.2;1025146;2428638
39;Noord-Brabant (PV);2009 1 januari;40.6;988340;2434560
40;Limburg (PV);2008 1 juli;44.4;498104;1123041
41;Limburg (PV);2009 1 januari;42.7;479823;1122604
42;Buitenland (PV);2008 1 juli;0.0;0;0
43;Buitenland (PV);2009 1 januari;0.0;0;0
44;Niet in te delen (PV);2008 1 juli;0.0;0;0
45;Niet in te delen (PV);2009 1 januari;0.0;0;0
46;Extra-Regio (PV);2008 1 juli;0.0;0;0
47;Extra-Regio (PV);2009 1 januari;0.0;0;0
48;Oost-Groningen (CR);2008 1 juli;39.7;60533;152373
49;Oost-Groningen (CR);2009 1 januari;38.1;57974;152172
50;Delfzijl en omgeving (CR);2008 1 juli;40.6;20185;49720
51;Delfzijl en omgeving (CR);2009 1 januari;39.1;19306;49401
52;Overig Groningen (CR);2008 1 juli;42.7;158139;369935
53;Overig Groningen (CR);2009 1 januari;42.7;158935;372519
