ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;CaravansEnBungalows_28;ToeristischeStandplaatsen_29;SeizoenEnJaarplaatsen_30;Groepsverblijven_31;Ligplaatsen_32;OverigeVerhuur_33;ToegangsopbrengstenAttracties_34;Dranken_35;MaaltijdenSnacks_36;OverigeHorecaActiviteiten_37;OntvangstenVoorUitleenEnSubsidie_38;TotaalPersoneelskosten_39;BrutoLonenEnSalarissen_40;SocialeLasten_41;Pensioenpremies_42;KostenUitzendkrachten_43;KostenIngeleendPersoneel_44;OverigePersoneelskosten_45;TotaalOverigeBedrijfslasten_46;TotaalHuisvestingskosten_47;BetaaldeHurenPachtenEDVanLeasing_48;OnroerendeZaakbelastingMilieuheffing_49;Energiekosten_50;ReparatieEnOnderhoudskosten_51;Verzekeringen_52;OverigeHuisvestingskosten_53;TotaalInventarisEnMachinekosten_54;BetaaldeHurenEnKostenVanOperLease_55;Onderhoudskosten_56;OverigeInventarisEnMachinekosten_57;TotaalAutokosten_58;BetaaldeHurenEnKostenVanOperLease_59;Brandstof_60;OverigeAutokosten_61;TotaalVerkoopkosten_62;ReclameEnAdvertentiekosten_63;ReisVerblijfsEnRepresentatiekosten_64;OverigeVerkoopkosten_65;TotaalAndereKosten_66;AccountantsEnAdviesdiensten_67;KantoorbenodigdhDrukwerkVakliteratuur_68;OverigeVerzekeringen_69;OverigeKostprijsverhogendeBelastingen_70;Communicatiekosten_71;Beheerskosten_72;OverigeAutomatiseringskosten_73;NogNietEerderGenoemdeBedrijfskosten_74;TotaalAantalWerkzamePersonen_75;WerknemersOpDeLoonlijst_76;WerknemersNietOpLoonlijst_77;OverigPersoneel_78;AantalVte_79;TotaalInvesteringen_80;TotaalMaterieleVasteActiva_81;Bedrijfsruimten_82;Vervoermiddelen_83;Computers_84;OverigeMachinesApparatenED_85;OverigeMaterieleVasteActiva_86;TotaalImmaterieleVasteActiva_87
0;Totaal SBI 552;1996;26.6;861;846;771;75;15;728;17.0;25.2;15.0;42.9;312;157;22;8;39;86;132;-60;72;85.4;8.7;8.3;10.1;846;8.8;91.2;32.5;9.6;16.1;3.4;1.2;8.1;1.4;6.3;10.4;2.1;0.8;183;79.0;7.9;2.7;4.8;1.2;5.3;312;157;17.1;8.4;24.9;24.6;3.0;21.9;22;10.3;38.5;51.2;8;22.0;24.5;53.5;39;58.4;7.1;34.5;86;16.3;7.4;3.3;3.9;8.5;36.3;2.1;22.1;191;76.7;19.2;4.1;112;87;99.8;37.1;2.6;1.1;21.9;37.0;0.2
1;Totaal SBI 552;1997;27.2;899;883;799;84;16;774;17.7;25.0;16.5;40.8;316;156;21;8;40;91;125;-51;74;84.5;8.1;8.2;8.4;883;9.5;90.5;31.7;10.0;16.1;3.3;1.3;7.6;1.4;6.2;10.7;2.2;1.1;194;79.9;7.8;3.0;3.5;1.6;5.2;316;156;18.9;8.1;25.4;23.6;3.2;20.8;21;12.3;44.0;43.7;8;22.2;24.2;53.6;40;58.2;6.4;35.4;91;16.2;7.2;2.8;4.4;8.1;36.7;2.5;22.1;196;80.0;17.1;2.9;113;76;99.0;28.6;3.5;2.4;11.4;53.0;1.0
2;Totaal SBI 552;1998;28.0;920;903;814;88;17;787;18.5;25.5;15.0;41.1;323;162;22;8;38;93;133;-48;85;83.9;8.8;9.2;10.0;903;9.8;90.2;32.3;9.9;14.9;3.5;1.0;8.0;1.4;5.9;11.3;2.0;1.2;200;76.8;9.5;3.1;4.5;1.9;5.4;323;162;;;;;;;22;;;;8;;;;38;;;;93;;;;;;;;;195;76.2;19.5;4.2;113;92;99.9;30.7;7.8;1.6;14.8;45.0;0.1
3;Totaal SBI 552;1999;28.3;949;932;840;91;17;833;18.5;26.5;14.5;40.5;337;172;27;9;41;88;117;-51;66;83.5;6.5;7.0;15.2;932;9.8;90.2;31.7;9.8;15.1;3.9;0.8;8.2;1.6;5.7;11.3;2.0;1.4;220;74.3;9.8;3.8;5.5;1.5;6.5;337;172;;;;;;;27;;;;9;;;;41;;;;88;;;;;;;;;202;75.5;18.9;5.5;114;144;99.5;29.7;3.1;1.2;16.9;48.7;0.5
4;Tot 250 000 euro;1996;21.1;156;152;145;6;4;113;15.8;11.3;20.3;52.6;59;31;4;3;5;17;43;-12;31;88.2;19.7;19.6;6.2;152;4.1;95.9;19.2;14.0;32.6;8.1;0.8;3.5;0.4;8.0;6.4;2.8;0.4;13;81.9;8.2;0.6;4.5;2.2;3.0;59;31;18.9;10.0;30.8;24.6;3.6;12.1;4;2.6;59.0;38.4;3;36.3;24.6;39.1;5;66.0;10.5;23.5;17;28.7;7.3;5.1;6.7;9.4;3.6;1.3;37.8;54;41.0;55.5;3.5;40;10;99.7;22.9;14.5;0.4;19.9;42.1;0.3
5;Tot 250 000 euro;1997;21.1;143;139;132;7;4;104;16.7;11.4;20.3;51.7;54;28;3;3;5;15;39;-10;29;87.5;19.1;20.3;16.1;139;4.9;95.1;17.4;13.7;34.3;8.4;1.3;2.6;0.4;7.5;6.7;2.8;0.5;12;79.1;8.8;3.3;4.8;1.7;2.9;54;28;20.5;9.4;33.2;22.7;3.5;10.8;3;8.1;58.8;33.1;3;34.0;24.4;41.6;5;63.7;11.2;25.0;15;30.1;7.5;4.7;8.9;9.5;5.9;0.6;32.9;51;41.6;55.7;2.7;36;23;99.5;42.4;4.2;0.4;8.4;44.2;0.5
6;Tot 250 000 euro;1998;22.3;147;143;136;7;4;110;14.3;11.7;21.1;53.0;58;30;4;3;4;17;37;-11;26;89.0;16.8;17.8;13.8;143;4.8;95.2;20.9;15.6;29.8;9.2;0.8;2.8;0.2;6.5;6.9;2.4;1.6;13;74.2;8.9;5.7;5.4;4.8;2.6;58;30;;;;;;;4;;;;3;;;;4;;;;17;;;;;;;;;51;31.6;65.6;2.9;37;20;99.9;23.1;14.7;0.9;23.3;37.9;0.1
7;Tot 250 000 euro;1999;22.3;145;140;133;7;5;107;14.3;11.9;21.0;52.7;56;30;4;3;5;14;38;-12;26;89.0;17.8;17.9;9.3;140;5.2;94.8;21.2;14.8;29.6;10.7;0.7;2.7;0.2;5.4;7.3;2.2;1.7;13;73.1;8.6;5.4;8.7;3.3;2.5;56;30;;;;;;;4;;;;3;;;;5;;;;14;;;;;;;;;53;30.8;63.3;5.9;37;13;99.9;39.0;14.4;1.9;12.7;31.9;0.1
8;250 000 tot 500 000 euro;1996;2.8;103;99;91;8;4;83;16.9;22.3;15.8;45.0;37;19;3;1;4;10;20;-4;16;85.8;15.6;15.8;11.6;99;7.9;92.1;15.4;15.4;30.8;3.6;1.7;8.3;0.3;5.5;7.3;3.9;0.9;19;75.8;8.7;5.5;5.9;1.3;3.7;37;19;22.9;8.2;31.4;21.0;3.7;12.8;3;1.3;53.4;45.2;1;11.2;31.0;57.8;4;74.2;11.3;14.5;10;26.2;9.3;4.8;7.0;9.3;13.6;1.8;28.1;21;76.2;20.1;3.7;13;12;99.2;61.7;3.1;0.8;11.9;21.7;0.8
9;250 000 tot 500 000 euro;1997;3.0;98;94;85;9;4;78;19.2;22.2;16.5;42.2;33;16;3;1;3;9;20;-3;17;84.1;16.7;17.8;6.8;94;9.2;90.8;14.8;14.1;29.4;4.1;2.5;8.7;0.3;6.1;7.7;2.9;1.0;17;79.7;9.8;2.6;3.3;3.9;1.7;33;16;25.5;8.7;30.5;20.3;3.7;11.3;3;15.5;40.2;44.3;1;21.5;34.5;44.0;3;64.1;15.1;20.8;9;30.4;8.5;3.6;7.1;8.3;13.6;0.8;27.7;20;83.3;14.7;2.0;12;7;98.4;11.0;4.4;0.4;18.0;64.6;1.6
