ID;BedrijfstakkenBranchesSBI2008;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2;LoonkostenPerGewerktUur_3;JaarmutatieLoonkostenPerGewerktUur_4;Structuureffect_5
0;A-U Alle economische activiteiten;2001;68.3;;63.1;;
1;A-U Alle economische activiteiten;2002;71.3;4.4;66.4;5.1;0.7
2;A-U Alle economische activiteiten;2003;73.4;2.9;68.9;3.9;0.9
3;A-U Alle economische activiteiten;2004;73.9;0.8;69.9;1.5;0.7
4;A-U Alle economische activiteiten;2005;75.5;2.0;71.9;2.9;0.8
5;A-U Alle economische activiteiten;2006;76.6;1.5;73.4;2.1;0.6
6;A-U Alle economische activiteiten;2007;78.9;3.1;75.7;3.1;0.1
7;A-U Alle economische activiteiten;2008;81.9;3.8;78.7;3.9;0.1
8;A-U Alle economische activiteiten;2009;83.3;1.7;80.9;2.8;1.2
9;A-U Alle economische activiteiten;2010;83.5;0.3;81.7;1.0;0.7
10;A-U Alle economische activiteiten;2011;85.0;1.8;83.4;2.0;0.2
11;A-U Alle economische activiteiten;2012;86.8;2.1;85.8;2.8;0.7
12;A-U Alle economische activiteiten;2013;87.8;1.1;87.4;1.9;0.8
13;A-U Alle economische activiteiten;2014;88.5;0.8;88.4;1.2;0.4
14;A-U Alle economische activiteiten;2015;88.8;0.3;88.6;0.2;-0.1
15;A-U Alle economische activiteiten;2016;89.9;1.3;89.5;1.0;-0.3
16;A-U Alle economische activiteiten;2017;91.3;1.5;90.3;0.9;-0.5
17;A-U Alle economische activiteiten;2018;93.7;2.6;92.4;2.3;-0.3
18;A-U Alle economische activiteiten;2019;96.1;2.7;94.9;2.8;0.1
19;A-U Alle economische activiteiten;2020;98.8;2.7;98.9;4.2;1.4
20;A-U Alle economische activiteiten;2021;100.0;1.2;100.0;1.1;-0.2
21;A-U Alle economische activiteiten;2022;106.0;6.0;105.5;5.5;-0.5
22;A-U Alle economische activiteiten;2023;112.9;6.5;112.7;6.9;0.4
23;A-U Alle economische activiteiten;2024;118.9;5.4;119.2;5.8;0.4
