ID;Marges;Geslacht;Leeftijd;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6
0;Waarde;Totaal mannen en vrouwen;Totaal;2015;78.5;81.4;66.1;66.8;83.1;85.1
1;Waarde;Totaal mannen en vrouwen;Totaal;2017;78.3;81.1;66.0;66.4;82.1;84.7
2;Waarde;Totaal mannen en vrouwen;Totaal;2019;79.0;81.0;66.2;67.1;84.9;87.0
3;Waarde;Totaal mannen en vrouwen;Totaal;2021;78.0;81.0;66.0;67.2;79.6;81.1
4;Waarde;Totaal mannen en vrouwen;Totaal;2023;80.1;82.2;65.6;66.8;84.0;85.9
5;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2015;;;;;;
6;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2017;;;;;;
7;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2019;;;;;;
8;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2021;74.5;79.5;;;80.4;82.2
9;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2023;73.3;76.4;;;88.0;86.0
10;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2015;78.6;87.6;63.0;63.3;88.9;88.3
11;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2017;75.9;79.1;63.4;63.2;85.3;85.9
12;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2019;77.4;80.1;63.6;64.1;88.7;85.6
13;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2021;73.3;77.8;62.3;63.6;85.2;82.7
14;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2023;76.6;79.5;60.9;62.1;86.6;83.5
15;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2015;80.5;82.6;64.4;65.5;85.2;86.3
16;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2017;76.8;79.4;64.4;65.0;85.4;85.9
17;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2019;77.6;81.0;64.1;65.6;87.3;88.4
18;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2021;77.1;80.6;64.1;65.6;84.0;84.3
19;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2023;78.4;81.4;63.3;64.8;86.3;87.0
20;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2015;74.8;76.7;66.2;67.0;82.6;84.4
21;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2017;79.3;83.1;65.7;66.2;83.2;86.2
22;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2019;78.0;79.2;65.4;66.6;84.6;87.1
23;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2021;77.6;80.2;65.6;66.9;79.4;81.4
24;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2023;81.4;82.4;65.8;66.9;84.3;86.8
25;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2015;78.9;81.1;67.1;68.4;80.4;84.6
26;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2017;78.6;80.8;67.0;67.9;77.3;82.4
27;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2019;80.1;81.9;67.2;68.5;81.2;86.2
28;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2021;80.8;82.7;67.3;69.1;77.0;80.4
29;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2023;81.6;83.3;67.4;69.1;81.8;87.1
30;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2015;83.9;85.1;74.0;75.5;76.4;80.7
31;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2017;82.8;84.6;73.5;74.8;76.4;80.8
32;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2019;84.3;84.5;74.3;74.8;82.3;86.9
33;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2021;81.9;85.5;73.8;74.6;68.8;73.5
34;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2023;83.6;86.0;74.2;75.3;78.4;82.6
35;Waarde;Mannen;Totaal;2015;78.0;81.8;66.1;66.7;82.2;84.5
36;Waarde;Mannen;Totaal;2017;78.8;82.1;66.2;66.5;81.1;84.1
37;Waarde;Mannen;Totaal;2019;79.3;81.5;66.4;67.3;84.3;86.8
38;Waarde;Mannen;Totaal;2021;79.4;82.4;66.2;67.4;78.8;80.5
39;Waarde;Mannen;Totaal;2023;79.7;82.0;65.8;67.1;84.1;85.7
40;Waarde;Mannen;15 tot 25 jaar;2015;;;;;;
41;Waarde;Mannen;15 tot 25 jaar;2017;;;;;;
42;Waarde;Mannen;15 tot 25 jaar;2019;;;;;;
43;Waarde;Mannen;15 tot 25 jaar;2021;76.1;80.6;;;79.9;82.3
44;Waarde;Mannen;15 tot 25 jaar;2023;73.1;76.2;;;87.6;84.3
45;Waarde;Mannen;25 tot 35 jaar;2015;75.7;87.0;62.6;62.9;88.4;88.6
46;Waarde;Mannen;25 tot 35 jaar;2017;78.4;80.9;63.3;63.7;84.6;86.0
47;Waarde;Mannen;25 tot 35 jaar;2019;78.6;81.5;63.5;64.2;87.7;87.1
48;Waarde;Mannen;25 tot 35 jaar;2021;75.2;78.5;61.9;63.1;85.5;83.0
49;Waarde;Mannen;25 tot 35 jaar;2023;77.6;79.7;61.1;62.8;87.7;83.6
50;Waarde;Mannen;35 tot 45 jaar;2015;79.2;82.2;64.4;64.9;85.0;85.8
51;Waarde;Mannen;35 tot 45 jaar;2017;77.7;80.8;64.2;64.6;84.2;85.0
52;Waarde;Mannen;35 tot 45 jaar;2019;77.8;81.4;64.3;66.0;86.8;87.6
53;Waarde;Mannen;35 tot 45 jaar;2021;77.7;81.6;64.1;65.6;84.1;84.3
54;Waarde;Mannen;35 tot 45 jaar;2023;78.6;80.4;63.2;64.7;86.4;86.9
55;Waarde;Mannen;45 tot 55 jaar;2015;75.5;78.0;66.0;66.8;81.0;82.7
56;Waarde;Mannen;45 tot 55 jaar;2017;79.1;84.2;65.8;66.2;82.1;85.2
57;Waarde;Mannen;45 tot 55 jaar;2019;78.1;79.6;65.7;66.8;83.5;85.6
58;Waarde;Mannen;45 tot 55 jaar;2021;79.1;81.9;66.0;67.0;78.5;80.9
59;Waarde;Mannen;45 tot 55 jaar;2023;80.7;82.1;65.8;67.1;84.8;87.3
60;Waarde;Mannen;55 tot 65 jaar;2015;78.0;81.1;67.4;68.7;79.3;84.4
61;Waarde;Mannen;55 tot 65 jaar;2017;77.8;80.4;67.2;68.2;75.8;82.1
62;Waarde;Mannen;55 tot 65 jaar;2019;79.9;81.9;67.2;68.5;80.7;86.6
63;Waarde;Mannen;55 tot 65 jaar;2021;82.3;83.7;67.4;69.3;75.9;79.1
64;Waarde;Mannen;55 tot 65 jaar;2023;80.1;82.9;67.6;69.1;81.2;87.3
65;Waarde;Mannen;65 jaar of ouder;2015;84.1;85.8;74.0;75.4;76.8;81.1
66;Waarde;Mannen;65 jaar of ouder;2017;83.8;85.6;73.8;75.1;76.5;80.3
67;Waarde;Mannen;65 jaar of ouder;2019;84.2;84.7;74.2;74.7;82.8;88.0
68;Waarde;Mannen;65 jaar of ouder;2021;84.0;87.7;74.3;75.1;66.8;72.3
69;Waarde;Mannen;65 jaar of ouder;2023;83.6;86.9;74.3;75.7;78.6;81.5
70;Waarde;Vrouwen;Totaal;2015;79.5;80.8;66.2;67.1;84.7;86.3
71;Waarde;Vrouwen;Totaal;2017;77.4;79.4;65.7;66.2;83.8;85.7
72;Waarde;Vrouwen;Totaal;2019;78.4;80.1;65.7;66.7;86.1;87.2
73;Waarde;Vrouwen;Totaal;2021;75.5;78.7;65.7;66.9;81.0;82.2
74;Waarde;Vrouwen;Totaal;2023;80.6;82.6;65.3;66.2;83.8;86.2
75;Waarde;Vrouwen;15 tot 25 jaar;2015;;;;;;
76;Waarde;Vrouwen;15 tot 25 jaar;2017;;;;;;
77;Waarde;Vrouwen;15 tot 25 jaar;2019;;;;;;
78;Waarde;Vrouwen;15 tot 25 jaar;2021;;;;;;
79;Waarde;Vrouwen;15 tot 25 jaar;2023;;;;;;
80;Waarde;Vrouwen;25 tot 35 jaar;2015;83.5;88.7;;64.1;89.7;88.0
81;Waarde;Vrouwen;25 tot 35 jaar;2017;71.6;76.3;63.4;61.9;86.5;85.8
82;Waarde;Vrouwen;25 tot 35 jaar;2019;75.3;77.6;63.9;64.0;90.5;82.9
83;Waarde;Vrouwen;25 tot 35 jaar;2021;69.7;76.3;63.5;64.8;84.8;82.3
84;Waarde;Vrouwen;25 tot 35 jaar;2023;74.8;79.2;60.4;60.8;84.8;83.5
85;Waarde;Vrouwen;35 tot 45 jaar;2015;82.9;83.3;64.5;66.8;85.7;87.2
86;Waarde;Vrouwen;35 tot 45 jaar;2017;75.2;76.7;64.7;65.9;87.5;87.4
87;Waarde;Vrouwen;35 tot 45 jaar;2019;77.3;80.4;63.6;64.8;88.2;89.6
88;Waarde;Vrouwen;35 tot 45 jaar;2021;76.3;79.0;64.0;65.5;83.9;84.3
89;Waarde;Vrouwen;35 tot 45 jaar;2023;78.2;83.1;63.5;65.0;86.1;87.2
90;Waarde;Vrouwen;45 tot 55 jaar;2015;73.8;74.7;66.6;67.4;85.1;87.3
91;Waarde;Vrouwen;45 tot 55 jaar;2017;79.5;81.3;65.5;66.2;85.1;87.8
92;Waarde;Vrouwen;45 tot 55 jaar;2019;77.9;78.7;64.8;66.2;86.4;89.4
93;Waarde;Vrouwen;45 tot 55 jaar;2021;75.5;77.6;65.0;66.6;80.6;82.0
