ID;Periods;TotalTouristExpenditureNLEconomy_1;InboundTourism_2;TotalDomesticTourismExpenditure_3;DestinationTheNetherlands_4;DestinationAbroad_5;OtherExpenditures_6;OutboundTourismExpenditure_7;TotalTouristExpenditureNLEconomy_8;InboundTourism_9;TotalDomesticTourismExpenditure_10;DestinationTheNetherlands_11;DestinationAbroad_12;OtherExpenditures_13;OutboundTourismExpenditure_14
0;2005;32163;6166;21698;17972;3725;4299;12929;100.0;100.0;100.0;100.0;100.0;100.0;100.0
1;2006;33973;6637;22869;18981;3888;4466;13504;103.5;105.4;103.2;103.6;101.4;102.4;103.1
2;2007;35875;7034;24193;20017;4176;4647;13889;107.2;110.2;106.8;106.3;109.3;104.6;103.8
3;2008;37087;7340;25028;20536;4492;4718;14742;107.2;110.8;106.4;105.3;112.3;105.8;110.0
4;2009;35145;6965;23720;19650;4070;4460;14827;101.6;106.1;101.0;100.0;106.0;98.4;111.2
5;2010;35976;7356;24216;19821;4395;4404;14911;102.2;110.6;101.0;98.5;113.3;95.7;108.7
6;2011;37405;7777;25199;20585;4614;4429;14956;104.1;114.7;102.9;100.2;116.7;94.7;105.3
7;2012;38209;8062;25725;20851;4874;4422;15725;104.1;116.3;102.7;99.4;120.0;93.3;107.1
