ID;Leeftijd;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
0;Totaal alle leeftijden;1;2011;16654454;8245473;8408981
1;Totaal alle leeftijden;1;2012;16733121;8286680;8446441
2;Totaal alle leeftijden;1;2013;16808530;8325542;8482988
3;Totaal alle leeftijden;1;2014;16877754;8360505;8517249
4;Totaal alle leeftijden;1;2015;16941202;8391858;8549345
5;Totaal alle leeftijden;1;2016;17001316;8421184;8580132
6;Totaal alle leeftijden;1;2017;17059338;8449335;8610002
7;Totaal alle leeftijden;1;2018;17116422;8477072;8639349
8;Totaal alle leeftijden;1;2019;17172928;8504558;8668370
9;Totaal alle leeftijden;1;2020;17228780;8531754;8697026
10;Totaal alle leeftijden;1;2021;17283794;8558519;8725275
11;Totaal alle leeftijden;1;2022;17337586;8584586;8753001
12;Totaal alle leeftijden;1;2023;17389860;8609750;8780110
13;Totaal alle leeftijden;1;2024;17440236;8633765;8806471
14;Totaal alle leeftijden;1;2025;17488348;8656447;8831901
15;Totaal alle leeftijden;1;2026;17533982;8677687;8856295
16;Totaal alle leeftijden;1;2027;17576846;8697323;8879523
17;Totaal alle leeftijden;1;2028;17616870;8715328;8901542
18;Totaal alle leeftijden;1;2029;17653872;8731628;8922244
19;Totaal alle leeftijden;1;2030;17687794;8746229;8941565
20;Totaal alle leeftijden;1;2031;17718516;8759095;8959421
21;Totaal alle leeftijden;1;2032;17745908;8770227;8975682
22;Totaal alle leeftijden;1;2033;17769828;8779586;8990243
23;Totaal alle leeftijden;1;2034;17790224;8787186;9003038
24;Totaal alle leeftijden;1;2035;17806972;8793004;9013967
25;Totaal alle leeftijden;1;2036;17820194;8797119;9023075
26;Totaal alle leeftijden;1;2037;17829952;8799597;9030355
27;Totaal alle leeftijden;1;2038;17836452;8800581;9035872
28;Totaal alle leeftijden;1;2039;17839930;8800209;9039720
29;Totaal alle leeftijden;1;2040;17840780;8798720;9042060
30;Totaal alle leeftijden;1;2041;17839400;8796346;9043054
31;Totaal alle leeftijden;1;2042;17836140;8793260;9042879
32;Totaal alle leeftijden;1;2043;17831392;8789658;9041735
33;Totaal alle leeftijden;1;2044;17825506;8785681;9039826
34;Totaal alle leeftijden;1;2045;17818802;8781464;9037339
35;Totaal alle leeftijden;1;2046;17811546;8777132;9034414
36;Totaal alle leeftijden;1;2047;17804052;8772799;9031254
37;Totaal alle leeftijden;1;2048;17796502;8768552;9027950
38;Totaal alle leeftijden;1;2049;17789028;8764464;9024564
39;Totaal alle leeftijden;1;2050;17781682;8760568;9021114
40;Totaal alle leeftijden;1;2051;17774558;8756921;9017638
41;Totaal alle leeftijden;1;2052;17767738;8753579;9014159
42;Totaal alle leeftijden;1;2053;17761366;8750608;9010757
43;Totaal alle leeftijden;1;2054;17755580;8748088;9007491
44;Totaal alle leeftijden;1;2055;17750564;8746122;9004442
45;Totaal alle leeftijden;1;2056;17746476;8744792;9001684
46;Totaal alle leeftijden;1;2057;17743502;8744183;8999319
47;Totaal alle leeftijden;1;2058;17741732;8744312;8997420
48;Totaal alle leeftijden;1;2059;17741278;8745235;8996044
49;Totaal alle leeftijden;1;2060;17742222;8746956;8995266
50;Totaal alle leeftijden;2;2011;16620070;8227291;8392547
51;Totaal alle leeftijden;2;2012;16657380;8247462;8410094
52;Totaal alle leeftijden;2;2013;16684721;8260368;8423743
53;Totaal alle leeftijden;2;2014;16702428;8269435;8432929
54;Totaal alle leeftijden;2;2015;16707684;8270629;8436990
55;Totaal alle leeftijden;2;2016;16713123;8272336;8441410
56;Totaal alle leeftijden;2;2017;16709317;8268564;8439378
57;Totaal alle leeftijden;2;2018;16699944;8262055;8439675
58;Totaal alle leeftijden;2;2019;16689446;8254192;8437254
59;Totaal alle leeftijden;2;2020;16684974;8249016;8435342
60;Totaal alle leeftijden;2;2021;16668374;8236597;8431716
61;Totaal alle leeftijden;2;2022;16661880;8234472;8428841
62;Totaal alle leeftijden;2;2023;16653995;8227061;8422605
63;Totaal alle leeftijden;2;2024;16625860;8201100;8419126
64;Totaal alle leeftijden;2;2025;16588839;8188495;8408303
65;Totaal alle leeftijden;2;2026;16584328;8178717;8408172
66;Totaal alle leeftijden;2;2027;16568340;8169406;8395463
67;Totaal alle leeftijden;2;2028;16555090;8161695;8389184
68;Totaal alle leeftijden;2;2029;16532122;8145065;8372681
69;Totaal alle leeftijden;2;2030;16498045;8128251;8365169
70;Totaal alle leeftijden;2;2031;16465763;8105983;8356227
71;Totaal alle leeftijden;2;2032;16418192;8090832;8339959
72;Totaal alle leeftijden;2;2033;16368758;8055971;8319024
73;Totaal alle leeftijden;2;2034;16332640;8023910;8301369
74;Totaal alle leeftijden;2;2035;16279492;8000660;8272002
75;Totaal alle leeftijden;2;2036;16223860;7977460;8244646
76;Totaal alle leeftijden;2;2037;16166820;7946772;8215841
77;Totaal alle leeftijden;2;2038;16106308;7924141;8191241
78;Totaal alle leeftijden;2;2039;16039381;7885933;8159841
79;Totaal alle leeftijden;2;2040;15980025;7851552;8129920
80;Totaal alle leeftijden;2;2041;15922512;7812586;8117446
81;Totaal alle leeftijden;2;2042;15831763;7774683;8075301
82;Totaal alle leeftijden;2;2043;15759641;7738862;8033975
83;Totaal alle leeftijden;2;2044;15711374;7707640;8007796
84;Totaal alle leeftijden;2;2045;15671172;7686029;7985415
85;Totaal alle leeftijden;2;2046;15607654;7663825;7952304
86;Totaal alle leeftijden;2;2047;15571757;7641121;7931258
87;Totaal alle leeftijden;2;2048;15485964;7604162;7882274
88;Totaal alle leeftijden;2;2049;15416347;7562181;7836664
89;Totaal alle leeftijden;2;2050;15299601;7502340;7795063
90;Totaal alle leeftijden;2;2051;15222516;7474147;7752351
91;Totaal alle leeftijden;2;2052;15157425;7444034;7716103
92;Totaal alle leeftijden;2;2053;15094226;7404270;7693937
93;Totaal alle leeftijden;2;2054;15009749;7358527;7653692
94;Totaal alle leeftijden;2;2055;14929195;7323968;7609334
95;Totaal alle leeftijden;2;2056;14872870;7289212;7584308
96;Totaal alle leeftijden;2;2057;14783077;7255016;7538043
97;Totaal alle leeftijden;2;2058;14722559;7223507;7497596
98;Totaal alle leeftijden;2;2059;14677780;7188724;7484938
99;Totaal alle leeftijden;2;2060;14612650;7160855;7439856
100;Totaal alle leeftijden;3;2011;16685514;8261547;8424121
101;Totaal alle leeftijden;3;2012;16805680;8324496;8481599
102;Totaal alle leeftijden;3;2013;16926240;8386869;8539407
