ID;Geslacht;Herkomstgroepering;Generatie;Onderwijssoort;Woongemeente;Perioden;PercentageGeslaagdeExamenkandidaten_1
0;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;1998/'99;94.0
1;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;1999/'00;94.0
2;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2000/'01;95.0
3;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2001/'02;95.0
4;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2002/'03;94.0
5;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2003/'04;95.0
6;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2004/'05;95.0
7;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2005/'06;96.0
8;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Nederland;2006/'07*;95.0
9;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;1998/'99;94.0
10;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;1999/'00;92.0
11;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2000/'01;96.0
12;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2001/'02;96.0
13;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2002/'03;94.0
14;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2003/'04;95.0
15;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2004/'05;96.0
16;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2005/'06;96.0
17;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Alkmaar;2006/'07*;95.0
18;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Almelo;1998/'99;91.0
19;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Almelo;1999/'00;92.0
20;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Almelo;2000/'01;92.0
21;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Almelo;2001/'02;92.0
22;Totaal mannen en vrouwen;0;0;Vbo/vmbo-kaderberoeps en -basisberoeps;Almelo;2002/'03;93.0
