ID;Dagsoort;Regio;Perioden;VerkeersindexAlleWegen_1;VerkeersindexRijkswegen_2;VerkeersindexProvincialeWegen_3
0;Weekdagen;Nederland;2000;100;100;100
1;Weekdagen;Nederland;2001;102;102;101
2;Weekdagen;Nederland;2002;104;105;102
3;Weekdagen;Nederland;2003;105;106;104
4;Weekdagen;Nederland;2004;106;107;104
5;Weekdagen;Nederland;2005;107;108;103
6;Weekdagen;Nederland;2006;108;110;104
7;Weekdagen;Nederland;2007;112;113;107
8;Weekdagen;Nederland;2008;111;113;106
9;Weekdagen;Nederland;2009;111;113;106
10;Weekdagen;Nederland;2010;111;113;104
11;Weekdagen;Nederland;2011;112;114;107
12;Weekdagen;Noord-Nederland (LD);2000;100;100;100
13;Weekdagen;Noord-Nederland (LD);2001;103;103;102
14;Weekdagen;Noord-Nederland (LD);2002;106;107;104
15;Weekdagen;Noord-Nederland (LD);2003;108;110;104
16;Weekdagen;Noord-Nederland (LD);2004;109;112;103
17;Weekdagen;Noord-Nederland (LD);2005;110;114;103
18;Weekdagen;Noord-Nederland (LD);2006;113;117;105
19;Weekdagen;Noord-Nederland (LD);2007;116;121;107
20;Weekdagen;Noord-Nederland (LD);2008;116;122;106
21;Weekdagen;Noord-Nederland (LD);2009;117;124;106
22;Weekdagen;Noord-Nederland (LD);2010;116;123;105
23;Weekdagen;Noord-Nederland (LD);2011;120;126;108
24;Weekdagen;Oost-Nederland (LD);2000;100;100;100
25;Weekdagen;Oost-Nederland (LD);2001;102;103;101
26;Weekdagen;Oost-Nederland (LD);2002;104;106;101
27;Weekdagen;Oost-Nederland (LD);2003;106;107;102
28;Weekdagen;Oost-Nederland (LD);2004;107;110;102
29;Weekdagen;Oost-Nederland (LD);2005;108;111;101
30;Weekdagen;Oost-Nederland (LD);2006;110;113;102
31;Weekdagen;Oost-Nederland (LD);2007;113;117;107
32;Weekdagen;Oost-Nederland (LD);2008;114;118;106
33;Weekdagen;Oost-Nederland (LD);2009;113;116;106
34;Weekdagen;Oost-Nederland (LD);2010;114;120;104
35;Weekdagen;Oost-Nederland (LD);2011;116;121;106
36;Weekdagen;West-Nederland (LD);2000;100;100;100
37;Weekdagen;West-Nederland (LD);2001;102;102;102
38;Weekdagen;West-Nederland (LD);2002;104;104;103
39;Weekdagen;West-Nederland (LD);2003;105;105;105
40;Weekdagen;West-Nederland (LD);2004;105;105;104
41;Weekdagen;West-Nederland (LD);2005;105;105;104
42;Weekdagen;West-Nederland (LD);2006;106;106;105
43;Weekdagen;West-Nederland (LD);2007;109;109;107
44;Weekdagen;West-Nederland (LD);2008;108;109;105
45;Weekdagen;West-Nederland (LD);2009;108;109;106
46;Weekdagen;West-Nederland (LD);2010;107;107;105
47;Weekdagen;West-Nederland (LD);2011;107;107;108
48;Weekdagen;Zuid-Nederland (LD);2000;100;100;100
49;Weekdagen;Zuid-Nederland (LD);2001;102;102;101
50;Weekdagen;Zuid-Nederland (LD);2002;103;104;102
51;Weekdagen;Zuid-Nederland (LD);2003;104;104;104
52;Weekdagen;Zuid-Nederland (LD);2004;106;106;106
53;Weekdagen;Zuid-Nederland (LD);2005;108;108;103
54;Weekdagen;Zuid-Nederland (LD);2006;111;112;103
55;Weekdagen;Zuid-Nederland (LD);2007;114;116;107
56;Weekdagen;Zuid-Nederland (LD);2008;114;116;106
57;Weekdagen;Zuid-Nederland (LD);2009;114;116;105
58;Weekdagen;Zuid-Nederland (LD);2010;113;115;102
59;Weekdagen;Zuid-Nederland (LD);2011;116;119;105
60;Werkdagen;Nederland;2000;100;100;100
61;Werkdagen;Nederland;2001;102;102;101
62;Werkdagen;Nederland;2002;104;104;102
63;Werkdagen;Nederland;2003;105;105;103
64;Werkdagen;Nederland;2004;106;106;103
65;Werkdagen;Nederland;2005;107;108;103
66;Werkdagen;Nederland;2006;109;110;105
67;Werkdagen;Nederland;2007;112;113;107
68;Werkdagen;Nederland;2008;112;113;107
