ID;Periods;VolumeChanges_1
0;2005 January;-0.8
1;2005 February;-3.5
2;2005 March;-4.8
3;2005 April;0.5
4;2005 May;3.1
5;2005 June;4.7
6;2005 July;4.0
7;2005 August;8.9
8;2005 September;9.7
9;2005 October;4.3
10;2005 November;4.3
11;2005 December;2.1
12;2006 January;6.2
13;2006 February;6.7
14;2006 March;9.4
15;2006 April;4.0
16;2006 May;9.9
17;2006 June;4.9
18;2006 July;6.0
19;2006 August;7.4
20;2006 September;6.4
21;2006 October;11.4
22;2006 November;9.4
23;2006 December;9.0
24;2007 January;9.3
25;2007 February;12.3
26;2007 March;10.3
27;2007 April;10.0
28;2007 May;7.3
29;2007 June;8.5
30;2007 July;8.8
31;2007 August;8.9
32;2007 September;4.4
33;2007 October;6.2
34;2007 November;3.5
35;2007 December;1.8
36;2008 January;7.3
37;2008 February;8.0
38;2008 March;1.3
39;2008 April;6.2
40;2008 May;3.2
41;2008 June;4.4
42;2008 July;2.6
43;2008 August;3.4
44;2008 September;8.0
45;2008 October;1.2
46;2008 November;-0.8
47;2008 December;-1.2
48;2009 January;-7.7
49;2009 February;-12.8
50;2009 March;-4.6
51;2009 April;-14.2
52;2009 May;-12.6
53;2009 June;-16.6
54;2009 July;-13.7
55;2009 August;-22.1
56;2009 September;-21.9
57;2009 October;-22.9
58;2009 November;-18.7
59;2009 December;-15.9
60;2010 January;-22.1
61;2010 February;-22.5
62;2010 March;-13.5
63;2010 April;-7.4
64;2010 May;-11.7
65;2010 June;-6.8
66;2010 July;-7.2
67;2010 August;-6.4
68;2010 September;-9.6
69;2010 October;-5.7
70;2010 November;-0.8
71;2010 December;-4.6
72;2011 January;10.8
73;2011 February;16.6
74;2011 March;8.5
75;2011 April;7.1
76;2011 May;16.1
77;2011 June;0.4
78;2011 July;2.3
79;2011 August;8.9
80;2011 September;11.3
81;2011 October;4.4
82;2011 November;6.4
83;2011 December;12.9
84;2012 January;0.9
85;2012 February;-5.6
86;2012 March;-5.5
87;2012 April;-4.1
88;2012 May;-6.2
89;2012 June;3.3
90;2012 July;-2.1
91;2012 August;-3.2
92;2012 September;-11.3
93;2012 October;-4.0
94;2012 November;-7.6
95;2012 December;-13.2
96;2013 January;-14.7
97;2013 February;-13.2
98;2013 March;-14.0
99;2013 April;-8.0
100;2013 May;-10.0
101;2013 June;-14.8
102;2013 July;-5.8
103;2013 August;-3.8
104;2013 September;-2.7
105;2013 October;5.7
106;2013 November;4.4
107;2013 December;21.1
108;2014 January;9.4
109;2014 February;11.8
110;2014 March;3.9
111;2014 April;5.8
