ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;Paar_4;Eenouderhuishouden_5;OverigHuishouden_6
0;Totaal leeftijd;Totaal burgerlijke staat;2013;7572956;2814301;4758655;4193033;523650;41972
1;Totaal leeftijd;Totaal burgerlijke staat;2014;7631061;2859072;4771989;4199378;531348;41263
2;Totaal leeftijd;Totaal burgerlijke staat;2015;7687948;2898070;4789878;4213168;535568;41142
3;Totaal leeftijd;Totaal burgerlijke staat;2016;7744940;2933415;4811525;4233096;537018;41411
4;Totaal leeftijd;Totaal burgerlijke staat;2017;7801610;2970187;4831423;4251320;538437;41666
5;Totaal leeftijd;Totaal burgerlijke staat;2018;7858279;3008177;4850102;4268515;539632;41955
6;Totaal leeftijd;Totaal burgerlijke staat;2019;7913500;3047111;4866389;4283496;540627;42266
7;Totaal leeftijd;Totaal burgerlijke staat;2020;7966674;3086030;4880644;4296802;541253;42589
8;Totaal leeftijd;Totaal burgerlijke staat;2021;8017607;3124383;4893224;4308661;541679;42884
9;Totaal leeftijd;Totaal burgerlijke staat;2022;8066419;3162396;4904023;4319277;541549;43197
10;Totaal leeftijd;Totaal burgerlijke staat;2023;8112851;3199458;4913393;4328676;541234;43483
11;Totaal leeftijd;Totaal burgerlijke staat;2024;8157131;3235879;4921252;4336839;540601;43812
12;Totaal leeftijd;Totaal burgerlijke staat;2025;8198959;3271360;4927599;4343650;539865;44084
13;Totaal leeftijd;Totaal burgerlijke staat;2026;8238190;3305970;4932220;4348963;538905;44352
14;Totaal leeftijd;Totaal burgerlijke staat;2027;8274903;3339817;4935086;4352693;537814;44579
15;Totaal leeftijd;Totaal burgerlijke staat;2028;8309128;3372826;4936302;4354834;536673;44795
16;Totaal leeftijd;Totaal burgerlijke staat;2029;8340756;3404725;4936031;4355454;535564;45013
17;Totaal leeftijd;Totaal burgerlijke staat;2030;8369440;3435094;4934346;4354650;534509;45187
18;Totaal leeftijd;Totaal burgerlijke staat;2031;8395023;3463412;4931611;4352547;533727;45337
19;Totaal leeftijd;Totaal burgerlijke staat;2032;8417717;3489986;4927731;4349291;532979;45461
20;Totaal leeftijd;Totaal burgerlijke staat;2033;8437856;3514837;4923019;4345027;532432;45560
21;Totaal leeftijd;Totaal burgerlijke staat;2034;8455861;3538205;4917656;4339850;532134;45672
22;Totaal leeftijd;Totaal burgerlijke staat;2035;8471965;3560184;4911781;4333923;532064;45794
23;Totaal leeftijd;Totaal burgerlijke staat;2036;8486453;3580718;4905735;4327393;532431;45911
24;Totaal leeftijd;Totaal burgerlijke staat;2037;8499419;3600164;4899255;4320493;532757;46005
