ID;Perioden;k_3Tot5Jaar_1;k_5Tot8Jaar_2;k_8Tot10Jaar_3;ConverteerbareObligaties_4;Algemeen_5;StaatsobligatiesAlgemeen_6;VasteLooptijd_7;k_0Tot3Jaar_8;k_3Tot5Jaar_9;k_5Tot8Jaar_10;MeerDan8Jaar_11;GewoneObligaties_12;KapitaalObligaties_13
0;2000 april;113.4;120.5;124.7;327.8;339.9;341.7;339.6;303.5;323.3;350.7;362.4;323.4;391.7
1;2000 mei;112.2;119.4;123.3;332.2;338.4;340.5;338.4;302.9;321.5;348.6;361.4;321.4;389.3
2;2000 juni;112.7;120.4;124.8;342.2;341.6;344.1;342.0;304.4;324.6;353.1;368.2;323.7;391.9
3;2000 juli;112.2;119.7;124.1;350.1;341.7;344.0;341.9;304.8;324.3;352.4;368.0;324.2;368.0
4;2000 augustus;112.0;119.7;124.4;362.4;343.5;346.0;343.8;305.7;325.3;354.2;373.0;325.5;395.2
5;2000 september;112.2;119.7;123.9;368.8;344.5;346.8;344.7;307.3;327.2;355.7;370.7;326.9;396.8
6;2000 oktober;112.5;120.3;124.5;367.9;346.7;349.0;346.8;308.7;329.5;358.9;372.4;329.1;399.8
7;2000 november;112.6;120.6;124.9;380.3;348.7;351.1;348.9;310.1;331.4;361.3;375.1;331.2;402.8
8;2000 december;113.9;122.6;127.3;372.9;354.0;356.6;354.4;312.6;336.4;368.5;384.3;336.3;409.8
9;2001 januari;114.7;123.6;128.4;369.7;358.3;360.4;358.1;315.0;339.8;373.0;389.4;341.6;416.1
10;2001 februari;114.6;123.5;128.5;364.8;359.9;361.8;359.6;316.0;340.8;374.5;391.9;343.4;418.9
11;2001 maart;115.1;124.2;129.4;349.0;362.6;364.6;362.3;317.8;343.7;378.3;395.2;346.0;422.4
12;2001 april;114.7;123.4;128.0;338.1;362.2;363.7;361.5;318.6;343.7;377.1;391.1;346.7;422.9
13;2001 mei;114.1;122.2;126.1;342.2;361.5;362.5;360.2;319.5;343.5;375.2;386.2;346.3;422.8
14;2001 juni;114.6;122.8;126.6;327.3;364.0;365.2;362.9;321.4;346.4;378.4;389.2;349.0;427.1
15;2001 juli;114.7;122.7;126.3;309.0;365.7;366.8;364.6;322.6;347.9;380.2;391.7;350.5;429.0
16;2001 augustus;115.5;124.0;128.0;302.4;370.2;371.3;369.0;324.6;351.6;386.0;399.7;354.8;435.2
17;2001 september;116.4;124.7;128.1;271.6;371.7;373.6;371.3;326.9;355.4;389.8;398.8;358.0;437.8
18;2001 oktober;117.2;126.1;130.1;274.9;376.8;379.0;376.7;329.1;359.7;396.1;409.0;362.8;444.2
19;2001 november;117.7;127.0;131.5;291.3;381.1;383.0;380.7;330.6;361.9;399.6;419.2;366.1;448.8
20;2001 december;116.4;124.9;129.0;300.0;379.1;380.1;377.7;330.6;359.3;394.7;412.5;364.3;445.3
21;2002 januari;115.7;124.1;128.1;305.4;379.4;380.1;377.8;331.2;359.1;394.2;412.2;364.1;446.2
22;2002 februari;115.0;123.5;127.6;294.9;379.6;380.3;377.9;331.9;359.3;394.1;411.5;364.3;446.7
23;2002 maart;113.9;121.7;125.4;299.5;377.5;377.4;375.0;331.7;357.1;389.9;404.7;363.3;444.5
24;2002 april;114.2;122.0;125.6;297.4;379.1;379.1;376.7;333.0;359.1;392.2;406.2;364.3;447.3
25;2002 mei;114.2;121.9;125.5;286.9;380.6;380.4;378.1;333.9;360.2;393.5;408.3;366.1;449.8
26;2002 juni;114.9;123.1;127.0;277.8;384.5;384.7;382.3;335.8;364.0;398.9;415.6;369.2;455.1
27;2002 juli;115.8;124.1;128.2;268.3;388.6;389.2;386.8;338.0;368.4;404.7;422.6;372.9;458.8
28;2002 augustus;117.2;125.9;130.6;261.6;394.3;395.5;393.1;340.3;373.8;413.2;434.5;377.3;464.0
29;2002 september;118.4;127.8;132.7;258.5;399.6;400.9;398.4;342.4;378.9;421.3;443.4;382.0;471.6
30;2002 oktober;118.5;127.5;132.0;254.6;400.1;401.2;398.7;343.8;380.3;421.7;440.7;383.3;469.5
31;2002 november;118.9;127.9;132.3;257.3;402.3;403.2;400.7;345.2;382.6;424.4;442.7;385.4;473.4
32;2002 december;119.8;129.3;134.1;260.9;406.9;407.8;405.2;347.0;386.2;430.4;451.5;389.3;481.6
33;2003 januari;120.8;131.0;135.9;257.3;412.0;412.7;410.1;348.9;390.8;437.1;460.4;394.2;489.6
34;2003 februari;121.6;132.9;138.2;254.3;416.7;417.6;415.0;350.9;395.4;444.4;469.1;398.7;495.7
35;2003 maart;121.3;132.6;137.8;243.8;416.9;417.8;415.2;351.6;395.8;444.6;468.4;399.7;495.3
36;2003 april;120.9;131.7;136.7;253.7;416.5;417.0;414.4;352.1;395.4;443.4;465.4;399.1;496.5
37;2003 mei;122.5;134.3;140.2;271.0;423.9;424.8;422.1;354.7;400.9;453.0;479.7;405.2;509.9
38;2003 juni;123.5;136.1;142.4;278.9;429.2;429.9;427.2;356.7;405.1;459.4;488.3;410.2;517.6
39;2003 juli;122.0;132.9;138.4;279.5;425.2;424.9;422.3;356.3;402.3;452.9;477.1;407.9;512.0
40;2003 augustus;120.4;130.5;136.0;278.0;422.4;422.1;419.5;355.2;398.7;447.9;474.8;405.1;508.1
41;2003 september;120.5;130.6;135.8;279.7;423.7;423.2;420.6;356.4;400.4;449.4;474.5;406.2;511.5
42;2003 oktober;120.2;130.2;135.2;280.4;424.3;423.5;420.8;356.9;400.8;449.4;474.2;407.2;512.7
43;2003 november;119.6;129.1;133.9;282.1;423.4;422.4;419.8;357.1;400.0;447.4;471.4;406.4;511.7
44;2003 december;120.0;129.8;134.7;282.2;425.8;425.0;422.4;358.3;402.2;450.8;476.1;408.1;515.4
