ID;Taxpayers;Periods;TotalEnvironmentalTaxesAndFees_1;TotalEnvironmentalTaxRevenues_2;TotalEnvironmentalTaxesOnProducts_3;WasteTax_4;FuelTax_5;TaxOnElectricityAndGasUse_6;EmissionAllowances_7;TapWaterAndGroundwaterTaxes_8;TaxOnPackaging_9;FlightTax_10;TotalMobilityTax_11;ExciseDuties_12;TaxOnPassengerCarsAndMotorcycles_13;MotorVehicleTax_14;ManureSurplusTax_15;TotalEnvironmentalFeesRevenues_16;WasteCollectionFee_17;NoiseTaxCivilAviation_18;FeesOnGroundwaterAndRefuseDumps_19;SewerageCharges_20;FeesOnWaterPollution_21
19;Total taxpayers;2014;23845.0;19353.0;4919.0;18.0;142.0;4376.0;108.0;274.0;1.0;;14430.0;7875.0;1121.0;5434.0;4.0;4492.0;1736.0;39.0;22.0;1497.0;1198.0
20;Total taxpayers;2015;24578.0;20031.0;5161.0;84.0;195.0;4484.0;137.0;261.0;0.0;;14867.0;7866.0;1462.0;5539.0;3.0;4547.0;1759.0;31.0;14.0;1531.0;1212.0
21;Total taxpayers;2016;25416.0;20790.0;5530.0;85.0;3.0;4964.0;199.0;279.0;0.0;;15249.0;8088.0;1551.0;5610.0;11.0;4626.0;1770.0;8.0;20.0;1584.0;1244.0
22;Total taxpayers;2017;26264.0;21655.0;5782.0;89.0;2.0;5211.0;200.0;280.0;0.0;;15846.0;8168.0;2000.0;5678.0;27.0;4609.0;1739.0;1.0;15.0;1597.0;1257.0
23;Total taxpayers;2018;27539.0;22848.0;6364.0;91.0;2.0;5722.0;261.0;288.0;0.0;;16468.0;8391.0;2270.0;5807.0;16.0;4691.0;1773.0;2.0;13.0;1619.0;1284.0
24;Total taxpayers;2019;29305.0;24436.0;7724.0;205.0;1.0;6697.0;524.0;297.0;0.0;;16697.0;8461.0;2347.0;5889.0;15.0;4869.0;1845.0;2.0;14.0;1669.0;1339.0
25;Total taxpayers;2020;27271.0;22202.0;7384.0;230.0;1.0;6408.0;443.0;302.0;0.0;;14800.0;7371.0;1501.0;5928.0;18.0;5069.0;2000.0;1.0;15.0;1702.0;1351.0
26;Total taxpayers;2021;28624.0;23284.0;8082.0;241.0;1.0;6963.0;488.0;320.0;0.0;69.0;15195.0;7648.0;1489.0;6058.0;7.0;5340.0;2187.0;1.0;15.0;1737.0;1400.0
27;Total taxpayers;2022;24896.0;19443.0;5101.0;240.0;1.0;3349.0;1039.0;309.0;0.0;163.0;14341.0;6764.0;1477.0;6100.0;1.0;5453.0;2236.0;2.0;12.0;1775.0;1428.0
28;A-U All economic activities;1995;4530.0;3842.0;779.0;105.0;533.0;0.0;0.0;141.0;;;3046.0;1520.0;985.0;541.0;17.0;688.0;198.0;24.0;6.0;146.0;314.0
29;A-U All economic activities;1996;4829.0;4192.0;956.0;86.0;578.0;146.0;0.0;146.0;;;3226.0;1571.0;1066.0;589.0;10.0;637.0;209.0;9.0;6.0;95.0;318.0
30;A-U All economic activities;1997;5093.0;4391.0;1043.0;75.0;568.0;274.0;0.0;126.0;;;3332.0;1696.0;1183.0;453.0;16.0;702.0;238.0;6.0;9.0;104.0;345.0
31;A-U All economic activities;1998;5449.0;4769.0;1061.0;78.0;576.0;255.0;0.0;152.0;;;3695.0;1848.0;1360.0;487.0;13.0;680.0;233.0;6.0;9.0;113.0;319.0
32;A-U All economic activities;1999;5944.0;5242.0;1241.0;95.0;541.0;451.0;0.0;154.0;;;3986.0;1877.0;1574.0;535.0;15.0;702.0;228.0;7.0;24.0;119.0;324.0
33;A-U All economic activities;2000;6493.0;5692.0;1531.0;213.0;527.0;628.0;0.0;163.0;;;4143.0;1969.0;1620.0;554.0;18.0;801.0;268.0;36.0;34.0;130.0;333.0
34;A-U All economic activities;2001;6673.0;5826.0;1622.0;182.0;523.0;747.0;0.0;170.0;;;4193.0;1895.0;1756.0;542.0;11.0;847.0;285.0;43.0;40.0;140.0;339.0
35;A-U All economic activities;2002;6297.0;5409.0;1257.0;173.0;424.0;487.0;0.0;173.0;;;4144.0;2060.0;1538.0;546.0;8.0;888.0;285.0;38.0;59.0;149.0;357.0
36;A-U All economic activities;2003;6519.0;5628.0;1273.0;114.0;434.0;527.0;0.0;198.0;;;4353.0;2123.0;1652.0;578.0;2.0;891.0;296.0;37.0;33.0;161.0;364.0
37;A-U All economic activities;2004;6992.0;6097.0;1421.0;83.0;54.0;1085.0;0.0;199.0;;;4680.0;2224.0;1829.0;627.0;-4.0;895.0;307.0;33.0;34.0;153.0;368.0
38;A-U All economic activities;2005;8021.0;7100.0;2223.0;116.0;10.0;1898.0;0.0;199.0;;;4876.0;2253.0;1947.0;676.0;1.0;921.0;317.0;48.0;36.0;155.0;365.0
39;A-U All economic activities;2006;9038.0;8046.0;2660.0;183.0;-5.0;2272.0;0.0;210.0;;;5384.0;2478.0;2171.0;735.0;2.0;992.0;321.0;54.0;35.0;204.0;378.0
40;A-U All economic activities;2007;8734.0;7730.0;1993.0;152.0;0.0;1632.0;0.0;209.0;;;5741.0;2604.0;2377.0;760.0;-4.0;1004.0;338.0;55.0;35.0;211.0;365.0
41;A-U All economic activities;2008;9423.0;8428.0;2683.0;107.0;14.0;2162.0;0.0;204.0;161.0;35.0;5743.0;2797.0;2102.0;844.0;2.0;995.0;342.0;56.0;20.0;211.0;366.0
42;A-U All economic activities;2009;8613.0;7671.0;2590.0;42.0;0.0;2047.0;0.0;193.0;275.0;33.0;5079.0;2805.0;1356.0;918.0;2.0;942.0;345.0;49.0;17.0;222.0;309.0
43;A-U All economic activities;2010;8600.0;7668.0;2449.0;39.0;1.0;1886.0;0.0;224.0;299.0;;5217.0;2979.0;1262.0;976.0;2.0;932.0;350.0;42.0;15.0;206.0;319.0
44;A-U All economic activities;2011;8773.0;7835.0;2526.0;17.0;1.0;1958.0;54.0;208.0;288.0;;5307.0;3078.0;1253.0;976.0;2.0;938.0;343.0;35.0;15.0;220.0;325.0
45;A-U All economic activities;2012;8021.0;7078.0;2156.0;-16.0;1.0;1784.0;48.0;55.0;284.0;;4918.0;2967.0;983.0;968.0;4.0;943.0;330.0;49.0;14.0;227.0;323.0
46;A-U All economic activities;2013;8008.0;7067.0;2321.0;-5.0;126.0;2088.0;49.0;60.0;3.0;;4742.0;3038.0;745.0;959.0;4.0;941.0;331.0;39.0;10.0;234.0;327.0
47;A-U All economic activities;2014;8496.0;7543.0;2486.0;18.0;142.0;2108.0;108.0;109.0;1.0;;5053.0;3289.0;716.0;1048.0;4.0;953.0;331.0;39.0;22.0;235.0;326.0
48;A-U All economic activities;2015;8922.0;7973.0;2602.0;82.0;195.0;2082.0;137.0;106.0;0.0;;5368.0;3274.0;1025.0;1069.0;3.0;949.0;331.0;31.0;14.0;245.0;328.0
49;A-U All economic activities;2016;8939.0;7968.0;2459.0;83.0;3.0;2060.0;199.0;114.0;0.0;;5498.0;3375.0;1043.0;1080.0;11.0;971.0;345.0;8.0;20.0;250.0;348.0
50;A-U All economic activities;2017;9526.0;8574.0;2713.0;87.0;2.0;2308.0;200.0;116.0;0.0;;5834.0;3378.0;1360.0;1096.0;27.0;952.0;330.0;1.0;15.0;256.0;350.0
51;A-U All economic activities;2018;10156.0;9178.0;3013.0;89.0;2.0;2546.0;261.0;115.0;0.0;;6149.0;3439.0;1589.0;1121.0;16.0;978.0;339.0;2.0;13.0;259.0;365.0
52;A-U All economic activities;2019;11135.0;10119.0;3748.0;200.0;1.0;2901.0;524.0;122.0;0.0;;6356.0;3514.0;1705.0;1137.0;15.0;1016.0;347.0;2.0;14.0;267.0;386.0
53;A-U All economic activities;2020;10661.0;9624.0;4210.0;225.0;1.0;3416.0;443.0;125.0;0.0;;5396.0;3218.0;1034.0;1144.0;18.0;1037.0;381.0;1.0;15.0;273.0;367.0
54;A-U All economic activities;2021;11286.0;10153.0;4514.0;236.0;1.0;3617.0;488.0;140.0;0.0;32.0;5632.0;3450.0;1013.0;1169.0;7.0;1133.0;457.0;1.0;15.0;278.0;382.0
55;A-U All economic activities;2022;12561.0;11409.0;6117.0;235.0;1.0;4651.0;1039.0;138.0;0.0;53.0;5291.0;3112.0;1000.0;1179.0;1.0;1152.0;462.0;2.0;12.0;285.0;391.0
56;A Agriculture, forestry and fishing;1995;179.0;152.0;55.0;8.0;41.0;0.0;0.0;6.0;;;80.0;60.0;3.0;17.0;17.0;27.0;4.0;;1.0;9.0;12.0
57;A Agriculture, forestry and fishing;1996;183.0;157.0;73.0;6.0;47.0;13.0;0.0;7.0;;;74.0;54.0;3.0;17.0;10.0;26.0;6.0;;1.0;6.0;13.0
58;A Agriculture, forestry and fishing;1997;189.0;161.0;64.0;4.0;44.0;14.0;0.0;2.0;;;81.0;65.0;3.0;13.0;16.0;28.0;6.0;;1.0;7.0;14.0
59;A Agriculture, forestry and fishing;1998;195.0;168.0;66.0;6.0;44.0;9.0;0.0;7.0;;;89.0;73.0;3.0;13.0;13.0;27.0;6.0;;1.0;7.0;13.0
60;A Agriculture, forestry and fishing;1999;202.0;172.0;71.0;5.0;39.0;21.0;0.0;6.0;;;86.0;72.0;2.0;12.0;15.0;30.0;6.0;;3.0;8.0;13.0
61;A Agriculture, forestry and fishing;2000;215.0;182.0;78.0;13.0;30.0;27.0;0.0;8.0;;;86.0;72.0;3.0;11.0;18.0;33.0;7.0;;4.0;8.0;14.0
62;A Agriculture, forestry and fishing;2001;239.0;205.0;115.0;9.0;0.0;99.0;0.0;7.0;;;79.0;62.0;3.0;14.0;11.0;34.0;7.0;;4.0;9.0;14.0
63;A Agriculture, forestry and fishing;2002;211.0;172.0;80.0;9.0;1.0;62.0;0.0;8.0;;;84.0;68.0;2.0;14.0;8.0;39.0;7.0;;8.0;10.0;14.0
64;A Agriculture, forestry and fishing;2003;224.0;186.0;81.0;5.0;1.0;66.0;0.0;9.0;;;103.0;86.0;2.0;15.0;2.0;38.0;7.0;;3.0;12.0;16.0
65;A Agriculture, forestry and fishing;2004;243.0;206.0;129.0;4.0;0.0;116.0;0.0;9.0;;;81.0;63.0;3.0;15.0;-4.0;37.0;7.0;;4.0;10.0;16.0
66;A Agriculture, forestry and fishing;2005;345.0;307.0;224.0;7.0;0.0;208.0;0.0;9.0;;;82.0;64.0;3.0;15.0;1.0;38.0;8.0;;4.0;10.0;16.0
67;A Agriculture, forestry and fishing;2006;379.0;338.0;248.0;9.0;0.0;229.0;0.0;10.0;;;88.0;67.0;3.0;18.0;2.0;41.0;7.0;;4.0;14.0;16.0
68;A Agriculture, forestry and fishing;2007;324.0;283.0;194.0;9.0;0.0;175.0;0.0;10.0;;;93.0;72.0;3.0;18.0;-4.0;41.0;7.0;;4.0;14.0;16.0
69;A Agriculture, forestry and fishing;2008;392.0;351.0;240.0;6.0;0.0;215.0;0.0;10.0;9.0;0.0;109.0;82.0;4.0;23.0;2.0;41.0;7.0;;4.0;14.0;16.0
70;A Agriculture, forestry and fishing;2009;405.0;365.0;247.0;2.0;0.0;222.0;0.0;9.0;14.0;0.0;116.0;85.0;7.0;24.0;2.0;40.0;7.0;;3.0;16.0;14.0
71;A Agriculture, forestry and fishing;2010;351.0;314.0;167.0;2.0;0.0;141.0;0.0;9.0;15.0;;145.0;111.0;10.0;24.0;2.0;37.0;7.0;;3.0;14.0;13.0
72;A Agriculture, forestry and fishing;2011;343.0;305.0;168.0;1.0;0.0;147.0;1.0;5.0;14.0;;135.0;101.0;10.0;24.0;2.0;38.0;7.0;;4.0;14.0;13.0
73;A Agriculture, forestry and fishing;2012;310.0;276.0;149.0;-1.0;0.0;131.0;1.0;4.0;14.0;;123.0;95.0;6.0;22.0;4.0;34.0;7.0;;0.0;14.0;13.0
74;A Agriculture, forestry and fishing;2013;440.0;407.0;150.0;0.0;0.0;145.0;1.0;4.0;0.0;;253.0;225.0;4.0;24.0;4.0;33.0;7.0;;-1.0;14.0;13.0
75;A Agriculture, forestry and fishing;2014;609.0;575.0;164.0;1.0;0.0;154.0;1.0;8.0;0.0;;407.0;378.0;3.0;26.0;4.0;34.0;6.0;;1.0;14.0;13.0
76;A Agriculture, forestry and fishing;2015;596.0;563.0;162.0;4.0;0.0;149.0;1.0;8.0;0.0;;398.0;369.0;3.0;26.0;3.0;33.0;6.0;;0.0;14.0;13.0
77;A Agriculture, forestry and fishing;2016;597.0;564.0;148.0;4.0;0.0;135.0;1.0;8.0;0.0;;405.0;374.0;6.0;25.0;11.0;33.0;6.0;;0.0;14.0;13.0
78;A Agriculture, forestry and fishing;2017;632.0;601.0;163.0;4.0;0.0;150.0;1.0;8.0;0.0;;411.0;380.0;6.0;25.0;27.0;31.0;6.0;;-1.0;13.0;13.0
79;A Agriculture, forestry and fishing;2018;633.0;600.0;171.0;5.0;0.0;155.0;2.0;9.0;0.0;;413.0;378.0;7.0;28.0;16.0;33.0;6.0;;1.0;13.0;13.0
80;A Agriculture, forestry and fishing;2019;651.0;619.0;201.0;11.0;0.0;178.0;3.0;9.0;0.0;;403.0;370.0;6.0;27.0;15.0;32.0;6.0;;0.0;13.0;13.0
81;A Agriculture, forestry and fishing;2020;658.0;626.0;230.0;13.0;0.0;206.0;2.0;9.0;0.0;;378.0;347.0;4.0;27.0;18.0;32.0;6.0;;0.0;13.0;13.0
82;A Agriculture, forestry and fishing;2021;690.0;652.0;252.0;13.0;0.0;227.0;2.0;10.0;0.0;0.0;393.0;366.0;3.0;24.0;7.0;38.0;22.0;;2.0;7.0;7.0
83;A Agriculture, forestry and fishing;2022;650.0;632.0;290.0;13.0;0.0;266.0;2.0;9.0;0.0;0.0;341.0;320.0;3.0;18.0;1.0;18.0;18.0;;0.0;0.0;0.0
84;B-E Industry (no construction), energy;1995;1003.0;759.0;465.0;41.0;292.0;0.0;0.0;132.0;;;294.0;168.0;52.0;74.0;;244.0;87.0;;5.0;18.0;135.0
85;B-E Industry (no construction), energy;1996;1063.0;828.0;530.0;34.0;308.0;52.0;0.0;136.0;;;298.0;170.0;56.0;72.0;;235.0;86.0;;5.0;12.0;133.0
86;B-E Industry (no construction), energy;1997;1076.0;820.0;539.0;24.0;312.0;83.0;0.0;120.0;;;281.0;165.0;73.0;43.0;;256.0;93.0;;7.0;13.0;143.0
87;B-E Industry (no construction), energy;1998;1079.0;841.0;572.0;38.0;313.0;79.0;0.0;142.0;;;269.0;154.0;76.0;39.0;;238.0;88.0;;7.0;14.0;129.0
88;B-E Industry (no construction), energy;1999;1143.0;888.0;600.0;44.0;275.0;136.0;0.0;145.0;;;288.0;179.0;78.0;31.0;;255.0;89.0;;19.0;14.0;133.0
89;B-E Industry (no construction), energy;2000;1308.0;1029.0;740.0;112.0;273.0;203.0;0.0;152.0;;;289.0;188.0;74.0;27.0;;279.0;99.0;;27.0;16.0;137.0
90;B-E Industry (no construction), energy;2001;1417.0;1129.0;898.0;93.0;445.0;202.0;0.0;158.0;;;231.0;153.0;63.0;15.0;;288.0;102.0;;33.0;17.0;136.0
91;B-E Industry (no construction), energy;2002;1261.0;964.0;715.0;82.0;336.0;140.0;0.0;157.0;;;249.0;174.0;50.0;25.0;;297.0;90.0;;47.0;16.0;144.0
92;B-E Industry (no construction), energy;2003;1316.0;1036.0;745.0;53.0;345.0;167.0;0.0;180.0;;;291.0;207.0;54.0;30.0;;280.0;94.0;;26.0;18.0;142.0
93;B-E Industry (no construction), energy;2004;1255.0;968.0;686.0;36.0;54.0;415.0;0.0;181.0;;;282.0;177.0;55.0;50.0;;287.0;99.0;;27.0;18.0;143.0
94;B-E Industry (no construction), energy;2005;1530.0;1248.0;966.0;55.0;10.0;720.0;0.0;181.0;;;282.0;176.0;57.0;49.0;;282.0;97.0;;28.0;18.0;139.0
95;B-E Industry (no construction), energy;2006;1638.0;1342.0;1043.0;76.0;-5.0;783.0;0.0;189.0;;;299.0;183.0;64.0;52.0;;296.0;99.0;;27.0;20.0;150.0
96;B-E Industry (no construction), energy;2007;1511.0;1216.0;819.0;59.0;0.0;571.0;0.0;189.0;;;397.0;258.0;76.0;63.0;;295.0;103.0;;28.0;20.0;144.0
97;B-E Industry (no construction), energy;2008;1742.0;1466.0;1085.0;39.0;14.0;728.0;0.0;182.0;122.0;0.0;381.0;224.0;91.0;66.0;;276.0;104.0;;11.0;21.0;140.0
98;B-E Industry (no construction), energy;2009;1577.0;1332.0;1017.0;17.0;0.0;619.0;0.0;172.0;209.0;0.0;315.0;170.0;73.0;72.0;;245.0;105.0;;9.0;21.0;110.0
99;B-E Industry (no construction), energy;2010;1538.0;1285.0;994.0;14.0;1.0;572.0;0.0;180.0;227.0;;291.0;178.0;51.0;62.0;;253.0;105.0;;7.0;21.0;120.0
100;B-E Industry (no construction), energy;2011;1643.0;1390.0;1057.0;7.0;1.0;608.0;53.0;169.0;219.0;;333.0;206.0;49.0;78.0;;253.0;105.0;;6.0;23.0;119.0
101;B-E Industry (no construction), energy;2012;1394.0;1136.0;817.0;-7.0;1.0;537.0;47.0;24.0;215.0;;319.0;210.0;31.0;78.0;;258.0;105.0;;8.0;24.0;121.0
102;B-E Industry (no construction), energy;2013;1404.0;1128.0;832.0;-2.0;126.0;631.0;48.0;27.0;2.0;;296.0;191.0;27.0;78.0;;276.0;105.0;;7.0;35.0;129.0
103;B-E Industry (no construction), energy;2014;1569.0;1288.0;987.0;6.0;142.0;680.0;107.0;51.0;1.0;;301.0;200.0;22.0;79.0;;281.0;105.0;;12.0;35.0;129.0
104;B-E Industry (no construction), energy;2015;1669.0;1392.0;1074.0;30.0;195.0;670.0;130.0;49.0;0.0;;318.0;208.0;21.0;89.0;;277.0;107.0;;9.0;35.0;126.0
105;B-E Industry (no construction), energy;2016;1499.0;1199.0;899.0;30.0;3.0;622.0;192.0;52.0;0.0;;300.0;203.0;22.0;75.0;;300.0;111.0;;13.0;38.0;138.0
106;B-E Industry (no construction), energy;2017;1606.0;1316.0;1003.0;33.0;2.0;716.0;198.0;54.0;0.0;;313.0;197.0;38.0;78.0;;290.0;108.0;;10.0;38.0;134.0
107;B-E Industry (no construction), energy;2018;1749.0;1458.0;1141.0;32.0;2.0;798.0;256.0;53.0;0.0;;317.0;207.0;28.0;82.0;;291.0;112.0;;7.0;39.0;133.0
108;B-E Industry (no construction), energy;2019;2126.0;1815.0;1517.0;75.0;1.0;875.0;512.0;54.0;0.0;;298.0;207.0;23.0;68.0;;311.0;115.0;;10.0;40.0;146.0
109;B-E Industry (no construction), energy;2020;2184.0;1867.0;1594.0;82.0;1.0;1026.0;431.0;54.0;0.0;;273.0;185.0;16.0;72.0;;317.0;124.0;;11.0;40.0;142.0
110;B-E Industry (no construction), energy;2021;2392.0;2049.0;1761.0;86.0;1.0;1129.0;477.0;66.0;0.0;2.0;288.0;199.0;16.0;73.0;;343.0;143.0;;10.0;45.0;145.0
111;B-E Industry (no construction), energy;2022;3232.0;2887.0;2615.0;83.0;1.0;1454.0;1012.0;62.0;0.0;3.0;272.0;170.0;16.0;86.0;;345.0;142.0;;7.0;48.0;148.0
112;B Mining and quarrying;1995;15.0;14.0;3.0;1.0;2.0;0.0;0.0;0.0;;;11.0;10.0;1.0;0.0;;1.0;1.0;;0.0;0.0;0.0
113;B Mining and quarrying;1996;15.0;14.0;3.0;1.0;1.0;1.0;0.0;0.0;;;11.0;10.0;1.0;0.0;;1.0;1.0;;0.0;0.0;0.0
114;B Mining and quarrying;1997;7.0;5.0;3.0;0.0;2.0;1.0;0.0;0.0;;;2.0;1.0;1.0;0.0;;2.0;2.0;;0.0;0.0;0.0
115;B Mining and quarrying;1998;6.0;4.0;2.0;0.0;2.0;0.0;0.0;0.0;;;2.0;1.0;1.0;0.0;;2.0;2.0;;0.0;0.0;0.0
116;B Mining and quarrying;1999;17.0;15.0;3.0;1.0;2.0;0.0;0.0;0.0;;;12.0;10.0;2.0;0.0;;2.0;2.0;;0.0;0.0;0.0
117;B Mining and quarrying;2000;9.0;8.0;5.0;1.0;1.0;3.0;0.0;0.0;;;3.0;1.0;2.0;0.0;;1.0;1.0;;0.0;0.0;0.0
118;B Mining and quarrying;2001;17.0;16.0;14.0;1.0;5.0;8.0;0.0;0.0;;;2.0;1.0;1.0;0.0;;1.0;1.0;;0.0;0.0;0.0
119;B Mining and quarrying;2002;20.0;19.0;15.0;1.0;9.0;5.0;0.0;0.0;;;4.0;3.0;1.0;0.0;;1.0;1.0;;0.0;0.0;0.0
120;B Mining and quarrying;2003;40.0;39.0;24.0;1.0;15.0;8.0;0.0;0.0;;;15.0;14.0;1.0;0.0;;1.0;1.0;;0.0;0.0;0.0
121;B Mining and quarrying;2004;35.0;34.0;19.0;1.0;6.0;12.0;0.0;0.0;;;15.0;13.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
122;B Mining and quarrying;2005;43.0;42.0;26.0;1.0;0.0;25.0;0.0;0.0;;;16.0;14.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
123;B Mining and quarrying;2006;48.0;47.0;31.0;1.0;0.0;30.0;0.0;0.0;;;16.0;14.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
124;B Mining and quarrying;2007;34.0;33.0;18.0;1.0;0.0;17.0;0.0;0.0;;;15.0;13.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
125;B Mining and quarrying;2008;27.0;26.0;20.0;1.0;0.0;19.0;0.0;0.0;0.0;0.0;6.0;3.0;2.0;1.0;;1.0;1.0;;0.0;0.0;0.0
126;B Mining and quarrying;2009;13.0;12.0;12.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
127;B Mining and quarrying;2010;16.0;15.0;14.0;0.0;0.0;14.0;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
128;B Mining and quarrying;2011;17.0;16.0;15.0;0.0;0.0;15.0;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
129;B Mining and quarrying;2012;39.0;38.0;16.0;0.0;0.0;15.0;0.0;1.0;0.0;;22.0;22.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
130;B Mining and quarrying;2013;29.0;28.0;18.0;0.0;0.0;18.0;0.0;0.0;0.0;;10.0;10.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
131;B Mining and quarrying;2014;32.0;31.0;21.0;0.0;0.0;19.0;1.0;1.0;0.0;;10.0;10.0;0.0;0.0;;1.0;1.0;;0.0;0.0;0.0
132;B Mining and quarrying;2015;45.0;44.0;21.0;0.0;0.0;18.0;1.0;2.0;0.0;;23.0;21.0;0.0;2.0;;1.0;1.0;;0.0;0.0;0.0
133;B Mining and quarrying;2016;42.0;41.0;21.0;0.0;0.0;17.0;1.0;3.0;0.0;;20.0;18.0;1.0;1.0;;1.0;1.0;;0.0;0.0;0.0
134;B Mining and quarrying;2017;35.0;34.0;22.0;0.0;0.0;19.0;1.0;2.0;0.0;;12.0;9.0;2.0;1.0;;1.0;1.0;;0.0;0.0;0.0
135;B Mining and quarrying;2018;35.0;34.0;25.0;0.0;0.0;21.0;2.0;2.0;0.0;;9.0;8.0;0.0;1.0;;1.0;1.0;;0.0;0.0;0.0
