ID;Perioden;TotaalOverheidsuitgavenVoorOnderwijs_1;TotaalUitgavenPrePrimairOnderwijs_2;TotaalUitgaven_3;LopendeUitgavenPerLeerling_4;TotaalUitgaven_5;LopendeUitgavenPerLeerling_6;TotaalUitgaven_7;LopendeUitgavenPerLeerling_8;TotaalUitgavenSecundairOnderwijs_9;TotaalUitgaven_10;LopendeUitgavenPerDeelnemer_11;TotaalUitgaven_12;LopendeUitgavenPerDeelnemer_13;TotaalUitgaven_14;TotaalUitgavenTertiairOnderwijs_15;TotaalUitgaven_16;LopendeUitgavenPerStudent_17;TotaalUitgaven_18;LopendeUitgavenPerStudent_19;StudietoelagenStudentenvoorzieningen_20;Apparaatskosten_21;NietTeVerdelenEnOverigeUitgaven_22;PerHoofdVanDeBevolking_23;PercentageVanNettoNationaalInkomen_24;PercentageVanDeRijksuitgaven_25;PercentageVanBrutoBinnenlandsProduct_26
0;1900;12.2;7.2;;;7.2;;;;1.9;1.4;;0.5;;;2.2;0.9;;1.3;;;0.2;0.8;2.3;1.5;;
1;1905;15.5;9.6;;;9.6;;;;2.4;1.7;;0.7;;;2.6;0.9;;1.7;;;0.3;0.6;2.7;1.7;;
2;1910;21.4;13.4;;;13.4;;0.0;;3.2;2.1;;1.1;;;3.5;1.1;;2.4;;;0.3;0.9;3.6;2.0;;
3;1915;27.7;16.9;;;16.8;;0.1;;4.2;2.6;;1.6;;;4.4;1.5;;2.9;;;0.5;1.8;4.5;1.9;;
4;1920;81.9;51.3;;;50.9;;0.4;;12.1;7.5;;4.6;;;13.1;3.9;;9.2;;;1.2;4.2;11.8;2.9;;
5;1925;87.8;56.5;;;55.3;;1.2;;16.6;9.8;;6.8;;;9.4;3.6;;5.8;;;1.2;4.0;11.8;3.4;;
6;1930;116.0;71.9;4.1;;66.1;;1.7;;24.9;16.8;;8.1;;;10.7;3.4;;7.3;;;1.3;7.1;14.5;4.1;;
7;1936;95.3;54.0;2.5;;50.0;;1.5;;25.5;18.0;;7.5;;;8.1;2.5;;5.6;;;1.3;6.4;11.3;4.4;;
8;1938;90.1;48.2;2.3;;44.2;;1.7;;25.3;17.2;;8.1;;;8.1;2.2;;5.9;;;1.5;7.1;10.4;3.7;;
9;1939;90.6;48.1;2.3;;44.0;;1.8;;25.6;17.5;;8.1;;;8.4;2.2;;6.2;;;1.5;7.1;10.4;3.5;;
10;1946;147.3;81.0;3.2;;75.1;;2.7;;39.3;26.9;;12.4;;;13.4;4.0;;9.4;;0.7;1.2;11.7;15.4;;;
11;1947;167.7;87.4;3.9;;80.1;;3.4;;47.6;31.4;;16.2;;;16.9;5.2;;11.7;;1.1;1.8;13.0;17.2;;;
12;1948;198.5;103.4;5.2;;94.0;;4.2;;57.6;38.7;;18.9;;;21.0;6.1;;14.9;;1.5;2.1;13.1;20.4;3.3;;
13;1949;220.4;112.8;6.5;;101.3;;5.0;;62.1;41.6;;20.5;;;24.0;6.7;;17.3;;1.9;2.7;16.8;22.2;3.2;;
