ID;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3
0;2005 2e kwartaal;   100;      ;     
1;2005 3e kwartaal; 100,1;   0,1;     
2;2005 4e kwartaal; 101,1;   1,0;     
3;2006 1e kwartaal; 101,7;   0,5;     
4;2006 2e kwartaal; 101,5;  -0,1;  1,5
5;2006 3e kwartaal; 102,8;   1,3;  2,7
6;2006 4e kwartaal; 104,4;   1,5;  3,2
7;2006 jaargemiddelde; 102,6;      ;     
8;2007 1e kwartaal; 105,5;   1,1;  3,8
9;2007 2e kwartaal; 107,3;   1,7;  5,7
10;2007 3e kwartaal; 107,2;  -0,1;  4,3
11;2007 4e kwartaal; 108,6;   1,3;  4,0
12;2007 jaargemiddelde; 107,2;      ;  4,5
