ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalSnelgroeiendeBedrijven_1;k_10Tot50WerkzamePersonen_2;k_50Tot250WerkzamePersonen_3;k_250WerkzamePersonenOfMeer_4;NatuurlijkePersonen_5;Rechtspersonen_6
85;B-E Nijverheid (geen bouw) en energie;2011;760;515;180;40;65;690
86;B-E Nijverheid (geen bouw) en energie;2012;855;600;200;35;55;800
87;B-E Nijverheid (geen bouw) en energie;2013;850;575;220;35;40;810
88;B-E Nijverheid (geen bouw) en energie;2014;785;545;195;25;40;745
89;B-E Nijverheid (geen bouw) en energie;2015;815;575;205;25;35;780
90;B-E Nijverheid (geen bouw) en energie;2016;945;670;235;25;55;895
91;B-E Nijverheid (geen bouw) en energie;2017;1120;800;265;30;65;1060
92;B-E Nijverheid (geen bouw) en energie;2018;1320;940;320;40;75;1245
93;B-E Nijverheid (geen bouw) en energie;2019;1215;840;305;50;75;1145
94;B-E Nijverheid (geen bouw) en energie;2020;1040;685;285;55;55;985
95;B-E Nijverheid (geen bouw) en energie;2021;990;665;250;55;45;945
96;B-E Nijverheid (geen bouw) en energie;2022;980;675;225;55;50;925
97;B-E Nijverheid (geen bouw) en energie;2023;975;645;255;60;50;925
98;B Delfstoffenwinning;2010;10;5;5;0;0;10
99;B Delfstoffenwinning;2011;10;5;5;0;0;10
100;B Delfstoffenwinning;2012;5;0;5;0;0;5
101;B Delfstoffenwinning;2013;10;0;5;0;0;10
102;B Delfstoffenwinning;2014;15;5;5;5;0;15
103;B Delfstoffenwinning;2015;15;5;5;0;0;10
104;B Delfstoffenwinning;2016;10;5;5;0;0;10
105;B Delfstoffenwinning;2017;5;5;0;0;0;5
106;B Delfstoffenwinning;2018;5;5;5;0;0;5
107;B Delfstoffenwinning;2019;5;5;5;0;0;5
108;B Delfstoffenwinning;2020;10;5;5;0;0;10
109;B Delfstoffenwinning;2021;5;5;5;0;0;5
110;B Delfstoffenwinning;2022;5;5;0;0;0;5
111;B Delfstoffenwinning;2023;10;5;0;0;0;10
112;06 Winning van aardolie en aardgas;2010;0;0;0;0;0;0
113;06 Winning van aardolie en aardgas;2011;0;0;0;0;0;0
114;06 Winning van aardolie en aardgas;2012;0;0;0;0;0;0
115;06 Winning van aardolie en aardgas;2013;0;0;0;0;0;0
116;06 Winning van aardolie en aardgas;2014;0;0;0;0;0;0
117;06 Winning van aardolie en aardgas;2015;0;0;0;0;0;0
118;06 Winning van aardolie en aardgas;2016;0;0;0;0;0;0
119;06 Winning van aardolie en aardgas;2017;0;0;0;0;0;0
120;06 Winning van aardolie en aardgas;2018;0;0;0;0;0;0
121;06 Winning van aardolie en aardgas;2019;0;0;0;0;0;0
122;06 Winning van aardolie en aardgas;2020;0;0;0;0;0;0
123;06 Winning van aardolie en aardgas;2021;0;0;0;0;0;0
124;06 Winning van aardolie en aardgas;2022;0;0;0;0;0;0
125;06 Winning van aardolie en aardgas;2023;0;0;0;0;0;0
126;08 Delfstoffenwinning (geen olie en gas);2010;5;5;0;0;0;5
127;08 Delfstoffenwinning (geen olie en gas);2011;5;0;0;0;0;5
128;08 Delfstoffenwinning (geen olie en gas);2012;0;0;0;0;0;0
129;08 Delfstoffenwinning (geen olie en gas);2013;0;0;0;0;0;0
130;08 Delfstoffenwinning (geen olie en gas);2014;0;0;0;0;0;0
131;08 Delfstoffenwinning (geen olie en gas);2015;5;0;0;0;0;5
132;08 Delfstoffenwinning (geen olie en gas);2016;0;0;0;0;0;0
133;08 Delfstoffenwinning (geen olie en gas);2017;5;5;0;0;0;0
134;08 Delfstoffenwinning (geen olie en gas);2018;5;0;5;0;0;5
135;08 Delfstoffenwinning (geen olie en gas);2019;5;0;5;0;0;5
136;08 Delfstoffenwinning (geen olie en gas);2020;5;5;5;0;0;5
137;08 Delfstoffenwinning (geen olie en gas);2021;5;5;0;0;0;5
138;08 Delfstoffenwinning (geen olie en gas);2022;0;0;0;0;0;0
139;08 Delfstoffenwinning (geen olie en gas);2023;5;5;0;0;0;5
140;09 Dienstverlening delfstoffenwinning;2010;5;0;0;0;0;5
141;09 Dienstverlening delfstoffenwinning;2011;5;5;0;0;0;5
142;09 Dienstverlening delfstoffenwinning;2012;5;0;5;0;0;5
