ID;Geslacht;Geboorteland;Leeftijd;Perioden;TotaalNietNederlandseImmigranten_1;MotiefArbeid_2;MotiefAsiel_3;MotiefGezinsmigratie_4;MotiefStudie_5;MotiefAuPairStage_6;OverigeMotieven_7
0;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;1995;66727.0;10053.0;22276.0;28786.0;1998.0;158.0;3456.0
1;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;1996;77154.0;12593.0;20006.0;36172.0;4139.0;511.0;3733.0
2;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;1997;76734.0;13301.0;16913.0;35499.0;6064.0;1224.0;3733.0
3;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;1998;81625.0;15373.0;17199.0;37830.0;6271.0;1336.0;3616.0
4;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;1999;78355.0;16231.0;19281.0;31906.0;6317.0;1107.0;3513.0
5;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2000;91379.0;18906.0;27063.0;34216.0;6436.0;1164.0;3594.0
6;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2001;94504.0;19765.0;25272.0;36349.0;7844.0;1102.0;4171.0
7;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2002;86614.0;18401.0;18123.0;35879.0;9317.0;1156.0;3737.0
8;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2003;73555.0;16473.0;8167.0;34838.0;9052.0;1042.0;3983.0
9;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2004;65113.0;15920.0;2732.0;28313.0;10090.0;1151.0;6907.0
10;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2005;63413.0;17410.0;2231.0;25512.0;10807.0;1072.0;6381.0
11;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2006;67649.0;22324.0;2492.0;26077.0;10790.0;1044.0;4922.0
12;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2007;80256.0;31738.0;3813.0;25675.0;11520.0;1674.0;5836.0
13;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2008;103354.0;41478.0;5952.0;32914.0;14684.0;2110.0;6217.0
14;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2009;104409.0;37499.0;9498.0;34131.0;14023.0;2031.0;7227.0
15;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2010;110234.0;41176.0;7919.0;36179.0;15913.0;1963.0;7084.0
16;Mannen en vrouwen;Totaal alle geboortelanden;Totaal alle leeftijden;2011;118452.0;47311.0;5675.0;37889.0;17496.0;2086.0;7995.0
17;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;1995;12128.0;;4541.0;7214.0;;;372.0
18;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;1996;13343.0;;4558.0;8049.0;;;736.0
19;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;1997;12252.0;;3490.0;8035.0;;;728.0
20;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;1998;12595.0;;3245.0;8454.0;;;896.0
21;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;1999;13508.0;;3991.0;8517.0;;;1000.0
22;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2000;14910.0;;5196.0;8677.0;;;1036.0
23;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2001;13982.0;;4372.0;8474.0;;;1135.0
24;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2002;11369.0;;2600.0;7681.0;;;1088.0
25;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2003;9270.0;;1061.0;7108.0;;;1101.0
26;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2004;7612.0;;242.0;6149.0;;;1220.0
27;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2005;7090.0;;179.0;5819.0;;;1092.0
28;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2006;6907.0;;115.0;6027.0;;;766.0
29;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2007;7946.0;;165.0;6968.0;;;814.0
30;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2008;9698.0;;117.0;8816.0;;;765.0
31;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2009;9942.0;;728.0;8557.0;;;657.0
32;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2010;10767.0;;795.0;9327.0;;;644.0
33;Mannen en vrouwen;Totaal alle geboortelanden;Jonger dan 13 jaar;2011;10664.0;;523.0;9539.0;;;603.0
34;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;1995;4715.0;;2244.0;2334.0;44.0;0.0;93.0
35;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;1996;5427.0;;2330.0;2962.0;58.0;0.0;76.0
36;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;1997;5717.0;;2653.0;2773.0;104.0;0.0;186.0
37;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;1998;6140.0;;2933.0;2951.0;84.0;0.0;173.0
38;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;1999;6765.0;;3951.0;2553.0;81.0;0.0;180.0
39;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2000;7244.0;;4451.0;2560.0;67.0;0.0;166.0
40;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2001;7457.0;;4439.0;2743.0;58.0;0.0;216.0
41;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2002;6888.0;;3718.0;2925.0;66.0;0.0;179.0
42;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2003;3663.0;;980.0;2476.0;66.0;0.0;142.0
43;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2004;2479.0;;189.0;2002.0;79.0;0.0;209.0
44;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2005;2270.0;;137.0;1886.0;51.0;0.0;195.0
45;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2006;2112.0;;115.0;1823.0;71.0;0.0;103.0
46;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2007;2521.0;;134.0;2128.0;58.0;0.0;202.0
47;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2008;2897.0;;99.0;2530.0;69.0;0.0;199.0
48;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2009;3495.0;;584.0;2637.0;78.0;0.0;197.0
49;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2010;3643.0;;694.0;2670.0;97.0;0.0;181.0
50;Mannen en vrouwen;Totaal alle geboortelanden;13 tot 18 jaar;2011;3469.0;;490.0;2589.0;114.0;0.0;276.0
51;Mannen en vrouwen;Totaal alle geboortelanden;18 tot 21 jaar;1995;4247.0;288.0;1293.0;2115.0;416.0;53.0;82.0
