ID;HerkomstVanUitvoer;Perioden;UitvoerVanGoederenEnDiensten_1;UitvoerVanGoederen_2;UitvoerVanDiensten_3;UitvoerVanGoederenEnDiensten_4;UitvoerVanGoederen_5;UitvoerVanDiensten_6;UitvoerVanGoederenEnDiensten_7;UitvoerVanGoederen_8;UitvoerVanDiensten_9;UitvoerVanGoederenEnDiensten_10;UitvoerVanGoederen_11;UitvoerVanDiensten_12
0;A-U Alle economische activiteiten;1995;121505;89340;32165;163213.0;120485.0;42648.0;;;;74.4;74.2;75.4
1;A-U Alle economische activiteiten;1996;127080;92764;34316;169337.0;123702.0;45530.0;3.8;2.7;6.8;75.0;75.0;75.4
2;A-U Alle economische activiteiten;1997;138816;99903;38913;179371.0;128830.0;50418.0;5.9;4.1;10.7;77.4;77.5;77.2
3;A-U Alle economische activiteiten;1998;143704;101899;41805;187545.0;134045.0;53375.0;4.6;4.0;5.9;76.6;76.0;78.3
4;A-U Alle economische activiteiten;1999;151122;105765;45357;197501.0;140127.0;57213.0;5.3;4.5;7.2;76.5;75.5;79.3
5;A-U Alle economische activiteiten;2000;175840;125211;50629;210587.0;149113.0;61287.0;6.6;6.4;7.1;83.5;84.0;82.6
6;A-U Alle economische activiteiten;2001;179500;125855;53645;211572.0;147668.0;63752.0;0.5;-1.0;4.0;84.8;85.2;84.1
7;A-U Alle economische activiteiten;2002;179928;124939;54989;213841.0;149865.0;63814.0;1.1;1.5;0.1;84.1;83.4;86.2
8;A-U Alle economische activiteiten;2003;178668;123379;55289;211705.0;148014.0;63519.0;-1.0;-1.2;-0.5;84.4;83.4;87.0
9;A-U Alle economische activiteiten;2004;190246;130800;59446;221204.0;154172.0;66832.0;4.5;4.2;5.2;86.0;84.8;88.9
10;A-U Alle economische activiteiten;2005;206875;142470;64405;228388.0;157340.0;70757.0;3.2;2.1;5.9;90.6;90.5;91.0
11;A-U Alle economische activiteiten;2006;223159;155492;67667;235294.0;162177.0;72818.0;3.0;3.1;2.9;94.8;95.9;92.9
12;A-U Alle economische activiteiten;2007;235549;163860;71689;243110.0;167090.0;75726.0;3.3;3.0;4.0;96.9;98.1;94.7
13;A-U Alle economische activiteiten;2008;246660;170201;76459;241651.0;163015.0;78453.0;-0.6;-2.4;3.6;102.1;104.4;97.5
14;A-U Alle economische activiteiten;2009;209761;138494;71267;222062.0;148662.0;73314.0;-8.1;-8.8;-6.6;94.5;93.2;97.2
15;A-U Alle economische activiteiten;2010;235999;160196;75803;235999.0;160196.0;75803.0;6.3;7.8;3.4;100.0;100.0;100.0
16;A-U Alle economische activiteiten;2011;261366;182492;78874;248772.0;169402.0;79370.0;5.4;5.7;4.7;105.1;107.7;99.4
17;A-U Alle economische activiteiten;2012;273597;191983;81614;254594.0;172361.0;82317.0;2.3;1.7;3.7;107.5;111.4;99.1
18;A-U Alle economische activiteiten;2013;278093;192929;85164;260779.0;175971.0;84965.0;2.4;2.1;3.2;106.6;109.6;100.2
19;A-U Alle economische activiteiten;2014;279723;192029;87694;268706.0;180847.0;88067.0;3.0;2.8;3.7;104.1;106.2;99.6
20;A-U Alle economische activiteiten;2015;289086;193074;96012;283558.0;187930.0;96041.0;5.5;3.9;9.1;101.9;102.7;100.0
21;A-U Alle economische activiteiten;2016;290457;193845;96612;292659.0;195332.0;97714.0;3.2;3.9;1.7;99.2;99.2;98.9
22;A Landbouw, bosbouw en visserij;1995;7944;7877;67;9052.0;8966.0;84.0;;;;87.8;87.8;79.8
23;A Landbouw, bosbouw en visserij;1996;8152;8084;68;8964.0;8878.0;85.0;-1.0;-1.0;1.5;90.9;91.1;79.8
24;A Landbouw, bosbouw en visserij;1997;7998;7925;73;8630.0;8539.0;90.0;-3.7;-3.8;5.9;92.7;92.8;80.9
25;A Landbouw, bosbouw en visserij;1998;8245;8172;73;8685.0;8594.0;90.0;0.6;0.6;0.0;94.9;95.1;80.9
26;A Landbouw, bosbouw en visserij;1999;8168;8093;75;9201.0;9108.0;93.0;5.9;6.0;2.7;88.8;88.9;80.9
27;A Landbouw, bosbouw en visserij;2000;8899;8818;81;9401.0;9303.0;98.0;2.2;2.2;5.3;94.7;94.8;82.9
28;A Landbouw, bosbouw en visserij;2001;9161;9069;92;9318.0;9214.0;105.0;-0.9;-1.0;7.4;98.3;98.4;87.7
