ID;CPA;Perioden;Prijsindexcijfers_1;Kwartaalmutaties_2;Jaarmutaties_3
0;Dienstenprijsindex (DPI);2002 4e kwartaal;;;
1;Dienstenprijsindex (DPI);2003 1e kwartaal;;;
2;Dienstenprijsindex (DPI);2003 2e kwartaal;;;
3;Dienstenprijsindex (DPI);2003 3e kwartaal;;;
4;Dienstenprijsindex (DPI);2003 4e kwartaal;;;
5;Dienstenprijsindex (DPI);2003;;;
6;Dienstenprijsindex (DPI);2004 1e kwartaal;;;
7;Dienstenprijsindex (DPI);2004 2e kwartaal;;;
8;Dienstenprijsindex (DPI);2004 3e kwartaal;;;
9;Dienstenprijsindex (DPI);2004 4e kwartaal;;;
10;Dienstenprijsindex (DPI);2004;;;
11;Dienstenprijsindex (DPI);2005 1e kwartaal;;;
12;Dienstenprijsindex (DPI);2005 2e kwartaal;;;
13;Dienstenprijsindex (DPI);2005 3e kwartaal;;;
14;Dienstenprijsindex (DPI);2005 4e kwartaal;;;
15;Dienstenprijsindex (DPI);2005;;;
16;Dienstenprijsindex (DPI);2006 1e kwartaal;99.3;;
17;Dienstenprijsindex (DPI);2006 2e kwartaal;99.4;0.1;
18;Dienstenprijsindex (DPI);2006 3e kwartaal;100.2;0.8;
19;Dienstenprijsindex (DPI);2006 4e kwartaal;101.0;0.8;
20;Dienstenprijsindex (DPI);2006;100.0;;
21;Dienstenprijsindex (DPI);2007 1e kwartaal;101.5;0.4;2.2
22;Dienstenprijsindex (DPI);2007 2e kwartaal;102.1;0.6;2.7
23;Dienstenprijsindex (DPI);2007 3e kwartaal;102.4;0.3;2.2
24;Dienstenprijsindex (DPI);2007 4e kwartaal;103.2;0.8;2.2
25;Dienstenprijsindex (DPI);2007;102.3;;2.3
26;Dienstenprijsindex (DPI);2008 1e kwartaal;104.0;0.7;2.5
27;Dienstenprijsindex (DPI);2008 2e kwartaal;104.4;0.4;2.3
28;Dienstenprijsindex (DPI);2008 3e kwartaal;105.1;0.7;2.6
29;Dienstenprijsindex (DPI);2008 4e kwartaal;105.5;0.3;2.2
30;Dienstenprijsindex (DPI);2008;104.7;;2.4
31;Dienstenprijsindex (DPI);2009 1e kwartaal;105.4;-0.1;1.4
32;Dienstenprijsindex (DPI);2009 2e kwartaal;104.9;-0.5;0.5
33;Dienstenprijsindex (DPI);2009 3e kwartaal;105.0;0.1;-0.2
34;Dienstenprijsindex (DPI);2009 4e kwartaal;105.4;0.4;-0.1
35;Dienstenprijsindex (DPI);2009;105.2;;0.4
36;Dienstenprijsindex (DPI);2010 1e kwartaal;106.0;0.6;0.6
37;Dienstenprijsindex (DPI);2010 2e kwartaal;106.7;0.6;1.7
38;Dienstenprijsindex (DPI);2010 3e kwartaal;106.6;-0.1;1.5
39;Dienstenprijsindex (DPI);2010 4e kwartaal;106.8;0.3;1.4
40;Dienstenprijsindex (DPI);2010;106.5;;1.3
41;Dienstenprijsindex (DPI);2011 1e kwartaal;107.3;0.4;1.2
42;Dienstenprijsindex (DPI);2011 2e kwartaal;107.7;0.4;1.0
43;Dienstenprijsindex (DPI);2011 3e kwartaal;107.7;0.0;1.0
44;Dienstenprijsindex (DPI);2011 4e kwartaal;107.5;-0.1;0.6
45;Dienstenprijsindex (DPI);2011;107.5;;1.0
46;I Vervoer, opslag en communicatie;2002 4e kwartaal;;;
47;I Vervoer, opslag en communicatie;2003 1e kwartaal;;;
48;I Vervoer, opslag en communicatie;2003 2e kwartaal;;;
49;I Vervoer, opslag en communicatie;2003 3e kwartaal;;;
50;I Vervoer, opslag en communicatie;2003 4e kwartaal;;;
51;I Vervoer, opslag en communicatie;2003;;;
52;I Vervoer, opslag en communicatie;2004 1e kwartaal;;;
53;I Vervoer, opslag en communicatie;2004 2e kwartaal;;;
54;I Vervoer, opslag en communicatie;2004 3e kwartaal;;;
55;I Vervoer, opslag en communicatie;2004 4e kwartaal;;;
56;I Vervoer, opslag en communicatie;2004;;;
57;I Vervoer, opslag en communicatie;2005 1e kwartaal;;;
58;I Vervoer, opslag en communicatie;2005 2e kwartaal;;;
59;I Vervoer, opslag en communicatie;2005 3e kwartaal;;;
60;I Vervoer, opslag en communicatie;2005 4e kwartaal;;;
61;I Vervoer, opslag en communicatie;2005;;;
62;I Vervoer, opslag en communicatie;2006 1e kwartaal;100.1;;
63;I Vervoer, opslag en communicatie;2006 2e kwartaal;99.8;-0.3;
64;I Vervoer, opslag en communicatie;2006 3e kwartaal;100.1;0.3;
65;I Vervoer, opslag en communicatie;2006 4e kwartaal;100.1;0.1;
66;I Vervoer, opslag en communicatie;2006;100.0;;
67;I Vervoer, opslag en communicatie;2007 1e kwartaal;99.9;-0.2;-0.1
68;I Vervoer, opslag en communicatie;2007 2e kwartaal;100.2;0.3;0.4
69;I Vervoer, opslag en communicatie;2007 3e kwartaal;100.4;0.2;0.3
70;I Vervoer, opslag en communicatie;2007 4e kwartaal;100.3;-0.1;0.2
71;I Vervoer, opslag en communicatie;2007;100.2;;0.2
72;I Vervoer, opslag en communicatie;2008 1e kwartaal;101.5;1.2;1.6
73;I Vervoer, opslag en communicatie;2008 2e kwartaal;101.8;0.3;1.6
74;I Vervoer, opslag en communicatie;2008 3e kwartaal;103.1;1.3;2.7
75;I Vervoer, opslag en communicatie;2008 4e kwartaal;102.8;-0.2;2.5
76;I Vervoer, opslag en communicatie;2008;102.3;;2.1
77;I Vervoer, opslag en communicatie;2009 1e kwartaal;100.6;-2.2;-0.9
78;I Vervoer, opslag en communicatie;2009 2e kwartaal;98.7;-1.9;-3.0
79;I Vervoer, opslag en communicatie;2009 3e kwartaal;98.6;-0.1;-4.3
80;I Vervoer, opslag en communicatie;2009 4e kwartaal;99.6;1.1;-3.1
81;I Vervoer, opslag en communicatie;2009;99.4;;-2.8
82;I Vervoer, opslag en communicatie;2010 1e kwartaal;101.0;1.4;0.4
83;I Vervoer, opslag en communicatie;2010 2e kwartaal;103.3;2.3;4.6
84;I Vervoer, opslag en communicatie;2010 3e kwartaal;103.2;-0.1;4.7
85;I Vervoer, opslag en communicatie;2010 4e kwartaal;102.4;-0.8;2.7
86;I Vervoer, opslag en communicatie;2010;102.5;;3.1
87;I Vervoer, opslag en communicatie;2011 1e kwartaal;104.2;1.8;3.1
88;I Vervoer, opslag en communicatie;2011 2e kwartaal;104.7;0.5;1.4
89;I Vervoer, opslag en communicatie;2011 3e kwartaal;104.8;0.1;1.6
90;I Vervoer, opslag en communicatie;2011 4e kwartaal;104.4;-0.4;2.0
91;I Vervoer, opslag en communicatie;2011;104.5;;2.0
92;60 Vervoer te land en vervoer via pijp..;2002 4e kwartaal;;;
93;60 Vervoer te land en vervoer via pijp..;2003 1e kwartaal;;;
94;60 Vervoer te land en vervoer via pijp..;2003 2e kwartaal;;;
95;60 Vervoer te land en vervoer via pijp..;2003 3e kwartaal;;;
96;60 Vervoer te land en vervoer via pijp..;2003 4e kwartaal;;;
97;60 Vervoer te land en vervoer via pijp..;2003;;;
98;60 Vervoer te land en vervoer via pijp..;2004 1e kwartaal;;;
99;60 Vervoer te land en vervoer via pijp..;2004 2e kwartaal;;;
100;60 Vervoer te land en vervoer via pijp..;2004 3e kwartaal;;;
101;60 Vervoer te land en vervoer via pijp..;2004 4e kwartaal;;;
102;60 Vervoer te land en vervoer via pijp..;2004;;;
103;60 Vervoer te land en vervoer via pijp..;2005 1e kwartaal;;;
104;60 Vervoer te land en vervoer via pijp..;2005 2e kwartaal;;;
105;60 Vervoer te land en vervoer via pijp..;2005 3e kwartaal;;;
106;60 Vervoer te land en vervoer via pijp..;2005 4e kwartaal;;;
107;60 Vervoer te land en vervoer via pijp..;2005;;;
108;60 Vervoer te land en vervoer via pijp..;2006 1e kwartaal;99.7;;
109;60 Vervoer te land en vervoer via pijp..;2006 2e kwartaal;99.9;0.2;
110;60 Vervoer te land en vervoer via pijp..;2006 3e kwartaal;100.3;0.4;
111;60 Vervoer te land en vervoer via pijp..;2006 4e kwartaal;100.1;-0.1;
112;60 Vervoer te land en vervoer via pijp..;2006;100.0;;
