ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
1352;Total male and female;10000;Train;Total;Value;2001;0.07;50.98;50.59
1353;Total male and female;10000;Train;Total;Value;2002;0.07;50.68;50.5
1354;Total male and female;10000;Train;Total;Value;2003;0.07;49.93;50.1
1355;Total male and female;10000;Train;Total;Value;2004;0.07;49.74;50.19
1356;Total male and female;10000;Train;Total;Value;2005;0.07;49.24;50.03
1357;Total male and female;10000;Train;Total;Value;2006;0.07;48.81;49.6
1358;Total male and female;10000;Train;Total;Value;2007;0.07;48.59;49.5
1359;Total male and female;10000;Train;Total;Value;2008;0.07;48.72;49.4
1360;Total male and female;10000;Train;Total;Value;2009;0.07;48.81;49.6
1361;Total male and female;10000;Train;Total;Value;2010;0.07;48.48;49.42
1362;Total male and female;10000;Train;Total;Value;2011;0.07;48.37;49.49
1363;Total male and female;10000;Train;Total;Value;2012;0.07;48.33;49.47
1364;Total male and female;10000;Train;Total;Value;2013;0.07;48.44;49.6
1365;Total male and female;10000;Train;Total;Value;2014;0.08;48.47;49.73
1366;Total male and female;10000;Train;Total;Value;2015;0.08;48.27;49.46
1367;Total male and female;10000;Train;Total;Value;2016;0.08;48.52;49.57
1368;Total male and female;10000;Train;Total;Value;2017;0.08;48.17;49.25
1369;Total male and female;10000;Train;Total;Value;2018;0.08;48.11;49.39
1370;Total male and female;10000;Train;Total;Value;2019;0.08;48.21;49.51
1371;Total male and female;10000;Train;Total;Value;2020;0.04;46.06;48.31
1372;Total male and female;10000;Train;Total;Value;2021;0.04;46.46;49.65
1373;Total male and female;10000;Train;Total;Value;2022;0.05;47.4;50.24
1374;Total male and female;10000;Train;Total;Value;2023;0.07;47.89;50.51
1375;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;1999;0.06;46.9;45.08
1376;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2000;0.06;46.59;45.36
1377;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2001;0.06;46.67;45.27
1378;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2002;0.06;46.54;45.51
1379;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2003;0.06;45.9;45.52
1380;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2004;0.06;45.87;45.58
1381;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2005;0.06;45.55;45.95
1382;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2006;0.06;45.19;45.79
1383;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2007;0.06;45.25;45.87
1384;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2008;0.06;45.32;45.76
1385;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2009;0.07;45.91;46.09
1386;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2010;0.07;45.77;46.34
1387;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2011;0.07;45.88;46.6
1388;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2012;0.07;45.82;46.88
1389;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2013;0.07;46.13;47.15
1390;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2014;0.07;46.17;47.48
1391;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2015;0.07;46.29;47.36
1392;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2016;0.07;46.58;47.64
1393;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2017;0.07;46.33;47.34
1394;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2018;0.08;46.42;47.76
1395;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2019;0.08;46.46;47.97
1396;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2020;0.03;43.24;45.54
1397;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2021;0.04;43.88;46.97
1398;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2022;0.05;45.83;48.61
1399;Total male and female;10000;Train;Total;Lower bound 95% confidence interval;2023;0.06;45.84;48.5
1400;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;1999;0.08;56.65;56.33
1401;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2000;0.08;55.94;56.21
1402;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2001;0.08;55.55;55.76
1403;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2002;0.08;55.13;55.56
1404;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2003;0.07;53.97;55.07
1405;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2004;0.08;53.72;54.49
1406;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2005;0.07;53.03;54.37
1407;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2006;0.08;52.48;53.87
1408;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2007;0.08;52.15;53.5
1409;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2008;0.08;51.87;53.1
1410;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2009;0.08;52.14;52.91
1411;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2010;0.08;51.37;52.4
1412;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2011;0.08;51.18;52.24
1413;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2012;0.08;50.79;52.2
1414;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2013;0.08;50.78;52.13
1415;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2014;0.08;50.58;52.05
1416;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2015;0.08;50.46;51.6
1417;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2016;0.08;50.59;51.61
1418;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2017;0.08;50.12;51.27
1419;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2018;0.08;49.76;51.03
1420;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2019;0.08;49.86;51.35
1421;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2020;0.04;49.02;51.11
1422;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2021;0.04;49.1;52.28
1423;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2022;0.06;48.94;51.83
1424;Total male and female;10000;Train;Total;Upper bound 95% confidence interval;2023;0.07;49.85;52.55
1425;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;1999;0.02;42.46;42.14
1426;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2000;0.03;42.26;42.06
1427;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2001;0.02;42.28;42.02
1428;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2002;0.02;42.36;42.15
1429;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2003;0.03;42.04;42.07
1430;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2004;0.03;42.09;42.25
1431;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2005;0.03;41.76;42.32
1432;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2006;0.03;41.49;42.0
1433;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2007;0.03;41.37;41.95
1434;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2008;0.03;41.78;42.23
1435;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2009;0.03;41.73;42.35
1436;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2010;0.03;41.59;42.41
1437;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2011;0.03;41.44;42.33
1438;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2012;0.03;41.38;42.3
1439;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2013;0.03;41.32;42.44
1440;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2014;0.03;41.13;42.32
1441;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2015;0.03;41.11;42.28
1442;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2016;0.03;41.27;42.34
1443;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2017;0.03;40.93;42.25
1444;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2018;0.03;40.97;42.42
1445;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2019;0.03;41.01;42.46
1446;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2020;0.01;38.44;40.79
1447;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2021;0.01;37.51;40.02
1448;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2022;0.02;40.13;42.54
1449;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Value;2023;0.02;41.71;43.74
1450;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;1999;0.02;37.31;36.41
1451;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2000;0.02;37.39;36.76
1452;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2001;0.02;37.4;36.91
1453;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2002;0.02;37.46;37.14
1454;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2003;0.02;37.52;37.11
1455;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2004;0.02;37.66;37.76
1456;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2005;0.02;37.38;37.97
1457;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2006;0.02;37.48;38.1
1458;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2007;0.02;37.45;37.93
1459;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2008;0.02;38.0;38.47
1460;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2009;0.02;38.23;38.92
1461;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2010;0.03;38.42;39.24
1462;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2011;0.03;38.42;39.23
1463;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2012;0.03;38.61;39.31
1464;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2013;0.03;38.52;39.68
1465;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2014;0.03;38.45;39.71
1466;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2015;0.03;38.4;39.7
1467;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2016;0.03;38.93;39.88
1468;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2017;0.03;38.62;39.99
1469;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2018;0.03;38.98;40.49
1470;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2019;0.03;39.1;40.39
1471;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2020;0.01;35.46;37.83
1472;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2021;0.01;34.68;37.18
1473;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2022;0.02;38.16;40.51
1474;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2023;0.02;39.33;41.26
1475;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;1999;0.03;48.04;47.8
1476;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2000;0.03;47.66;47.73
1477;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2001;0.03;47.47;47.43
1478;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2002;0.03;47.1;47.32
1479;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2003;0.03;46.72;46.96
1480;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2004;0.03;46.61;46.99
1481;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2005;0.03;45.98;46.74
1482;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2006;0.03;45.67;46.73
1483;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2007;0.03;45.32;46.09
1484;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2008;0.03;45.62;46.19
1485;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2009;0.03;45.37;46.19
1486;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2010;0.03;44.97;45.74
1487;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2011;0.03;44.63;45.42
1488;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2012;0.03;44.49;45.34
1489;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2013;0.03;44.08;45.25
1490;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2014;0.03;43.67;45.01
1491;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2015;0.03;43.45;44.71
1492;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2016;0.03;43.67;44.63
1493;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2017;0.03;43.16;44.63
1494;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2018;0.03;43.02;44.49
1495;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2019;0.03;43.17;44.46
1496;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2020;0.01;41.56;43.66
1497;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2021;0.01;40.17;42.68
1498;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2022;0.02;42.25;44.69
1499;Total male and female;10000;Train;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2023;0.02;44.23;46.21
1500;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;1999;0.01;42.64;45.17
1501;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2000;0.01;42.57;45.22
1502;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2001;0.01;42.51;45.23
1503;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2002;0.01;42.71;45.48
1504;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2003;0.01;42.21;45.3
1505;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2004;0.01;42.33;45.67
1506;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2005;0.0;42.31;45.69
1507;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2006;0.01;42.1;45.64
1508;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2007;0.01;42.14;45.73
1509;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2008;0.01;42.58;46.05
1510;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2009;0.0;42.21;45.97
1511;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2010;0.0;42.21;46.31
1512;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2011;0.01;42.26;46.41
1513;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2012;0.0;42.5;46.49
1514;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2013;0.0;42.46;46.48
1515;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2014;0.0;42.42;46.49
1516;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2015;0.0;42.35;46.38
1517;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2016;0.0;42.67;46.71
1518;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2017;0.0;42.39;46.62
1519;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2018;0.0;42.39;46.93
1520;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2019;0.0;42.25;46.89
1521;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2020;0.0;38.67;43.51
1522;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2021;0.0;37.76;43.5
1523;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2022;0.0;40.03;45.58
1524;Total male and female;10000;Train;Shopping, groceries, funshopping.;Value;2023;0.0;40.96;46.71
1525;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;1999;0.0;35.74;38.39
1526;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2000;0.0;36.05;38.87
1527;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2001;0.0;35.97;38.9
1528;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2002;0.0;36.3;39.34
1529;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2003;0.0;36.22;39.35
1530;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2004;0.0;36.49;40.1
1531;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2005;0.0;36.79;40.58
1532;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2006;0.0;36.71;40.6
1533;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2007;0.0;37.2;41.02
1534;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2008;0.0;37.51;41.37
1535;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2009;0.0;37.74;41.41
1536;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2010;0.0;37.97;42.43
1537;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2011;0.0;37.76;42.45
1538;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2012;0.0;38.42;42.79
1539;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2013;0.0;38.69;42.95
1540;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2014;0.0;38.79;43.08
1541;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2015;0.0;38.87;42.89
1542;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2016;0.0;39.31;43.33
1543;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2017;0.0;39.19;43.19
1544;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2018;0.0;39.14;43.85
1545;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2019;0.0;39.22;43.77
1546;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2020;0.0;34.26;39.35
1547;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2021;0.0;33.77;39.56
1548;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2022;0.0;36.8;42.26
1549;Total male and female;10000;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2023;0.0;37.55;43.0
1550;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;1999;0.01;50.6;52.3
1551;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2000;0.01;50.4;52.31
1552;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2001;0.01;49.6;52.02
1553;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2002;0.01;49.57;51.84
1554;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2003;0.01;48.78;51.5
1555;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2004;0.01;48.48;51.34
1556;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2005;0.01;48.31;51.4
1557;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2006;0.01;47.59;51.09
1558;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2007;0.01;47.6;50.98
1559;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2008;0.01;47.73;50.83
1560;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2009;0.01;47.4;50.5
1561;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2010;0.01;46.86;50.66
1562;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2011;0.01;46.42;50.38
1563;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2012;0.01;46.64;50.43
1564;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2013;0.01;46.43;50.2
1565;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2014;0.01;46.18;50.13
1566;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2015;0.01;46.05;49.89
1567;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2016;0.01;46.38;50.11
1568;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2017;0.01;45.76;49.94
1569;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2018;0.01;45.55;50.23
1570;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2019;0.01;45.63;50.28
1571;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2020;0.0;43.41;47.75
1572;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2021;0.0;41.57;47.63
1573;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2022;0.0;43.17;48.9
1574;Total male and female;10000;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2023;0.0;44.59;50.22
1575;Total male and female;10000;Train;Attending education/courses;Value;1999;0.01;38.37;40.22
1576;Total male and female;10000;Train;Attending education/courses;Value;2000;0.01;38.42;40.36
1577;Total male and female;10000;Train;Attending education/courses;Value;2001;0.01;38.48;40.41
1578;Total male and female;10000;Train;Attending education/courses;Value;2002;0.01;38.47;40.64
1579;Total male and female;10000;Train;Attending education/courses;Value;2003;0.01;38.38;40.66
1580;Total male and female;10000;Train;Attending education/courses;Value;2004;0.01;38.68;41.0
1581;Total male and female;10000;Train;Attending education/courses;Value;2005;0.01;38.32;41.0
1582;Total male and female;10000;Train;Attending education/courses;Value;2006;0.01;38.27;41.06
1583;Total male and female;10000;Train;Attending education/courses;Value;2007;0.01;38.41;41.2
1584;Total male and female;10000;Train;Attending education/courses;Value;2008;0.01;38.61;41.39
1585;Total male and female;10000;Train;Attending education/courses;Value;2009;0.01;38.79;41.65
1586;Total male and female;10000;Train;Attending education/courses;Value;2010;0.01;38.62;41.49
1587;Total male and female;10000;Train;Attending education/courses;Value;2011;0.01;38.74;41.83
1588;Total male and female;10000;Train;Attending education/courses;Value;2012;0.01;38.97;42.03
1589;Total male and female;10000;Train;Attending education/courses;Value;2013;0.01;38.79;41.75
1590;Total male and female;10000;Train;Attending education/courses;Value;2014;0.01;38.86;41.89
1591;Total male and female;10000;Train;Attending education/courses;Value;2015;0.02;38.97;41.83
1592;Total male and female;10000;Train;Attending education/courses;Value;2016;0.02;38.94;41.77
1593;Total male and female;10000;Train;Attending education/courses;Value;2017;0.02;38.76;41.56
1594;Total male and female;10000;Train;Attending education/courses;Value;2018;0.02;39.12;41.79
1595;Total male and female;10000;Train;Attending education/courses;Value;2019;0.02;39.06;41.63
1596;Total male and female;10000;Train;Attending education/courses;Value;2020;0.01;36.52;40.29
1597;Total male and female;10000;Train;Attending education/courses;Value;2021;0.01;34.76;39.1
1598;Total male and female;10000;Train;Attending education/courses;Value;2022;0.01;36.71;40.98
1599;Total male and female;10000;Train;Attending education/courses;Value;2023;0.01;37.89;42.28
1600;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;1999;0.01;32.84;34.38
1601;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2000;0.01;32.84;34.43
1602;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2001;0.01;33.44;34.98
1603;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2002;0.01;33.23;35.15
1604;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2003;0.01;33.41;35.37
1605;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2004;0.01;34.02;35.9
1606;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2005;0.01;33.69;36.14
1607;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2006;0.01;33.82;36.59
1608;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2007;0.01;34.17;36.54
1609;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2008;0.01;34.55;37.2
1610;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2009;0.01;34.92;37.4
1611;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2010;0.01;35.01;37.54
1612;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2011;0.01;35.38;38.14
1613;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2012;0.01;35.85;38.47
1614;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2013;0.01;35.65;38.31
1615;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2014;0.01;35.76;38.59
1616;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2015;0.01;36.11;38.74
1617;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2016;0.01;36.32;39.05
1618;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2017;0.01;36.04;38.73
1619;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2018;0.01;36.57;39.34
1620;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2019;0.02;36.54;39.15
1621;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2020;0.01;33.18;36.66
1622;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2021;0.01;31.5;35.92
1623;Total male and female;10000;Train;Attending education/courses;Lower bound 95% confidence interval;2022;0.01;34.21;38.47
