ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
120;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2019;0.6;15.71;24.34
121;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2020;0.41;14.12;22.5
122;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2021;0.4;14.68;23.24
123;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2022;0.47;15.18;24.14
124;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Lower bound 95% confidence interval;2023;0.5;15.25;24.47
125;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;1999;0.63;15.85;26.23
126;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2000;0.63;15.94;26.25
127;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2001;0.62;15.95;26.2
128;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2002;0.62;15.82;25.94
129;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2003;0.62;15.97;26.03
130;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2004;0.64;15.78;25.73
131;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2005;0.64;16.19;26.07
132;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2006;0.65;16.28;26.09
133;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2007;0.65;16.51;26.23
134;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2008;0.66;15.99;25.51
135;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2009;0.65;16.08;25.68
136;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2010;0.66;16.04;25.63
137;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2011;0.64;16.29;25.67
138;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2012;0.64;16.33;25.67
139;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2013;0.64;16.41;25.45
140;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2014;0.64;16.54;25.67
141;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2015;0.63;16.68;25.53
142;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2016;0.63;16.65;25.61
143;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2017;0.64;16.78;25.8
144;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2018;0.65;16.54;25.3
145;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2019;0.62;16.58;25.3
146;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2020;0.42;15.17;23.74
147;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2021;0.41;15.68;24.46
148;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2022;0.48;16.03;25.03
149;Total male and female;10000;Total;Travel to/from work, (non)-daily commute;Upper bound 95% confidence interval;2023;0.52;16.19;25.59
150;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;1999;0.73;4.96;14.97
151;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2000;0.71;5.02;14.92
152;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2001;0.71;5.0;14.71
153;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2002;0.71;5.02;14.66
154;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2003;0.7;5.1;14.71
155;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2004;0.7;5.07;14.7
156;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2005;0.68;5.06;14.69
157;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2006;0.67;5.03;14.54
158;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2007;0.65;5.18;14.6
159;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2008;0.64;4.89;14.37
160;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2009;0.64;5.0;14.46
161;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2010;0.65;5.09;14.52
162;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2011;0.61;5.17;14.45
163;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2012;0.62;5.05;14.34
164;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2013;0.62;5.07;14.31
165;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2014;0.63;5.1;14.36
166;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2015;0.61;5.14;14.48
167;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2016;0.6;5.06;14.2
