ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
0;Totaal woningen;Nederland;Nederland                               ;Land      ;NL00      ;820.0;2500.0;1930.0;6.8;
1;Totaal woningen;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;1160.0;2900.0;1760.0;;1.0
2;Totaal woningen;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1110.0;2700.0;1480.0;;1.0
3;Totaal woningen;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1100.0;2640.0;1440.0;;1.0
4;Totaal woningen;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1610.0;4250.0;2640.0;;1.0
5;Totaal woningen;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1190.0;3030.0;1860.0;;1.0
6;Totaal woningen;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1180.0;2980.0;1830.0;;1.0
7;Totaal woningen;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1330.0;3640.0;2170.0;;1.0
8;Totaal woningen;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1300.0;3150.0;1870.0;;1.0
9;Totaal woningen;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1310.0;3140.0;1940.0;;1.0
10;Totaal woningen;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1250.0;3190.0;1370.0;;1.0
11;Totaal woningen;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1240.0;3060.0;1750.0;;1.0
12;Totaal woningen;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1240.0;3060.0;1750.0;;1.0
13;Totaal woningen;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
14;Totaal woningen;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1420.0;3490.0;2320.0;;1.0
15;Totaal woningen;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1410.0;3480.0;2340.0;;1.0
16;Totaal woningen;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;;;;;1.0
