ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
0;A-U All goods and services;2021;2226206;1552403;673803;501942;171861;2497943;944257;609527;383156;226371;184425;13444;746290;543950;202340;2226206.0;1552403.0;673803.0;501942.0;171861.0;2497943.0;944257.0;609527.0;383156.0;226371.0;184425.0;;746290.0;543950.0;202340.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
1;A-U All goods and services;2022;2660284;1807005;853279;666078;187201;2952869;1116542;677106;435208;241898;203422;23798;932001;688202;243799;2332638.0;1633709.0;698929.0;518898.0;180031.0;2608920.0;981976.0;635340.0;406097.0;229243.0;190716.0;;782611.0;555438.0;227173.0;4.8;5.2;3.7;3.4;4.8;4.4;4.0;4.2;6.0;1.3;3.4;;4.9;2.1;12.3;114.0;110.6;122.1;128.4;104.0;113.2;113.7;106.6;107.2;105.5;106.7;;119.1;123.9;107.3
2;A-U All goods and services;2023;2687284;1879622;807662;612522;195140;2986219;1122196;734322;470231;264091;214544;-1454;916611;659276;257335;2321001.0;1637414.0;684701.0;504942.0;180555.0;2595999.0;983745.0;645859.0;409907.0;235997.0;193207.0;;776568.0;550013.0;226731.0;-0.5;0.2;-2.0;-2.7;0.3;-0.5;0.2;1.7;0.9;2.9;1.3;;-0.8;-1.0;-0.2;115.8;114.8;118.0;121.3;108.1;115.0;114.1;113.7;114.7;111.9;111.0;;118.0;119.9;113.5
3;A Agriculture, forestry products;2021;59107;33882;25225;25225;0;73573;31705;9168;9168;0;316;620;31764;31748;16;59107.0;33882.0;25225.0;25225.0;0.0;73573.0;31705.0;9168.0;9168.0;0.0;316.0;;31764.0;31748.0;16.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
4;A Agriculture, forestry products;2022;67324;38762;28562;28562;0;82269;39121;9875;9875;0;367;717;32189;32169;20;56968.0;32790.0;24178.0;24178.0;;71137.0;30779.0;9303.0;9303.0;;365.0;;29940.0;29920.0;20.0;-3.6;-3.2;-4.2;-4.2;;-3.3;-2.9;1.5;1.5;;15.5;;-5.7;-5.8;25.0;118.2;118.2;118.1;118.1;;115.6;127.1;106.1;106.1;;100.5;;107.5;107.5;100.0
5;A Agriculture, forestry products;2023;67318;39202;28116;28116;0;83006;38145;10553;10553;0;355;263;33690;33676;14;56757.0;32072.0;24686.0;24686.0;;70859.0;30743.0;9282.0;9282.0;;354.0;;29881.0;29866.0;15.0;-0.4;-2.2;2.1;2.1;;-0.4;-0.1;-0.2;-0.2;;-3.0;;-0.2;-0.2;-25.0;118.6;122.2;113.9;113.9;;117.1;124.1;113.7;113.7;;100.3;;112.7;112.8;93.3
6;01 Products of agriculture, hunting..;2021;56993;33303;23690;23690;0;70937;31067;8946;8946;0;316;605;30003;29987;16;56993.0;33303.0;23690.0;23690.0;0.0;70937.0;31067.0;8946.0;8946.0;0.0;316.0;;30003.0;29987.0;16.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
7;01 Products of agriculture, hunting..;2022;65321;38090;27231;27231;0;79815;38487;9642;9642;0;367;725;30594;30574;20;55368.0;32263.0;23105.0;23105.0;;69110.0;30255.0;9095.0;9095.0;;365.0;;28640.0;28620.0;20.0;-2.9;-3.1;-2.5;-2.5;;-2.6;-2.6;1.7;1.7;;15.5;;-4.5;-4.6;25.0;118.0;118.1;117.9;117.9;;115.5;127.2;106.0;106.0;;100.5;;106.8;106.8;100.0
8;01 Products of agriculture, hunting..;2023;65516;38666;26850;26850;0;80771;37548;10313;10313;0;355;261;32294;32280;14;55218.0;31635.0;23584.0;23584.0;;68903.0;30231.0;9081.0;9081.0;;354.0;;28648.0;28633.0;15.0;-0.3;-1.9;2.1;2.1;;-0.3;-0.1;-0.2;-0.2;;-3.0;;0.0;0.0;-25.0;118.6;122.2;113.9;113.9;;117.2;124.2;113.6;113.6;;100.3;;112.7;112.7;93.3
9;011-013 Crops and planting material;2021;39140;18308;20832;20832;0;52031;15422;8306;8306;0;184;643;27476;27476;0;39140.0;18308.0;20832.0;20832.0;0.0;52031.0;15422.0;8306.0;8306.0;0.0;184.0;;27476.0;27476.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
