ID;BalanceSheetsAndTransactions;AssetsAndLiabilities;Sectors;Periods;Total_1;MonetaryGoldAndSpecialDrawingRights_2;Total_3;Currency_4;TransferableDeposits_5;Total_6;SavingsDepositsInEuros_7;OtherDeposits_8;Total_9;BillsAndShortTermBonds_10;LongTermBonds_11;FinancialDerivatives_12;Total_13;ShortTermLoans_14;LongTermLoans_15;Total_16;QuotedShares_17;UnquotedSharesAndOthers_18;MutualFundsShares_19;Total_20;NetEquityInLifeInsuranceReserves_21;NetEquityInPensionFundsReserves_22;OtherInsuranceTechnicalReserves_23;OtherAccountsReceivableAndPayable_24
0;Opening balance sheet;Assets;Total economy;1990;2042383;21698;292851;17505;49020;226326;73543;152783;121322;17106;109615;-5399.0;650514;149252;501262;541327;;;;251662;36458;204137;11067;163009
1;Opening balance sheet;Assets;Total economy;1991;2105176;17652;313773;17863;54348;241562;79618;161944;133491;15878;122525;-4912.0;686625;164367;522258;515294;;;;263886;41411;210726;11749;174455
2;Opening balance sheet;Assets;Total economy;1992;2235918;17622;324429;17909;56389;250131;84429;165702;148457;14651;138520;-4714.0;720608;172630;547978;558406;;;;287557;47581;227978;11998;178839
3;Opening balance sheet;Assets;Total economy;1993;2384291;17250;344000;18106;58963;266931;88148;178783;178920;19871;163401;-4352.0;761160;183519;577641;599737;;;;310431;53110;244539;12782;172793
4;Opening balance sheet;Assets;Total economy;1994;2614934;20647;367451;18333;68789;280329;90522;189807;208957;23500;189301;-3844.0;808952;205766;603186;677198;;;;348680;61127;273390;14163;183049
5;Opening balance sheet;Assets;Total economy;1995;2631031;17364;360133;18775;68699;272659;93793;178866;213584;26718;189973;-3107.0;813977;192913;621064;702069;147154.0;518422.0;36493.0;355900;63804;277060;15036;168004
6;Opening balance sheet;Assets;Total economy;1996;2816669;15772;373602;18944;82968;271690;99994;171696;259669;26899;231781;989.0;822418;202900;619518;783082;180459.0;564276.0;38347.0;390603;70186;303912;16505;171523
7;Opening balance sheet;Assets;Total economy;1997;3132111;15230;386074;19140;93023;273911;106233;167678;302442;25005;280417;-2980.0;892805;241106;651699;911805;245690.0;622009.0;44106.0;440573;77019;345627;17927;183182
8;Opening balance sheet;Assets;Total economy;1998;3518591;10880;392476;19339;98057;275080;110281;164799;360388;29633;330409;346.0;998138;294369;703769;1046842;342466.0;652003.0;52373.0;497692;85347;393441;18904;212175
9;Opening balance sheet;Assets;Total economy;1999;3993360;8470;509890;18874;132292;358724;118659;240065;429278;18228;409975;1075.0;1091509;309169;782340;1164701;431684.0;673805.0;59212.0;560266;96896;441951;21419;229246
10;Opening balance sheet;Assets;Total economy;2000;4624012;9429;534380;19124;137098;378158;127024;251134;440498;22535;408817;9146.0;1326569;415340;911229;1424954;598036.0;749352.0;77566.0;639936;107965;509323;22648;248246
11;Opening balance sheet;Assets;Total economy;2001;5068182;8548;598694;19006;167283;412405;130488;281917;488704;14518;469284;4902.0;1501970;450479;1051491;1530941;603685.0;839678.0;87578.0;666402;114631;527038;24733;272923
12;Opening balance sheet;Assets;Total economy;2002;5358651;9054;716418;11792;179377;525249;148988;376261;503617;13905;495316;-5604.0;1639805;487574;1152231;1519225;513256.0;926956.0;79013.0;665028;111239;527457;26332;305504
13;Opening balance sheet;Assets;Total economy;2003;5348432;8926;754675;18220;183307;553148;163979;389169;560891;14585;560073;-13767.0;1699946;509122;1190824;1339370;369499.0;904388.0;65483.0;656112;120823;507776;27513;328512
14;Opening balance sheet;Assets;Total economy;2004;5758563;8250;832634;18824;194657;619153;183198;435955;608995;19648;596897;-7550.0;1783617;466809;1316808;1476654;419499.0;984691.0;72464.0;708793;121718;557255;29820;339620
15;Opening balance sheet;Assets;Total economy;2005 1st quarter;6131479;8005;883601;21938;214223;647440;197670;449770;678945;28276;654049;-3380.0;1852871;470874;1381997;1607295;466220.0;1067260.0;73815.0;776103;135969;608308;31826;324659
16;Opening balance sheet;Assets;Total economy;2005 2nd quarter;6336612;7642;935748;21604;228925;685219;202834;482385;693191;30849;669890;-7548.0;1886228;498781;1387447;1672821;490897.0;1107785.0;74139.0;802672;139373;630714;32585;338310
17;Opening balance sheet;Assets;Total economy;2005 3rd quarter;6553493;8371;974283;20625;267768;685890;208637;477253;721321;32223;694992;-5894.0;1921164;512425;1408739;1745199;525757.0;1144947.0;74495.0;823832;143877;645990;33965;359323
18;Opening balance sheet;Assets;Total economy;2005 4th quarter;6778863;9108;1015355;22303;265021;728031;210709;517322;729448;30136;702788;-3476.0;1966918;521133;1445785;1847047;553276.0;1220752.0;73019.0;859633;149813;674806;35014;351354
19;Opening balance sheet;Assets;Total economy;2005;6131479;8005;883601;21938;214223;647440;197670;449770;678945;28276;654049;-3380.0;1852871;470874;1381997;1607295;466220.0;1067260.0;73815.0;776103;135969;608308;31826;324659
20;Opening balance sheet;Assets;Total economy;2006 1st quarter;6925655;9680;1005098;23280;248796;733022;210686;522336;755296;30425;730436;-5565.0;2027210;516783;1510427;1879289;474077.0;1228910.0;176302.0;887475;153624;697934;35917;361607
21;Opening balance sheet;Assets;Total economy;2006 2nd quarter;7154279;10163;1103879;23555;299810;780514;215861;564653;766750;33869;735198;-2317.0;2072952;544943;1528009;1947548;490131.0;1273853.0;183564.0;918045;156898;726309;34838;334942
22;Opening balance sheet;Assets;Total economy;2006 3rd quarter;7277590;9925;1087641;24641;288048;774952;220609;554343;772644;30484;742172;-12.0;2114222;562628;1551594;2036462;470807.0;1386345.0;179310.0;894668;160135;701997;32536;362028
23;Opening balance sheet;Assets;Total economy;2006 4th quarter;7481527;10050;1130211;25111;298450;806650;221446;585204;789255;34962;757177;-2884.0;2149572;589523;1560049;2114773;485196.0;1439056.0;190521.0;927800;163767;731450;32583;359866
24;Opening balance sheet;Assets;Total economy;2006;6925655;9680;1005098;23280;248796;733022;210686;522336;755296;30425;730436;-5565.0;2027210;516783;1510427;1879289;474077.0;1228910.0;176302.0;887475;153624;697934;35917;361607
25;Opening balance sheet;Assets;Total economy;2007 1st quarter;7665549;9937;1162617;27007;330848;804762;221708;583054;794183;30851;758450;4882.0;2209572;594877;1614695;2173342;492797.0;1472906.0;207639.0;939414;160178;746053;33183;376484
26;Opening balance sheet;Assets;Total economy;2007 2nd quarter;7947600;10280;1260220;27135;384802;848283;226958;621325;808095;32459;762485;13151.0;2313947;638236;1675711;2206731;501401.0;1494293.0;211037.0;963120;163425;765765;33930;385207
27;Opening balance sheet;Assets;Total economy;2007 3rd quarter;8128031;9923;1293375;29534;366306;897535;235895;661640;826355;35002;782839;8514.0;2352083;646113;1705970;2286352;535637.0;1543124.0;207591.0;973773;166814;774196;32763;386170
28;Opening balance sheet;Assets;Total economy;2007 4th quarter;8330578;10752;1333310;29212;378672;925426;237613;687813;843367;36530;799584;7253.0;2497995;653875;1844120;2268984;549647.0;1512846.0;206491.0;994220;167770;794817;31633;381950
29;Opening balance sheet;Assets;Total economy;2007;7665549;9937;1162617;27007;330848;804762;221708;583054;794183;30851;758450;4882.0;2209572;594877;1614695;2173342;492797.0;1472906.0;207639.0;939414;160178;746053;33183;376484
30;Opening balance sheet;Assets;Total economy;2008 1st quarter;8653677;11451;1347981;31228;357916;958837;239266;719571;924298;31684;866352;26262.0;2602395;670280;1932115;2390640;589335.0;1586983.0;214322.0;983915;169335;783645;30935;392997
31;Opening balance sheet;Assets;Total economy;2008 2nd quarter;8649708;11830;1376281;31302;361824;983155;245329;737826;902361;30207;835767;36387.0;2662958;697400;1965558;2360930;540418.0;1622127.0;198385.0;951721;168412;750834;32475;383627
32;Opening balance sheet;Assets;Total economy;2008 3rd quarter;8788950;11808;1379516;33146;428872;917498;254247;663251;928975;33282;850612;45081.0;2760070;748946;2011124;2384887;450592.0;1739315.0;194980.0;937871;168715;734900;34256;385823
33;Opening balance sheet;Assets;Total economy;2008 4th quarter;8803721;12668;1383307;33853;399340;950114;254762;695352;944633;33245;860110;51278.0;2779635;759103;2020532;2385765;392940.0;1802617.0;190208.0;915075;169609;711228;34238;382638
34;Opening balance sheet;Assets;Total economy;2008;8653677;11451;1347981;31228;357916;958837;239266;719571;924298;31684;866352;26262.0;2602395;670280;1932115;2390640;589335.0;1586983.0;214322.0;983915;169335;783645;30935;392997
35;Opening balance sheet;Assets;Total economy;2009 1st quarter;8501533;12385;1319611;35674;330717;953220;259027;694193;953734;30562;883795;39377.0;2731247;717286;2013961;2232060;302599.0;1759140.0;170321.0;868469;169483;663246;35740;384027
36;Opening balance sheet;Assets;Total economy;2009 2nd quarter;8596749;13768;1315616;34419;340135;941062;270606;670456;974802;35806;915342;23654.0;2781908;711558;2070350;2253966;287073.0;1789111.0;177782.0;862024;169581;654091;38352;394665
37;Opening balance sheet;Assets;Total economy;2009 3rd quarter;8797915;13181;1317154;35894;355750;925510;278967;646543;1019351;40540;963401;15410.0;2701534;728976;1972558;2438788;336275.0;1838459.0;264054.0;905903;174753;693159;37991;402004
38;Opening balance sheet;Assets;Total economy;2009 4th quarter;9031081;18782;1294258;36147;353923;904188;281110;623078;1036401;43265;975857;17279.0;2695191;698747;1996444;2628542;383964.0;1847818.0;396760.0;957312;184270;735550;37492;400595
39;Opening balance sheet;Assets;Total economy;2009;8501533;12385;1319611;35674;330717;953220;259027;694193;953734;30562;883795;39377.0;2731247;717286;2013961;2232060;302599.0;1759140.0;170321.0;868469;169483;663246;35740;384027
40;Opening balance sheet;Assets;Total economy;2010 1st quarter;9213253;20409;1286821;37317;352753;896751;276866;619885;1037125;32458;990331;14336.0;2706771;728089;1978682;2768784;409867.0;1930745.0;428172.0;978437;183625;758766;36046;414906
41;Opening balance sheet;Assets;Total economy;2010 2nd quarter;9453806;21612;1333604;36643;384172;912789;283482;629307;1076653;38212;1014568;23873.0;2716061;745361;1970700;2868555;440234.0;1945692.0;482629.0;1029150;190379;801376;37395;408171
42;Opening balance sheet;Assets;Total economy;2010 3rd quarter;9619671;25399;1337980;37773;372308;927899;289724;638175;1070834;30179;1006930;33725.0;2803376;789129;2014247;2921359;414455.0;2033914.0;472990.0;1031262;185008;808820;37434;429461
43;Opening balance sheet;Assets;Total economy;2010 4th quarter;9751224;24489;1336695;38382;370930;927383;288915;638468;1103431;32706;1027212;43513.0;2797059;766530;2030529;2997287;435527.0;2078805.0;482955.0;1081344;189877;853838;37629;410919
44;Opening balance sheet;Assets;Total economy;2010;9213253;20409;1286821;37317;352753;896751;276866;619885;1037125;32458;990331;14336.0;2706771;728089;1978682;2768784;409867.0;1930745.0;428172.0;978437;183625;758766;36046;414906
45;Opening balance sheet;Assets;Total economy;2011 1st quarter;9791734;26419;1286166;40227;363367;882572;287924;594648;1058333;31725;1002785;23823.0;2877460;800605;2076855;3039869;465487.0;2068752.0;505630.0;1086060;195947;852549;37564;417427
46;Opening balance sheet;Assets;Total economy;2011 2nd quarter;9886661;25468;1290807;39276;359078;892453;293241;599212;1027362;31546;973200;22616.0;2916925;851812;2065113;3115893;461473.0;2150646.0;503774.0;1080658;194091;845664;40903;429548
47;Opening balance sheet;Assets;Total economy;2011 3rd quarter;9984821;26107;1328885;40239;370217;918429;299464;618965;1026444;32816;974539;19089.0;2938708;870324;2068384;3157495;462674.0;2191819.0;503002.0;1086322;194333;851371;40618;420860
48;Opening balance sheet;Assets;Total economy;2011 4th quarter;10180051;29238;1393821;40766;362067;990988;300477;690511;1082473;30086;1001628;50759.0;3015680;940778;2074902;3132834;424079.0;2209976.0;498779.0;1101733;197534;864012;40187;424272
49;Opening balance sheet;Assets;Total economy;2011;9791734;26419;1286166;40227;363367;882572;287924;594648;1058333;31725;1002785;23823.0;2877460;800605;2076855;3039869;465487.0;2068752.0;505630.0;1086060;195947;852549;37564;417427
50;Opening balance sheet;Assets;Total economy;2012 1st quarter;10405583;29585;1376195;42159;363337;970699;302316;668383;1110708;27516;1016736;66456.0;3070473;989900;2080573;3250037;461816.0;2277948.0;510273.0;1144585;202834;902065;39686;424000
51;Opening balance sheet;Assets;Total economy;2012 2nd quarter;10668550;29924;1408603;39621;359552;1009430;310763;698667;1111364;28652;1025955;56757.0;3117124;1035980;2081144;3354679;491396.0;2317562.0;545721.0;1190364;207524;940084;42756;456492
52;Opening balance sheet;Assets;Total economy;2012 3rd quarter;10700952;30237;1390296;40469;374430;975397;316874;658523;1119875;28592;1026570;64713.0;3133428;1041878;2091550;3367468;490391.0;2325066.0;552011.0;1209380;209214;957229;42937;450268
53;Opening balance sheet;Assets;Total economy;2012 4th quarter;10821128;32693;1366821;40391;458647;867783;318830;548953;1148220;29798;1043263;75159.0;3143361;1045783;2097578;3448811;506693.0;2363608.0;578510.0;1250269;217183;989758;43328;430953
54;Opening balance sheet;Assets;Total economy;2012;10405583;29585;1376195;42159;363337;970699;302316;668383;1110708;27516;1016736;66456.0;3070473;989900;2080573;3250037;461816.0;2277948.0;510273.0;1144585;202834;902065;39686;424000
55;Opening balance sheet;Assets;Total economy;2013 1st quarter;10838010;30266;1353246;41304;437101;874841;319182;555659;1184186;39466;1073173;71547.0;3127009;1036931;2090078;3421801;516761.0;2315427.0;589613.0;1275558;216923;1015327;43308;445944
56;Opening balance sheet;Assets;Total economy;2013 2nd quarter;10904976;30043;1310243;40683;393261;876299;323827;552472;1162482;42363;1062753;57366.0;3132208;1044706;2087502;3489709;546210.0;2324579.0;618920.0;1311240;220667;1043675;46898;469051
57;Opening balance sheet;Assets;Total economy;2013 3rd quarter;10806356;23361;1323560;40833;405442;877285;326681;550604;1143859;35193;1064417;44249.0;3124086;1047061;2077025;3438422;528450.0;2305894.0;604078.0;1280524;215989;1018504;46031;472544
58;Opening balance sheet;Assets;Total economy;2013 4th quarter;10757952;24658;1314921;41053;392261;881607;324791;556816;1136476;35963;1060364;40149.0;3076276;1020437;2055839;3462868;560814.0;2272619.0;629435.0;1288394;215536;1027549;45309;454359
59;Opening balance sheet;Assets;Total economy;2013;10838010;30266;1353246;41304;437101;874841;319182;555659;1184186;39466;1073173;71547.0;3127009;1036931;2090078;3421801;516761.0;2315427.0;589613.0;1275558;216923;1015327;43308;445944
60;Opening balance sheet;Assets;Non-financial corporations;1990;216138;0;46639;583;17400;28656;0;28656;1612;220;2450;-1058.0;28297;10534;17763;71513;;;;2312;0;0;2312;65765
61;Opening balance sheet;Assets;Non-financial corporations;1991;226045;0;48446;572;19673;28201;0;28201;2133;176;2677;-720.0;33009;13471;19538;71914;;;;2439;0;0;2439;68104
62;Opening balance sheet;Assets;Non-financial corporations;1992;236615;0;47841;531;20913;26397;0;26397;2840;766;2496;-422.0;36864;16378;20486;77656;;;;2497;0;0;2497;68917
63;Opening balance sheet;Assets;Non-financial corporations;1993;251426;0;52255;553;22398;29304;0;29304;3892;992;3040;-140.0;40272;19082;21190;83590;;;;2667;0;0;2667;68750
64;Opening balance sheet;Assets;Non-financial corporations;1994;260461;0;53617;506;25056;28055;0;28055;4930;1310;3449;171.0;45709;22852;22857;86075;;;;2917;0;0;2917;67213
65;Opening balance sheet;Assets;Non-financial corporations;1995;282517;0;54714;468;27328;26918;0;26918;6083;1333;4253;497.0;56371;24554;31817;89453;8589.0;80864.0;0.0;3188;0;0;3188;72708
66;Opening balance sheet;Assets;Non-financial corporations;1996;311497;0;58275;554;32241;25480;0;25480;8075;572;8045;-542.0;62657;24817;37840;102656;10774.0;91882.0;0.0;3447;0;0;3447;76387
67;Opening balance sheet;Assets;Non-financial corporations;1997;351961;0;59465;616;38394;20455;0;20455;9874;618;9094;162.0;73957;30618;43339;123385;12950.0;110435.0;0.0;3743;0;0;3743;81537
68;Opening balance sheet;Assets;Non-financial corporations;1998;391499;0;66442;702;42773;22967;0;22967;14047;1714;10610;1723.0;80587;31274;49313;135280;17525.0;117755.0;0.0;3943;0;0;3943;91200
69;Opening balance sheet;Assets;Non-financial corporations;1999;415598;0;83997;621;55021;28355;0;28355;13940;2866;10445;629.0;85142;33901;51241;128941;20696.0;108245.0;0.0;4219;0;0;4219;99359
70;Opening balance sheet;Assets;Non-financial corporations;2000;526335;0;92874;656;61321;30897;0;30897;35526;2884;11084;21558.0;123253;51854;71399;158213;25222.0;132991.0;0.0;4708;0;0;4708;111761
71;Opening balance sheet;Assets;Non-financial corporations;2001;608814;0;112007;865;66741;44401;0;44401;29439;4115;10351;14973.0;160941;65690;95251;177708;24745.0;152963.0;0.0;5021;0;0;5021;123698
72;Opening balance sheet;Assets;Non-financial corporations;2002;644393;0;130447;1133;81557;47757;0;47757;16958;3946;12050;962.0;197446;84307;113139;151848;12836.0;139012.0;0.0;5240;0;0;5240;142454
73;Opening balance sheet;Assets;Non-financial corporations;2003;635772;0;135220;1175;81981;52064;0;52064;7311;7104;12756;-12549.0;194258;86504;107754;146088;10070.0;136018.0;0.0;5344;0;0;5344;147551
74;Opening balance sheet;Assets;Non-financial corporations;2004;685537;0;151492;1099;81832;68561;0;68561;14067;7061;11839;-4833.0;200131;59203;140928;162951;10832.0;152119.0;0.0;5739;0;0;5739;151157
75;Opening balance sheet;Assets;Non-financial corporations;2005 1st quarter;731864;0;169347;1727;91932;75688;0;75688;22769;9201;13520;48.0;189744;55294;134450;188221;11821.0;176400.0;0.0;6117;0;0;6117;155666
76;Opening balance sheet;Assets;Non-financial corporations;2005 2nd quarter;738316;0;163866;1511;87117;75238;0;75238;23113;9712;13456;-55.0;197430;62030;135400;193769;11513.0;182256.0;0.0;6054;0;0;6054;154084
77;Opening balance sheet;Assets;Non-financial corporations;2005 3rd quarter;750936;0;166907;1570;88973;76364;0;76364;23639;10133;13339;167.0;200392;63016;137376;197757;12609.0;185148.0;0.0;6141;0;0;6141;156100
78;Opening balance sheet;Assets;Non-financial corporations;2005 4th quarter;819403;0;169269;1925;90495;76849;0;76849;24584;10701;13739;144.0;215840;70997;144843;246257;12797.0;233460.0;0.0;6156;0;0;6156;157297
79;Opening balance sheet;Assets;Non-financial corporations;2005;731864;0;169347;1727;91932;75688;0;75688;22769;9201;13520;48.0;189744;55294;134450;188221;11821.0;176400.0;0.0;6117;0;0;6117;155666
80;Opening balance sheet;Assets;Non-financial corporations;2006 1st quarter;795770;0;172177;1785;93998;76394;0;76394;25239;10610;14363;266.0;218129;69888;148241;212044;14995.0;195832.0;1217.0;6117;0;0;6117;162064
81;Opening balance sheet;Assets;Non-financial corporations;2006 2nd quarter;822182;0;174116;1714;93274;79128;0;79128;26673;10608;15865;200.0;225473;66331;159142;220485;15993.0;203748.0;744.0;6103;0;0;6103;169332
82;Opening balance sheet;Assets;Non-financial corporations;2006 3rd quarter;834971;0;176659;1732;95576;79351;0;79351;23890;10604;13366;-80.0;224424;68980;155444;236978;22264.0;213165.0;1549.0;6145;0;0;6145;166875
83;Opening balance sheet;Assets;Non-financial corporations;2006 4th quarter;849568;0;189682;1749;98645;89288;0;89288;22669;10599;12640;-570.0;223244;65738;157506;242598;17010.0;223790.0;1798.0;6176;0;0;6176;165199
84;Opening balance sheet;Assets;Non-financial corporations;2006;795770;0;172177;1785;93998;76394;0;76394;25239;10610;14363;266.0;218129;69888;148241;212044;14995.0;195832.0;1217.0;6117;0;0;6117;162064
85;Opening balance sheet;Assets;Non-financial corporations;2007 1st quarter;889556;0;203017;1785;102680;98552;0;98552;22915;10596;13321;-1002.0;222232;66291;155941;260822;17671.0;242207.0;944.0;6117;0;0;6117;174453
86;Opening balance sheet;Assets;Non-financial corporations;2007 2nd quarter;926993;0;212113;1892;110302;99919;0;99919;12949;10621;9567;-7239.0;244654;67017;177637;269031;20147.0;247182.0;1702.0;6552;0;0;6552;181694
87;Opening balance sheet;Assets;Non-financial corporations;2007 3rd quarter;938592;0;210706;1765;102996;105945;0;105945;13798;10589;10340;-7131.0;255186;69784;185402;269472;23030.0;246006.0;436.0;6360;0;0;6360;183070
88;Opening balance sheet;Assets;Non-financial corporations;2007 4th quarter;956235;0;216384;1924;102798;111662;0;111662;12831;10654;9168;-6991.0;265465;78335;187130;272393;23989.0;246768.0;1636.0;6220;0;0;6220;182942
89;Opening balance sheet;Assets;Non-financial corporations;2007;889556;0;203017;1785;102680;98552;0;98552;22915;10596;13321;-1002.0;222232;66291;155941;260822;17671.0;242207.0;944.0;6117;0;0;6117;174453
90;Opening balance sheet;Assets;Non-financial corporations;2008 1st quarter;966050;0;216288;1936;97528;116824;0;116824;25019;10386;15660;-1027.0;243507;75394;168113;283666;22498.0;259040.0;2128.0;5985;0;0;5985;191585
91;Opening balance sheet;Assets;Non-financial corporations;2008 2nd quarter;995565;0;214898;1953;94564;118381;0;118381;20572;10696;10729;-853.0;256262;81464;174798;304215;19317.0;283094.0;1804.0;8156;0;0;8156;191462
92;Opening balance sheet;Assets;Non-financial corporations;2008 3rd quarter;1004272;0;218810;1972;93630;123208;0;123208;22831;11768;11969;-906.0;262345;82018;180327;302176;17788.0;282735.0;1653.0;7516;0;0;7516;190594
93;Opening balance sheet;Assets;Non-financial corporations;2008 4th quarter;1013834;0;219198;2018;94413;122767;0;122767;21410;11071;11674;-1335.0;255352;70436;184916;316799;18434.0;296374.0;1991.0;7073;0;0;7073;194002
94;Opening balance sheet;Assets;Non-financial corporations;2008;966050;0;216288;1936;97528;116824;0;116824;25019;10386;15660;-1027.0;243507;75394;168113;283666;22498.0;259040.0;2128.0;5985;0;0;5985;191585
95;Opening balance sheet;Assets;Non-financial corporations;2009 1st quarter;1022688;0;226480;2056;95356;129068;0;129068;19527;10129;12871;-3473.0;258931;70299;188632;312904;11085.0;300576.0;1243.0;7294;0;0;7294;197552
96;Opening balance sheet;Assets;Non-financial corporations;2009 2nd quarter;1049822;0;233546;2041;103349;128156;0;128156;21009;10203;13431;-2625.0;268620;66732;201888;324084;10425.0;311803.0;1856.0;7223;0;0;7223;195340
97;Opening balance sheet;Assets;Non-financial corporations;2009 3rd quarter;1052937;0;233057;2058;104948;126051;0;126051;22407;10555;13597;-1745.0;265178;67270;197908;332398;11467.0;319039.0;1892.0;7438;0;0;7438;192459
98;Opening balance sheet;Assets;Non-financial corporations;2009 4th quarter;1066932;0;233261;2108;106305;124848;0;124848;23490;10690;13696;-896.0;261206;61621;199585;351493;11211.0;336263.0;4019.0;7767;0;0;7767;189715
99;Opening balance sheet;Assets;Non-financial corporations;2009;1022688;0;226480;2056;95356;129068;0;129068;19527;10129;12871;-3473.0;258931;70299;188632;312904;11085.0;300576.0;1243.0;7294;0;0;7294;197552
100;Opening balance sheet;Assets;Non-financial corporations;2010 1st quarter;1098067;0;238280;2016;112728;123536;0;123536;24402;10701;13859;-158.0;273506;70528;202978;362851;12170.0;345707.0;4974.0;7577;0;0;7577;191451
101;Opening balance sheet;Assets;Non-financial corporations;2010 2nd quarter;1116612;0;239192;2046;118436;118710;0;118710;22982;10744;12599;-361.0;280426;73435;206991;374103;14800.0;354193.0;5110.0;7455;0;0;7455;192454
102;Opening balance sheet;Assets;Non-financial corporations;2010 3rd quarter;1145944;0;233584;2014;113050;118520;0;118520;22646;10521;11588;537.0;286842;82096;204746;400616;13429.0;382865.0;4322.0;7404;0;0;7404;194852
103;Opening balance sheet;Assets;Non-financial corporations;2010 4th quarter;1161538;0;235650;2026;113852;119772;0;119772;24984;10463;14184;337.0;281694;81215;200479;421377;14894.0;401722.0;4761.0;7331;0;0;7331;190502
104;Opening balance sheet;Assets;Non-financial corporations;2010;1098067;0;238280;2016;112728;123536;0;123536;24402;10701;13859;-158.0;273506;70528;202978;362851;12170.0;345707.0;4974.0;7577;0;0;7577;191451
105;Opening balance sheet;Assets;Non-financial corporations;2011 1st quarter;1185574;0;242098;1971;119025;121102;0;121102;25189;10468;13849;872.0;279215;88048;191167;436288;14188.0;417854.0;4246.0;7135;0;0;7135;195649
106;Opening balance sheet;Assets;Non-financial corporations;2011 2nd quarter;1206999;0;238746;1904;115460;121382;0;121382;25350;10663;13714;973.0;280468;87574;192894;452067;13574.0;435000.0;3493.0;9348;0;0;9348;201020
107;Opening balance sheet;Assets;Non-financial corporations;2011 3rd quarter;1207229;0;238196;1766;116191;120239;0;120239;25210;10707;13634;869.0;265071;79459;185612;474642;11635.0;459662.0;3345.0;9020;0;0;9020;195090
108;Opening balance sheet;Assets;Non-financial corporations;2011 4th quarter;1216924;0;235452;1681;115967;117804;0;117804;24992;10700;13219;1073.0;262295;81716;180579;486829;10794.0;472995.0;3040.0;8878;0;0;8878;198478
109;Opening balance sheet;Assets;Non-financial corporations;2011;1185574;0;242098;1971;119025;121102;0;121102;25189;10468;13849;872.0;279215;88048;191167;436288;14188.0;417854.0;4246.0;7135;0;0;7135;195649
110;Opening balance sheet;Assets;Non-financial corporations;2012 1st quarter;1263751;0;242078;1506;119231;121341;0;121341;24703;10630;13547;526.0;272438;85728;186710;506076;13094.0;488844.0;4138.0;8407;0;0;8407;210049
111;Opening balance sheet;Assets;Non-financial corporations;2012 2nd quarter;1294573;0;249361;1527;118191;129643;0;129643;26506;10629;15503;374.0;275834;90585;185249;513427;16432.0;492450.0;4545.0;8823;0;0;8823;220622
112;Opening balance sheet;Assets;Non-financial corporations;2012 3rd quarter;1304328;0;241067;1372;120133;119562;0;119562;27816;10614;17346;-144.0;289841;102502;187339;515266;16221.0;494551.0;4494.0;8992;0;0;8992;221346
113;Opening balance sheet;Assets;Non-financial corporations;2012 4th quarter;1312429;0;245121;1321;120609;123191;0;123191;27940;10828;17265;-153.0;293909;89967;203942;520591;16912.0;498539.0;5140.0;9398;0;0;9398;215470
114;Opening balance sheet;Assets;Non-financial corporations;2012;1263751;0;242078;1506;119231;121341;0;121341;24703;10630;13547;526.0;272438;85728;186710;506076;13094.0;488844.0;4138.0;8407;0;0;8407;210049
115;Opening balance sheet;Assets;Non-financial corporations;2013 1st quarter;1318198;0;242187;1256;123577;117354;0;117354;28212;10870;17413;-71.0;295551;87680;207871;523197;16968.0;500882.0;5347.0;9856;0;0;9856;219195
116;Opening balance sheet;Assets;Non-financial corporations;2013 2nd quarter;1353056;0;243238;1188;121229;120821;0;120821;28601;10872;17687;42.0;299491;93958;205533;533609;16363.0;512790.0;4456.0;10154;0;0;10154;237963
117;Opening balance sheet;Assets;Non-financial corporations;2013 3rd quarter;1343537;0;250369;1118;126257;122994;0;122994;27653;10872;17970;-1189.0;294926;93055;201871;525535;15927.0;505183.0;4425.0;10092;0;0;10092;234962
118;Opening balance sheet;Assets;Non-financial corporations;2013 4th quarter;1357397;0;246761;1033;124135;121593;0;121593;29642;10873;18924;-155.0;295080;91008;204072;538686;23151.0;510897.0;4638.0;10050;0;0;10050;237178
119;Opening balance sheet;Assets;Non-financial corporations;2013;1318198;0;242187;1256;123577;117354;0;117354;28212;10870;17413;-71.0;295551;87680;207871;523197;16968.0;500882.0;5347.0;9856;0;0;9856;219195
120;Opening balance sheet;Assets;Financial corporations;1990;1163783;21698;110405;1215;9877;99313;0;99313;96707;13797;87251;-4341.0;555608;137726;417882;324154;;;;1929;0;0;1929;53282
121;Opening balance sheet;Assets;Financial corporations;1991;1207041;17652;122107;1362;11323;109422;0;109422;107124;13386;97930;-4192.0;585050;149490;435560;313612;;;;1941;0;0;1941;59555
122;Opening balance sheet;Assets;Financial corporations;1992;1281694;17622;125594;1497;10759;113338;0;113338;119891;11572;112611;-4292.0;612559;154218;458341;341036;;;;1968;0;0;1968;63024
123;Opening balance sheet;Assets;Financial corporations;1993;1379282;17250;137411;1542;10902;124967;0;124967;149206;16518;136900;-4212.0;647621;162171;485450;368736;;;;2023;0;0;2023;57035
124;Opening balance sheet;Assets;Financial corporations;1994;1550809;20647;151217;1452;13745;136020;0;136020;177890;20193;161712;-4015.0;695132;180666;514466;434131;;;;2181;0;0;2181;69611
125;Opening balance sheet;Assets;Financial corporations;1995;1535694;17364;139614;1484;10663;127467;0;127467;184371;23928;164047;-3604.0;697295;165762;531533;445883;85555.0;351363.0;8965.0;2405;0;0;2405;48762
