ID;Perioden;BrutoBinnenlandsProduct_1;Saldo_2;Totaal_3;OntvangenBeloningWerknemersBuitenland_4;InkomenUitVermogen_5;UitHetBuitenlandOntvangenSubsidies_6;Totaal_7;BetaaldeBeloningWerknemersBuitenland_8;InkomenUitVermogen_9;BelastingenOpProductieEnInvoer_10;BrutoNationaalInkomen_11;VerbruikVanVasteActiva_12;NettoNationaalInkomen_13;Saldo_14;Totaal_15;BelastingenOpInkomenEnVermogen_16;SocialePremies_17;SocialeUitkeringenInGeld_18;OverigeInkomensoverdrachten_19;Totaal_20;BelastingenOpInkomenEnVermogen_21;SocialePremies_22;SocialeUitkeringenInGeld_23;OverigeInkomensoverdrachten_24;NettoBeschikbaarNationaalInkomen_25;ConsumptieveBestedingen_26;CorrectiePensioenvoorziening_27;NettoNationaleBesparingen_28;NettoInvesteringenInVasteActiva_29;VeranderingInVoorraden_30;Saldo_31;Totaal_32;UitvoersaldoGoederen_33;UitvoersaldoDiensten_34;Saldo_35;OntvangenPrimaireInkomens_36;BetaaldePrimaireInkomens_37;Saldo_38;OntvangenInkomensoverdrachten_39;BetaaldeInkomensoverdrachten_40;CorrectiePensioenvoorzieningSaldo_41;Saldo_42;OntvangenKapitaaloverdrachten_43;BetaaldeKapitaaloverdrachten_44;SaldoAanEnVerkopenVanNietGeprod_45;NationaalVorderingensaldo_46;TotaalFinTransactiesVorderingen_47;TotaalFinTransactiesSchulden_48;StatistischVerschil_49
0;1995;325341;4188;42591;1176;39548;1867;38403;1698;35091;1614;329529;52469;277060;-6166;4030;472;477;36;3045;10196;540;233;572;8851;270894;231972;-79;38843;17667;960;20216;22273;22370;-97;4188;42591;38403;-6166;4030;10196;-79;-926;573;1499;0;19290;56011;36183;-538
1;1996;340964;4846;48040;1220;45336;1484;43194;1664;39984;1546;345810;54545;291265;-6517;4372;513;490;42;3327;10889;576;234;611;9468;284748;242459;-76;42213;20678;2270;19265;21012;21240;-228;4846;48040;43194;-6517;4372;10889;-76;-1364;850;2214;0;17901;80340;62498;59
2;1997;364961;2636;58688;1295;56061;1332;56052;1829;52517;1706;367597;56842;310755;-7008;4961;763;539;47;3612;11969;624;248;672;10425;303747;256837;-90;46820;24540;3091;19189;23651;24168;-517;2636;58688;56052;-7008;4961;11969;-90;-1134;790;1924;7;18062;118247;97148;-3037
3;1998;389315;-2142;60476;1306;57892;1278;62618;2057;58932;1629;387173;60092;327081;-6619;4975;913;580;46;3436;11594;636;281;712;9965;320462;275037;-101;45324;27365;2980;14979;23841;25919;-2078;-2142;60476;62618;-6619;4975;11594;-101;-774;791;1565;26;14231;187327;171165;-1931
4;1999;414838;4843;76547;1135;74069;1343;71704;1777;68281;1646;419681;64307;355374;-6533;5391;1528;660;54;3149;11924;588;288;771;10277;348841;293851;-119;54871;32943;1566;20362;22171;25461;-3290;4843;76547;71704;-6533;5391;11924;-119;-770;1128;1898;12;19604;257963;237314;-1045
5;2000;448061;7194;124084;1209;121544;1331;116890;1984;113309;1597;455255;70031;385224;-8787;6799;1048;720;64;4967;15586;665;309;849;13763;376437;315550;-105;60782;32677;527;27578;29276;33733;-4457;7194;124084;116890;-8787;6799;15586;-105;-771;1453;2224;-4;26803;295780;269225;248
6;2001;476696;-3183;110212;1289;107854;1069;113395;2020;109868;1507;473513;75517;397996;-7891;7032;1862;736;200;4234;14923;708;296;965;12954;390105;336117;-140;53848;31509;1803;20536;31750;37366;-5616;-3183;110212;113395;-7891;7032;14923;-140;-73;1062;1135;22;20485;373614;351613;-1516
7;2002;494501;-2203;93927;1246;91422;1259;96130;2195;92570;1365;492298;80232;412066;-7962;6275;1833;791;217;3434;14237;727;323;1088;12099;404104;355925;-154;48025;25338;-576;23263;33582;40283;-6701;-2203;93927;96130;-7962;6275;14237;-154;240;954;714;0;23503;156380;129071;-3806
8;2003;506671;4531;101103;1130;98603;1370;96572;2512;92652;1408;511202;83414;427788;-7594;6502;1910;919;207;3466;14096;941;299;1239;11617;420194;366956;-179;53059;22349;-319;31029;34271;41790;-7519;4531;101103;96572;-7594;6502;14096;-179;255;1255;1000;16;31300;232150;197903;-2947
9;2004;523939;6330;126873;1044;124453;1376;120543;2838;116126;1579;530269;85731;444538;-8500;7107;2175;1012;218;3702;15607;1034;278;1322;12973;436038;374059;-172;61807;21735;900;39172;41514;48046;-6532;6330;126873;120543;-8500;7107;15607;-172;351;1236;885;35;39558;185372;145984;170
10;2005;545609;-3529;158951;1011;156648;1292;162480;2962;157835;1683;542080;88769;453311;-9476;7679;2610;1072;230;3767;17155;1247;272;1504;14132;443835;384184;-221;59430;23603;1698;34129;47355;53787;-6432;-3529;158951;162480;-9476;7679;17155;-221;199;1324;1125;18;34346;260435;224314;-1775
11;2006;579212;8998;186383;988;183873;1522;177385;3125;172475;1785;588210;92292;495918;-10530;7967;3068;1107;242;3550;18497;1320;276;1571;15330;485388;404033;-153;81202;30878;1432;48892;50577;57594;-7017;8998;186383;177385;-10530;7967;18497;-153;-326;868;1194;-907;47659;549628;501690;-279
12;2007;613280;5466;243196;962;241206;1028;237730;5681;230025;2024;618746;96440;522306;-10755;8931;4337;1174;234;3186;19686;1647;281;1706;16052;511551;422671;-164;88716;37305;2740;48671;54124;60354;-6230;5466;243196;237730;-10755;8931;19686;-164;-451;741;1192;-9873;38347;538279;498807;-1125
13;2008;639163;-11888;202806;941;200823;1042;214694;6839;205678;2177;627275;101072;526203;-9508;10368;4575;1868;248;3677;19876;1578;282;2089;15927;516695;441166;-459;75070;41342;445;33283;55138;60837;-5699;-11888;202806;214694;-9508;10368;19876;-459;-753;583;1336;414;32944;21460;-11896;-412
14;2009;617540;552;172948;1045;170825;1078;172396;6719;163857;1820;618092;104435;513657;-6587;10036;3876;2442;248;3470;16623;1350;284;2577;12412;507070;442934;-691;63445;27119;-2204;38530;45256;53216;-7960;552;172948;172396;-6587;10036;16623;-691;-842;913;1755;274;37962;122485;84311;-212
15;2010;631512;5114;224720;1099;222726;895;219606;5532;212106;1968;636626;106982;529644;-9256;10063;3628;1904;248;4283;19319;1725;284;2471;14839;520388;449742;-341;70305;17667;4308;48330;52813;60229;-7416;5114;224720;219606;-9256;10063;19319;-341;-1890;896;2786;703;47143;183994;139880;3029
16;2011;642929;11758;247129;1084;245039;1006;235371;5829;227356;2186;654687;107068;547619;-9450;10217;3632;1904;248;4433;19667;1975;284;2476;14932;538169;456097;-331;81741;23334;1526;56881;54904;64921;-10017;11758;247129;235371;-9450;10217;19667;-331;-552;783;1335;-1328;55001;394854;341481;1628
17;2012;645164;13286;232502;1076;230460;966;219216;5872;211297;2047;658450;107897;550553;-9275;10736;3868;1927;248;4693;20011;1937;284;2642;15148;541278;459631;-345;81302;14031;1659;65612;61946;71096;-9150;13286;232502;219216;-9275;10736;20011;-345;-268;780;1048;-5877;59467;228610;169617;474
18;2013;652748;9131;233785;1015;231728;1042;224654;5611;217034;2009;661879;109362;552517;-11780;10334;3730;1984;250;4370;22114;2055;284;2635;17140;540737;463903;-433;76401;7745;1920;66736;69818;75347;-5529;9131;233785;224654;-11780;10334;22114;-433;-562;746;1308;-1092;65082;294541;227787;-1672
19;2014;663008;-1721;258724;947;256888;889;260445;5625;252404;2416;661287;110194;551093;-10632;11629;4504;2694;253;4178;22261;2107;284;2479;17391;540461;468668;-481;71312;9336;2925;59051;71885;76065;-4180;-1721;258724;260445;-10632;11629;22261;-481;-432;723;1155;-162;58457;179476;120363;-656
20;2015;683457;-3847;228879;1015;226940;924;232726;5922;224182;2622;679610;111755;567855;-10822;12156;4375;2725;270;4786;22978;2443;284;2756;17495;557033;475147;-431;81455;20709;3711;57035;72135;78387;-6252;-3847;228879;232726;-10822;12156;22978;-431;-893;931;1824;-33600;22542;164079;140730;-807
21;2016;702641;-8410;208613;1053;206790;770;217023;6216;207722;3085;694231;114389;579842;-7277;11052;4310;2703;240;3799;18329;2383;284;2760;12902;572565;484374;-413;87778;25660;870;61248;77348;83717;-6369;-8410;208613;217023;-7277;11052;18329;-413;-1042;847;1889;-596;59610;222508;164138;1240
