ID;Geslacht;Leeftijd;Cijfersoort;Perioden;LVInAlsGoedErvarenGezondheid_1;LVZonderMatigeEnErnstigeBeperkingen_2;LVZonderErnstigeBeperkingen_3;LVZonderLichteMatigeErnstigeBep_4;LVZonderChronischeZiektes_5;LVZonderChrZiekExclHogeBloeddruk_6;LVInGoedeGeestelijkeGezondheid_7
0;Mannen;0 jaar;Aantal jaren;2001/2003;62.1;69.1;72.3;54.7;48.2;50.9;71.0
1;Mannen;0 jaar;Aantal jaren;2004/2006;62.9;69.9;73.3;54.2;47.7;50.4;72.3
2;Mannen;0 jaar;Aantal jaren;2007/2009;64.5;70.9;74.8;54.7;47.9;51.3;73.4
3;Mannen;0 jaar;Standaardfout;2001/2003;0.2;;;;0.3;0.3;
4;Mannen;0 jaar;Standaardfout;2004/2006;0.2;;;;0.3;0.3;
5;Mannen;0 jaar;Standaardfout;2007/2009;0.3;;;;0.3;0.3;
6;Mannen;1 jaar;Aantal jaren;2001/2003;61.5;68.5;71.7;53.9;47.6;50.3;70.4
7;Mannen;1 jaar;Aantal jaren;2004/2006;62.2;69.2;72.6;53.4;47.0;49.7;71.6
8;Mannen;1 jaar;Aantal jaren;2007/2009;63.9;70.2;74.1;53.9;47.2;50.6;72.7
9;Mannen;1 jaar;Standaardfout;2001/2003;0.2;;;;0.3;0.3;
10;Mannen;1 jaar;Standaardfout;2004/2006;0.2;;;;0.3;0.3;
11;Mannen;1 jaar;Standaardfout;2007/2009;0.3;;;;0.3;0.3;
12;Mannen;5 jaar;Aantal jaren;2001/2003;57.8;64.6;67.8;50.0;44.4;47.1;66.6
13;Mannen;5 jaar;Aantal jaren;2004/2006;58.5;65.3;68.7;49.5;43.5;46.2;67.9
14;Mannen;5 jaar;Aantal jaren;2007/2009;60.2;66.3;70.1;49.9;43.7;47.1;68.9
15;Mannen;5 jaar;Standaardfout;2001/2003;0.2;;;;0.3;0.3;
16;Mannen;5 jaar;Standaardfout;2004/2006;0.2;;;;0.3;0.3;
17;Mannen;5 jaar;Standaardfout;2007/2009;0.3;;;;0.3;0.3;
18;Mannen;10 jaar;Aantal jaren;2001/2003;53.2;59.7;62.9;45.1;40.2;43.0;61.8
19;Mannen;10 jaar;Aantal jaren;2004/2006;53.8;60.3;63.8;44.5;39.3;42.1;63.0
20;Mannen;10 jaar;Aantal jaren;2007/2009;55.4;61.3;65.2;44.9;39.4;42.8;64.0
21;Mannen;10 jaar;Standaardfout;2001/2003;0.2;0.2;0.2;0.3;0.3;0.3;0.2
22;Mannen;10 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.3;0.3;0.3;0.2
23;Mannen;10 jaar;Standaardfout;2007/2009;0.3;0.2;0.2;0.3;0.3;0.3;0.2
24;Mannen;15 jaar;Aantal jaren;2001/2003;48.5;54.8;57.9;40.9;36.1;38.9;56.9
25;Mannen;15 jaar;Aantal jaren;2004/2006;49.2;55.6;58.9;40.6;35.1;37.8;58.2
26;Mannen;15 jaar;Aantal jaren;2007/2009;50.7;56.5;60.3;40.8;35.3;38.7;59.2
27;Mannen;15 jaar;Standaardfout;2001/2003;0.2;0.2;0.2;0.3;0.3;0.3;0.2
28;Mannen;15 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.3;0.3;0.3;0.2
29;Mannen;15 jaar;Standaardfout;2007/2009;0.3;0.2;0.2;0.3;0.3;0.3;0.2
30;Mannen;20 jaar;Aantal jaren;2001/2003;44.0;50.0;53.1;36.7;32.1;34.8;52.2
31;Mannen;20 jaar;Aantal jaren;2004/2006;44.7;50.7;54.1;36.4;31.0;33.7;53.5
32;Mannen;20 jaar;Aantal jaren;2007/2009;46.3;51.7;55.4;36.6;31.2;34.7;54.5
33;Mannen;20 jaar;Standaardfout;2001/2003;0.2;0.2;0.2;0.3;0.3;0.3;0.2
34;Mannen;20 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.3;0.3;0.3;0.2
35;Mannen;20 jaar;Standaardfout;2007/2009;0.3;0.2;0.2;0.3;0.3;0.3;0.2
36;Mannen;25 jaar;Aantal jaren;2001/2003;39.6;45.2;48.3;32.3;28.2;30.9;47.6
37;Mannen;25 jaar;Aantal jaren;2004/2006;40.2;46.0;49.2;32.0;27.0;29.7;48.9
38;Mannen;25 jaar;Aantal jaren;2007/2009;41.9;47.0;50.6;32.3;27.3;30.7;49.9
39;Mannen;25 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.3;0.3;0.3;0.2
40;Mannen;25 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.3;0.3;0.3;0.2
41;Mannen;25 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.3;0.3;0.3;0.2
42;Mannen;30 jaar;Aantal jaren;2001/2003;35.1;40.4;43.5;28.0;24.3;27.0;43.1
43;Mannen;30 jaar;Aantal jaren;2004/2006;35.7;41.2;44.4;27.7;23.2;25.8;44.4
44;Mannen;30 jaar;Aantal jaren;2007/2009;37.4;42.1;45.7;28.1;23.4;26.8;45.4
45;Mannen;30 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.3;0.3;0.3;0.2
46;Mannen;30 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.3;0.3;0.3;0.2
47;Mannen;30 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.3;0.3;0.3;0.2
48;Mannen;35 jaar;Aantal jaren;2001/2003;30.7;35.6;38.7;23.7;20.6;23.2;38.6
49;Mannen;35 jaar;Aantal jaren;2004/2006;31.3;36.4;39.6;23.4;19.7;22.2;39.9
50;Mannen;35 jaar;Aantal jaren;2007/2009;33.0;37.3;40.9;23.8;19.6;22.9;40.8
51;Mannen;35 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.3;0.3;0.3;0.2
52;Mannen;35 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.3;0.2
53;Mannen;35 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.3;0.3;0.3;0.2
54;Mannen;40 jaar;Aantal jaren;2001/2003;26.5;31.0;33.9;19.5;17.1;19.5;34.1
55;Mannen;40 jaar;Aantal jaren;2004/2006;27.1;31.7;34.8;19.3;16.4;18.8;35.5
56;Mannen;40 jaar;Aantal jaren;2007/2009;28.7;32.7;36.1;19.8;16.1;19.3;36.3
57;Mannen;40 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.3;0.3;0.3;0.2
58;Mannen;40 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
59;Mannen;40 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.3;0.3;0.3;0.2
60;Mannen;45 jaar;Aantal jaren;2001/2003;22.4;26.5;29.3;15.8;13.9;16.2;29.7
61;Mannen;45 jaar;Aantal jaren;2004/2006;23.0;27.2;30.2;15.7;13.2;15.4;31.1
62;Mannen;45 jaar;Aantal jaren;2007/2009;24.5;28.2;31.4;16.2;13.0;16.0;32.0
63;Mannen;45 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.3;0.2
64;Mannen;45 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
65;Mannen;45 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.3;0.2;0.3;0.2
66;Mannen;50 jaar;Aantal jaren;2001/2003;18.6;22.3;24.9;12.9;11.0;13.1;25.5
67;Mannen;50 jaar;Aantal jaren;2004/2006;19.2;23.0;25.8;12.8;10.4;12.4;26.9
68;Mannen;50 jaar;Aantal jaren;2007/2009;20.7;24.0;27.0;13.3;10.1;12.9;27.7
69;Mannen;50 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.2;0.2
70;Mannen;50 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
71;Mannen;50 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.2;0.2;0.2;0.1
72;Mannen;55 jaar;Aantal jaren;2001/2003;15.2;18.5;20.7;10.3;8.6;10.5;21.6
73;Mannen;55 jaar;Aantal jaren;2004/2006;15.9;19.1;21.6;10.3;8.0;9.7;22.8
74;Mannen;55 jaar;Aantal jaren;2007/2009;17.2;20.1;22.8;10.9;7.7;10.2;23.8
75;Mannen;55 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.2;0.1
76;Mannen;55 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
77;Mannen;55 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.2;0.2;0.2;0.1
78;Mannen;60 jaar;Aantal jaren;2001/2003;12.2;14.8;16.8;7.7;6.6;8.0;17.8
79;Mannen;60 jaar;Aantal jaren;2004/2006;12.8;15.6;17.7;8.0;5.9;7.4;19.0
80;Mannen;60 jaar;Aantal jaren;2007/2009;14.0;16.4;18.8;8.5;5.9;7.8;19.9
81;Mannen;60 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.2;0.1
82;Mannen;60 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
83;Mannen;60 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.2;0.2;0.2;0.1
84;Mannen;65 jaar;Aantal jaren;2001/2003;9.5;11.4;13.2;5.3;4.7;5.8;14.1
85;Mannen;65 jaar;Aantal jaren;2004/2006;10.0;12.0;13.9;5.5;4.4;5.4;15.3
86;Mannen;65 jaar;Aantal jaren;2007/2009;11.1;12.8;15.0;6.1;4.2;5.7;16.1
87;Mannen;65 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.2;0.1
88;Mannen;65 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
89;Mannen;65 jaar;Standaardfout;2007/2009;0.2;0.2;0.2;0.2;0.2;0.2;0.1
90;Mannen;70 jaar;Aantal jaren;2001/2003;6.9;8.2;9.8;3.6;3.3;4.2;10.8
91;Mannen;70 jaar;Aantal jaren;2004/2006;7.3;8.9;10.6;3.6;3.1;3.9;11.8
92;Mannen;70 jaar;Aantal jaren;2007/2009;8.4;9.6;11.5;4.0;3.0;4.1;12.6
93;Mannen;70 jaar;Standaardfout;2001/2003;0.1;0.2;0.2;0.2;0.2;0.2;0.1
94;Mannen;70 jaar;Standaardfout;2004/2006;0.2;0.2;0.2;0.2;0.2;0.2;0.1
