ID;DecentraleOverheden;BegrootEMUSaldo2014_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2016_5
0;Totaal decentrale overheden;;-5158;-3337;-1821;-2048
1;Provincies;-1844.0;-1924;-667;-1257;-1082
2;Gemeenten;-3204.0;-2838;-2269;-569;-582
3;Gemeenten: minder dan 20 000 inwoners;-259.0;-161;-158;-3;50
4;Gemeenten:   20 000 -   50 000 inwoners;-543.0;-285;-598;313;239
5;Gemeenten:   50 000 - 100 000 inwoners;-684.0;-448;-377;-71;-21
6;Gemeenten: 100 000 - 150 000 inwoners;-673.0;-371;-202;-169;-73
7;Gemeenten: 150 000 - 250 000 inwoners;-409.0;-567;-335;-232;-250
8;Gemeenten: meer dan 250 000 inwoners;-636.0;-1006;-599;-407;-526
9;Waterschappen;;-472;-400;-72;-461
10;Gemeenschappelijke regelingen;68.0;76;0;76;77
