ID;SeizoenEnWerkdagcorrectie;Perioden;Totaal_1;k_1BasisonderwijsVmboMbo1OfOnbekend_2;k_2HavoVwoMbo24_3;k_3HboWo_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;Deeltijd_7;MinderDan20UurPerWeek_8;k_20Tot35UurPerWeek_9;Voltijd_10;WilMeerUrenWerkenBeschikbaar_11;WilNietMeerWerkenOfNietBeschikbaar_12;Werknemer_13;WerknemerMetVasteArbeidsrelatie_14;WerknemerMetFlexibeleArbeidsrelatie_15;Zelfstandige_16;ZelfstandigeZonderPersoneelZzp_17;ZelfstandigeMetPersoneelOfMeewerkend_18;k_1BasisonderwijsVmboMbo1_19;k_2HavoVwoMbo24_20;k_3HboWo_21;WerklozeBeroepsbevolking_22;Kortdurig_23;LangdurigOfOnbekend_24;Werkloosheidspercentage_25;NietBeroepsbevolking_26;BeschikbaarNietGezocht_27;GezochtNietBeschikbaar_28;NietGezochtNietBeschikbaar_29;BrutoArbeidsparticipatie_30;NettoArbeidsparticipatie_31;k_1BasisonderwijsVmboMbo1OfOnbekend_32;k_2HavoVwoMbo24_33;k_3HboWo_34
0;Oorspronkelijke, ongecorrigeerde cijfers;2013 1e kwartaal;12617.0;4030.0;5075.0;3512.0;9162.0;8427.0;3962.0;1651.0;2311.0;4465.0;803.0;7624.0;7205.0;4782.0;2423.0;1222.0;886.0;336.0;2069.0;3583.0;2775.0;735.0;497.0;238.0;8.0;3454.0;350.0;112.0;2993.0;72.6;66.8;51.3;70.6;79.0
1;Oorspronkelijke, ongecorrigeerde cijfers;2013 2e kwartaal;12631.0;3967.0;5104.0;3559.0;9182.0;8436.0;3972.0;1651.0;2321.0;4464.0;797.0;7639.0;7215.0;4753.0;2462.0;1221.0;883.0;337.0;2054.0;3589.0;2793.0;747.0;484.0;263.0;8.1;3448.0;337.0;145.0;2966.0;72.7;66.8;51.8;70.3;78.5
2;Oorspronkelijke, ongecorrigeerde cijfers;2013 3e kwartaal;12645.0;3945.0;5097.0;3603.0;9208.0;8443.0;3952.0;1621.0;2331.0;4491.0;817.0;7627.0;7204.0;4706.0;2497.0;1239.0;898.0;342.0;2026.0;3607.0;2810.0;764.0;491.0;274.0;8.3;3437.0;372.0;133.0;2932.0;72.8;66.8;51.4;70.8;78.0
3;Oorspronkelijke, ongecorrigeerde cijfers;2013 4e kwartaal;12659.0;3972.0;5071.0;3616.0;9195.0;8426.0;3982.0;1667.0;2315.0;4444.0;848.0;7579.0;7171.0;4651.0;2520.0;1256.0;911.0;345.0;2021.0;3572.0;2833.0;768.0;494.0;274.0;8.4;3464.0;364.0;112.0;2989.0;72.6;66.6;50.9;70.4;78.3
4;Oorspronkelijke, ongecorrigeerde cijfers;2013;12638.0;3978.0;5087.0;3572.0;9187.0;8433.0;3967.0;1648.0;2320.0;4466.0;816.0;7617.0;7199.0;4723.0;2476.0;1234.0;894.0;340.0;2043.0;3588.0;2803.0;754.0;491.0;262.0;8.2;3451.0;356.0;125.0;2970.0;72.7;66.7;51.3;70.5;78.4
5;Oorspronkelijke, ongecorrigeerde cijfers;2014 1e kwartaal;12665.0;3973.0;5036.0;3656.0;9138.0;8320.0;3929.0;1638.0;2291.0;4392.0;841.0;7479.0;7073.0;4613.0;2460.0;1247.0;906.0;341.0;1961.0;3513.0;2847.0;817.0;520.0;297.0;8.9;3528.0;383.0;112.0;3032.0;72.1;65.7;49.3;69.7;77.9
6;Oorspronkelijke, ongecorrigeerde cijfers;2014 2e kwartaal;12665.0;3929.0;5056.0;3680.0;9130.0;8360.0;3953.0;1643.0;2310.0;4407.0;830.0;7529.0;7120.0;4605.0;2515.0;1240.0;907.0;333.0;1950.0;3539.0;2870.0;770.0;476.0;295.0;8.4;3535.0;354.0;147.0;3034.0;72.1;66.0;49.6;70.0;78.0
7;Oorspronkelijke, ongecorrigeerde cijfers;2014 3e kwartaal;12664.0;3838.0;5097.0;3729.0;9141.0;8417.0;3945.0;1609.0;2336.0;4472.0;804.0;7613.0;7171.0;4613.0;2557.0;1246.0;913.0;334.0;1920.0;3592.0;2904.0;724.0;438.0;286.0;7.9;3524.0;374.0;140.0;3009.0;72.2;66.5;50.0;70.5;77.9
8;Oorspronkelijke, ongecorrigeerde cijfers;2014 4e kwartaal;12664.0;3871.0;5032.0;3761.0;9171.0;8433.0;3979.0;1648.0;2330.0;4454.0;804.0;7629.0;7164.0;4620.0;2545.0;1269.0;937.0;331.0;1934.0;3552.0;2946.0;738.0;435.0;303.0;8.1;3493.0;356.0;116.0;3021.0;72.4;66.6;50.0;70.6;78.3
9;Oorspronkelijke, ongecorrigeerde cijfers;2014;12665.0;3903.0;5056.0;3707.0;9145.0;8382.0;3951.0;1635.0;2317.0;4431.0;820.0;7563.0;7132.0;4613.0;2519.0;1251.0;916.0;335.0;1941.0;3549.0;2892.0;762.0;467.0;295.0;8.3;3520.0;367.0;129.0;3024.0;72.2;66.2;49.7;70.2;78.0
