ID;RelatieMetDeOverledene;KenmerkenVanDeVerkrijger;Perioden;AantalVerkrijgers_1;TotaalBrutoVerkrijging_2;GemiddeldBrutoVerkrijging_3;MediaanBrutoVerkrijging_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoVerkrijging_8;GemiddeldNettoVerkrijging_9;MediaanNettoVerkrijging_10
231;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2014;2.9;162.1;56.8;26.9;18.9;6.6;1.5;143.2;50.2;25.2
232;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2015;2.8;160.4;57.5;28.9;21.1;7.6;1.6;139.3;49.9;26.7
233;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2016;2.5;141.4;55.5;27.8;17.7;7.0;1.5;123.6;48.6;25.8
234;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2017;2.5;137.2;54.1;24.0;17.5;6.9;1.1;119.7;47.2;22.7
235;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2018;2.2;131.9;59.4;26.2;16.9;7.6;1.4;115.1;51.8;23.7
236;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2019;1.9;108.6;55.9;24.9;12.6;6.5;1.1;96.0;49.4;23.3
237;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2020;2.1;142.8;67.0;30.0;20.1;9.4;1.5;122.7;57.6;27.9
238;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2021;1.8;111.6;63.5;31.8;13.0;7.4;1.4;98.7;56.1;29.0
239;Relatie met overledene: totaal;SEC: ontvanger werkloosheidsuitkering;2022;1.2;85.4;68.6;34.9;10.0;8.1;1.6;75.4;60.5;32.2
240;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2007;2.3;108.1;47.6;19.4;14.1;6.2;0.8;94.0;41.4;18.0
241;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2008;2.2;99.0;44.3;20.5;12.3;5.5;1.0;86.8;38.8;18.9
242;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2009;2.4;100.8;42.7;20.4;13.0;5.5;0.8;87.7;37.2;18.4
243;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2010;2.3;132.8;57.4;26.4;15.5;6.7;1.4;117.2;50.7;24.8
244;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2011;2.5;130.5;52.9;25.3;16.6;6.7;1.6;113.9;46.2;23.7
245;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2012;2.5;199.5;78.4;26.5;38.2;15.0;1.5;161.3;63.3;25.0
246;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2013;2.7;132.8;49.7;25.0;17.5;6.5;1.5;115.4;43.2;23.0
247;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2014;2.9;144.9;50.6;24.3;18.2;6.4;1.2;126.7;44.2;22.8
248;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2015;2.9;145.0;49.9;25.6;16.3;5.6;1.4;128.7;44.3;23.7
249;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2016;3.1;154.5;49.9;25.6;19.6;6.3;1.5;134.9;43.6;23.2
250;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2017;3.8;169.8;44.6;19.8;20.3;5.3;0.8;149.5;39.2;18.8
251;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2018;3.9;183.5;47.3;19.4;23.3;6.0;0.7;160.2;41.2;18.0
252;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2019;3.9;185.5;47.9;20.2;22.9;5.9;0.8;162.6;42.0;19.3
253;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2020;5.0;289.0;57.7;21.2;35.9;7.2;0.9;253.1;50.5;20.9
254;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2021;5.2;271.4;51.9;21.7;33.4;6.4;0.9;238.0;45.5;21.3
255;Relatie met overledene: totaal;SEC: ontvanger van sociale voorziening;2022;5.6;380.8;67.6;24.8;50.0;8.9;1.1;330.8;58.7;23.6
256;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2007;4.9;258.2;52.5;22.3;37.6;7.6;0.8;220.6;44.9;20.2
257;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2008;5.2;279.5;54.3;24.1;39.4;7.7;1.2;240.1;46.6;22.1
258;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2009;4.9;233.0;47.9;23.1;28.9;5.9;0.8;204.1;42.0;21.4
259;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2010;4.7;266.3;56.6;29.0;30.6;6.5;1.5;235.8;50.1;26.9
260;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2011;4.8;266.2;55.2;27.5;33.4;6.9;1.7;232.8;48.3;25.2
261;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2012;4.8;327.5;68.9;28.0;45.7;9.6;1.7;281.8;59.3;25.8
262;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2013;4.7;259.5;54.9;26.5;32.6;6.9;1.5;226.9;48.0;24.4
263;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2014;4.5;232.4;51.5;25.9;28.8;6.4;1.4;203.6;45.1;24.0
264;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2015;4.8;282.5;59.0;25.9;37.2;7.8;1.5;245.3;51.2;23.6
265;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2016;4.9;262.1;53.1;26.2;33.3;6.8;1.5;228.7;46.4;24.2
266;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2017;5.7;314.5;55.1;22.0;40.8;7.1;1.0;273.7;48.0;20.6
267;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2018;6.2;358.0;58.0;20.7;45.7;7.4;1.0;312.3;50.6;20.0
268;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2019;6.5;341.3;52.4;23.5;41.0;6.3;1.0;300.4;46.1;21.7
269;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2020;7.4;425.6;57.2;26.7;55.8;7.5;1.3;369.8;49.7;24.7
270;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2021;8.0;486.7;61.1;29.1;58.3;7.3;1.3;428.4;53.8;27.3
271;Relatie met overledene: totaal;SEC: arbeidsongeschikte;2022;8.3;505.3;60.9;29.6;59.9;7.2;1.4;445.4;53.7;27.7
272;Relatie met overledene: totaal;SEC: pensioenontvanger;2007;34.3;2517.1;73.5;36.6;266.2;7.8;0.0;2250.9;65.7;33.0
