ID;RegioS;Perioden;BbpVolumemutaties_1;AUAlleEconomischeActiviteiten_2;ALandbouwBosbouwEnVisserij_3;BENijverheidGeenBouwEnEnergie_4;BDelfstoffenwinning_5;CIndustrie_6;DEnergievoorziening_7;EWaterbedrijvenEnAfvalbeheer_8;FBouwnijverheid_9;GIHandelVervoerEnHoreca_10;JInformatieEnCommunicatie_11;KFinancieleDienstverlening_12;LVerhuurEnHandelVanOnroerendGoed_13;MNZakelijkeDienstverlening_14;OQOverheidEnZorg_15;RUCultuurRecreatieOverigeDiensten_16
0;Nederland;2008;1.80403764;2.0754496;2.62613868;0.74573008;8.13431342;-1.4715249;3.58251832;2.73093849;1.03609757;0.46266726;3.34390401;6.49696672;1.9725444;4.42859275;2.70177163;-2.0500802
1;Nederland;2009;-3.6675755;-3.3015357;4.46983669;-6.9823226;-5.1622509;-9.2082778;1.16464378;0.94036469;-5.4690492;-6.832593;-3.8557808;-1.0646083;-0.327567;-6.6620348;3.68113774;-1.0276583
2;Nederland;2010;1.52764706;1.70088328;-0.6077672;7.48707651;14.3417368;6.29404629;7.23536081;0.20623729;-10.610217;3.17529137;-0.8592447;2.61164847;1.43541959;-2.7027881;2.29266364;-1.1663288
3;Nederland;2011;0.94463362;1.19705457;1.48395377;0.27741969;-6.729156;3.21076259;-5.9709932;1.04421923;5.19967811;2.53724801;0.35310036;-1.6689952;1.84035766;0.09186426;1.70142122;-0.5885407
4;Nederland;2012;-1.2471541;-1.1423401;;;;;;;;;;;;;;
5;Nederland;2013;-0.8227415;-0.5116748;;;;;;;;;;;;;;
6;Noord-Nederland (LD);2008;4.22709117;4.50496306;5.18447474;10.7951354;22.4505512;-3.7684131;3.84998451;4.58711474;-0.8163941;0.41858075;-10.330279;8.48345423;-4.1343875;6.71589316;2.98220828;-3.8695273
7;Noord-Nederland (LD);2009;-3.602301;-3.2360132;5.83342977;-4.7834352;-3.8994135;-8.5560108;3.58808426;-11.092083;-7.0761422;-9.6467875;4.34218684;-6.445449;0.39767721;-4.6282273;2.34462989;-3.0109827
8;Noord-Nederland (LD);2010;5.09464353;5.2739661;-0.6251633;15.9910213;26.8932865;5.80469087;-4.9417512;-2.031728;-11.132517;5.48910039;4.28075261;-1.1699658;0.55259436;-7.7992412;1.54829713;-0.6562876
9;Noord-Nederland (LD);2011;-0.8256402;-0.577646;0.93075505;-4.5535615;-7.1627838;2.9227498;-12.499173;-3.1434959;2.85564004;0.66557793;0.16666107;1.86408972;1.33302353;-0.521932;3.03863587;-1.1677237
10;Noord-Nederland (LD);2012;-0.7179868;-0.6126111;;;;;;;;;;;;;;
11;Noord-Nederland (LD);2013;0.85293087;1.16925323;;;;;;;;;;;;;;
12;Oost-Nederland (LD);2008;2.0572758;2.3293629;-0.2909839;1.77744973;24.0041566;0.99616849;7.1237406;3.76236812;2.68069855;0.85146929;2.73445711;5.72740621;4.26117467;2.50971248;2.93503668;0.51551925
13;Oost-Nederland (LD);2009;-3.328672;-2.9613445;6.56273119;-7.5472735;-4.6521425;-8.393234;-4.4271351;2.20219223;-6.4459303;-8.4573269;1.76353217;3.71565181;-0.4982769;-7.5725091;4.83994424;-0.5911292
14;Oost-Nederland (LD);2010;0.66321536;0.83497661;-0.1441781;4.30298327;-24.651244;3.56904441;12.5288211;4.3607646;-8.8909846;3.24265943;0.56862788;-5.0010701;1.3972395;-2.3986048;2.48911859;-1.5806858
15;Oost-Nederland (LD);2011;1.28302268;1.5362898;-0.6724288;2.86374535;0.29257438;3.31386865;-0.2695697;2.56894228;5.29945271;1.48227275;0.43025409;-3.4599904;1.4629834;0.44768506;1.82336071;-0.3648571
16;Oost-Nederland (LD);2012;-1.5773079;-1.4728442;;;;;;;;;;;;;;
17;Oost-Nederland (LD);2013;-1.2793147;-0.9696801;;;;;;;;;;;;;;
18;West-Nederland (LD);2008;1.59901457;1.86987994;3.32811791;-1.3426913;-12.119039;-2.4008483;6.99770394;3.28897497;0.1153162;-0.3197669;3.82343467;6.95198399;3.04561469;4.50171402;2.52400868;-3.1536231
19;West-Nederland (LD);2009;-3.2948261;-2.92737;1.2302133;-5.3193695;-13.473656;-6.7422899;0.33004884;6.2772664;-5.1511503;-6.1116178;-3.3646612;-1.2559265;-0.1779623;-6.455377;2.88451676;-1.1488818
