ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9;PlaatsnaamVolgnummer_10
0;Aa en Hunze;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;ja ;Aa en Hunze                ;5685
1;Aa, De;1724;Bergeijk                   ;116;Kempenland                              ;30;NB. ;nee;nee;Aa, De                     ;6123
2;Aadorp;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Aadorp                     ;1043
3;Aagtdorp;373;Bergen                     ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee;Aagtdorp                   ;2508
4;Aagtekerke;717;Veere                      ;96;Overige gemeenten Walcheren             ;29;Z.  ;ja ;nee;Aagtekerke                 ;3809
5;Aalbeek;951;Nuth                       ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Aalbeek                    ;5083
6;Aalburg;738;Aalburg                    ;105;Land van Altena                         ;30;NB. ;nee;ja ;Aalburg                    ;3887
7;890;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Aalden                     ;890
8;Aalderinkshoek;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Aalderinkshoek             ;1044
9;Aaldonk;907;Gennep                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Aaldonk                    ;4805
10;Aalsmeer;358;Aalsmeer                   ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;ja ;Aalsmeer                   ;2437
11;Aalsmeerderbrug;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee;Aalsmeerderbrug            ;2590
12;Aalst;297;Zaltbommel                 ;42;Bommelerwaard                           ;25;Gld.;ja ;nee;Aalst                      ;2155
13;Aalst;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aalst                      ;4588
