ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
0;Hotels, restaurants and bars;2009;307.4;382.4;132.3;181.2;13286.0;13105.0;181.0;11912.0;3667.0;3700.0;2787.0;520.0;388.0;132.0;31.0;362.0;3788.0;463.0;1462.0;224.0;92.0;385.0;77.0;265.0;821.0;757.0;1373.0;-156.0;-7.0;9.0;1220.0
1;Hotels, restaurants and bars;2010;327.9;401.5;139.7;192.1;14267.0;14085.0;182.0;12688.0;4014.0;3888.0;2942.0;560.0;419.0;141.0;31.0;355.0;4001.0;489.0;1558.0;240.0;101.0;392.0;82.0;283.0;855.0;786.0;1579.0;-173.0;5.0;22.0;1433.0
2;Hotels, restaurants and bars;2011;339.0;401.4;149.7;201.2;15067.0;14878.0;189.0;13125.0;4047.0;4176.0;3196.0;598.0;463.0;136.0;32.0;350.0;4066.0;468.0;1650.0;238.0;97.0;403.0;87.0;284.0;839.0;837.0;1942.0;-101.0;11.0;76.0;1928.0
3;Hotels, restaurants and bars;2012;348.5;412.6;151.9;205.0;15446.0;15254.0;192.0;13534.0;4135.0;4336.0;3300.0;635.0;481.0;154.0;26.0;375.0;4192.0;469.0;1701.0;245.0;98.0;423.0;87.0;295.0;875.0;871.0;1912.0;-65.0;6.0;53.0;1906.0
4;Hotels, restaurants and bars;2013;352.5;418.0;155.5;210.9;15737.0;15553.0;184.0;13870.0;4256.0;4472.0;3397.0;676.0;517.0;159.0;27.0;372.0;4267.0;480.0;1716.0;248.0;98.0;440.0;87.0;300.0;899.0;876.0;1867.0;-69.0;9.0;117.0;1923.0
5;I Accommodation and food serving;2009;369.7;464.8;166.1;227.1;17546.0;17203.0;343.0;15748.0;5077.0;4991.0;3699.0;701.0;518.0;183.0;36.0;555.0;4708.0;572.0;1811.0;276.0;144.0;495.0;105.0;335.0;971.0;972.0;1799.0;-64.0;-11.0;18.0;1742.0
6;I Accommodation and food serving;2010;390.1;485.5;172.4;239.1;18651.0;18299.0;352.0;16645.0;5471.0;5179.0;3861.0;749.0;555.0;195.0;34.0;535.0;4963.0;605.0;1915.0;296.0;157.0;501.0;111.0;362.0;1016.0;1032.0;2007.0;-56.0;-3.0;48.0;1995.0
7;I Accommodation and food serving;2011;402.4;486.9;183.0;249.6;19585.0;19203.0;383.0;17188.0;5583.0;5523.0;4169.0;790.0;599.0;191.0;37.0;526.0;5010.0;579.0;2013.0;286.0;147.0;506.0;114.0;374.0;991.0;1072.0;2397.0;-165.0;16.0;100.0;2347.0
8;I Accommodation and food serving;2012;412.2;497.4;184.9;252.7;19910.0;19503.0;407.0;17538.0;5643.0;5646.0;4245.0;826.0;616.0;210.0;32.0;543.0;5114.0;581.0;2055.0;286.0;146.0;526.0;114.0;379.0;1027.0;1135.0;2372.0;-160.0;19.0;53.0;2284.0
9;I Accommodation and food serving;2013;416.3;504.4;188.0;259.5;20201.0;19770.0;432.0;17835.0;5800.0;5774.0;4340.0;876.0;659.0;217.0;35.0;523.0;5148.0;592.0;2044.0;288.0;143.0;539.0;112.0;385.0;1046.0;1114.0;2366.0;-156.0;13.0;123.0;2346.0
10;55 Accommodation;2009;77.2;92.8;41.9;51.4;4895.0;4813.0;82.0;4540.0;966.0;1454.0;1067.0;200.0;145.0;56.0;11.0;176.0;1705.0;208.0;664.0;84.0;33.0;170.0;35.0;112.0;400.0;415.0;355.0;-118.0;0.0;0.0;237.0
11;55 Accommodation;2010;75.7;92.9;41.5;52.3;5109.0;5025.0;84.0;4747.0;992.0;1499.0;1095.0;209.0;154.0;55.0;9.0;185.0;1806.0;220.0;717.0;90.0;38.0;177.0;38.0;118.0;410.0;451.0;361.0;58.0;8.0;30.0;457.0
12;55 Accommodation;2011;74.2;91.0;42.7;54.9;5283.0;5200.0;84.0;4825.0;988.0;1592.0;1160.0;223.0;167.0;56.0;14.0;195.0;1788.0;204.0;734.0;87.0;36.0;184.0;37.0;118.0;390.0;457.0;459.0;-138.0;8.0;40.0;369.0
13;55 Accommodation;2012;72.4;88.9;42.1;54.6;5340.0;5266.0;74.0;4894.0;991.0;1580.0;1141.0;229.0;166.0;63.0;8.0;202.0;1817.0;203.0;763.0;83.0;35.0;193.0;37.0;114.0;389.0;507.0;446.0;-157.0;12.0;-21.0;281.0
14;55 Accommodation;2013;74.3;91.0;42.9;55.9;5442.0;5364.0;78.0;4971.0;1060.0;1624.0;1166.0;247.0;182.0;65.0;10.0;201.0;1814.0;211.0;725.0;86.0;33.0;198.0;36.0;118.0;408.0;473.0;471.0;-152.0;9.0;56.0;384.0
15;551 Hotels and similar accommodation;2009;55.4;64.4;31.6;37.0;3213.0;3175.0;38.0;3026.0;542.0;1109.0;802.0;152.0;111.0;41.0;9.0;145.0;1099.0;122.0;409.0;54.0;17.0;98.0;18.0;73.0;308.0;277.0;186.0;-88.0;3.0;-6.0;96.0
16;551 Hotels and similar accommodation;2010;55.9;64.7;31.3;36.6;3416.0;3376.0;40.0;3171.0;567.0;1148.0;831.0;156.0;118.0;38.0;8.0;153.0;1176.0;129.0;459.0;56.0;20.0;109.0;19.0;74.0;310.0;280.0;245.0;-64.0;9.0;13.0;203.0
17;551 Hotels and similar accommodation;2011;56.7;64.9;33.6;39.4;3625.0;3586.0;39.0;3322.0;593.0;1238.0;894.0;172.0;132.0;40.0;13.0;160.0;1191.0;122.0;483.0;57.0;19.0;115.0;20.0;73.0;303.0;301.0;303.0;-94.0;7.0;29.0;246.0
18;551 Hotels and similar accommodation;2012;55.7;64.4;33.7;40.5;3716.0;3682.0;34.0;3411.0;608.0;1252.0;890.0;180.0;133.0;47.0;7.0;176.0;1237.0;120.0;510.0;58.0;20.0;125.0;20.0;72.0;312.0;314.0;305.0;-83.0;4.0;-11.0;214.0
19;551 Hotels and similar accommodation;2013;57.1;65.6;34.4;41.4;3819.0;3788.0;31.0;3535.0;641.0;1298.0;918.0;197.0;148.0;49.0;6.0;177.0;1287.0;129.0;504.0;62.0;20.0;135.0;21.0;77.0;339.0;308.0;284.0;-93.0;7.0;55.0;252.0
20;56 Food and beverage service activities;2009;292.4;372.0;124.2;175.7;12652.0;12390.0;261.0;11208.0;4111.0;3537.0;2632.0;501.0;373.0;128.0;25.0;379.0;3003.0;364.0;1148.0;192.0;110.0;325.0;70.0;223.0;572.0;557.0;1443.0;54.0;-11.0;19.0;1506.0
21;56 Food and beverage service activities;2010;314.4;392.6;130.9;186.9;13543.0;13275.0;268.0;11898.0;4479.0;3680.0;2766.0;540.0;400.0;140.0;25.0;350.0;3157.0;386.0;1198.0;207.0;119.0;325.0;74.0;244.0;606.0;581.0;1645.0;-114.0;-11.0;18.0;1537.0
22;56 Food and beverage service activities;2011;328.2;395.9;140.3;194.8;14302.0;14003.0;299.0;12364.0;4595.0;3931.0;3009.0;567.0;432.0;135.0;23.0;331.0;3222.0;375.0;1280.0;199.0;112.0;322.0;77.0;256.0;601.0;616.0;1938.0;-28.0;8.0;60.0;1978.0
23;56 Food and beverage service activities;2012;339.8;408.5;142.8;198.2;14570.0;14237.0;333.0;12644.0;4652.0;4067.0;3105.0;597.0;450.0;147.0;24.0;341.0;3298.0;378.0;1292.0;203.0;111.0;333.0;77.0;265.0;638.0;628.0;1925.0;-3.0;7.0;74.0;2003.0
24;56 Food and beverage service activities;2013;342.0;413.3;145.2;203.6;14760.0;14406.0;354.0;12865.0;4740.0;4150.0;3174.0;628.0;477.0;152.0;25.0;322.0;3334.0;381.0;1318.0;201.0;110.0;341.0;76.0;268.0;638.0;641.0;1895.0;-4.0;4.0;66.0;1962.0
25;561 Restaurants ;2009;190.7;231.2;75.9;105.1;7250.0;7133.0;117.0;6385.0;2239.0;1897.0;1482.0;273.0;207.0;66.0;17.0;125.0;1897.0;236.0;758.0;115.0;58.0;197.0;39.0;132.0;363.0;353.0;865.0;-62.0;-9.0;14.0;808.0
