ID;Persoonskenmerken;Perioden;EconomischeToestandNederlandGunstig_1;WerkgelegenheidGunstig_2;PersoonlijkeSituatieGunstig_3;RegeringsbeleidTevreden_4;DemocratieNederlandTevreden_5;DemocratieEuropeseUnieTevreden_6;KamerledenGevenNietOmMening_7;PartijenAlleenIntereseInStem_8;GeenInvloedOpRegeringspolitiek_9;InStaatActieveRolInPolitiek_10;GoedBeeldPolitiekeProblemen_11;PolitiekTeIngewikkeld_12;PoliticiBelovenMeerDanZeKunnen_13;PoliticiZijnOpEigenbelangUit_14;KamerlidDoorPolitiekeVrienden_15;KloofTussenPolitiekEnBurger_16
0;10000;2006;43.0;42.0;11.0;31.0;75.0;44.0;40.0;51.0;44.0;20.0;55.0;61.0;93.0;42.0;48.0;68.0
1;10000;2010;20.0;20.0;9.0;22.0;74.0;50.0;37.0;52.0;49.0;25.0;62.0;60.0;92.0;44.0;47.0;
2;10000;2012;17.0;9.0;6.0;21.0;79.0;45.0;39.0;53.0;50.0;27.0;;;;;;
3;15400;2006;46.0;44.0;11.0;34.0;78.0;40.0;41.0;51.0;44.0;25.0;60.0;56.0;92.0;41.0;53.0;69.0
4;15400;2010;25.0;25.0;11.0;24.0;73.0;44.0;36.0;54.0;46.0;31.0;70.0;50.0;91.0;43.0;51.0;
5;15400;2012;20.0;12.0;7.0;24.0;79.0;38.0;39.0;54.0;49.0;31.0;;;;;;
6;15450;2006;40.0;40.0;10.0;28.0;73.0;49.0;39.0;51.0;45.0;15.0;49.0;66.0;93.0;43.0;43.0;66.0
7;15450;2010;16.0;15.0;8.0;20.0;74.0;56.0;37.0;51.0;51.0;19.0;55.0;69.0;93.0;45.0;43.0;
8;15450;2012;13.0;7.0;4.0;18.0;79.0;52.0;39.0;51.0;52.0;22.0;;;;;;
9;20930;2006;41.0;42.0;12.0;38.0;86.0;63.0;25.0;46.0;31.0;30.0;41.0;64.0;90.0;36.0;45.0;64.0
10;20930;2010;23.0;16.0;15.0;24.0;79.0;66.0;29.0;45.0;31.0;35.0;44.0;58.0;90.0;42.0;39.0;
11;20930;2012;12.0;10.0;7.0;17.0;78.0;48.0;21.0;47.0;38.0;37.0;;;;;;
12;20940;2006;41.0;42.0;9.0;28.0;78.0;49.0;33.0;45.0;34.0;24.0;47.0;61.0;89.0;40.0;42.0;64.0
13;20940;2010;14.0;18.0;6.0;24.0;76.0;60.0;28.0;46.0;43.0;32.0;60.0;50.0;90.0;45.0;44.0;
14;20940;2012;13.0;9.0;4.0;22.0;83.0;50.0;37.0;43.0;41.0;30.0;;;;;;
15;20950;2006;43.0;42.0;9.0;27.0;78.0;43.0;36.0;47.0;39.0;21.0;54.0;53.0;93.0;39.0;43.0;65.0
16;20950;2010;20.0;19.0;7.0;22.0;78.0;46.0;32.0;48.0;40.0;26.0;63.0;55.0;91.0;37.0;43.0;
17;20950;2012;15.0;11.0;7.0;21.0;81.0;46.0;32.0;49.0;43.0;33.0;;;;;;
18;20960;2006;39.0;39.0;9.0;24.0;73.0;42.0;38.0;45.0;40.0;23.0;58.0;55.0;95.0;36.0;43.0;66.0
19;20960;2010;17.0;21.0;6.0;16.0;72.0;40.0;34.0;46.0;47.0;26.0;68.0;58.0;91.0;40.0;40.0;
20;20960;2012;19.0;11.0;4.0;18.0;77.0;40.0;35.0;48.0;48.0;31.0;;;;;;
21;20970;2006;45.0;43.0;9.0;31.0;72.0;37.0;47.0;56.0;52.0;19.0;63.0;63.0;94.0;42.0;50.0;73.0
22;20970;2010;24.0;20.0;9.0;19.0;70.0;44.0;41.0;55.0;54.0;21.0;73.0;63.0;94.0;44.0;48.0;
23;20970;2012;17.0;9.0;5.0;17.0;77.0;37.0;45.0;54.0;54.0;23.0;;;;;;
24;20980;2006;56.0;51.0;17.0;44.0;72.0;35.0;49.0;62.0;56.0;9.0;55.0;67.0;94.0;54.0;65.0;72.0
25;20980;2010;25.0;27.0;13.0;24.0;72.0;49.0;56.0;67.0;64.0;17.0;59.0;63.0;94.0;53.0;63.0;
