ID;LeeftijdVanDeVaderOp31December;Perioden;LevendgeborenenTotaal_1;Levendgeborenen1eKindUitDeMoeder_2;LevendgeborenenTotaal_3;Levendgeborenen1eKindUitDeMoeder_4
0;10000;1996;189521;85792;37.27;16.87
1;10000;1997;192443;89322;37.71;17.5
2;10000;1998;199408;93876;38.92;18.32
3;10000;1999;200445;93815;38.91;18.21
4;10000;2000;206619;95972;39.89;18.53
5;10000;2001;202603;93695;38.9;17.99
6;10000;2002;202083;92199;38.64;17.63
7;10000;2003;200297;91120;38.2;17.38
8;10000;2004;194007;88432;36.98;16.86
9;10000;2005;187910;84928;35.82;16.19
10;10000;2006;185057;82877;35.31;15.81
11;10000;2007;181336;81905;34.58;15.62
12;10000;2008;184634;83335;35.12;15.85
13;10000;2009;184915;85242;35.03;16.15
14;10000;2010;184397;85466;34.84;16.15
15;10000;2011;180060;83538;33.92;15.74
16;10000;2012;175959;81617;33.29;15.44
17;10000;2013;171341;79460;32.53;15.09
18;10000;2014;175181;80744;33.33;15.36
19;10000;2015;170510;77666;32.43;14.77
20;10000;2016;172520;78092;32.73;14.82
21;10000;2017;169836;76507;32.04;14.43
22;10000;2018;168525;75553;31.72;14.22
23;10000;2019;169680;77225;31.74;14.45
24;10000;2020;168681;76723;31.39;14.28
25;10000;2021;179441;81529;33.24;15.1
26;10000;2022;167504;78156;30.77;14.36
27;10000;2023;164487;75601;29.94;13.76
28;41400;1996;298;270;3.18;2.88
29;41400;1997;290;276;3.05;2.91
30;41400;1998;347;318;3.67;3.36
31;41400;1999;440;406;4.49;4.14
32;41400;2000;492;459;5.08;4.74
33;41400;2001;537;478;5.64;5.02
34;41400;2002;556;503;5.86;5.3
35;41400;2003;481;443;4.91;4.53
36;41400;2004;450;412;4.56;4.18
37;41400;2005;438;400;4.37;3.99
38;41400;2006;403;373;3.99;3.7
39;41400;2007;499;464;4.99;4.64
40;41400;2008;443;425;4.38;4.21
41;41400;2009;482;436;4.55;4.12
42;41400;2010;470;434;4.45;4.11
43;41400;2011;505;474;4.81;4.52
44;41400;2012;480;457;4.63;4.41
45;41400;2013;345;322;3.31;3.09
46;41400;2014;325;299;3.19;2.94
47;41400;2015;298;280;2.9;2.73
48;41400;2016;269;246;2.6;2.38
49;41400;2017;273;255;2.51;2.34
50;41400;2018;239;218;2.18;1.99
51;41400;2019;236;219;2.1;1.95
52;41400;2020;269;245;2.43;2.21
53;41400;2021;263;246;2.37;2.22
54;41400;2022;254;236;2.27;2.11
55;41400;2023;226;212;2.05;1.92
56;12000;1996;367;332;3.83;3.46
57;12000;1997;365;321;3.88;3.41
58;12000;1998;408;365;4.28;3.83
59;12000;1999;454;409;4.79;4.31
60;12000;2000;477;409;4.84;4.15
61;12000;2001;524;467;5.38;4.79
62;12000;2002;550;474;5.73;4.94
63;12000;2003;548;476;5.75;5.0
64;12000;2004;495;424;5.05;4.33
65;12000;2005;461;411;4.68;4.17
66;12000;2006;484;422;4.83;4.22
67;12000;2007;482;416;4.77;4.12
68;12000;2008;479;422;4.76;4.19
69;12000;2009;525;460;5.16;4.52
70;12000;2010;491;446;4.6;4.18
71;12000;2011;501;437;4.7;4.1
72;12000;2012;463;401;4.37;3.79
73;12000;2013;405;343;3.86;3.27
74;12000;2014;391;341;3.7;3.22
75;12000;2015;320;285;3.1;2.76
76;12000;2016;305;265;2.91;2.53
77;12000;2017;245;215;2.27;1.99
78;12000;2018;259;232;2.35;2.1
79;12000;2019;272;235;2.42;2.09
80;12000;2020;283;252;2.47;2.2
81;12000;2021;260;229;2.29;2.02
82;12000;2022;273;245;2.38;2.13
83;12000;2023;244;219;2.1;1.88
84;12100;1996;614;521;6.36;5.4
85;12100;1997;630;508;6.54;5.28
86;12100;1998;622;554;6.58;5.86
87;12100;1999;741;653;7.74;6.82
88;12100;2000;777;681;8.15;7.14
89;12100;2001;827;718;8.33;7.23
90;12100;2002;830;701;8.46;7.14
91;12100;2003;848;722;8.8;7.49
92;12100;2004;808;662;8.48;6.94
93;12100;2005;729;597;7.45;6.1
94;12100;2006;758;623;7.71;6.34
95;12100;2007;754;628;7.52;6.26
96;12100;2008;799;669;7.86;6.58
97;12100;2009;801;685;7.88;6.74
98;12100;2010;779;666;7.57;6.47
99;12100;2011;742;631;6.88;5.85
100;12100;2012;739;625;6.87;5.81
101;12100;2013;695;576;6.5;5.39
102;12100;2014;632;532;5.96;5.02
103;12100;2015;551;452;5.14;4.22
104;12100;2016;505;406;4.81;3.87
105;12100;2017;441;358;4.13;3.35
106;12100;2018;463;388;4.33;3.63
107;12100;2019;424;355;3.79;3.17
108;12100;2020;465;384;4.1;3.39
109;12100;2021;407;338;3.5;2.9
110;12100;2022;441;376;3.8;3.24
111;12100;2023;443;383;3.77;3.26
112;12200;1996;1084;864;10.62;8.47
113;12200;1997;1051;882;10.84;9.1
114;12200;1998;946;771;9.78;7.97
115;12200;1999;1051;840;11.06;8.84
116;12200;2000;1227;1007;12.72;10.44
117;12200;2001;1170;975;12.16;10.13
118;12200;2002;1255;1056;12.54;10.55
119;12200;2003;1216;980;12.33;9.94
120;12200;2004;1245;998;12.9;10.34
121;12200;2005;1157;936;12.13;9.81
122;12200;2006;1223;986;12.51;10.09
123;12200;2007;1224;996;12.44;10.12
124;12200;2008;1217;1006;12.06;9.97
125;12200;2009;1221;1003;11.88;9.76
126;12200;2010;1184;987;11.52;9.6
127;12200;2011;1220;983;11.72;9.44
128;12200;2012;1125;909;10.33;8.34
129;12200;2013;1118;926;10.31;8.54
130;12200;2014;1045;846;9.69;7.84
131;12200;2015;953;728;8.89;6.79
132;12200;2016;838;681;7.71;6.27
133;12200;2017;751;571;7.01;5.33
134;12200;2018;691;536;6.41;4.97
135;12200;2019;754;606;6.95;5.59
136;12200;2020;694;562;6.15;4.98
137;12200;2021;702;546;6.12;4.76
138;12200;2022;732;598;6.16;5.03
139;12200;2023;687;564;5.8;4.76
140;12300;1996;1686;1295;15.78;12.12
141;12300;1997;1678;1287;16.35;12.54
142;12300;1998;1567;1259;16.04;12.88
143;12300;1999;1584;1245;16.25;12.77
144;12300;2000;1691;1362;17.65;14.22
145;12300;2001;1736;1403;17.8;14.38
146;12300;2002;1749;1410;17.99;14.5
147;12300;2003;1752;1373;17.39;13.63
148;12300;2004;1692;1353;17.1;13.68
149;12300;2005;1769;1351;18.3;13.98
150;12300;2006;1700;1317;17.81;13.79
151;12300;2007;1668;1317;17.01;13.43
152;12300;2008;1827;1406;18.41;14.17
153;12300;2009;1804;1397;17.66;13.67
154;12300;2010;1885;1489;18.12;14.32
155;12300;2011;1723;1328;16.57;12.77
156;12300;2012;1656;1289;15.77;12.27
157;12300;2013;1683;1324;15.34;12.07
158;12300;2014;1562;1211;14.27;11.06
159;12300;2015;1391;1055;12.75;9.67
160;12300;2016;1366;1053;12.54;9.67
161;12300;2017;1179;902;10.81;8.27
162;12300;2018;1234;913;11.44;8.46
163;12300;2019;1109;865;10.14;7.91
164;12300;2020;1041;804;9.49;7.33
165;12300;2021;1015;760;8.88;6.65
166;12300;2022;1088;846;9.28;7.22
167;12300;2023;1121;897;9.24;7.4
168;12400;1996;2591;1850;22.04;15.74
169;12400;1997;2405;1828;22.38;17.01
170;12400;1998;2398;1806;23.19;17.47
171;12400;1999;2367;1767;24.0;17.92
172;12400;2000;2371;1834;24.09;18.64
173;12400;2001;2443;1839;25.2;18.97
174;12400;2002;2460;1860;24.95;18.87
175;12400;2003;2483;1892;25.37;19.33
176;12400;2004;2508;1890;24.81;18.7
177;12400;2005;2339;1742;23.6;17.58
178;12400;2006;2433;1788;25.14;18.48
