ID;Perioden;TotaalVerbruikCacaobonen_1;OntwikkelingVanVerbruik_2
0;1993 1e kwartaal;78338;
1;1993 2e kwartaal;75548;
2;1993 3e kwartaal;81183;
3;1993 4e kwartaal;84991;
4;1993;320060;
5;1994 1e kwartaal;83963;7.18
6;1994 2e kwartaal;78055;3.32
7;1994 3e kwartaal;84249;3.78
8;1994 4e kwartaal;88117;3.68
9;1994;334384;4.48
10;1995 1e kwartaal;91314;8.76
11;1995 2e kwartaal;85248;9.22
12;1995 3e kwartaal;85311;1.26
13;1995 4e kwartaal;93619;6.24
14;1995;355492;6.31
15;1996 1e kwartaal;100866;10.46
16;1996 2e kwartaal;90724;6.42
17;1996 3e kwartaal;99549;16.69
18;1996 4e kwartaal;97273;3.9
19;1996;388412;9.26
20;1997 1e kwartaal;102338;1.46
21;1997 2e kwartaal;100132;10.37
22;1997 3e kwartaal;101817;2.28
23;1997 4e kwartaal;103053;5.94
24;1997;407340;4.87
25;1998 1e kwartaal;104936;2.54
26;1998 2e kwartaal;108101;7.96
27;1998 3e kwartaal;108580;6.64
28;1998 4e kwartaal;105776;2.64
29;1998;427393;4.92
30;1999 1e kwartaal;107189;2.15
31;1999 2e kwartaal;102933;-4.78
32;1999 3e kwartaal;98828;-8.98
33;1999 4e kwartaal;106303;0.5
34;1999;415253;-2.84
35;2000 1e kwartaal;114487;6.81
36;2000 2e kwartaal;106005;2.98
37;2000 3e kwartaal;109129;10.42
38;2000 4e kwartaal;113149;6.44
39;2000;442770;6.63
40;2001 1e kwartaal;114449;-0.03
41;2001 2e kwartaal;112781;6.39
42;2001 3e kwartaal;111539;2.21
43;2001 4e kwartaal;101611;-10.2
44;2001;440380;-0.54
45;2002 1e kwartaal;98550;-13.89
46;2002 2e kwartaal;109920;-2.54
