ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdGewicht_1
0;Beroeps- en eigen vervoer;0;1955;
1;Beroeps- en eigen vervoer;0;1956;
2;Beroeps- en eigen vervoer;0;1957;
3;Beroeps- en eigen vervoer;0;1958;
4;Beroeps- en eigen vervoer;0;1959;
5;Beroeps- en eigen vervoer;0;1960;
6;Beroeps- en eigen vervoer;0;1961;
7;Beroeps- en eigen vervoer;0;1962;
8;Beroeps- en eigen vervoer;0;1963;
9;Beroeps- en eigen vervoer;0;1964;
10;Beroeps- en eigen vervoer;0;1965;
11;Beroeps- en eigen vervoer;0;1966;
12;Beroeps- en eigen vervoer;0;1967;
13;Beroeps- en eigen vervoer;0;1968;
14;Beroeps- en eigen vervoer;0;1969;
15;Beroeps- en eigen vervoer;0;1970;
16;Beroeps- en eigen vervoer;0;1971;
17;Beroeps- en eigen vervoer;0;1972;
18;Beroeps- en eigen vervoer;0;1973;
19;Beroeps- en eigen vervoer;0;1974;
20;Beroeps- en eigen vervoer;0;1975;
21;Beroeps- en eigen vervoer;0;1976;
22;Beroeps- en eigen vervoer;0;1977;
23;Beroeps- en eigen vervoer;0;1978;
24;Beroeps- en eigen vervoer;0;1979;
25;Beroeps- en eigen vervoer;0;1980;
26;Beroeps- en eigen vervoer;0;1981;
27;Beroeps- en eigen vervoer;0;1982;
28;Beroeps- en eigen vervoer;0;1983;
29;Beroeps- en eigen vervoer;0;1984;
30;Beroeps- en eigen vervoer;0;1985;
31;Beroeps- en eigen vervoer;0;1986;
32;Beroeps- en eigen vervoer;0;1987;
33;Beroeps- en eigen vervoer;0;1988;
34;Beroeps- en eigen vervoer;0;1989;
35;Beroeps- en eigen vervoer;0;1990;
36;Beroeps- en eigen vervoer;0;1991;
37;Beroeps- en eigen vervoer;0;1992;
38;Beroeps- en eigen vervoer;0;1993;
39;Beroeps- en eigen vervoer;0;1994;
40;Beroeps- en eigen vervoer;0;1995;
41;Beroeps- en eigen vervoer;0;1996;
42;Beroeps- en eigen vervoer;0;1997;532645.0
43;Beroeps- en eigen vervoer;0;1998;545663.0
44;Beroeps- en eigen vervoer;0;1999;608419.0
45;Beroeps- en eigen vervoer;0;2000;584595.0
46;Beroeps- en eigen vervoer;0;2001;593388.0
47;Beroeps- en eigen vervoer;0;2002;569825.0
48;Beroeps- en eigen vervoer;0;2003;622322.0
49;Beroeps- en eigen vervoer;0;2004;614860.0
50;Beroeps- en eigen vervoer;0;2005;615798.0
51;Beroeps- en eigen vervoer;0;2006;620498.0
52;Beroeps- en eigen vervoer;0;2007;638902.0
53;Beroeps- en eigen vervoer;0;2008;622601.0
54;Beroeps- en eigen vervoer;0;2009;616915.0
55;Beroeps- en eigen vervoer;0;2010;564790.0
56;Beroeps- en eigen vervoer;0;2011;560998.0
57;Beroeps- en eigen vervoer;0;2012;538418.0
58;Beroeps- en eigen vervoer;1;1955;
59;Beroeps- en eigen vervoer;1;1956;
60;Beroeps- en eigen vervoer;1;1957;
61;Beroeps- en eigen vervoer;1;1958;
62;Beroeps- en eigen vervoer;1;1959;
63;Beroeps- en eigen vervoer;1;1960;
64;Beroeps- en eigen vervoer;1;1961;
65;Beroeps- en eigen vervoer;1;1962;
66;Beroeps- en eigen vervoer;1;1963;
67;Beroeps- en eigen vervoer;1;1964;
68;Beroeps- en eigen vervoer;1;1965;
69;Beroeps- en eigen vervoer;1;1966;
70;Beroeps- en eigen vervoer;1;1967;
71;Beroeps- en eigen vervoer;1;1968;
72;Beroeps- en eigen vervoer;1;1969;
73;Beroeps- en eigen vervoer;1;1970;
74;Beroeps- en eigen vervoer;1;1971;
75;Beroeps- en eigen vervoer;1;1972;
76;Beroeps- en eigen vervoer;1;1973;
77;Beroeps- en eigen vervoer;1;1974;
78;Beroeps- en eigen vervoer;1;1975;
79;Beroeps- en eigen vervoer;1;1976;
80;Beroeps- en eigen vervoer;1;1977;
81;Beroeps- en eigen vervoer;1;1978;
82;Beroeps- en eigen vervoer;1;1979;
83;Beroeps- en eigen vervoer;1;1980;
84;Beroeps- en eigen vervoer;1;1981;
85;Beroeps- en eigen vervoer;1;1982;402611.0
86;Beroeps- en eigen vervoer;1;1983;379801.0
87;Beroeps- en eigen vervoer;1;1984;396451.0
88;Beroeps- en eigen vervoer;1;1985;394356.0
89;Beroeps- en eigen vervoer;1;1986;419882.0
90;Beroeps- en eigen vervoer;1;1987;424259.0
91;Beroeps- en eigen vervoer;1;1988;467863.0
92;Beroeps- en eigen vervoer;1;1989;455156.0
93;Beroeps- en eigen vervoer;1;1990;467379.0
